"Plot Title: 2426035 "
"Time, GMT-04:00","Temp, ¡C()","Temp, ¡C()","Temp, ¡C()","Temp, ¡C()"
05/31/10 00:00:21,8.245,7.920,5.231,4.921
05/31/10 00:01:21,7.970,7.945,5.231,4.921
05/31/10 00:02:21,8.344,7.945,5.231,4.947
05/31/10 00:03:21,8.568,8.045,5.231,4.947
05/31/10 00:04:21,8.693,8.095,5.231,4.947
05/31/10 00:05:21,9.114,8.095,5.257,4.947
05/31/10 00:06:21,9.780,8.095,5.257,4.947
05/31/10 00:07:21,10.418,8.070,5.257,4.947
05/31/10 00:08:21,10.614,8.070,5.257,4.947
05/31/10 00:09:21,10.590,8.070,5.257,4.947
05/31/10 00:10:21,10.075,7.970,5.257,4.947
05/31/10 00:11:21,10.296,7.895,5.282,4.973
05/31/10 00:12:21,10.614,7.870,5.282,4.947
05/31/10 00:13:21,11.005,7.820,5.282,4.973
05/31/10 00:14:21,12.171,7.845,5.282,4.973
05/31/10 00:15:21,13.016,7.920,5.282,4.973
05/31/10 00:16:21,12.992,7.970,5.308,4.973
05/31/10 00:17:21,12.775,7.995,5.282,4.973
05/31/10 00:18:21,12.992,7.995,5.308,4.973
05/31/10 00:19:21,13.473,7.995,5.308,4.973
05/31/10 00:20:21,14.290,8.095,5.308,4.973
05/31/10 00:21:21,13.834,8.195,5.308,4.973
05/31/10 00:22:21,12.751,8.220,5.308,4.999
05/31/10 00:23:21,11.807,8.145,5.308,4.999
05/31/10 00:24:21,11.273,8.020,5.334,4.999
05/31/10 00:25:21,10.369,7.920,5.334,4.999
05/31/10 00:26:21,10.980,7.845,5.334,4.999
05/31/10 00:27:21,12.219,7.820,5.334,4.999
05/31/10 00:28:21,12.606,7.895,5.334,4.999
05/31/10 00:29:21,13.546,7.970,5.360,4.999
05/31/10 00:30:21,13.618,8.070,5.334,4.999
05/31/10 00:31:21,13.810,8.220,5.360,4.999
05/31/10 00:32:21,13.112,8.270,5.360,4.999
05/31/10 00:33:21,12.968,8.369,5.360,4.999
05/31/10 00:34:21,12.340,8.444,5.360,5.024
05/31/10 00:35:21,11.686,8.494,5.360,5.024
