"Date Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
04/27/11 14:00:00,21.270,11.686,7.066,6.433
04/27/11 15:00:00,19.008,11.321,7.720,6.763
04/27/11 16:00:00,16.463,10.810,8.195,7.091
04/27/11 17:00:00,12.098,10.001,8.494,7.368
04/27/11 18:00:00,8.717,8.891,8.519,7.569
04/27/11 19:00:00,8.145,8.394,8.319,7.695
04/27/11 20:00:00,7.318,7.970,8.120,7.695
04/27/11 21:00:00,6.763,7.670,7.920,7.670
04/27/11 22:00:00,6.255,7.419,7.770,7.645
04/27/11 23:00:00,5.898,7.192,7.594,7.569
04/28/11 00:00:00,5.796,7.041,7.469,7.519
04/28/11 01:00:00,5.488,6.889,7.343,7.469
04/28/11 02:00:00,5.565,6.813,7.242,7.393
04/28/11 03:00:00,5.411,6.737,7.167,7.343
04/28/11 04:00:00,5.154,6.611,7.091,7.293
04/28/11 05:00:00,1.561,5.437,6.940,7.268
04/28/11 06:00:00,1.832,5.102,6.585,7.167
04/28/11 07:00:00,1.208,4.766,6.255,7.041
04/28/11 08:00:00,0.439,4.636,5.975,6.889
04/28/11 09:00:00,9.262,5.411,5.745,6.737
04/28/11 10:00:00,17.819,7.242,5.821,6.611
04/28/11 11:00:00,22.537,9.188,6.230,6.585
04/28/11 12:00:00,25.404,10.907,6.839,6.712
04/28/11 13:00:00,23.016,11.904,7.544,6.914
04/28/11 14:00:00,27.308,12.340,8.245,7.217
04/28/11 15:00:00,20.079,11.394,8.941,7.569
04/28/11 16:00:00,17.748,11.297,9.262,7.895
04/28/11 17:00:00,12.799,10.565,9.460,8.145
04/28/11 18:00:00,7.770,8.990,9.361,8.319
04/28/11 19:00:00,5.539,7.745,8.916,8.369
04/28/11 20:00:00,3.459,6.408,8.319,8.295
04/28/11 21:00:00,6.000,7.041,7.895,8.120
04/28/11 22:00:00,4.037,6.585,7.670,7.945
04/28/11 23:00:00,0.962,5.462,7.318,7.820
04/29/11 00:00:00,-0.283,4.973,6.914,7.645
04/29/11 01:00:00,-0.255,4.558,6.509,7.444
04/29/11 02:00:00,-0.930,4.115,6.128,7.242
04/29/11 03:00:00,0.024,4.037,5.821,7.041
04/29/11 04:00:00,-1.157,3.775,5.539,6.839
04/29/11 05:00:00,-2.276,3.063,5.282,6.661
04/29/11 06:00:00,-3.035,2.530,5.024,6.484
04/29/11 07:00:00,-2.683,2.262,4.792,6.281
04/29/11 08:00:00,-2.537,2.155,4.584,6.128
04/29/11 09:00:00,6.153,3.009,4.428,5.975
04/29/11 10:00:00,15.986,5.591,4.402,5.821
04/29/11 11:00:00,21.963,7.970,4.766,5.770
04/29/11 12:00:00,25.113,10.247,5.462,5.872
04/29/11 13:00:00,27.604,11.443,6.281,6.102
04/29/11 14:00:00,25.477,11.807,7.192,6.408
04/29/11 15:00:00,25.234,11.953,7.970,6.839
04/29/11 16:00:00,21.557,11.783,8.693,7.217
04/29/11 17:00:00,13.642,10.418,9.312,7.619
04/29/11 18:00:00,9.015,9.040,9.188,7.945
04/29/11 19:00:00,7.670,8.220,8.792,8.045
04/29/11 20:00:00,7.845,8.045,8.444,8.020
04/29/11 21:00:00,7.167,7.745,8.220,7.970
04/29/11 22:00:00,3.591,6.889,8.020,7.895
04/29/11 23:00:00,1.913,5.488,7.594,7.820
04/30/11 00:00:00,0.742,5.102,7.066,7.670
04/30/11 01:00:00,0.135,4.610,6.611,7.444
04/30/11 02:00:00,0.797,4.402,6.204,7.242
04/30/11 03:00:00,-0.930,4.037,5.872,7.015
04/30/11 04:00:00,-1.185,3.406,5.565,6.839
04/30/11 05:00:00,-1.958,3.089,5.282,6.636
04/30/11 06:00:00,-3.330,2.477,5.024,6.458
04/30/11 07:00:00,-2.947,2.557,4.818,6.281
04/30/11 08:00:00,-3.301,2.101,4.558,6.102
04/30/11 09:00:00,6.102,2.956,4.376,5.924
04/30/11 10:00:00,12.389,5.488,4.350,5.796
04/30/11 11:00:00,18.224,7.419,4.792,5.745
04/30/11 12:00:00,22.345,10.124,5.488,5.847
04/30/11 13:00:00,23.040,10.883,6.306,6.077
04/30/11 14:00:00,22.106,10.687,7.066,6.408
04/30/11 15:00:00,19.532,10.369,7.720,6.763
04/30/11 16:00:00,16.796,9.903,8.195,7.091
04/30/11 17:00:00,12.437,9.558,8.519,7.393
04/30/11 18:00:00,6.839,7.870,8.519,7.619
04/30/11 19:00:00,2.370,5.872,8.020,7.695
04/30/11 20:00:00,0.605,5.076,7.393,7.619
04/30/11 21:00:00,0.412,4.584,6.839,7.419
04/30/11 22:00:00,1.289,4.376,6.408,7.217
04/30/11 23:00:00,1.751,4.428,6.051,7.015
05/01/11 00:00:00,2.236,4.532,5.821,6.839
05/01/11 01:00:00,4.869,5.024,5.616,6.687
05/01/11 02:00:00,6.128,5.591,5.591,6.535
05/01/11 03:00:00,6.889,6.026,5.693,6.484
05/01/11 04:00:00,6.889,6.230,5.898,6.458
05/01/11 05:00:00,6.813,6.331,6.077,6.484
05/01/11 06:00:00,6.636,6.331,6.179,6.535
05/01/11 07:00:00,6.102,6.306,6.281,6.560
05/01/11 08:00:00,6.153,6.281,6.306,6.611
05/01/11 09:00:00,7.242,6.535,6.357,6.636
05/01/11 10:00:00,8.494,7.041,6.535,6.661
05/01/11 11:00:00,9.312,7.393,6.839,6.737
05/01/11 12:00:00,14.074,8.717,7.268,6.839
05/01/11 13:00:00,14.577,9.706,7.995,7.041
05/01/11 14:00:00,12.871,9.583,8.593,7.343
05/01/11 15:00:00,15.366,10.345,9.064,7.645
05/01/11 16:00:00,12.944,9.706,9.435,7.920
05/01/11 17:00:00,10.565,9.188,9.485,8.120
05/01/11 18:00:00,8.444,8.519,9.287,8.270
05/01/11 19:00:00,6.077,7.720,8.990,8.319
05/01/11 20:00:00,5.257,7.217,8.543,8.245
05/01/11 21:00:00,5.128,6.788,8.145,8.120
05/01/11 22:00:00,5.179,6.788,7.870,7.995
05/01/11 23:00:00,5.154,6.737,7.670,7.870
05/02/11 00:00:00,5.334,6.661,7.519,7.770
05/02/11 01:00:00,4.999,6.560,7.393,7.670
05/02/11 02:00:00,5.024,6.484,7.268,7.569
05/02/11 03:00:00,5.050,6.484,7.167,7.519
05/02/11 04:00:00,4.714,6.281,7.091,7.419
05/02/11 05:00:00,4.636,6.179,7.015,7.368
05/02/11 06:00:00,4.168,6.051,6.914,7.318
05/02/11 07:00:00,4.037,5.975,6.813,7.242
05/02/11 08:00:00,3.749,5.770,6.712,7.192
05/02/11 09:00:00,5.924,6.230,6.611,7.116
05/02/11 10:00:00,11.904,7.167,6.712,7.066
05/02/11 11:00:00,13.064,8.469,7.066,7.091
05/02/11 12:00:00,14.218,9.213,7.745,7.192
05/02/11 13:00:00,15.748,9.952,8.394,7.444
05/02/11 14:00:00,12.316,9.780,9.015,7.720
05/02/11 15:00:00,9.312,8.916,9.312,7.995
05/02/11 16:00:00,8.319,8.568,9.287,8.195
05/02/11 17:00:00,8.742,8.319,9.114,8.295
05/02/11 18:00:00,7.419,7.870,8.941,8.319
05/02/11 19:00:00,6.255,7.444,8.668,8.295
05/02/11 20:00:00,5.770,6.990,8.344,8.220
05/02/11 21:00:00,5.591,6.990,8.020,8.120
05/02/11 22:00:00,5.462,6.864,7.820,7.970
05/02/11 23:00:00,4.921,6.813,7.619,7.870
05/03/11 00:00:00,3.512,6.535,7.444,7.770
05/03/11 01:00:00,4.324,6.484,7.268,7.645
05/03/11 02:00:00,4.584,6.509,7.142,7.544
05/03/11 03:00:00,4.324,6.458,7.066,7.469
05/03/11 04:00:00,4.350,6.382,6.990,7.419
05/03/11 05:00:00,3.958,6.281,6.914,7.318
05/03/11 06:00:00,3.854,6.204,6.839,7.268
05/03/11 07:00:00,4.246,6.204,6.763,7.192
05/03/11 08:00:00,4.454,6.230,6.712,7.142
05/03/11 09:00:00,5.308,6.357,6.687,7.116
05/03/11 10:00:00,6.509,6.763,6.737,7.066
05/03/11 11:00:00,8.419,7.217,6.864,7.066
05/03/11 12:00:00,15.485,8.817,7.192,7.091
05/03/11 13:00:00,14.242,9.608,7.670,7.217
05/03/11 14:00:00,11.175,9.287,8.270,7.419
05/03/11 15:00:00,11.029,9.312,8.643,7.645
05/03/11 16:00:00,11.248,8.990,8.742,7.845
05/03/11 17:00:00,7.820,8.494,8.742,7.970
05/03/11 18:00:00,7.343,8.220,8.618,8.045
05/03/11 19:00:00,5.949,7.695,8.419,8.045
05/03/11 20:00:00,5.360,7.343,8.170,7.995
05/03/11 21:00:00,3.301,6.585,7.920,7.920
05/03/11 22:00:00,3.089,6.382,7.594,7.820
05/03/11 23:00:00,3.512,6.204,7.293,7.695
05/04/11 00:00:00,2.956,6.026,7.116,7.544
05/04/11 01:00:00,0.495,5.257,6.940,7.444
05/04/11 02:00:00,-1.043,4.480,6.611,7.318
05/04/11 03:00:00,-1.871,3.932,6.255,7.167
05/04/11 04:00:00,-2.508,3.433,5.924,6.990
05/04/11 05:00:00,-2.742,3.248,5.591,6.788
05/04/11 06:00:00,-2.334,3.142,5.334,6.611
05/04/11 07:00:00,-0.676,3.274,5.076,6.408
05/04/11 08:00:00,-1.498,3.433,4.921,6.255
05/04/11 09:00:00,6.077,3.880,4.766,6.102
05/04/11 10:00:00,12.727,5.411,4.662,5.949
05/04/11 11:00:00,10.075,7.142,4.895,5.872
05/04/11 12:00:00,14.912,8.568,5.437,5.924
05/04/11 13:00:00,14.601,9.485,6.026,6.077
05/04/11 14:00:00,9.829,7.920,6.611,6.331
05/04/11 15:00:00,12.074,8.195,6.889,6.560
05/04/11 16:00:00,5.668,6.611,7.116,6.763
05/04/11 17:00:00,6.051,6.077,7.015,6.889
05/04/11 18:00:00,4.454,5.847,6.889,6.940
05/04/11 19:00:00,0.742,4.818,6.687,6.914
05/04/11 20:00:00,2.209,4.740,6.306,6.839
05/04/11 21:00:00,1.913,4.246,6.051,6.712
05/04/11 22:00:00,0.495,4.115,5.847,6.611
05/04/11 23:00:00,0.660,3.854,5.642,6.484
05/05/11 00:00:00,0.687,3.906,5.411,6.331
05/05/11 01:00:00,-0.732,3.696,5.257,6.204
05/05/11 02:00:00,0.467,3.775,5.076,6.102
05/05/11 03:00:00,1.044,3.775,4.947,5.975
05/05/11 04:00:00,0.825,3.643,4.844,5.898
05/05/11 05:00:00,-1.015,3.036,4.740,5.796
05/05/11 06:00:00,-1.929,2.343,4.610,5.693
05/05/11 07:00:00,-2.334,2.021,4.376,5.591
05/05/11 08:00:00,-2.421,1.697,4.168,5.462
05/05/11 09:00:00,2.074,2.289,4.011,5.334
05/05/11 10:00:00,5.437,3.168,3.906,5.205
05/05/11 11:00:00,11.370,4.869,3.958,5.128
05/05/11 12:00:00,17.629,6.965,4.194,5.102
05/05/11 13:00:00,20.936,7.945,4.558,5.154
05/05/11 14:00:00,17.558,7.795,5.102,5.282
05/05/11 15:00:00,14.792,6.940,5.539,5.488
05/05/11 16:00:00,11.224,6.560,5.745,5.668
05/05/11 17:00:00,8.916,6.204,5.924,5.821
05/05/11 18:00:00,2.956,5.360,5.924,5.949
05/05/11 19:00:00,-1.299,3.696,5.616,5.975
05/05/11 20:00:00,-2.625,3.221,5.179,5.924
05/05/11 21:00:00,-2.479,2.903,4.792,5.770
05/05/11 22:00:00,-3.896,2.182,4.506,5.616
05/05/11 23:00:00,-5.079,1.371,4.220,5.462
05/06/11 00:00:00,-5.388,1.126,3.932,5.308
05/06/11 01:00:00,-5.979,0.825,3.696,5.154
05/06/11 02:00:00,-5.110,0.715,3.485,4.999
05/06/11 03:00:00,-5.110,0.660,3.301,4.844
05/06/11 04:00:00,-4.712,0.522,3.116,4.688
05/06/11 05:00:00,-4.318,0.495,2.956,4.558
05/06/11 06:00:00,-5.511,0.384,2.823,4.428
05/06/11 07:00:00,-6.010,0.329,2.717,4.324
05/06/11 08:00:00,-5.480,0.246,2.584,4.194
05/06/11 09:00:00,0.907,0.439,2.503,4.115
05/06/11 10:00:00,11.346,2.155,2.423,4.011
05/06/11 11:00:00,12.823,4.636,2.423,3.932
05/06/11 12:00:00,16.701,6.813,2.503,3.906
05/06/11 13:00:00,16.344,7.544,2.983,3.932
05/06/11 14:00:00,14.649,7.268,3.801,4.141
05/06/11 15:00:00,13.497,7.167,4.558,4.454
05/06/11 16:00:00,12.461,6.712,5.076,4.766
05/06/11 17:00:00,8.568,6.026,5.385,5.050
05/06/11 18:00:00,4.037,5.024,5.437,5.257
05/06/11 19:00:00,-0.423,3.380,5.154,5.360
05/06/11 20:00:00,-0.958,3.116,4.714,5.334
05/06/11 21:00:00,-2.479,2.450,4.350,5.205
05/06/11 22:00:00,-3.926,1.588,4.037,5.076
05/06/11 23:00:00,-4.773,1.180,3.749,4.921
05/07/11 00:00:00,-6.168,0.660,3.485,4.766
05/07/11 01:00:00,-6.357,0.384,3.248,4.610
05/07/11 02:00:00,-4.682,0.384,3.009,4.454
05/07/11 03:00:00,-4.318,0.356,2.850,4.324
05/07/11 04:00:00,-4.287,0.273,2.690,4.194
05/07/11 05:00:00,-1.498,0.384,2.557,4.063
05/07/11 06:00:00,-3.124,0.495,2.450,3.958
05/07/11 07:00:00,-3.094,0.495,2.370,3.854
05/07/11 08:00:00,-3.568,0.356,2.262,3.775
05/07/11 09:00:00,4.714,1.044,2.182,3.696
05/07/11 10:00:00,8.519,2.717,2.155,3.591
05/07/11 11:00:00,19.460,5.076,2.155,3.538
05/07/11 12:00:00,17.486,6.026,2.316,3.538
05/07/11 13:00:00,18.771,6.839,2.797,3.617
05/07/11 14:00:00,14.936,7.242,3.775,3.854
05/07/11 15:00:00,12.968,6.484,4.610,4.194
05/07/11 16:00:00,10.075,5.924,5.102,4.532
05/07/11 17:00:00,6.026,5.334,5.437,4.818
05/07/11 18:00:00,3.512,4.428,5.462,5.050
05/07/11 19:00:00,2.717,3.775,5.205,5.154
05/07/11 20:00:00,2.236,3.354,4.895,5.154
05/07/11 21:00:00,1.480,3.036,4.584,5.076
05/07/11 22:00:00,0.605,2.744,4.298,4.973
05/07/11 23:00:00,0.605,2.770,4.037,4.869
05/08/11 00:00:00,0.079,2.690,3.827,4.740
05/08/11 01:00:00,0.051,2.637,3.696,4.636
05/08/11 02:00:00,0.329,2.610,3.564,4.532
05/08/11 03:00:00,-0.451,2.450,3.459,4.454
05/08/11 04:00:00,-0.648,2.316,3.380,4.376
05/08/11 05:00:00,-1.727,2.182,3.301,4.298
05/08/11 06:00:00,-2.683,1.724,3.168,4.220
05/08/11 07:00:00,-1.641,1.805,3.036,4.141
05/08/11 08:00:00,-0.732,1.886,2.956,4.063
05/08/11 09:00:00,-0.451,1.913,2.956,4.011
05/08/11 10:00:00,0.989,2.209,2.983,3.958
05/08/11 11:00:00,2.823,2.690,3.142,3.932
05/08/11 12:00:00,12.437,5.179,3.459,3.985
05/08/11 13:00:00,15.796,6.484,3.827,4.063
05/08/11 14:00:00,10.271,5.949,4.298,4.246
05/08/11 15:00:00,10.467,5.847,4.662,4.454
05/08/11 16:00:00,7.845,5.437,4.947,4.636
05/08/11 17:00:00,5.334,4.688,5.128,4.792
05/08/11 18:00:00,3.722,4.376,5.102,4.921
05/08/11 19:00:00,2.557,4.011,5.024,4.999
05/08/11 20:00:00,0.852,3.433,4.895,5.024
05/08/11 21:00:00,1.615,3.195,4.662,4.999
05/08/11 22:00:00,1.643,3.274,4.506,4.921
05/08/11 23:00:00,0.439,2.797,4.350,4.869
05/09/11 00:00:00,-0.116,2.370,4.194,4.792
05/09/11 01:00:00,-1.043,1.994,4.037,4.714
05/09/11 02:00:00,-2.625,1.317,3.827,4.636
05/09/11 03:00:00,-2.276,1.153,3.591,4.532
05/09/11 04:00:00,-1.613,1.453,3.380,4.402
05/09/11 05:00:00,-2.160,1.235,3.221,4.272
05/09/11 06:00:00,-1.043,1.480,3.089,4.194
05/09/11 07:00:00,-0.930,1.561,2.983,4.089
05/09/11 08:00:00,-0.902,1.588,2.930,4.011
05/09/11 09:00:00,-0.479,1.643,2.877,3.932
05/09/11 10:00:00,0.577,1.886,2.850,3.880
05/09/11 11:00:00,1.153,2.236,2.877,3.854
05/09/11 12:00:00,3.459,3.459,2.983,3.827
05/09/11 13:00:00,3.749,3.459,3.248,3.827
05/09/11 14:00:00,3.827,4.037,3.538,3.906
05/09/11 15:00:00,4.089,3.932,3.827,4.011
05/09/11 16:00:00,4.869,3.485,3.958,4.115
05/09/11 17:00:00,2.128,3.301,4.037,4.194
05/09/11 18:00:00,0.550,2.877,3.932,4.246
05/09/11 19:00:00,-0.227,2.503,3.775,4.246
05/09/11 20:00:00,-0.591,2.289,3.591,4.220
05/09/11 21:00:00,-0.704,2.074,3.406,4.141
05/09/11 22:00:00,-0.620,2.074,3.274,4.063
05/09/11 23:00:00,-0.873,1.886,3.142,4.011
05/10/11 00:00:00,-0.958,1.832,3.036,3.932
05/10/11 01:00:00,-0.986,1.751,2.956,3.854
05/10/11 02:00:00,-1.015,1.832,2.877,3.801
05/10/11 03:00:00,-0.845,1.805,2.823,3.749
05/10/11 04:00:00,-1.699,1.670,2.797,3.696
05/10/11 05:00:00,-5.854,0.577,2.717,3.643
05/10/11 06:00:00,-7.284,0.051,2.584,3.617
05/10/11 07:00:00,-8.000,-0.227,2.450,3.538
05/10/11 08:00:00,-7.543,-0.339,2.343,3.459
05/10/11 09:00:00,-1.299,-0.227,2.209,3.406
05/10/11 10:00:00,8.394,-0.004,2.101,3.301
05/10/11 11:00:00,12.558,2.316,2.047,3.221
05/10/11 12:00:00,12.461,5.179,2.074,3.168
05/10/11 13:00:00,18.652,6.382,2.209,3.168
05/10/11 14:00:00,14.888,6.458,2.717,3.248
05/10/11 15:00:00,14.984,5.975,3.406,3.433
05/10/11 16:00:00,11.686,5.360,3.958,3.722
05/10/11 17:00:00,5.385,4.636,4.272,3.958
05/10/11 18:00:00,0.852,3.512,4.298,4.168
05/10/11 19:00:00,-0.789,2.690,4.115,4.246
05/10/11 20:00:00,-1.670,2.209,3.801,4.246
05/10/11 21:00:00,-2.189,1.778,3.538,4.168
05/10/11 22:00:00,-2.508,1.534,3.301,4.089
05/10/11 23:00:00,-2.044,1.453,3.116,3.985
05/11/11 00:00:00,-2.189,1.317,2.983,3.880
05/11/11 01:00:00,-2.218,1.208,2.877,3.801
05/11/11 02:00:00,-1.900,1.071,2.797,3.722
05/11/11 03:00:00,-2.015,1.044,2.717,3.670
05/11/11 04:00:00,-2.073,1.126,2.664,3.617
05/11/11 05:00:00,-2.218,1.126,2.664,3.564
05/11/11 06:00:00,-2.363,1.180,2.637,3.512
05/11/11 07:00:00,-2.947,1.180,2.637,3.485
05/11/11 08:00:00,-3.271,1.126,2.637,3.459
05/11/11 09:00:00,-3.986,0.907,2.610,3.433
05/11/11 10:00:00,-2.771,0.852,2.557,3.406
05/11/11 11:00:00,-1.871,0.880,2.503,3.380
05/11/11 12:00:00,-1.441,0.989,2.477,3.354
05/11/11 13:00:00,-0.958,1.153,2.477,3.327
05/11/11 14:00:00,-0.311,1.262,2.477,3.301
05/11/11 15:00:00,-0.789,1.317,2.477,3.301
05/11/11 16:00:00,-1.327,1.235,2.503,3.274
05/11/11 17:00:00,-2.742,1.044,2.530,3.301
05/11/11 18:00:00,-3.065,0.880,2.530,3.301
05/11/11 19:00:00,-4.408,0.550,2.477,3.301
05/11/11 20:00:00,-4.834,0.439,2.423,3.274
05/11/11 21:00:00,-5.357,0.356,2.370,3.221
05/11/11 22:00:00,-4.378,0.301,2.316,3.195
05/11/11 23:00:00,-5.854,0.246,2.262,3.168
05/12/11 00:00:00,-6.168,0.051,2.209,3.116
05/12/11 01:00:00,-6.262,-0.060,2.128,3.063
05/12/11 02:00:00,-6.168,-0.199,2.047,3.009
05/12/11 03:00:00,-5.760,-0.339,1.967,2.956
05/12/11 04:00:00,-6.136,-0.423,1.886,2.903
05/12/11 05:00:00,-5.948,-0.563,1.805,2.850
05/12/11 06:00:00,-5.916,-0.620,1.724,2.797
05/12/11 07:00:00,-5.449,-0.648,1.670,2.744
05/12/11 08:00:00,-5.823,-0.591,1.615,2.690
05/12/11 09:00:00,-5.202,-0.507,1.561,2.637
05/12/11 10:00:00,-2.537,-0.395,1.534,2.610
05/12/11 11:00:00,-0.507,-0.367,1.507,2.557
05/12/11 12:00:00,0.163,-0.255,1.507,2.530
05/12/11 13:00:00,0.273,-0.199,1.480,2.503
05/12/11 14:00:00,1.153,-0.171,1.480,2.477
05/12/11 15:00:00,1.425,-0.116,1.507,2.477
05/12/11 16:00:00,1.262,0.024,1.507,2.477
05/12/11 17:00:00,0.329,0.384,1.534,2.477
05/12/11 18:00:00,0.135,0.605,1.588,2.503
05/12/11 19:00:00,0.135,0.742,1.643,2.530
05/12/11 20:00:00,0.329,0.880,1.697,2.584
05/12/11 21:00:00,0.384,1.017,1.751,2.584
05/12/11 22:00:00,0.384,1.126,1.805,2.637
05/12/11 23:00:00,0.495,1.235,1.859,2.637
05/13/11 00:00:00,0.439,1.317,1.913,2.664
05/13/11 01:00:00,0.384,1.344,1.940,2.690
05/13/11 02:00:00,0.550,1.425,1.994,2.717
05/13/11 03:00:00,0.384,1.453,2.047,2.744
05/13/11 04:00:00,0.329,1.425,2.101,2.770
05/13/11 05:00:00,0.329,1.480,2.128,2.797
05/13/11 06:00:00,-0.060,1.453,2.182,2.797
05/13/11 07:00:00,-0.171,1.480,2.209,2.823
05/13/11 08:00:00,0.273,1.534,2.236,2.823
05/13/11 09:00:00,0.246,1.643,2.289,2.850
05/13/11 10:00:00,0.660,1.832,2.343,2.877
05/13/11 11:00:00,3.406,2.503,2.423,2.903
05/13/11 12:00:00,2.610,2.717,2.610,2.956
05/13/11 13:00:00,2.797,3.036,2.823,3.036
05/13/11 14:00:00,3.827,3.089,3.089,3.168
05/13/11 15:00:00,3.063,3.116,3.380,3.301
05/13/11 16:00:00,1.967,2.983,3.591,3.433
05/13/11 17:00:00,1.344,2.664,3.670,3.564
05/13/11 18:00:00,0.687,2.316,3.617,3.617
05/13/11 19:00:00,0.467,2.021,3.485,3.643
05/13/11 20:00:00,0.246,1.832,3.301,3.617
05/13/11 21:00:00,0.135,1.724,3.168,3.564
05/13/11 22:00:00,-1.441,1.480,3.036,3.512
05/13/11 23:00:00,-1.727,0.989,2.877,3.459
05/14/11 00:00:00,-2.742,0.770,2.744,3.380
