"Date Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
04/27/11 14:00:00,15.318,11.078,9.287,6.889
04/27/11 15:00:00,15.199,12.703,9.435,7.293
04/27/11 16:00:00,14.529,13.088,9.188,7.519
04/27/11 17:00:00,9.879,11.516,8.817,7.670
04/27/11 18:00:00,7.645,9.262,8.419,7.670
04/27/11 19:00:00,7.041,8.543,8.070,7.569
04/27/11 20:00:00,6.382,7.995,7.795,7.494
04/27/11 21:00:00,5.847,7.569,7.594,7.419
04/27/11 22:00:00,5.514,7.242,7.393,7.343
04/27/11 23:00:00,5.231,6.940,7.217,7.242
04/28/11 00:00:00,5.102,6.737,7.041,7.167
04/28/11 01:00:00,4.844,6.535,6.914,7.091
04/28/11 02:00:00,4.818,6.484,6.813,7.015
04/28/11 03:00:00,4.610,6.408,6.763,6.965
04/28/11 04:00:00,4.220,6.281,6.687,6.914
04/28/11 05:00:00,0.329,5.231,6.484,6.839
04/28/11 06:00:00,1.235,4.532,6.026,6.712
04/28/11 07:00:00,0.246,4.089,5.693,6.509
04/28/11 08:00:00,-1.213,3.749,5.437,6.306
04/28/11 09:00:00,5.205,3.827,5.257,6.128
04/28/11 10:00:00,11.053,4.662,5.770,6.077
04/28/11 11:00:00,13.858,5.872,7.041,6.255
04/28/11 12:00:00,16.201,7.544,8.916,6.788
04/28/11 13:00:00,16.082,9.657,10.590,7.494
04/28/11 14:00:00,19.508,12.992,11.467,8.145
04/28/11 15:00:00,16.749,13.016,11.102,8.568
04/28/11 16:00:00,15.533,13.810,10.492,8.668
04/28/11 17:00:00,9.977,12.268,9.928,8.693
04/28/11 18:00:00,6.026,9.657,9.312,8.593
04/28/11 19:00:00,4.089,7.995,8.618,8.369
04/28/11 20:00:00,2.396,6.839,7.945,8.120
04/28/11 21:00:00,5.076,6.940,7.619,7.870
04/28/11 22:00:00,2.155,6.306,7.419,7.695
04/28/11 23:00:00,-1.641,5.308,6.965,7.519
04/29/11 00:00:00,-2.947,4.584,6.458,7.268
04/29/11 01:00:00,-3.390,4.011,5.949,6.990
04/29/11 02:00:00,-3.986,3.485,5.514,6.712
04/29/11 03:00:00,-2.392,3.327,5.179,6.433
04/29/11 04:00:00,-4.469,2.877,4.921,6.179
04/29/11 05:00:00,-5.823,2.450,4.610,5.975
04/29/11 06:00:00,-5.698,2.182,4.298,5.745
04/29/11 07:00:00,-5.979,1.994,4.037,5.514
04/29/11 08:00:00,-4.743,1.832,3.801,5.308
04/29/11 09:00:00,2.823,1.859,3.670,5.154
04/29/11 10:00:00,9.829,2.503,4.168,5.050
04/29/11 11:00:00,13.305,4.141,5.488,5.231
