"Date Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
04/27/11 16:00:00,13.305,9.040,6.230,6.102
04/27/11 17:00:00,10.492,8.245,6.357,6.204
04/27/11 18:00:00,7.569,7.795,6.433,6.281
04/27/11 19:00:00,7.066,7.519,6.484,6.357
04/27/11 20:00:00,6.433,7.318,6.484,6.408
04/27/11 21:00:00,6.026,7.142,6.509,6.458
04/27/11 22:00:00,5.565,6.990,6.509,6.484
04/27/11 23:00:00,5.050,6.763,6.509,6.509
04/28/11 00:00:00,5.102,6.712,6.484,6.535
04/28/11 01:00:00,4.973,6.560,6.484,6.535
04/28/11 02:00:00,5.076,6.535,6.484,6.560
04/28/11 03:00:00,4.063,6.281,6.458,6.560
04/28/11 04:00:00,2.797,5.924,6.458,6.560
04/28/11 05:00:00,-0.060,5.231,6.408,6.560
04/28/11 06:00:00,-2.800,4.298,6.331,6.535
04/28/11 07:00:00,-2.537,4.115,6.204,6.509
04/28/11 08:00:00,-1.958,4.063,6.077,6.433
04/28/11 09:00:00,4.584,4.246,5.949,6.357
04/28/11 10:00:00,12.509,5.411,5.924,6.306
04/28/11 11:00:00,17.153,6.636,5.975,6.255
04/28/11 12:00:00,20.150,7.770,6.102,6.255
04/28/11 13:00:00,22.130,8.742,6.306,6.306
04/28/11 14:00:00,21.294,9.558,6.560,6.408
04/28/11 15:00:00,18.200,9.657,6.788,6.509
04/28/11 16:00:00,14.385,9.336,6.940,6.636
04/28/11 17:00:00,10.541,8.693,7.041,6.737
04/28/11 18:00:00,3.512,7.318,7.066,6.839
04/28/11 19:00:00,-0.817,5.975,7.015,6.889
04/28/11 20:00:00,1.453,6.051,6.864,6.889
04/28/11 21:00:00,4.324,6.433,6.737,6.864
04/28/11 22:00:00,0.329,5.539,6.687,6.839
04/28/11 23:00:00,0.412,5.282,6.585,6.788
04/29/11 00:00:00,2.396,5.360,6.484,6.763
04/29/11 01:00:00,2.877,5.437,6.408,6.712
04/29/11 02:00:00,3.142,5.385,6.357,6.661
04/29/11 03:00:00,2.503,5.257,6.331,6.636
04/29/11 04:00:00,2.074,5.050,6.281,6.585
04/29/11 05:00:00,-1.299,4.402,6.230,6.560
04/29/11 06:00:00,-2.800,3.696,6.102,6.509
04/29/11 07:00:00,-3.657,3.564,5.975,6.408
04/29/11 08:00:00,-2.363,3.591,5.847,6.331
04/29/11 09:00:00,3.696,3.827,5.745,6.255
04/29/11 10:00:00,11.127,5.154,5.719,6.179
04/29/11 11:00:00,15.581,6.484,5.821,6.153
04/29/11 12:00:00,19.912,7.569,6.000,6.153
04/29/11 13:00:00,21.915,8.643,6.230,6.204
04/29/11 14:00:00,20.650,9.435,6.484,6.306
04/29/11 15:00:00,19.460,10.051,6.712,6.433
04/29/11 16:00:00,15.915,10.222,6.914,6.560
04/29/11 17:00:00,8.941,9.064,7.116,6.687
04/29/11 18:00:00,7.242,8.295,7.192,6.813
04/29/11 19:00:00,6.712,8.045,7.192,6.889
04/29/11 20:00:00,6.128,7.720,7.192,6.965
04/29/11 21:00:00,5.154,7.469,7.167,7.015
04/29/11 22:00:00,1.071,6.306,7.142,7.041
04/29/11 23:00:00,-0.958,5.488,7.015,7.041
04/30/11 00:00:00,-3.747,4.506,6.889,7.015
04/30/11 01:00:00,0.135,4.792,6.687,6.940
04/30/11 02:00:00,0.218,4.844,6.535,6.864
04/30/11 03:00:00,-0.311,4.740,6.433,6.788
04/30/11 04:00:00,0.190,4.714,6.331,6.712
04/30/11 05:00:00,-3.598,3.880,6.255,6.636
