"Date Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
04/27/11 17:08:59,8.593,7.343,7.645,7.444
04/27/11 18:08:59,7.544,7.242,7.544,7.494
04/27/11 19:08:59,7.015,7.015,7.419,7.519
04/27/11 20:08:59,6.585,6.864,7.318,7.494
04/27/11 21:08:59,6.230,6.788,7.217,7.469
04/27/11 22:08:59,5.872,6.687,7.142,7.444
04/27/11 23:08:59,5.539,6.585,7.041,7.393
04/28/11 00:08:59,5.462,6.535,6.965,7.368
04/28/11 01:08:59,5.205,6.458,6.889,7.318
04/28/11 02:08:59,5.205,6.382,6.813,7.268
04/28/11 03:08:59,3.775,6.102,6.737,7.242
04/28/11 04:08:59,3.063,5.616,6.636,7.192
04/28/11 05:08:59,1.344,5.076,6.433,7.116
04/28/11 06:08:59,0.660,4.766,6.204,7.015
04/28/11 07:08:59,1.153,4.480,6.000,6.889
04/28/11 08:08:59,3.485,4.376,5.821,6.788
04/28/11 09:08:59,9.854,5.154,5.745,6.687
04/28/11 10:08:59,13.329,6.839,5.872,6.611
04/28/11 11:08:59,13.714,8.170,6.255,6.661
04/28/11 12:08:59,13.978,8.170,6.788,6.813
04/28/11 13:08:59,11.953,7.995,7.268,7.015
04/28/11 14:08:59,13.954,8.444,7.645,7.268
04/28/11 15:08:59,11.977,8.593,7.895,7.469
04/28/11 16:08:59,10.736,8.444,8.095,7.645
04/28/11 17:08:59,9.262,8.319,8.095,7.795
04/28/11 18:08:59,6.026,7.594,7.945,7.845
04/28/11 19:08:59,4.115,6.433,7.619,7.820
04/28/11 20:08:59,4.844,5.796,7.268,7.695
04/28/11 21:08:59,4.869,5.847,7.041,7.594
04/28/11 22:08:59,2.503,5.642,6.864,7.494
04/28/11 23:08:59,1.697,5.462,6.636,7.368
04/29/11 00:08:59,2.316,5.514,6.382,7.242
04/29/11 01:08:59,2.664,5.539,6.204,7.116
04/29/11 02:08:59,3.195,5.128,6.051,6.990
04/29/11 03:08:59,3.906,4.895,5.924,6.889
04/29/11 04:08:59,2.557,4.558,5.821,6.788
04/29/11 05:08:59,0.852,4.610,5.719,6.712
04/29/11 06:08:59,0.660,4.194,5.616,6.636
04/29/11 07:08:59,0.742,4.480,5.514,6.560
04/29/11 08:08:59,3.248,4.246,5.437,6.458
04/29/11 09:08:59,7.494,4.480,5.360,6.382
04/29/11 10:08:59,10.492,5.949,5.488,6.357
04/29/11 11:08:59,11.467,7.041,5.872,6.382
04/29/11 12:08:59,13.281,7.870,6.433,6.535
04/29/11 13:08:59,14.146,8.419,6.990,6.788
04/29/11 14:08:59,13.834,9.139,7.494,7.041
04/29/11 15:08:59,13.906,9.879,7.820,7.318
04/29/11 16:08:59,13.377,10.149,8.070,7.544
04/29/11 17:08:59,9.460,8.344,8.095,7.695
04/29/11 18:08:59,7.995,7.670,7.995,7.795
04/29/11 19:08:59,6.763,7.167,7.845,7.820
04/29/11 20:08:59,5.975,6.914,7.720,7.795
04/29/11 21:08:59,4.480,6.484,7.569,7.770
04/29/11 22:08:59,2.503,5.308,7.368,7.720
04/29/11 23:08:59,1.453,5.821,7.066,7.619
04/30/11 00:08:59,-0.060,5.076,6.737,7.494
04/30/11 01:08:59,1.670,4.298,6.458,7.318
04/30/11 02:08:59,0.687,4.168,6.230,7.167
04/30/11 03:08:59,0.962,3.722,6.000,7.015
04/30/11 04:08:59,0.439,3.827,5.821,6.889
04/30/11 05:08:59,-1.727,4.011,5.642,6.763
04/30/11 06:08:59,-1.498,3.827,5.437,6.636
04/30/11 07:08:59,-0.648,2.717,5.282,6.484
04/30/11 08:08:59,-0.732,3.749,5.154,6.357
04/30/11 09:08:59,6.331,4.115,5.076,6.255
04/30/11 10:08:59,8.593,5.462,5.154,6.179
04/30/11 11:08:59,13.329,6.965,5.539,6.204
04/30/11 12:08:59,12.678,7.695,6.102,6.331
04/30/11 13:08:59,12.534,7.970,6.661,6.585
04/30/11 14:08:59,11.710,8.245,7.041,6.839
04/30/11 15:08:59,11.540,8.319,7.343,7.066
04/30/11 16:08:59,11.394,8.568,7.519,7.242
04/30/11 17:08:59,8.693,7.695,7.544,7.368
04/30/11 18:08:59,3.643,6.484,7.393,7.444
04/30/11 19:08:59,1.180,5.719,7.041,7.419
04/30/11 20:08:59,0.356,5.231,6.661,7.293
04/30/11 21:08:59,2.370,4.792,6.331,7.142
04/30/11 22:08:59,2.717,5.205,6.102,6.990
04/30/11 23:08:59,2.503,5.360,5.924,6.864
05/01/11 00:08:59,3.854,5.205,5.796,6.763
05/01/11 01:08:59,5.949,5.872,5.745,6.661
05/01/11 02:08:59,6.051,6.128,5.796,6.611
05/01/11 03:08:59,6.763,6.458,5.872,6.585
05/01/11 04:08:59,6.965,6.636,5.975,6.611
05/01/11 05:08:59,6.737,6.585,6.077,6.636
05/01/11 06:08:59,6.535,6.509,6.153,6.687
05/01/11 07:08:59,6.382,6.408,6.230,6.712
05/01/11 08:08:59,6.535,6.458,6.281,6.737
05/01/11 09:08:59,6.940,6.636,6.331,6.788
05/01/11 10:08:59,7.670,6.813,6.433,6.813
05/01/11 11:08:59,8.593,7.192,6.585,6.864
05/01/11 12:08:59,9.682,7.695,6.813,6.940
05/01/11 13:08:59,10.345,7.745,7.142,7.066
05/01/11 14:08:59,11.734,8.145,7.419,7.242
05/01/11 15:08:59,11.832,8.070,7.720,7.393
05/01/11 16:08:59,11.127,8.070,7.945,7.569
05/01/11 17:08:59,8.717,7.645,8.020,7.720
05/01/11 18:08:59,7.217,7.242,7.945,7.795
05/01/11 19:08:59,5.488,6.484,7.795,7.820
05/01/11 20:08:59,4.610,6.128,7.594,7.795
05/01/11 21:08:59,5.231,6.357,7.419,7.720
05/01/11 22:08:59,5.128,6.357,7.293,7.670
05/01/11 23:08:59,4.818,6.281,7.167,7.594
05/02/11 00:08:59,4.999,6.255,7.066,7.544
05/02/11 01:08:59,4.662,6.179,6.990,7.469
05/02/11 02:08:59,4.999,5.949,6.914,7.419
05/02/11 03:08:59,4.688,5.872,6.889,7.393
05/02/11 04:08:59,4.376,5.231,6.839,7.343
05/02/11 05:08:59,4.454,5.024,6.763,7.293
05/02/11 06:08:59,4.688,4.947,6.687,7.268
05/02/11 07:08:59,4.089,5.231,6.611,7.217
05/02/11 08:08:59,3.696,5.411,6.560,7.167
05/02/11 09:08:59,5.616,5.693,6.535,7.116
05/02/11 10:08:59,9.928,6.560,6.636,7.116
05/02/11 11:08:59,13.209,7.343,6.889,7.142
05/02/11 12:08:59,11.832,7.645,7.318,7.268
05/02/11 13:08:59,13.954,8.245,7.670,7.444
05/02/11 14:08:59,10.712,7.569,8.070,7.645
05/02/11 15:08:59,8.693,7.217,8.145,7.820
05/02/11 16:08:59,6.458,6.535,8.095,7.920
05/02/11 17:08:59,7.820,6.889,8.020,7.945
05/02/11 18:08:59,7.116,7.041,7.945,7.970
05/02/11 19:08:59,6.484,6.914,7.795,7.945
05/02/11 20:08:59,6.000,6.864,7.645,7.895
05/02/11 21:08:59,5.693,6.839,7.519,7.845
05/02/11 22:08:59,5.591,6.788,7.419,7.795
05/02/11 23:08:59,4.869,6.712,7.318,7.745
05/03/11 00:08:59,3.958,6.509,7.217,7.670
05/03/11 01:08:59,4.272,6.433,7.091,7.619
05/03/11 02:08:59,4.298,6.408,7.015,7.544
05/03/11 03:08:59,4.376,6.382,6.965,7.494
05/03/11 04:08:59,4.428,6.357,6.889,7.444
05/03/11 05:08:59,4.011,6.281,6.839,7.393
05/03/11 06:08:59,4.063,6.230,6.763,7.368
05/03/11 07:08:59,4.298,6.255,6.712,7.318
05/03/11 08:08:59,4.506,6.255,6.687,7.268
05/03/11 09:08:59,5.308,6.357,6.661,7.242
05/03/11 10:08:59,5.745,6.535,6.737,7.217
05/03/11 11:08:59,8.245,6.889,6.839,7.242
05/03/11 12:08:59,9.435,7.494,7.142,7.293
05/03/11 13:08:59,10.051,8.045,7.519,7.419
05/03/11 14:08:59,11.224,8.344,7.820,7.594
05/03/11 15:08:59,9.706,8.419,8.070,7.770
05/03/11 16:08:59,9.089,8.170,8.120,7.895
05/03/11 17:08:59,7.368,8.045,8.145,7.970
05/03/11 18:08:59,6.458,7.770,8.045,8.020
05/03/11 19:08:59,5.668,7.343,7.895,8.020
05/03/11 20:08:59,4.740,7.041,7.720,7.970
05/03/11 21:08:59,4.376,6.661,7.519,7.895
05/03/11 22:08:59,2.930,6.382,7.368,7.820
05/03/11 23:08:59,3.406,6.179,7.192,7.720
05/04/11 00:08:59,3.168,6.102,7.041,7.645
05/04/11 01:08:59,0.989,5.179,6.864,7.544
05/04/11 02:08:59,-0.732,4.194,6.661,7.444
05/04/11 03:08:59,-1.185,3.274,6.458,7.318
05/04/11 04:08:59,-0.143,3.036,6.255,7.192
05/04/11 05:08:59,0.163,3.063,6.102,7.066
05/04/11 06:08:59,1.017,3.591,5.975,6.940
05/04/11 07:08:59,1.235,3.722,5.872,6.839
05/04/11 08:08:59,0.632,3.880,5.770,6.763
05/04/11 09:08:59,5.102,4.298,5.693,6.661
05/04/11 10:08:59,6.788,4.844,5.693,6.611
05/04/11 11:08:59,9.682,6.281,5.924,6.585
05/04/11 12:08:59,9.485,6.408,6.331,6.687
05/04/11 13:08:59,11.686,7.142,6.687,6.839
05/04/11 14:08:59,11.662,7.419,6.990,6.990
05/04/11 15:08:59,10.443,7.015,7.242,7.167
05/04/11 16:08:59,6.382,6.509,7.318,7.293
05/04/11 17:08:59,6.763,6.433,7.116,7.343
05/04/11 18:08:59,4.532,5.745,6.965,7.318
05/04/11 19:08:59,2.343,5.360,6.788,7.268
05/04/11 20:08:59,1.017,5.257,6.560,7.192
05/04/11 21:08:59,2.557,4.662,6.357,7.116
05/04/11 22:08:59,1.643,4.506,6.153,6.990
05/04/11 23:08:59,2.155,4.740,5.949,6.864
05/05/11 00:08:59,0.989,4.792,5.796,6.763
05/05/11 01:08:59,0.135,4.532,5.693,6.661
05/05/11 02:08:59,1.534,4.636,5.565,6.560
05/05/11 03:08:59,1.561,4.714,5.488,6.484
05/05/11 04:08:59,1.670,4.766,5.437,6.408
