"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
10-05-2012,14:59:55,11.443,7.192,5.924,5.872
10-05-2012,15:59:55,9.040,7.091,6.128,6.000
10-05-2012,16:59:55,6.687,6.560,6.281,6.128
10-05-2012,17:59:55,5.385,6.051,6.357,6.230
10-05-2012,18:59:55,4.999,5.821,6.357,6.306
10-05-2012,19:59:55,5.024,5.668,6.281,6.331
10-05-2012,20:59:55,5.616,5.693,6.204,6.331
10-05-2012,21:59:55,5.847,5.821,6.153,6.306
10-05-2012,22:59:55,5.642,5.770,6.102,6.281
10-05-2012,23:59:55,5.411,5.668,6.051,6.255
11-05-2012,00:59:55,4.844,5.539,6.026,6.230
11-05-2012,01:59:55,4.869,5.385,6.000,6.230
11-05-2012,02:59:55,4.792,5.282,5.949,6.204
11-05-2012,03:59:55,4.688,5.231,5.898,6.179
11-05-2012,04:59:55,4.506,5.154,5.847,6.153
11-05-2012,05:59:55,4.714,5.102,5.796,6.128
11-05-2012,06:59:55,4.324,5.076,5.745,6.102
11-05-2012,07:59:55,3.827,4.844,5.693,6.077
11-05-2012,08:59:55,4.037,4.792,5.668,6.026
11-05-2012,09:59:55,5.050,5.050,5.616,6.000
11-05-2012,10:59:55,5.488,5.205,5.591,5.975
11-05-2012,11:59:55,6.179,5.411,5.616,5.975
11-05-2012,12:59:55,5.668,5.539,5.693,5.975
11-05-2012,13:59:55,5.257,5.591,5.770,6.000
11-05-2012,14:59:55,5.360,5.514,5.872,6.026
11-05-2012,15:59:55,6.788,5.488,5.949,6.077
11-05-2012,16:59:55,4.115,5.050,6.000,6.128
11-05-2012,17:59:55,2.610,4.584,6.026,6.179
11-05-2012,18:59:55,0.825,4.194,5.949,6.179
11-05-2012,19:59:55,-0.143,3.827,5.847,6.153
11-05-2012,20:59:55,-0.479,3.564,5.693,6.102
11-05-2012,21:59:55,-0.395,3.354,5.488,6.026
11-05-2012,22:59:55,-0.451,3.195,5.334,5.924
11-05-2012,23:59:55,-0.339,3.063,5.179,5.821
12-05-2012,00:59:55,-1.785,2.690,5.050,5.719
12-05-2012,01:59:55,-2.015,2.343,4.895,5.642
12-05-2012,02:59:55,-2.044,2.128,4.740,5.539
12-05-2012,03:59:55,-2.044,1.913,4.584,5.437
12-05-2012,04:59:55,-1.699,1.832,4.454,5.308
12-05-2012,05:59:55,-2.189,1.805,4.298,5.205
12-05-2012,06:59:55,-2.479,1.751,4.168,5.102
12-05-2012,07:59:55,-4.957,1.425,4.063,4.999
12-05-2012,08:59:55,-0.902,1.615,3.932,4.895
12-05-2012,09:59:55,1.588,2.236,3.827,4.818
12-05-2012,10:59:55,3.168,2.903,3.722,4.740
12-05-2012,11:59:55,4.999,3.512,3.696,4.662
12-05-2012,12:59:55,7.368,4.402,3.775,4.610
12-05-2012,13:59:55,7.343,4.636,3.958,4.636
12-05-2012,14:59:55,8.841,4.973,4.220,4.714
12-05-2012,15:59:55,5.616,4.610,4.480,4.818
12-05-2012,16:59:55,0.660,3.564,4.636,4.947
12-05-2012,17:59:55,-0.902,2.744,4.688,5.024
12-05-2012,18:59:55,-0.676,2.477,4.636,5.050
12-05-2012,19:59:55,-0.845,2.289,4.532,5.050
12-05-2012,20:59:55,-1.242,1.913,4.402,4.999
12-05-2012,21:59:55,-1.128,1.724,4.272,4.947
12-05-2012,22:59:55,-0.817,1.751,4.141,4.895
12-05-2012,23:59:55,-1.128,1.670,4.011,4.818
13-05-2012,00:59:55,-1.128,1.724,3.932,4.740
13-05-2012,01:59:55,-0.958,1.751,3.827,4.662
13-05-2012,02:59:55,-1.100,1.724,3.775,4.610
13-05-2012,03:59:55,-0.817,1.751,3.722,4.532
13-05-2012,04:59:55,-0.873,1.778,3.696,4.506
13-05-2012,05:59:55,-0.789,1.832,3.643,4.454
13-05-2012,06:59:55,-0.088,1.940,3.617,4.428
13-05-2012,07:59:55,0.329,1.994,3.591,4.376
