"Date","Time, GMT+10:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C","Host Connected","End Of File"
10-05-2012,13:14:47,12.243,7.343,5.385,5.488,,
10-05-2012,14:14:47,13.185,7.670,5.565,5.539,,
10-05-2012,15:14:47,9.903,7.268,5.719,5.642,,
10-05-2012,16:14:47,6.990,6.484,5.796,5.719,,
10-05-2012,17:14:47,5.642,5.821,5.821,5.796,,
10-05-2012,18:14:47,5.334,5.539,5.770,5.821,,
10-05-2012,19:14:47,5.231,5.411,5.719,5.821,,
10-05-2012,20:14:47,5.693,5.514,5.693,5.821,,
10-05-2012,21:14:47,5.796,5.616,5.668,5.821,,
10-05-2012,22:14:47,5.642,5.488,5.668,5.796,,
10-05-2012,23:14:47,5.488,5.385,5.668,5.796,,
11-05-2012,00:14:47,5.128,5.154,5.668,5.821,,
11-05-2012,01:14:47,4.844,5.024,5.642,5.821,,
11-05-2012,02:14:47,4.947,4.947,5.616,5.796,,
11-05-2012,03:14:47,4.792,4.895,5.591,5.796,,
11-05-2012,04:14:47,4.740,4.818,5.565,5.770,,
11-05-2012,05:14:47,4.766,4.844,5.514,5.770,,
11-05-2012,06:14:47,4.324,4.740,5.514,5.745,,
11-05-2012,07:14:47,4.063,4.532,5.488,5.719,,
11-05-2012,08:14:47,4.272,4.506,5.462,5.719,,
11-05-2012,09:14:47,4.766,4.688,5.437,5.693,,
11-05-2012,10:14:47,5.539,4.921,5.437,5.693,,
11-05-2012,11:14:47,5.616,4.999,5.462,5.668,,
11-05-2012,12:14:47,5.745,5.205,5.488,5.693,,
11-05-2012,13:14:47,4.766,5.128,5.539,5.693,,
11-05-2012,14:14:47,7.066,5.591,5.591,5.719,,
11-05-2012,15:14:47,6.813,5.334,5.642,5.745,,
11-05-2012,16:14:47,4.011,4.584,5.642,5.770,,
11-05-2012,17:14:47,2.503,4.115,5.565,5.770,,
11-05-2012,18:14:47,0.412,3.459,5.488,5.770,,
11-05-2012,19:14:47,-0.060,2.983,5.385,5.719,,
11-05-2012,20:14:47,-0.423,2.877,5.257,5.668,,
11-05-2012,21:14:47,-0.171,2.770,5.128,5.591,,
11-05-2012,22:14:47,-0.423,2.610,5.024,5.514,,
11-05-2012,23:14:47,-0.930,2.396,4.921,5.462,,
12-05-2012,00:14:47,-1.986,1.967,4.844,5.385,,
12-05-2012,01:14:47,-2.073,1.724,4.740,5.308,,
12-05-2012,02:14:47,-2.363,1.507,4.636,5.257,,
12-05-2012,03:14:47,-2.479,1.317,4.532,5.179,,
12-05-2012,04:14:47,-2.363,1.398,4.428,5.102,,
12-05-2012,05:14:47,-2.596,1.289,4.350,5.024,,
12-05-2012,06:14:47,-2.479,1.153,4.272,4.947,,
12-05-2012,07:14:47,-2.859,0.852,4.194,4.895,,
12-05-2012,08:14:47,-2.247,1.071,4.089,4.818,,
12-05-2012,09:14:47,-1.157,1.561,3.985,4.740,,
12-05-2012,10:14:47,-0.367,1.778,3.880,4.662,,
12-05-2012,11:14:47,4.506,2.930,3.827,4.610,,
12-05-2012,12:14:47,6.153,4.063,3.775,4.532,,
12-05-2012,13:14:47,9.361,4.688,3.749,4.506,,
12-05-2012,14:14:47,9.534,5.102,3.854,4.480,,
12-05-2012,15:14:47,4.506,4.168,3.958,4.506,,
12-05-2012,16:14:47,0.467,2.877,4.063,4.532,,
12-05-2012,17:14:47,-0.873,2.074,4.063,4.584,,
12-05-2012,18:14:47,-0.958,1.805,4.011,4.584,,
12-05-2012,19:14:47,-1.185,1.615,3.985,4.558,,
12-05-2012,20:14:47,-1.157,1.071,3.906,4.532,,
12-05-2012,21:14:47,-1.043,1.099,3.854,4.480,,
12-05-2012,22:14:47,-0.873,1.208,3.775,4.454,,
12-05-2012,23:14:47,-0.986,1.235,3.722,4.402,,
13-05-2012,00:14:47,-0.873,1.317,3.670,4.376,,
13-05-2012,01:14:47,-0.986,1.344,3.643,4.324,,
13-05-2012,02:14:47,-0.958,1.344,3.617,4.298,,
13-05-2012,03:14:47,-0.760,1.371,3.591,4.246,,
13-05-2012,04:14:47,-0.591,1.398,3.564,4.220,,
13-05-2012,05:14:47,-0.423,1.480,3.564,4.220,,
13-05-2012,06:14:47,-0.311,1.507,3.564,4.194,,
13-05-2012,07:14:47,-0.199,1.561,3.564,4.168,,
13-05-2012,08:14:47,-0.088,1.643,3.538,4.168,,
13-05-2012,09:14:47,0.246,1.724,3.538,4.141,,
13-05-2012,10:14:47,0.218,1.778,3.512,4.115,,
13-05-2012,11:14:47,0.356,1.859,3.485,4.115,,
13-05-2012,12:14:47,0.467,1.940,3.485,4.089,,
13-05-2012,13:14:47,0.715,2.074,3.459,4.089,,
13-05-2012,14:14:47,1.724,2.503,3.406,4.063,,
13-05-2012,15:14:47,0.384,2.557,3.380,4.037,,
13-05-2012,16:14:47,0.495,2.450,3.354,4.011,,
13-05-2012,17:14:47,-1.100,2.047,3.354,4.011,,
13-05-2012,18:14:47,-0.873,1.832,3.354,3.985,,
13-05-2012,19:14:47,-1.100,1.697,3.327,3.985,,
13-05-2012,20:14:47,-1.727,1.561,3.301,3.958,,
13-05-2012,21:14:47,-2.015,1.453,3.274,3.932,,
13-05-2012,22:14:47,-2.479,1.289,3.248,3.906,,
13-05-2012,23:14:47,-2.742,1.153,3.195,3.906,,
14-05-2012,00:14:47,-3.035,1.044,3.168,3.854,,
14-05-2012,01:14:47,-2.392,1.044,3.089,3.827,,
14-05-2012,02:14:47,-2.334,1.044,3.063,3.801,,
14-05-2012,03:14:47,-3.035,0.962,3.009,3.775,,
14-05-2012,04:14:47,-2.683,0.962,2.983,3.749,,
14-05-2012,05:14:47,-2.363,0.989,2.956,3.722,,
14-05-2012,06:14:47,-3.065,0.934,2.903,3.670,,
14-05-2012,07:14:47,-3.183,0.852,2.877,3.643,,
14-05-2012,08:14:47,-2.160,0.934,2.823,3.617,,
14-05-2012,09:14:47,-1.842,1.017,2.770,3.564,,
14-05-2012,10:14:47,-1.641,1.071,2.744,3.538,,
14-05-2012,11:14:47,0.273,1.344,2.690,3.512,,
14-05-2012,12:14:47,2.182,2.262,2.690,3.485,,
14-05-2012,13:14:47,8.220,3.485,2.664,3.459,,
14-05-2012,14:14:47,9.534,4.428,2.664,3.433,,
