"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
10-05-2012,15:00:00,13.088,6.788,6.914,5.719
10-05-2012,16:00:00,9.903,6.408,7.142,5.975
10-05-2012,17:00:00,6.585,5.924,7.116,6.179
10-05-2012,18:00:00,4.662,5.411,6.864,6.255
10-05-2012,19:00:00,4.298,5.231,6.585,6.281
10-05-2012,20:00:00,4.454,5.128,6.331,6.255
10-05-2012,21:00:00,5.360,5.257,6.128,6.179
10-05-2012,22:00:00,5.719,5.437,6.000,6.128
10-05-2012,23:00:00,5.539,5.462,5.949,6.077
11-05-2012,00:00:00,5.282,5.360,5.898,6.026
11-05-2012,01:00:00,4.636,5.257,5.847,6.000
11-05-2012,02:00:00,4.714,5.154,5.770,5.975
11-05-2012,03:00:00,4.428,4.973,5.693,5.949
11-05-2012,04:00:00,4.428,4.973,5.616,5.898
11-05-2012,05:00:00,4.063,4.869,5.539,5.847
11-05-2012,06:00:00,4.506,4.792,5.462,5.821
11-05-2012,07:00:00,4.141,4.844,5.411,5.770
11-05-2012,08:00:00,3.538,4.584,5.334,5.745
11-05-2012,09:00:00,4.298,4.714,5.257,5.693
11-05-2012,10:00:00,5.565,5.154,5.231,5.642
11-05-2012,11:00:00,7.544,5.693,5.308,5.616
11-05-2012,12:00:00,8.990,6.179,5.514,5.642
11-05-2012,13:00:00,7.293,6.357,5.745,5.668
11-05-2012,14:00:00,6.965,6.433,5.975,5.770
11-05-2012,15:00:00,6.889,6.230,6.102,5.847
11-05-2012,16:00:00,7.619,5.642,6.204,5.949
11-05-2012,17:00:00,3.274,4.947,6.128,6.000
11-05-2012,18:00:00,1.832,4.350,5.898,6.026
11-05-2012,19:00:00,-0.760,3.827,5.642,5.975
11-05-2012,20:00:00,-2.859,3.089,5.308,5.898
11-05-2012,21:00:00,-1.498,2.983,4.973,5.770
11-05-2012,22:00:00,-1.213,2.930,4.688,5.642
11-05-2012,23:00:00,-1.157,2.877,4.454,5.488
12-05-2012,00:00:00,-1.270,2.770,4.272,5.334
12-05-2012,01:00:00,-2.976,2.396,4.089,5.205
12-05-2012,02:00:00,-3.183,1.994,3.906,5.076
12-05-2012,03:00:00,-3.271,1.778,3.696,4.947
12-05-2012,04:00:00,-3.508,1.615,3.512,4.818
12-05-2012,05:00:00,-3.183,1.534,3.327,4.688
12-05-2012,06:00:00,-4.227,1.398,3.168,4.558
12-05-2012,07:00:00,-4.804,1.262,3.036,4.454
12-05-2012,08:00:00,-6.834,0.989,2.903,4.324
12-05-2012,09:00:00,-5.605,0.825,2.770,4.220
12-05-2012,10:00:00,-2.566,0.825,2.637,4.115
12-05-2012,11:00:00,5.257,1.180,2.530,4.011
12-05-2012,12:00:00,11.224,2.664,2.557,3.906
12-05-2012,13:00:00,13.473,3.985,2.983,3.880
12-05-2012,14:00:00,13.666,4.220,3.775,3.958
12-05-2012,15:00:00,12.823,4.141,4.454,4.168
12-05-2012,16:00:00,5.821,3.696,4.895,4.402
12-05-2012,17:00:00,0.356,2.903,4.895,4.584
12-05-2012,18:00:00,-1.327,2.370,4.584,4.688
12-05-2012,19:00:00,-0.817,2.289,4.246,4.662
12-05-2012,20:00:00,-0.760,2.236,3.958,4.610
12-05-2012,21:00:00,-0.902,2.101,3.722,4.532
12-05-2012,22:00:00,-1.015,1.913,3.538,4.428
12-05-2012,23:00:00,-0.789,1.913,3.406,4.350
13-05-2012,00:00:00,-0.986,1.886,3.301,4.246
13-05-2012,01:00:00,-0.930,1.886,3.221,4.194
13-05-2012,02:00:00,-0.845,1.886,3.168,4.115
13-05-2012,03:00:00,-0.591,1.886,3.116,4.063
13-05-2012,04:00:00,-0.255,1.886,3.063,4.011
13-05-2012,05:00:00,-0.088,1.913,3.036,3.985
13-05-2012,06:00:00,0.246,1.940,3.009,3.932
13-05-2012,07:00:00,0.467,2.021,3.009,3.906
13-05-2012,08:00:00,0.301,2.101,3.009,3.880
13-05-2012,09:00:00,0.439,2.236,2.983,3.854
13-05-2012,10:00:00,0.605,2.343,2.983,3.854
13-05-2012,11:00:00,0.550,2.530,2.983,3.827
13-05-2012,12:00:00,0.577,2.610,2.956,3.801
13-05-2012,13:00:00,0.715,2.584,2.956,3.801
13-05-2012,14:00:00,0.660,2.557,2.956,3.775
13-05-2012,15:00:00,1.425,2.557,2.983,3.775
13-05-2012,16:00:00,0.797,2.637,2.983,3.775
13-05-2012,17:00:00,0.852,2.584,3.036,3.775
13-05-2012,18:00:00,-0.227,2.370,3.036,3.749
13-05-2012,19:00:00,-0.311,2.236,2.983,3.749
13-05-2012,20:00:00,-0.479,2.155,2.903,3.722
13-05-2012,21:00:00,-0.845,2.128,2.850,3.696
13-05-2012,22:00:00,-1.100,2.047,2.797,3.670
13-05-2012,23:00:00,-1.384,1.940,2.717,3.643
14-05-2012,00:00:00,-1.986,1.859,2.664,3.591
14-05-2012,01:00:00,-2.363,1.778,2.584,3.564
14-05-2012,02:00:00,-2.421,1.615,2.503,3.512
14-05-2012,03:00:00,-2.566,1.507,2.450,3.459
14-05-2012,04:00:00,-2.888,1.398,2.370,3.406
14-05-2012,05:00:00,-2.421,1.344,2.316,3.380
14-05-2012,06:00:00,-2.276,1.289,2.262,3.327
14-05-2012,07:00:00,-2.131,1.262,2.236,3.274
14-05-2012,08:00:00,-2.334,1.235,2.182,3.248
14-05-2012,09:00:00,-1.670,1.208,2.155,3.195
14-05-2012,10:00:00,-1.071,1.262,2.128,3.168
14-05-2012,11:00:00,0.246,1.398,2.128,3.142
14-05-2012,12:00:00,1.262,1.588,2.155,3.116
14-05-2012,13:00:00,2.930,1.805,2.289,3.116
14-05-2012,14:00:00,7.217,2.128,2.503,3.142
