"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C","Host Connected","End Of File"
10-05-2012,14:00:00,12.025,7.845,8.668,6.230,,
10-05-2012,15:00:00,10.858,8.394,8.295,6.509,,
10-05-2012,16:00:00,8.070,8.568,7.770,6.535,,
10-05-2012,17:00:00,6.331,7.444,7.268,6.509,,
10-05-2012,18:00:00,4.895,6.382,6.788,6.382,,
10-05-2012,19:00:00,4.506,5.872,6.357,6.230,,
10-05-2012,20:00:00,4.636,5.591,6.077,6.077,,
10-05-2012,21:00:00,5.488,5.565,5.898,5.975,,
10-05-2012,22:00:00,5.745,5.693,5.872,5.898,,
10-05-2012,23:00:00,5.693,5.668,5.898,5.872,,
11-05-2012,00:00:00,5.462,5.565,5.847,5.847,,
11-05-2012,01:00:00,4.973,5.437,5.770,5.821,,
11-05-2012,02:00:00,4.999,5.282,5.668,5.796,,
11-05-2012,03:00:00,4.818,5.076,5.539,5.719,,
11-05-2012,04:00:00,4.610,5.024,5.437,5.668,,
11-05-2012,05:00:00,4.246,4.921,5.385,5.616,,
11-05-2012,06:00:00,4.714,4.844,5.257,5.539,,
11-05-2012,07:00:00,4.324,4.844,5.257,5.488,,
11-05-2012,08:00:00,3.801,4.584,5.154,5.462,,
11-05-2012,09:00:00,4.454,4.610,5.076,5.385,,
11-05-2012,10:00:00,5.514,4.921,5.205,5.385,,
11-05-2012,11:00:00,6.535,5.179,5.539,5.437,,
11-05-2012,12:00:00,7.242,5.719,5.975,5.565,,
11-05-2012,13:00:00,6.230,6.153,6.712,5.770,,
11-05-2012,14:00:00,5.847,6.331,6.585,5.949,,
11-05-2012,15:00:00,5.745,6.306,6.585,6.026,,
11-05-2012,16:00:00,5.821,6.408,6.433,6.077,,
11-05-2012,17:00:00,2.877,5.437,6.026,6.000,,
11-05-2012,18:00:00,1.697,4.532,5.539,5.847,,
11-05-2012,19:00:00,-0.535,3.827,5.128,5.642,,
11-05-2012,20:00:00,-3.035,3.063,4.610,5.437,,
11-05-2012,21:00:00,-1.498,2.797,4.168,5.154,,
11-05-2012,22:00:00,-1.213,2.557,3.932,4.947,,
11-05-2012,23:00:00,-1.213,2.343,3.722,4.766,,
12-05-2012,00:00:00,-1.527,2.182,3.564,4.610,,
12-05-2012,01:00:00,-3.094,1.724,3.354,4.454,,
12-05-2012,02:00:00,-3.124,1.561,3.116,4.298,,
12-05-2012,03:00:00,-3.183,1.425,2.930,4.141,,
12-05-2012,04:00:00,-3.242,1.289,2.797,4.011,,
