"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
10-05-2012,16:00:00,10.418,7.619,6.357,5.591
10-05-2012,17:00:00,7.318,6.433,6.408,5.693
10-05-2012,18:00:00,5.975,6.000,6.331,5.796
10-05-2012,19:00:00,5.565,5.745,6.230,5.847
10-05-2012,20:00:00,5.385,5.642,6.128,5.872
10-05-2012,21:00:00,5.437,5.616,6.051,5.872
10-05-2012,22:00:00,5.642,5.693,6.000,5.898
10-05-2012,23:00:00,5.462,5.616,5.975,5.872
11-05-2012,00:00:00,4.869,5.282,5.949,5.872
11-05-2012,01:00:00,4.480,5.102,5.898,5.872
11-05-2012,02:00:00,4.558,5.024,5.847,5.847
11-05-2012,03:00:00,4.141,4.792,5.770,5.847
11-05-2012,04:00:00,4.141,4.740,5.719,5.821
11-05-2012,05:00:00,4.089,4.688,5.642,5.796
11-05-2012,06:00:00,4.011,4.636,5.616,5.770
11-05-2012,07:00:00,3.854,4.558,5.565,5.745
11-05-2012,08:00:00,3.168,4.168,5.514,5.719
11-05-2012,09:00:00,3.696,4.220,5.437,5.693
11-05-2012,10:00:00,4.428,4.402,5.411,5.668
11-05-2012,11:00:00,4.740,4.428,5.411,5.642
11-05-2012,12:00:00,5.924,4.792,5.437,5.616
11-05-2012,13:00:00,5.385,4.818,5.514,5.616
11-05-2012,14:00:00,5.205,4.818,5.565,5.616
11-05-2012,15:00:00,6.026,5.128,5.616,5.616
11-05-2012,16:00:00,6.102,5.154,5.642,5.642
11-05-2012,17:00:00,3.775,4.402,5.616,5.642
11-05-2012,18:00:00,2.850,3.932,5.514,5.642
11-05-2012,19:00:00,-0.004,2.850,5.385,5.616
11-05-2012,20:00:00,-1.727,2.209,5.205,5.591
11-05-2012,21:00:00,-1.641,2.155,4.973,5.539
11-05-2012,22:00:00,-0.676,2.209,4.792,5.462
11-05-2012,23:00:00,-0.591,2.155,4.662,5.360
12-05-2012,00:00:00,-0.873,1.778,4.532,5.282
12-05-2012,01:00:00,-1.814,1.371,4.428,5.205
12-05-2012,02:00:00,-2.888,1.044,4.350,5.128
12-05-2012,03:00:00,-2.771,0.852,4.220,5.050
12-05-2012,04:00:00,-3.124,0.687,4.089,4.973
12-05-2012,05:00:00,-2.947,0.770,3.985,4.895
12-05-2012,06:00:00,-3.896,0.742,3.880,4.818
12-05-2012,07:00:00,-3.687,0.660,3.775,4.740
12-05-2012,08:00:00,-5.729,0.329,3.696,4.688
12-05-2012,09:00:00,-3.657,0.687,3.591,4.584
12-05-2012,10:00:00,-1.814,1.289,3.512,4.532
12-05-2012,11:00:00,0.384,2.182,3.433,4.454
12-05-2012,12:00:00,4.402,3.433,3.433,4.376
12-05-2012,13:00:00,8.295,4.480,3.564,4.350
12-05-2012,14:00:00,8.344,4.480,3.880,4.350
12-05-2012,15:00:00,8.618,4.999,4.220,4.402
12-05-2012,16:00:00,4.973,3.643,4.402,4.480
12-05-2012,17:00:00,0.907,2.343,4.428,4.558
12-05-2012,18:00:00,-0.986,1.507,4.298,4.584
12-05-2012,19:00:00,-0.845,1.344,4.141,4.584
12-05-2012,20:00:00,-0.704,1.344,4.011,4.584
12-05-2012,21:00:00,-0.704,0.907,3.880,4.532
12-05-2012,22:00:00,-0.479,0.962,3.775,4.480
12-05-2012,23:00:00,-0.116,1.344,3.696,4.428
13-05-2012,00:00:00,-0.143,1.507,3.643,4.376
13-05-2012,01:00:00,0.079,1.588,3.564,4.324
13-05-2012,02:00:00,0.163,1.643,3.512,4.298
13-05-2012,03:00:00,0.079,1.697,3.485,4.246
13-05-2012,04:00:00,0.079,1.751,3.406,4.194
13-05-2012,05:00:00,0.273,1.778,3.380,4.168
13-05-2012,06:00:00,0.439,1.805,3.327,4.115
13-05-2012,07:00:00,0.522,1.778,3.327,4.089
13-05-2012,08:00:00,0.273,1.886,3.301,4.063
13-05-2012,09:00:00,0.550,2.021,3.301,4.037
13-05-2012,10:00:00,0.770,2.101,3.301,4.011
13-05-2012,11:00:00,0.495,2.236,3.301,3.985
13-05-2012,12:00:00,0.522,2.396,3.274,3.985
13-05-2012,13:00:00,0.246,2.477,3.274,3.958
13-05-2012,14:00:00,0.218,2.530,3.248,3.932
13-05-2012,15:00:00,-0.060,2.477,3.221,3.932
