"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
10-05-2012,16:00:00,9.780,8.295,6.889,6.051
10-05-2012,17:00:00,7.920,7.695,6.737,6.153
10-05-2012,18:00:00,6.737,7.116,6.560,6.153
10-05-2012,19:00:00,5.975,6.687,6.357,6.128
10-05-2012,20:00:00,5.719,6.458,6.230,6.077
10-05-2012,21:00:00,5.693,6.255,6.128,6.026
10-05-2012,22:00:00,5.847,6.179,6.051,6.000
10-05-2012,23:00:00,5.693,6.102,6.000,5.975
11-05-2012,00:00:00,5.179,5.949,5.949,5.949
11-05-2012,01:00:00,4.869,5.847,5.898,5.924
11-05-2012,02:00:00,4.714,5.745,5.821,5.898
11-05-2012,03:00:00,4.376,5.565,5.745,5.847
11-05-2012,04:00:00,4.376,5.488,5.668,5.821
11-05-2012,05:00:00,4.324,5.437,5.642,5.796
11-05-2012,06:00:00,4.220,5.334,5.565,5.745
11-05-2012,07:00:00,4.115,5.308,5.539,5.719
11-05-2012,08:00:00,3.512,5.179,5.488,5.693
11-05-2012,09:00:00,3.827,5.154,5.411,5.642
11-05-2012,10:00:00,4.506,5.360,5.411,5.616
11-05-2012,11:00:00,4.714,5.411,5.437,5.616
11-05-2012,12:00:00,5.334,5.668,5.462,5.591
11-05-2012,13:00:00,5.462,5.975,5.591,5.616
11-05-2012,14:00:00,5.308,5.924,5.642,5.642
11-05-2012,15:00:00,5.847,6.102,5.693,5.668
11-05-2012,16:00:00,5.488,6.026,5.745,5.693
11-05-2012,17:00:00,4.558,5.796,5.693,5.719
11-05-2012,18:00:00,3.380,5.411,5.565,5.693
11-05-2012,19:00:00,1.371,4.818,5.437,5.668
11-05-2012,20:00:00,-0.032,4.115,5.179,5.591
11-05-2012,21:00:00,-0.423,3.643,4.947,5.462
11-05-2012,22:00:00,0.024,3.617,4.740,5.360
11-05-2012,23:00:00,0.135,3.617,4.610,5.257
12-05-2012,00:00:00,-0.255,3.512,4.506,5.154
12-05-2012,01:00:00,-0.845,3.327,4.402,5.076
12-05-2012,02:00:00,-1.785,2.956,4.272,4.999
12-05-2012,03:00:00,-1.929,2.770,4.141,4.895
12-05-2012,04:00:00,-2.247,2.610,4.037,4.818
12-05-2012,05:00:00,-2.044,2.450,3.932,4.714
12-05-2012,06:00:00,-2.334,2.289,3.801,4.636
12-05-2012,07:00:00,-2.566,2.101,3.722,4.558
12-05-2012,08:00:00,-3.330,1.751,3.591,4.480
12-05-2012,09:00:00,-2.596,1.615,3.485,4.376
12-05-2012,10:00:00,-0.311,1.751,3.406,4.298
12-05-2012,11:00:00,1.967,2.423,3.354,4.220
12-05-2012,12:00:00,4.973,3.801,3.380,4.168
12-05-2012,13:00:00,7.217,5.539,3.932,4.194
12-05-2012,14:00:00,6.990,6.204,4.636,4.402
12-05-2012,15:00:00,6.179,6.102,5.050,4.636
12-05-2012,16:00:00,3.880,5.462,5.102,4.818
12-05-2012,17:00:00,1.235,4.714,4.973,4.895
12-05-2012,18:00:00,-0.311,3.985,4.740,4.895
12-05-2012,19:00:00,-0.732,3.564,4.480,4.844
12-05-2012,20:00:00,-0.620,3.327,4.298,4.740
12-05-2012,21:00:00,-0.620,3.142,4.141,4.662
12-05-2012,22:00:00,-0.507,2.930,3.985,4.584
12-05-2012,23:00:00,-0.283,2.823,3.854,4.480
13-05-2012,00:00:00,-0.451,2.744,3.775,4.402
13-05-2012,01:00:00,-0.451,2.690,3.696,4.350
13-05-2012,02:00:00,-0.591,2.664,3.643,4.298
13-05-2012,03:00:00,-0.563,2.610,3.617,4.220
13-05-2012,04:00:00,-0.479,2.610,3.564,4.194
13-05-2012,05:00:00,-0.563,2.584,3.538,4.141
13-05-2012,06:00:00,-0.535,2.584,3.512,4.115
13-05-2012,07:00:00,-0.199,2.610,3.485,4.063
13-05-2012,08:00:00,-0.227,2.584,3.459,4.037
13-05-2012,09:00:00,0.687,2.610,3.459,4.011
13-05-2012,10:00:00,1.751,2.770,3.433,3.985
13-05-2012,11:00:00,2.503,2.930,3.459,3.985
13-05-2012,12:00:00,2.956,3.327,3.485,3.958
13-05-2012,13:00:00,2.021,3.433,3.617,3.985
13-05-2012,14:00:00,2.530,3.538,3.801,4.011
13-05-2012,15:00:00,3.958,3.564,4.141,4.115
13-05-2012,16:00:00,3.036,3.801,4.428,4.246
13-05-2012,17:00:00,2.021,3.564,4.558,4.376
13-05-2012,18:00:00,0.715,3.142,4.480,4.454
13-05-2012,19:00:00,-0.143,2.877,4.246,4.454
13-05-2012,20:00:00,-0.143,2.690,4.037,4.376
13-05-2012,21:00:00,-0.789,2.423,3.854,4.324
13-05-2012,22:00:00,-1.413,2.236,3.722,4.220
13-05-2012,23:00:00,-1.242,2.101,3.591,4.168
14-05-2012,00:00:00,-1.527,1.967,3.485,4.089
14-05-2012,01:00:00,-1.842,1.859,3.406,4.011
14-05-2012,02:00:00,-2.015,1.670,3.327,3.958
14-05-2012,03:00:00,-1.556,1.561,3.221,3.880
14-05-2012,04:00:00,-1.785,1.480,3.168,3.827
14-05-2012,05:00:00,-1.641,1.398,3.116,3.775
14-05-2012,06:00:00,-1.470,1.317,3.063,3.749
14-05-2012,07:00:00,-1.756,1.235,3.009,3.696
14-05-2012,08:00:00,-2.276,1.126,2.983,3.643
14-05-2012,09:00:00,-1.900,1.017,2.930,3.617
14-05-2012,10:00:00,-2.044,0.989,2.903,3.564
14-05-2012,11:00:00,-0.845,1.017,2.877,3.564
14-05-2012,12:00:00,0.632,1.153,2.930,3.538
14-05-2012,13:00:00,2.262,1.534,3.380,3.564
14-05-2012,14:00:00,3.670,2.128,4.037,3.749
14-05-2012,15:00:00,3.985,2.503,4.558,4.011
14-05-2012,16:00:00,2.530,2.584,4.740,4.220
14-05-2012,17:00:00,1.643,2.477,4.688,4.350
14-05-2012,18:00:00,1.017,2.396,4.558,4.376
14-05-2012,19:00:00,0.825,2.343,4.350,4.376
14-05-2012,20:00:00,0.715,2.343,4.168,4.324
14-05-2012,21:00:00,0.742,2.396,4.037,4.246
14-05-2012,22:00:00,0.577,2.370,3.932,4.194
14-05-2012,23:00:00,-0.199,2.128,3.801,4.141
15-05-2012,00:00:00,-0.395,1.940,3.617,4.063
15-05-2012,01:00:00,-0.620,1.832,3.459,3.985
15-05-2012,02:00:00,-0.535,1.805,3.327,3.906
15-05-2012,03:00:00,-0.591,1.778,3.221,3.827
15-05-2012,04:00:00,-0.676,1.724,3.142,3.749
15-05-2012,05:00:00,-0.591,1.724,3.036,3.696
15-05-2012,06:00:00,0.190,1.832,2.983,3.643
15-05-2012,07:00:00,0.301,1.940,2.956,3.564
15-05-2012,08:00:00,0.467,2.021,2.930,3.538
15-05-2012,09:00:00,0.989,2.128,2.930,3.512
15-05-2012,10:00:00,2.690,2.610,2.983,3.512
15-05-2012,11:00:00,4.662,3.485,3.221,3.538
15-05-2012,12:00:00,6.636,4.532,3.749,3.643
15-05-2012,13:00:00,10.026,5.565,4.558,3.880
15-05-2012,14:00:00,11.977,6.128,5.360,4.220
15-05-2012,15:00:00,9.558,6.102,5.847,4.584
15-05-2012,16:00:00,7.116,5.821,6.026,4.895
15-05-2012,17:00:00,4.194,5.128,6.026,5.076
15-05-2012,18:00:00,2.584,4.506,5.796,5.154
15-05-2012,19:00:00,1.967,4.011,5.488,5.128
15-05-2012,20:00:00,2.236,3.827,5.205,5.050
15-05-2012,21:00:00,1.615,3.564,4.973,4.947
15-05-2012,22:00:00,1.615,3.406,4.792,4.869
15-05-2012,23:00:00,0.632,3.089,4.610,4.792
16-05-2012,00:00:00,0.135,2.797,4.376,4.688
16-05-2012,01:00:00,-0.339,2.637,4.168,4.584
16-05-2012,02:00:00,-0.563,2.450,3.958,4.454
16-05-2012,03:00:00,-0.817,2.289,3.801,4.350
16-05-2012,04:00:00,-0.535,2.262,3.617,4.246
16-05-2012,05:00:00,-0.563,2.236,3.512,4.115
16-05-2012,06:00:00,-0.395,2.182,3.406,4.037
16-05-2012,07:00:00,-1.242,1.994,3.301,3.958
16-05-2012,08:00:00,-3.035,1.697,3.195,3.880
16-05-2012,09:00:00,-0.563,1.561,3.063,3.801
16-05-2012,10:00:00,3.591,1.832,3.009,3.722
16-05-2012,11:00:00,7.795,3.116,3.036,3.670
16-05-2012,12:00:00,12.678,5.411,3.485,3.670
16-05-2012,13:00:00,15.366,7.242,4.402,3.854
16-05-2012,14:00:00,10.443,7.268,5.076,4.194
16-05-2012,15:00:00,8.419,6.661,5.231,4.454
16-05-2012,16:00:00,6.128,6.230,5.231,4.610
16-05-2012,17:00:00,5.745,5.668,5.154,4.714
