"Date","Time, GMT+11:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
24-10-2012,17:00:00,8.543,7.494,5.385,5.179
24-10-2012,18:00:00,7.519,6.965,5.385,5.231
24-10-2012,19:00:00,6.281,6.560,5.360,5.257
24-10-2012,20:00:00,-2.830,5.796,5.334,5.257
24-10-2012,21:00:00,0.742,5.257,5.257,5.257
24-10-2012,22:00:00,-4.743,5.050,5.179,5.231
24-10-2012,23:00:00,-1.814,4.921,5.076,5.205
25-10-2012,00:00:00,-2.537,4.869,5.024,5.179
25-10-2012,01:00:00,-2.305,4.740,4.999,5.154
25-10-2012,02:00:00,-2.160,4.740,4.999,5.102
25-10-2012,03:00:00,-2.131,4.688,4.973,5.102
25-10-2012,04:00:00,-1.958,4.740,4.947,5.076
25-10-2012,05:00:00,-2.189,4.766,4.947,5.076
25-10-2012,06:00:00,-2.276,4.766,4.973,5.050
25-10-2012,07:00:00,-2.334,4.792,4.973,5.050
25-10-2012,08:00:00,-0.171,5.154,4.999,5.050
25-10-2012,09:00:00,10.614,5.719,5.050,5.050
25-10-2012,10:00:00,13.497,7.192,5.154,5.076
25-10-2012,11:00:00,14.912,9.262,5.334,5.102
25-10-2012,12:00:00,20.650,11.078,5.591,5.205
25-10-2012,13:00:00,13.353,10.590,5.872,5.308
25-10-2012,14:00:00,16.654,10.369,6.051,5.437
25-10-2012,15:00:00,11.977,9.040,6.102,5.565
25-10-2012,16:00:00,16.820,10.541,6.153,5.642
25-10-2012,17:00:00,18.129,10.516,6.331,5.719
25-10-2012,18:00:00,11.370,9.534,6.458,5.821
25-10-2012,19:00:00,7.619,8.319,6.433,5.924
25-10-2012,20:00:00,6.255,7.645,6.331,5.949
25-10-2012,21:00:00,4.921,6.889,6.255,5.975
25-10-2012,22:00:00,4.246,6.331,6.153,5.949
25-10-2012,23:00:00,3.354,5.821,6.026,5.898
26-10-2012,00:00:00,2.477,5.821,5.924,5.872
26-10-2012,01:00:00,-1.384,4.973,5.821,5.821
26-10-2012,02:00:00,-1.641,4.246,5.693,5.770
26-10-2012,03:00:00,-5.141,3.564,5.514,5.693
26-10-2012,04:00:00,-6.834,2.637,5.334,5.616
26-10-2012,05:00:00,-7.219,2.182,5.102,5.514
26-10-2012,06:00:00,-7.640,1.940,4.895,5.411
26-10-2012,07:00:00,-3.212,1.859,4.714,5.282
26-10-2012,08:00:00,3.775,2.423,4.584,5.154
26-10-2012,09:00:00,9.089,3.301,4.610,5.050
26-10-2012,10:00:00,15.652,5.693,4.662,4.999
26-10-2012,11:00:00,18.081,8.891,4.792,4.999
26-10-2012,12:00:00,20.103,11.200,4.973,5.024
26-10-2012,13:00:00,21.676,12.944,5.257,5.076
26-10-2012,14:00:00,16.272,12.534,5.539,5.205
26-10-2012,15:00:00,16.272,12.364,5.796,5.334
26-10-2012,16:00:00,19.865,11.904,6.000,5.488
26-10-2012,17:00:00,9.583,9.854,6.128,5.616
26-10-2012,18:00:00,8.170,8.444,6.051,5.719
26-10-2012,19:00:00,2.423,7.041,5.924,5.745
26-10-2012,20:00:00,1.967,6.331,5.745,5.745
26-10-2012,21:00:00,0.852,5.616,5.591,5.693
26-10-2012,22:00:00,0.467,5.282,5.437,5.642
26-10-2012,23:00:00,-1.015,4.921,5.308,5.565
27-10-2012,00:00:00,-3.657,4.376,5.154,5.488
27-10-2012,01:00:00,-6.010,3.670,4.999,5.411
27-10-2012,02:00:00,-5.729,2.770,4.844,5.334
27-10-2012,03:00:00,-6.325,2.370,4.662,5.231
27-10-2012,04:00:00,-4.865,1.967,4.558,5.128
27-10-2012,05:00:00,-3.777,1.534,4.376,5.024
27-10-2012,06:00:00,-4.197,1.317,4.220,4.921
27-10-2012,07:00:00,-3.568,1.180,4.089,4.818
27-10-2012,08:00:00,-1.100,1.235,4.037,4.714
27-10-2012,09:00:00,4.402,1.994,3.985,4.662
27-10-2012,10:00:00,9.386,4.688,3.985,4.584
27-10-2012,11:00:00,14.673,7.544,4.063,4.558
27-10-2012,12:00:00,18.129,10.345,4.220,4.558
27-10-2012,13:00:00,23.833,13.546,4.480,4.610
27-10-2012,14:00:00,21.915,14.218,4.947,4.740
27-10-2012,15:00:00,24.171,14.936,5.360,4.947
27-10-2012,16:00:00,20.555,14.098,5.693,5.154
27-10-2012,17:00:00,23.761,12.582,6.000,5.360
27-10-2012,18:00:00,21.342,10.638,6.255,5.591
27-10-2012,19:00:00,5.514,8.020,6.306,5.745
27-10-2012,20:00:00,-0.760,6.230,6.153,5.821
27-10-2012,21:00:00,-1.299,5.231,5.924,5.847
27-10-2012,22:00:00,-3.183,4.350,5.719,5.796
27-10-2012,23:00:00,-2.654,3.827,5.462,5.719
28-10-2012,00:00:00,-3.657,3.459,5.257,5.616
28-10-2012,01:00:00,-4.469,2.983,5.076,5.514
28-10-2012,02:00:00,-6.294,2.503,4.895,5.385
28-10-2012,03:00:00,-6.136,2.155,4.688,5.282
28-10-2012,04:00:00,-6.834,1.724,4.506,5.154
28-10-2012,05:00:00,-7.090,1.507,4.324,5.050
28-10-2012,06:00:00,-6.866,1.180,4.168,4.921
28-10-2012,07:00:00,-4.439,1.235,4.037,4.818
28-10-2012,08:00:00,3.406,1.643,3.958,4.688
28-10-2012,09:00:00,13.594,2.664,4.037,4.636
28-10-2012,10:00:00,21.963,6.357,4.194,4.610
28-10-2012,11:00:00,26.622,11.151,4.402,4.636
28-10-2012,12:00:00,28.394,14.194,4.895,4.714
28-10-2012,13:00:00,29.865,17.082,5.565,4.895
28-10-2012,14:00:00,34.150,17.772,6.357,5.179
28-10-2012,15:00:00,32.768,18.081,6.990,5.539
28-10-2012,16:00:00,20.793,14.936,7.444,5.898
28-10-2012,17:00:00,24.195,13.546,7.544,6.179
28-10-2012,18:00:00,21.987,12.364,7.569,6.382
28-10-2012,19:00:00,11.346,10.712,7.494,6.509
28-10-2012,20:00:00,2.343,8.444,7.368,6.585
28-10-2012,21:00:00,0.051,6.990,7.066,6.585
28-10-2012,22:00:00,-1.242,5.975,6.763,6.535
