"Plot Title: ITEX1U_15_CTL"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)"
1,18/04/13,17:00:00,-91.857,9.262,8.070,8.070
2,18/04/13,18:00:00,-91.857,8.494,8.095,8.145
3,18/04/13,19:00:00,-91.857,7.041,8.045,8.170
4,18/04/13,20:00:00,-94.792,5.924,7.895,8.170
5,18/04/13,21:00:00,-94.792,5.616,7.745,8.145
6,18/04/13,22:00:00,-94.792,5.050,7.619,8.070
7,18/04/13,23:00:00,-94.792,4.558,7.469,8.020
8,19/04/13,00:00:00,-94.792,4.272,7.368,7.945
9,19/04/13,01:00:00,-94.792,4.115,7.268,7.870
10,19/04/13,02:00:00,-94.792,3.722,7.167,7.795
11,19/04/13,03:00:00,-94.792,3.380,7.091,7.745
12,19/04/13,04:00:00,-94.792,3.142,7.015,7.670
13,19/04/13,05:00:00,-94.792,3.036,6.940,7.619
14,19/04/13,06:00:00,-94.792,2.903,6.864,7.544
15,19/04/13,07:00:00,-94.792,2.823,6.788,7.494
16,19/04/13,08:00:00,-94.792,2.877,6.712,7.419
17,19/04/13,09:00:00,-94.792,2.956,6.611,7.368
18,19/04/13,10:00:00,-94.792,3.116,6.535,7.293
19,19/04/13,11:00:00,-94.792,3.301,6.484,7.242
20,19/04/13,12:00:00,-94.792,3.406,6.433,7.192
21,19/04/13,13:00:00,-94.792,3.459,6.357,7.142
22,19/04/13,14:00:00,-94.792,3.512,6.331,7.066
23,19/04/13,15:00:00,-94.792,3.512,6.306,7.041
24,19/04/13,16:00:00,-94.792,3.538,6.255,6.990
25,19/04/13,17:00:00,-94.792,3.512,6.204,6.940
26,19/04/13,18:00:00,-94.792,3.485,6.128,6.914
27,19/04/13,19:00:00,-94.792,3.512,6.051,6.839
28,19/04/13,20:00:00,-94.792,3.538,5.949,6.788
29,19/04/13,21:00:00,-94.792,3.538,5.821,6.737
30,19/04/13,22:00:00,-94.792,3.617,5.719,6.661
31,19/04/13,23:00:00,-94.792,3.485,5.616,6.585
32,20/04/13,00:00:00,-94.792,3.538,5.539,6.535
33,20/04/13,01:00:00,-94.792,3.433,5.488,6.458
34,20/04/13,02:00:00,-94.792,3.433,5.411,6.382
35,20/04/13,03:00:00,-94.792,3.538,5.360,6.331
36,20/04/13,04:00:00,-94.792,3.485,5.334,6.306
37,20/04/13,05:00:00,-94.792,3.485,5.282,6.230
38,20/04/13,06:00:00,-94.792,3.591,5.257,6.204
39,20/04/13,07:00:00,-94.792,3.643,5.231,6.153
40,20/04/13,08:00:00,-94.792,3.696,5.205,6.128
41,20/04/13,09:00:00,-94.792,3.827,5.205,6.102
42,20/04/13,10:00:00,-94.792,3.775,5.205,6.077
43,20/04/13,11:00:00,-94.792,3.617,5.257,6.051
44,20/04/13,12:00:00,-94.792,3.564,5.282,6.051
45,20/04/13,13:00:00,-94.792,3.538,5.334,6.051
46,20/04/13,14:00:00,-94.792,3.591,5.334,6.026
47,20/04/13,15:00:00,-94.792,3.617,5.360,5.975
48,20/04/13,16:00:00,-94.792,3.564,5.360,5.949
49,20/04/13,17:00:00,-94.792,3.591,5.385,5.924
50,20/04/13,18:00:00,-94.792,3.512,5.437,5.924
51,20/04/13,19:00:00,-94.792,3.512,5.437,5.949
52,20/04/13,20:00:00,-94.792,3.485,5.462,5.949
53,20/04/13,21:00:00,-94.792,3.459,5.462,5.949
54,20/04/13,22:00:00,-94.792,3.354,5.462,5.949
55,20/04/13,23:00:00,-94.792,3.327,5.462,5.949
56,21/04/13,00:00:00,-94.792,3.354,5.462,5.975
57,21/04/13,01:00:00,-94.792,3.564,5.462,5.949
58,21/04/13,02:00:00,-94.792,3.696,5.437,5.949
59,21/04/13,03:00:00,-94.792,3.749,5.411,5.949
60,21/04/13,04:00:00,-94.792,3.564,5.385,5.949
61,21/04/13,05:00:00,-94.792,3.433,5.385,5.924
62,21/04/13,06:00:00,-94.792,3.380,5.334,5.898
63,21/04/13,07:00:00,-94.792,3.406,5.308,5.872
64,21/04/13,08:00:00,-94.792,3.327,5.257,5.847
65,21/04/13,09:00:00,-94.792,3.221,5.205,5.821
66,21/04/13,10:00:00,-94.792,3.301,5.154,5.796
67,21/04/13,11:00:00,-94.792,3.696,5.179,5.770
68,21/04/13,12:00:00,-94.792,4.220,5.360,5.745
69,21/04/13,13:00:00,-94.792,5.205,5.565,5.796
70,21/04/13,14:00:00,-94.792,6.026,5.745,5.872
71,21/04/13,15:00:00,-91.857,6.230,5.898,5.949
72,21/04/13,16:00:00,-94.792,5.719,5.949,6.026
73,21/04/13,17:00:00,-91.857,5.642,5.924,6.077
74,21/04/13,18:00:00,-94.792,5.308,5.898,6.102
75,21/04/13,19:00:00,-94.792,4.740,5.847,6.102
76,21/04/13,20:00:00,-94.792,4.558,5.796,6.102
77,21/04/13,21:00:00,-94.792,4.350,5.719,6.077
78,21/04/13,22:00:00,-94.792,4.246,5.642,6.077
79,21/04/13,23:00:00,-94.792,4.324,5.616,6.051
80,22/04/13,00:00:00,-94.792,4.376,5.565,6.026
81,22/04/13,01:00:00,-94.792,4.298,5.514,6.000
82,22/04/13,02:00:00,-94.792,4.168,5.437,5.949
83,22/04/13,03:00:00,-94.792,3.854,5.360,5.898
84,22/04/13,04:00:00,-94.792,3.775,5.205,5.821
85,22/04/13,05:00:00,-94.792,3.801,5.128,5.745
86,22/04/13,06:00:00,-94.792,3.827,5.102,5.693
87,22/04/13,07:00:00,-94.792,3.775,5.050,5.642
88,22/04/13,08:00:00,-94.792,3.801,4.999,5.616
89,22/04/13,09:00:00,-94.792,3.906,4.973,5.565
90,22/04/13,10:00:00,-94.792,4.324,4.973,5.539
91,22/04/13,11:00:00,-94.792,4.688,4.999,5.514
92,22/04/13,12:00:00,-94.792,5.282,5.050,5.514
93,22/04/13,13:00:00,-94.792,5.796,5.128,5.539
94,22/04/13,14:00:00,-94.792,5.872,5.205,5.565
95,22/04/13,15:00:00,-94.792,6.331,5.282,5.591
96,22/04/13,16:00:00,-94.792,6.535,5.360,5.616
97,22/04/13,17:00:00,-94.792,5.975,5.437,5.668
98,22/04/13,18:00:00,-94.792,5.616,5.462,5.693
99,22/04/13,19:00:00,-94.792,5.205,5.462,5.745
100,22/04/13,20:00:00,-94.792,4.740,5.437,5.745
101,22/04/13,21:00:00,-94.792,4.610,5.385,5.745
102,22/04/13,22:00:00,-94.792,4.480,5.334,5.719
103,22/04/13,23:00:00,-94.792,4.141,5.282,5.719
104,23/04/13,00:00:00,-94.792,4.350,5.231,5.693
105,23/04/13,01:00:00,-94.792,4.428,5.231,5.668
106,23/04/13,02:00:00,-94.792,4.506,5.231,5.668
107,23/04/13,03:00:00,-94.792,4.584,5.257,5.668
108,23/04/13,04:00:00,-94.792,4.610,5.257,5.642
109,23/04/13,05:00:00,-94.792,4.636,5.257,5.668
110,23/04/13,06:00:00,-94.792,4.688,5.257,5.642
111,23/04/13,07:00:00,-94.792,4.766,5.231,5.616
112,23/04/13,08:00:00,-94.792,4.844,5.257,5.616
113,23/04/13,09:00:00,-94.792,5.050,5.308,5.616
114,23/04/13,10:00:00,-94.792,5.488,5.334,5.616
115,23/04/13,11:00:00,-91.857,6.839,5.411,5.642
116,23/04/13,12:00:00,-91.857,7.519,5.539,5.693
117,23/04/13,13:00:00,-91.857,8.568,5.668,5.745
118,23/04/13,14:00:00,-91.857,9.015,5.847,5.821
119,23/04/13,15:00:00,-91.857,9.163,6.000,5.898
120,23/04/13,16:00:00,-91.857,8.494,6.153,6.000
121,23/04/13,17:00:00,-94.792,7.594,6.230,6.077
122,23/04/13,18:00:00,-94.792,6.940,6.204,6.153
123,23/04/13,19:00:00,-94.792,6.408,6.153,6.179
124,23/04/13,20:00:00,-94.792,5.847,6.102,6.204
125,23/04/13,21:00:00,-94.792,5.154,6.026,6.204
126,23/04/13,22:00:00,-94.792,4.688,5.924,6.179
127,23/04/13,23:00:00,-94.792,4.376,5.847,6.153
128,24/04/13,00:00:00,-94.792,4.272,5.745,6.102
129,24/04/13,01:00:00,-94.792,4.037,5.642,6.051
130,24/04/13,02:00:00,-94.792,3.906,5.539,6.026
131,24/04/13,03:00:00,-94.792,3.775,5.462,5.949
132,24/04/13,04:00:00,-94.792,3.591,5.385,5.898
133,24/04/13,05:00:00,-94.792,3.380,5.308,5.872
134,24/04/13,06:00:00,-94.792,3.248,5.231,5.796
135,24/04/13,07:00:00,-94.792,2.983,5.154,5.770
136,24/04/13,08:00:00,-94.792,2.823,5.076,5.719
