"Plot Title: ITEX1U_5_OTC"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)"
1,18/04/13,16:00:00,15.748,8.593,8.916,8.369
2,18/04/13,17:00:00,12.630,8.020,8.990,8.469
3,18/04/13,18:00:00,9.435,7.217,8.866,8.519
4,18/04/13,19:00:00,6.585,6.000,8.668,8.519
5,18/04/13,20:00:00,5.076,5.334,8.344,8.444
6,18/04/13,21:00:00,4.818,5.128,8.020,8.319
7,18/04/13,22:00:00,3.906,4.610,7.720,8.170
8,18/04/13,23:00:00,3.433,4.376,7.393,8.020
9,19/04/13,00:00:00,2.664,4.037,7.091,7.845
10,19/04/13,01:00:00,2.770,3.985,6.813,7.670
11,19/04/13,02:00:00,2.316,3.485,6.560,7.494
12,19/04/13,03:00:00,2.021,3.142,6.255,7.343
13,19/04/13,04:00:00,1.778,3.009,6.000,7.167
14,19/04/13,05:00:00,1.751,2.850,5.770,6.990
15,19/04/13,06:00:00,1.371,2.664,5.565,6.813
16,19/04/13,07:00:00,1.615,2.664,5.411,6.661
17,19/04/13,08:00:00,1.805,2.930,5.282,6.535
18,19/04/13,09:00:00,2.021,2.930,5.179,6.408
19,19/04/13,10:00:00,2.477,3.063,5.128,6.281
20,19/04/13,11:00:00,2.717,3.327,5.076,6.204
21,19/04/13,12:00:00,2.877,3.538,5.076,6.128
22,19/04/13,13:00:00,3.459,3.722,5.102,6.077
23,19/04/13,14:00:00,3.775,3.827,5.128,6.026
24,19/04/13,15:00:00,3.722,3.827,5.154,6.000
25,19/04/13,16:00:00,4.141,3.932,5.179,5.975
26,19/04/13,17:00:00,2.983,3.749,5.231,5.975
27,19/04/13,18:00:00,2.262,3.670,5.231,5.949
28,19/04/13,19:00:00,1.697,3.512,5.257,5.949
29,19/04/13,20:00:00,1.588,3.459,5.231,5.924
30,19/04/13,21:00:00,1.805,3.485,5.231,5.898
31,19/04/13,22:00:00,2.021,3.564,5.231,5.898
32,19/04/13,23:00:00,2.182,3.564,5.231,5.872
33,20/04/13,00:00:00,2.316,3.670,5.231,5.847
34,20/04/13,01:00:00,2.370,3.670,5.231,5.821
35,20/04/13,02:00:00,2.370,3.670,5.205,5.796
36,20/04/13,03:00:00,2.423,3.722,5.179,5.796
37,20/04/13,04:00:00,2.450,3.722,5.179,5.770
38,20/04/13,05:00:00,2.423,3.722,5.154,5.745
39,20/04/13,06:00:00,2.423,3.801,5.128,5.719
40,20/04/13,07:00:00,2.450,3.827,5.128,5.693
41,20/04/13,08:00:00,2.477,3.880,5.102,5.668
42,20/04/13,09:00:00,2.930,3.958,5.102,5.642
43,20/04/13,10:00:00,3.932,3.985,5.102,5.642
44,20/04/13,11:00:00,5.411,4.011,5.102,5.616
45,20/04/13,12:00:00,8.145,4.141,5.076,5.591
46,20/04/13,13:00:00,10.394,4.454,5.050,5.565
47,20/04/13,14:00:00,11.565,4.714,5.050,5.539
48,20/04/13,15:00:00,12.509,5.050,5.076,5.488
49,20/04/13,16:00:00,11.759,5.128,5.102,5.437
50,20/04/13,17:00:00,10.173,5.154,5.154,5.411
51,20/04/13,18:00:00,7.945,5.102,5.205,5.411
52,20/04/13,19:00:00,6.026,4.999,5.205,5.385
53,20/04/13,20:00:00,4.766,4.895,5.154,5.385
54,20/04/13,21:00:00,4.168,4.895,5.128,5.385
55,20/04/13,22:00:00,3.775,4.766,5.102,5.385
56,20/04/13,23:00:00,3.485,4.688,5.076,5.385
57,21/04/13,00:00:00,3.274,4.662,5.076,5.360
58,21/04/13,01:00:00,3.089,4.688,5.076,5.360
59,21/04/13,02:00:00,2.289,4.376,5.076,5.360
60,21/04/13,03:00:00,0.770,4.037,4.999,5.360
61,21/04/13,04:00:00,0.797,3.722,4.947,5.334
62,21/04/13,05:00:00,1.017,3.564,4.869,5.334
63,21/04/13,06:00:00,1.153,3.538,4.792,5.282
64,21/04/13,07:00:00,0.605,3.433,4.714,5.257
65,21/04/13,08:00:00,0.577,3.301,4.636,5.205
66,21/04/13,09:00:00,4.558,3.512,4.636,5.154
67,21/04/13,10:00:00,10.712,4.298,4.636,5.128
68,21/04/13,11:00:00,14.266,5.719,4.636,5.102
69,21/04/13,12:00:00,17.296,6.763,4.869,5.102
70,21/04/13,13:00:00,17.701,7.091,5.308,5.179
71,21/04/13,14:00:00,16.701,7.015,5.745,5.308
72,21/04/13,15:00:00,14.266,6.687,6.077,5.462
73,21/04/13,16:00:00,10.761,6.230,6.281,5.616
74,21/04/13,17:00:00,9.608,6.153,6.382,5.745
75,21/04/13,18:00:00,7.970,5.847,6.433,5.847
76,21/04/13,19:00:00,6.000,5.385,6.382,5.924
77,21/04/13,20:00:00,5.231,5.231,6.230,5.949
78,21/04/13,21:00:00,4.921,4.999,6.128,5.949
79,21/04/13,22:00:00,4.818,4.869,6.051,5.924
80,21/04/13,23:00:00,4.869,4.895,5.975,5.898
81,22/04/13,00:00:00,4.766,4.921,5.949,5.872
82,22/04/13,01:00:00,4.662,4.844,5.924,5.872
83,22/04/13,02:00:00,4.272,4.662,5.924,5.847
84,22/04/13,03:00:00,3.932,4.506,5.872,5.847
85,22/04/13,04:00:00,3.827,4.480,5.847,5.847
86,22/04/13,05:00:00,3.932,4.480,5.821,5.821
87,22/04/13,06:00:00,3.827,4.454,5.796,5.796
88,22/04/13,07:00:00,3.696,4.428,5.770,5.796
89,22/04/13,08:00:00,3.670,4.402,5.745,5.770
90,22/04/13,09:00:00,4.194,4.480,5.745,5.770
91,22/04/13,10:00:00,5.179,4.792,5.821,5.745
92,22/04/13,11:00:00,6.204,5.128,5.975,5.770
93,22/04/13,12:00:00,7.444,5.488,6.179,5.821
94,22/04/13,13:00:00,7.970,5.719,6.433,5.898
95,22/04/13,14:00:00,7.745,5.745,6.661,6.000
96,22/04/13,15:00:00,8.767,6.026,6.864,6.128
97,22/04/13,16:00:00,9.040,6.179,7.041,6.230
98,22/04/13,17:00:00,7.343,5.821,7.167,6.331
99,22/04/13,18:00:00,6.281,5.539,7.142,6.408
100,22/04/13,19:00:00,5.179,5.282,7.041,6.484
101,22/04/13,20:00:00,4.324,4.895,6.914,6.484
102,22/04/13,21:00:00,4.141,4.792,6.763,6.484
103,22/04/13,22:00:00,4.063,4.688,6.636,6.408
104,22/04/13,23:00:00,3.564,4.454,6.509,6.357
105,23/04/13,00:00:00,4.037,4.636,6.382,6.306
106,23/04/13,01:00:00,4.220,4.662,6.331,6.255
107,23/04/13,02:00:00,4.402,4.766,6.281,6.204
108,23/04/13,03:00:00,4.480,4.844,6.255,6.153
109,23/04/13,04:00:00,4.506,4.895,6.230,6.128
110,23/04/13,05:00:00,4.584,4.947,6.230,6.102
111,23/04/13,06:00:00,4.740,4.973,6.204,6.102
112,23/04/13,07:00:00,4.947,5.050,6.230,6.077
113,23/04/13,08:00:00,4.973,5.102,6.204,6.077
114,23/04/13,09:00:00,5.565,5.308,6.230,6.051
115,23/04/13,10:00:00,8.891,5.924,6.357,6.077
116,23/04/13,11:00:00,12.703,7.142,6.661,6.102
117,23/04/13,12:00:00,13.978,7.695,7.041,6.204
118,23/04/13,13:00:00,16.844,8.195,7.469,6.357
119,23/04/13,14:00:00,17.463,8.270,7.895,6.560
120,23/04/13,15:00:00,16.868,8.245,8.195,6.788
121,23/04/13,16:00:00,13.690,7.720,8.394,6.990
122,23/04/13,17:00:00,10.418,7.167,8.419,7.142
123,23/04/13,18:00:00,8.270,6.687,8.295,7.242
124,23/04/13,19:00:00,6.813,6.281,8.095,7.268
125,23/04/13,20:00:00,5.591,5.924,7.845,7.268
126,23/04/13,21:00:00,4.428,5.385,7.569,7.192
127,23/04/13,22:00:00,3.617,4.999,7.268,7.091
128,23/04/13,23:00:00,3.089,4.766,6.965,6.990
129,24/04/13,00:00:00,2.877,4.662,6.712,6.864
130,24/04/13,01:00:00,2.557,4.402,6.509,6.712
131,24/04/13,02:00:00,2.236,4.272,6.331,6.611
132,24/04/13,03:00:00,1.940,4.115,6.179,6.484
133,24/04/13,04:00:00,1.697,3.906,6.026,6.357
134,24/04/13,05:00:00,1.398,3.617,5.872,6.281
135,24/04/13,06:00:00,0.825,3.459,5.693,6.153
136,24/04/13,07:00:00,0.852,3.195,5.539,6.051
137,24/04/13,08:00:00,0.852,3.036,5.385,5.949
138,24/04/13,09:00:00,3.617,3.643,5.334,5.821
139,24/04/13,10:00:00,5.745,4.246,5.282,5.719
140,24/04/13,11:00:00,12.195,5.821,5.437,5.668
141,24/04/13,12:00:00,15.533,6.560,5.770,5.693
142,24/04/13,13:00:00,16.225,7.015,6.153,5.796
143,24/04/13,14:00:00,13.858,6.813,6.560,5.924
144,24/04/13,15:00:00,12.292,6.687,6.864,6.077
145,24/04/13,16:00:00,11.759,6.611,7.091,6.230
146,24/04/13,17:00:00,9.632,6.153,7.167,6.382
147,24/04/13,18:00:00,7.091,5.539,7.116,6.484
148,24/04/13,19:00:00,4.584,4.869,6.889,6.535
149,24/04/13,20:00:00,2.717,4.194,6.585,6.509
150,24/04/13,21:00:00,1.453,3.564,6.255,6.408
151,24/04/13,22:00:00,1.208,3.538,5.975,6.281
152,24/04/13,23:00:00,2.343,3.880,5.770,6.153
153,25/04/13,00:00:00,3.221,4.168,5.642,6.026
154,25/04/13,01:00:00,3.854,4.376,5.616,5.924
155,25/04/13,02:00:00,3.906,4.350,5.668,5.847
156,25/04/13,03:00:00,3.354,4.141,5.642,5.847
157,25/04/13,04:00:00,3.168,4.063,5.565,5.796
158,25/04/13,05:00:00,3.036,3.932,5.514,5.770
159,25/04/13,06:00:00,3.142,3.932,5.437,5.719
160,25/04/13,07:00:00,3.485,4.063,5.411,5.668
161,25/04/13,08:00:00,3.775,4.141,5.437,5.616
162,25/04/13,09:00:00,4.636,4.428,5.488,5.591
163,25/04/13,10:00:00,7.519,5.205,5.642,5.591
164,25/04/13,11:00:00,8.419,5.616,5.821,5.616
165,25/04/13,12:00:00,9.854,6.128,6.128,5.693
166,25/04/13,13:00:00,11.516,6.560,6.433,5.796
167,25/04/13,14:00:00,12.968,6.788,6.763,5.924
168,25/04/13,15:00:00,13.281,6.636,7.015,6.102
169,25/04/13,16:00:00,12.292,6.661,7.167,6.255
170,25/04/13,17:00:00,10.198,6.281,7.242,6.357
171,25/04/13,18:00:00,7.444,5.668,7.217,6.484
172,25/04/13,19:00:00,5.668,5.154,7.041,6.509
173,25/04/13,20:00:00,4.921,4.895,6.839,6.509
174,25/04/13,21:00:00,4.532,4.714,6.636,6.433
175,25/04/13,22:00:00,4.558,4.688,6.484,6.357
176,25/04/13,23:00:00,5.154,4.921,6.382,6.306
177,26/04/13,00:00:00,5.308,5.024,6.331,6.230
178,26/04/13,01:00:00,5.308,5.076,6.306,6.204
179,26/04/13,02:00:00,5.334,5.076,6.306,6.153
180,26/04/13,03:00:00,5.231,5.024,6.281,6.153
181,26/04/13,04:00:00,5.154,5.024,6.281,6.128
182,26/04/13,05:00:00,5.024,4.999,6.230,6.102
183,26/04/13,06:00:00,5.154,5.076,6.230,6.077
184,26/04/13,07:00:00,5.179,5.102,6.204,6.077
185,26/04/13,08:00:00,4.662,4.895,6.204,6.051
186,26/04/13,09:00:00,5.128,5.050,6.153,6.051
187,26/04/13,10:00:00,6.990,5.616,6.204,6.026
188,26/04/13,11:00:00,8.916,6.204,6.408,6.026
189,26/04/13,12:00:00,12.944,7.268,6.712,6.077
190,26/04/13,13:00:00,17.225,8.120,7.015,6.179
191,26/04/13,14:00:00,17.153,8.270,7.343,6.331
192,26/04/13,15:00:00,15.867,8.319,7.720,6.509
193,26/04/13,16:00:00,14.098,7.995,7.945,6.687
194,26/04/13,17:00:00,12.050,7.594,8.070,6.864
195,26/04/13,18:00:00,9.879,7.116,8.070,6.990
196,26/04/13,19:00:00,7.970,6.687,7.945,7.066
197,26/04/13,20:00:00,6.636,6.281,7.720,7.066
198,26/04/13,21:00:00,5.975,5.898,7.469,7.041
199,26/04/13,22:00:00,5.745,5.693,7.242,6.965
200,26/04/13,23:00:00,5.360,5.385,7.091,6.889
201,27/04/13,00:00:00,3.538,4.688,6.864,6.813
202,27/04/13,01:00:00,3.880,4.792,6.611,6.712
203,27/04/13,02:00:00,4.272,4.895,6.408,6.585
204,27/04/13,03:00:00,3.696,4.792,6.255,6.484
205,27/04/13,04:00:00,3.591,4.740,6.077,6.357
206,27/04/13,05:00:00,3.248,4.584,5.924,6.255
207,27/04/13,06:00:00,2.396,4.220,5.745,6.153
208,27/04/13,07:00:00,2.074,4.011,5.565,6.051
209,27/04/13,08:00:00,1.832,3.827,5.411,5.949
210,27/04/13,09:00:00,5.565,4.428,5.360,5.821
