"Plot Title: ITEX1U_23_CTL"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)"
1,09/02/14,20:00:00,19.127,16.654,18.913,17.011
2,09/02/14,21:00:00,16.654,15.724,18.295,17.011
3,09/02/14,22:00:00,13.473,14.577,17.677,16.892
4,09/02/14,23:00:00,10.638,13.209,17.034,16.725
5,10/02/14,00:00:00,9.928,12.606,16.344,16.463
6,10/02/14,01:00:00,10.001,12.558,15.748,16.201
7,10/02/14,02:00:00,7.895,11.467,15.247,15.915
8,10/02/14,03:00:00,6.636,10.663,14.697,15.629
9,10/02/14,04:00:00,5.949,9.903,14.146,15.342
10,10/02/14,05:00:00,3.433,8.965,13.618,15.008
11,10/02/14,06:00:00,2.503,8.095,13.088,14.697
12,10/02/14,07:00:00,2.047,7.619,12.534,14.385
13,10/02/14,08:00:00,5.128,8.220,12.050,14.050
14,10/02/14,09:00:00,10.736,12.727,11.832,13.738
15,10/02/14,10:00:00,22.202,16.987,12.292,13.497
16,10/02/14,11:00:00,30.722,21.056,13.281,13.449
17,10/02/14,12:00:00,35.770,23.064,14.625,13.618
18,10/02/14,13:00:00,41.473,23.978,16.153,13.978
19,10/02/14,14:00:00,40.171,23.256,17.653,14.529
20,10/02/14,15:00:00,38.644,22.393,18.937,15.151
21,10/02/14,16:00:00,35.102,21.223,19.888,15.796
22,10/02/14,17:00:00,33.809,19.865,20.388,16.368
23,10/02/14,18:00:00,28.468,18.699,20.507,16.844
24,10/02/14,19:00:00,22.681,17.534,20.222,17.130
25,10/02/14,20:00:00,15.843,15.676,19.579,17.296
26,10/02/14,21:00:00,10.320,12.896,18.652,17.272
27,10/02/14,22:00:00,7.041,11.370,17.629,17.082
28,10/02/14,23:00:00,5.898,10.638,16.654,16.796
29,11/02/14,00:00:00,4.298,9.829,15.772,16.439
30,11/02/14,01:00:00,3.538,9.139,15.008,16.034
31,11/02/14,02:00:00,2.850,8.519,14.290,15.652
32,11/02/14,03:00:00,4.011,8.494,13.666,15.247
33,11/02/14,04:00:00,4.220,8.419,13.112,14.888
34,11/02/14,05:00:00,6.940,9.361,12.654,14.529
35,11/02/14,06:00:00,8.394,9.780,12.389,14.194
36,11/02/14,07:00:00,9.114,9.879,12.219,13.906
37,11/02/14,08:00:00,10.858,10.369,12.074,13.690
38,11/02/14,09:00:00,13.834,12.944,12.050,13.473
39,11/02/14,10:00:00,22.872,16.987,12.413,13.353
40,11/02/14,11:00:00,29.389,20.650,13.305,13.329
41,11/02/14,12:00:00,35.475,22.824,14.553,13.497
42,11/02/14,13:00:00,39.943,23.737,16.010,13.882
43,11/02/14,14:00:00,41.065,23.184,17.415,14.409
44,11/02/14,15:00:00,40.544,22.154,18.604,15.008
45,11/02/14,16:00:00,38.980,20.889,19.579,15.605
46,11/02/14,17:00:00,38.170,19.888,20.198,16.201
47,11/02/14,18:00:00,29.765,18.699,20.484,16.654
48,11/02/14,19:00:00,22.633,17.486,20.222,17.011
49,11/02/14,20:00:00,16.558,15.819,19.532,17.177
50,11/02/14,21:00:00,11.686,13.570,18.652,17.153
51,11/02/14,22:00:00,9.706,12.268,17.701,16.987
52,11/02/14,23:00:00,7.970,11.516,16.820,16.725
53,12/02/14,00:00:00,6.128,10.124,16.010,16.392
54,12/02/14,01:00:00,4.714,9.287,15.223,16.058
55,12/02/14,02:00:00,3.722,8.643,14.505,15.676
56,12/02/14,03:00:00,4.246,8.543,13.858,15.294
57,12/02/14,04:00:00,4.298,8.394,13.281,14.936
58,12/02/14,05:00:00,3.932,8.270,12.823,14.553
59,12/02/14,06:00:00,4.089,8.095,12.389,14.242
60,12/02/14,07:00:00,4.662,8.045,12.001,13.930
61,12/02/14,08:00:00,9.731,10.247,11.734,13.642
62,12/02/14,09:00:00,15.008,13.305,11.880,13.377
63,12/02/14,10:00:00,22.920,16.272,12.534,13.257
64,12/02/14,11:00:00,29.490,18.747,13.449,13.281
65,12/02/14,12:00:00,37.976,21.795,14.553,13.497
66,12/02/14,13:00:00,41.766,22.130,15.891,13.858
67,12/02/14,14:00:00,42.863,22.082,17.201,14.337
68,12/02/14,15:00:00,40.688,21.581,18.390,14.912
69,12/02/14,16:00:00,39.488,20.222,19.365,15.485
70,12/02/14,17:00:00,34.492,19.460,19.912,16.058
71,12/02/14,18:00:00,27.554,18.675,20.007,16.511
72,12/02/14,19:00:00,23.016,17.891,19.722,16.820
73,12/02/14,20:00:00,18.200,16.534,19.199,16.963
74,12/02/14,21:00:00,14.864,15.247,18.533,16.963
75,12/02/14,22:00:00,12.799,14.218,17.796,16.868
76,12/02/14,23:00:00,10.590,12.896,17.058,16.677
77,13/02/14,00:00:00,8.120,11.516,16.344,16.415
78,13/02/14,01:00:00,7.142,10.663,15.629,16.129
79,13/02/14,02:00:00,7.242,10.614,14.984,15.796
80,13/02/14,03:00:00,6.102,9.928,14.457,15.485
81,13/02/14,04:00:00,6.230,9.657,13.930,15.151
82,13/02/14,05:00:00,7.343,9.879,13.473,14.840
83,13/02/14,06:00:00,9.089,10.712,13.161,14.553
84,13/02/14,07:00:00,9.583,10.980,12.992,14.290
85,13/02/14,08:00:00,13.978,12.509,12.920,14.074
86,13/02/14,09:00:00,16.558,14.242,13.137,13.906
87,13/02/14,10:00:00,21.724,16.796,13.570,13.858
88,13/02/14,11:00:00,23.665,17.724,14.266,13.882
89,13/02/14,12:00:00,22.824,17.177,14.936,14.026
90,13/02/14,13:00:00,27.063,18.699,15.461,14.242
91,13/02/14,14:00:00,24.919,18.224,16.106,14.481
92,13/02/14,15:00:00,27.875,18.343,16.487,14.745
93,13/02/14,16:00:00,24.532,18.390,16.892,14.984
94,13/02/14,17:00:00,21.270,16.987,17.130,15.223
95,13/02/14,18:00:00,19.627,16.249,17.082,15.390
96,13/02/14,19:00:00,16.177,15.223,16.868,15.509
97,13/02/14,20:00:00,13.594,14.337,16.463,15.533
98,13/02/14,21:00:00,12.896,13.690,16.010,15.485
99,13/02/14,22:00:00,12.630,13.522,15.581,15.366
100,13/02/14,23:00:00,12.606,13.449,15.223,15.223
101,14/02/14,00:00:00,12.461,13.281,14.912,15.055
102,14/02/14,01:00:00,12.364,13.209,14.649,14.912
103,14/02/14,02:00:00,12.122,13.064,14.433,14.745
104,14/02/14,03:00:00,12.147,12.920,14.242,14.601
105,14/02/14,04:00:00,12.074,12.871,14.050,14.481
106,14/02/14,05:00:00,11.419,12.582,13.882,14.337
