"Plot Title: ITEX1U_5_OTC"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)"
1,09/02/14,19:00:00,23.737,17.796,18.247,16.153
2,09/02/14,20:00:00,21.151,16.892,17.938,16.201
3,09/02/14,21:00:00,18.628,16.129,17.558,16.153
4,09/02/14,22:00:00,15.414,15.366,17.130,16.058
5,09/02/14,23:00:00,12.799,14.146,16.630,15.915
6,10/02/14,00:00:00,11.807,13.546,16.129,15.700
7,10/02/14,01:00:00,11.516,13.305,15.676,15.461
8,10/02/14,02:00:00,9.829,12.364,15.294,15.247
9,10/02/14,03:00:00,8.419,11.565,14.816,15.031
10,10/02/14,04:00:00,7.569,10.907,14.337,14.792
11,10/02/14,05:00:00,6.306,10.149,13.834,14.529
12,10/02/14,06:00:00,4.973,9.163,13.329,14.266
13,10/02/14,07:00:00,4.999,8.693,12.871,14.002
14,10/02/14,08:00:00,14.888,10.980,13.064,13.714
15,10/02/14,09:00:00,25.939,13.425,13.088,13.497
16,10/02/14,10:00:00,36.389,15.652,13.257,13.425
17,10/02/14,11:00:00,44.688,17.819,14.050,13.497
18,10/02/14,12:00:00,49.242,19.698,15.008,13.690
19,10/02/14,13:00:00,51.277,20.984,16.058,14.026
20,10/02/14,14:00:00,50.647,21.270,17.153,14.433
21,10/02/14,15:00:00,45.877,20.936,18.057,14.912
22,10/02/14,16:00:00,38.812,20.412,18.557,15.390
23,10/02/14,17:00:00,32.227,19.508,18.818,15.748
24,10/02/14,18:00:00,27.579,18.675,18.889,16.058
25,10/02/14,19:00:00,23.641,17.772,18.699,16.249
26,10/02/14,20:00:00,18.438,16.558,18.247,16.320
27,10/02/14,21:00:00,13.185,14.098,17.605,16.272
28,10/02/14,22:00:00,10.394,12.727,16.773,16.082
29,10/02/14,23:00:00,8.866,11.759,16.034,15.796
30,11/02/14,00:00:00,7.795,11.005,15.366,15.485
31,11/02/14,01:00:00,7.795,10.907,14.745,15.175
32,11/02/14,02:00:00,7.544,10.590,14.266,14.864
33,11/02/14,03:00:00,8.170,10.614,13.882,14.553
34,11/02/14,04:00:00,7.142,10.100,13.497,14.266
35,11/02/14,05:00:00,9.583,10.492,13.281,14.026
36,11/02/14,06:00:00,9.977,10.712,13.137,13.810
37,11/02/14,07:00:00,10.932,10.761,13.040,13.642
38,11/02/14,08:00:00,16.915,11.759,13.257,13.473
39,11/02/14,09:00:00,25.065,13.570,13.185,13.377
40,11/02/14,10:00:00,34.255,15.581,13.449,13.353
41,11/02/14,11:00:00,42.149,17.605,14.074,13.425
42,11/02/14,12:00:00,47.092,19.365,14.888,13.618
43,11/02/14,13:00:00,48.172,20.555,15.867,13.906
44,11/02/14,14:00:00,46.067,20.889,16.773,14.290
45,11/02/14,15:00:00,43.073,20.698,17.463,14.697
46,11/02/14,16:00:00,37.288,20.103,17.819,15.079
47,11/02/14,17:00:00,30.293,19.294,18.033,15.414
48,11/02/14,18:00:00,29.190,19.270,18.057,15.652
49,11/02/14,19:00:00,24.798,18.176,17.938,15.819
50,11/02/14,20:00:00,19.032,16.701,17.629,15.891
51,11/02/14,21:00:00,15.008,14.816,17.153,15.867
52,11/02/14,22:00:00,12.799,13.690,16.582,15.724
53,11/02/14,23:00:00,10.810,12.751,16.010,15.557
54,12/02/14,00:00:00,8.494,11.273,15.414,15.318
55,12/02/14,01:00:00,7.242,10.418,14.816,15.055
56,12/02/14,02:00:00,6.433,9.903,14.242,14.768
57,12/02/14,03:00:00,6.839,9.952,13.762,14.481
58,12/02/14,04:00:00,6.560,9.731,13.353,14.194
59,12/02/14,05:00:00,6.535,9.756,13.016,13.930
60,12/02/14,06:00:00,6.509,9.632,12.751,13.714
61,12/02/14,07:00:00,6.889,9.558,12.509,13.497
62,12/02/14,08:00:00,16.129,11.807,12.823,13.281
63,12/02/14,09:00:00,23.232,13.858,13.425,13.161
64,12/02/14,10:00:00,30.343,15.724,13.570,13.185
65,12/02/14,11:00:00,37.042,16.844,14.170,13.353
66,12/02/14,12:00:00,47.548,18.366,14.792,13.570
67,12/02/14,13:00:00,49.615,19.508,15.605,13.810
68,12/02/14,14:00:00,50.094,20.269,16.344,14.122
69,12/02/14,15:00:00,48.238,21.366,17.106,14.481
70,12/02/14,16:00:00,42.327,21.008,17.796,14.888
71,12/02/14,17:00:00,36.308,20.460,18.176,15.270
72,12/02/14,18:00:00,30.697,19.246,18.152,15.557
73,12/02/14,19:00:00,26.109,18.414,17.915,15.700
74,12/02/14,20:00:00,21.079,17.510,17.629,15.748
75,12/02/14,21:00:00,17.201,16.320,17.272,15.724
76,12/02/14,22:00:00,14.936,15.031,16.820,15.652
77,12/02/14,23:00:00,12.871,13.906,16.320,15.509
78,13/02/14,00:00:00,10.736,12.799,15.772,15.318
79,13/02/14,01:00:00,9.213,11.783,15.223,15.127
80,13/02/14,02:00:00,9.583,11.686,14.792,14.864
81,13/02/14,03:00:00,8.742,11.297,14.361,14.625
82,13/02/14,04:00:00,8.444,11.127,13.978,14.385
83,13/02/14,05:00:00,8.990,11.297,13.666,14.170
84,13/02/14,06:00:00,10.222,11.686,13.497,13.954
85,13/02/14,07:00:00,11.053,12.001,13.497,13.786
86,13/02/14,08:00:00,16.034,13.112,13.618,13.666
87,13/02/14,09:00:00,22.058,14.505,14.122,13.618
88,13/02/14,10:00:00,28.866,16.177,14.433,13.666
89,13/02/14,11:00:00,28.816,17.153,15.103,13.834
90,13/02/14,12:00:00,26.744,16.892,15.772,14.050
91,13/02/14,13:00:00,29.916,18.057,16.296,14.290
92,13/02/14,14:00:00,27.333,17.724,16.677,14.553
93,13/02/14,15:00:00,29.190,17.701,16.868,14.768
94,13/02/14,16:00:00,28.642,18.081,17.106,14.936
95,13/02/14,17:00:00,25.404,17.582,17.320,15.127
96,13/02/14,18:00:00,23.930,17.201,17.272,15.294
97,13/02/14,19:00:00,18.461,16.153,17.058,15.342
98,13/02/14,20:00:00,14.888,14.888,16.654,15.342
99,13/02/14,21:00:00,13.810,14.577,16.249,15.247
100,13/02/14,22:00:00,13.497,14.146,15.891,15.103
