"Plot Title: ITEX1U_10_OTC"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 2426030, SEN S/N: 2426030)","Temp, °C (LGR S/N: 2426030, SEN S/N: 2426030)","Temp, °C (LGR S/N: 2426030, SEN S/N: 2426030)","Temp, °C (LGR S/N: 2426030, SEN S/N: 2426030)"
1,16/01/14,09:59:55,23.400,16.106,14.433,537.327
2,16/01/14,10:59:55,26.329,17.819,14.601,537.327
3,16/01/14,11:59:55,28.990,21.342,15.008,537.327
4,16/01/14,12:59:55,33.521,25.137,15.843,537.327
5,16/01/14,13:59:55,39.886,29.464,16.892,537.327
6,16/01/14,14:59:55,44.781,32.253,17.915,537.327
7,16/01/14,15:59:55,30.874,27.776,18.913,537.327
8,16/01/14,16:59:55,35.208,27.825,19.627,537.327
9,16/01/14,17:59:55,21.987,23.064,20.007,537.327
10,16/01/14,18:59:55,23.521,20.841,20.126,537.327
11,16/01/14,19:59:55,19.151,19.318,19.793,537.327
12,16/01/14,20:59:55,16.487,17.391,19.413,537.327
13,16/01/14,21:59:55,16.201,16.034,18.937,537.327
14,16/01/14,22:59:55,14.050,14.864,18.390,537.327
15,16/01/14,23:59:55,13.570,14.409,17.843,537.327
16,17/01/14,00:59:55,13.449,14.481,17.320,537.327
17,17/01/14,01:59:55,14.026,14.433,16.844,537.327
18,17/01/14,02:59:55,13.064,13.882,16.415,537.327
19,17/01/14,03:59:55,12.823,13.858,16.034,537.327
20,17/01/14,04:59:55,12.558,13.522,15.652,537.327
21,17/01/14,05:59:55,12.992,13.209,15.318,537.327
22,17/01/14,06:59:55,14.864,12.968,15.008,537.327
23,17/01/14,07:59:55,17.201,13.497,14.721,537.327
24,17/01/14,08:59:55,20.055,14.433,14.529,537.327
25,17/01/14,09:59:55,21.963,15.438,14.433,537.327
26,17/01/14,10:59:55,23.785,16.558,14.529,537.327
27,17/01/14,11:59:55,25.744,19.151,14.792,537.327
28,17/01/14,12:59:55,29.464,22.369,15.461,537.327
29,17/01/14,13:59:55,33.940,26.451,16.392,537.327
30,17/01/14,14:59:55,33.730,27.014,17.391,537.327
