"Plot Title: ITEX1U_12OTC"
"#","Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
1,16/01/14,09:14:47,23.160,17.058,13.016,12.799
2,16/01/14,10:14:47,27.210,18.961,13.497,12.871
3,16/01/14,11:14:47,29.439,20.722,14.266,13.064
4,16/01/14,12:14:47,30.419,22.776,15.127,13.377
5,16/01/14,13:14:47,39.234,25.866,15.915,13.762
6,16/01/14,14:14:47,47.941,27.358,16.630,14.194
7,16/01/14,15:14:47,38.504,23.521,17.249,14.625
8,16/01/14,16:14:47,28.717,22.465,17.368,15.008
9,16/01/14,17:14:47,23.593,19.817,17.296,15.247
10,16/01/14,18:14:47,20.436,18.366,17.034,15.485
11,16/01/14,19:14:47,18.366,17.415,16.654,15.438
12,16/01/14,20:14:47,16.153,16.344,16.272,15.318
13,16/01/14,21:14:47,14.194,15.390,15.867,15.175
14,16/01/14,22:14:47,12.823,14.457,15.461,15.008
15,16/01/14,23:14:47,12.630,14.026,15.079,14.792
16,17/01/14,00:14:47,12.509,13.690,14.721,14.601
17,17/01/14,01:14:47,12.992,13.642,14.385,14.385
18,17/01/14,02:14:47,12.122,13.233,14.122,14.170
19,17/01/14,03:14:47,11.467,12.847,13.858,13.978
20,17/01/14,04:14:47,11.467,12.606,13.618,13.810
21,17/01/14,05:14:47,11.589,12.485,13.377,13.618
22,17/01/14,06:14:47,12.582,12.461,13.161,13.449
23,17/01/14,07:14:47,14.912,13.088,13.016,13.281
24,17/01/14,08:14:47,18.105,14.505,13.016,13.161
25,17/01/14,09:14:47,20.936,15.414,13.233,13.137
26,17/01/14,10:14:47,24.677,17.486,13.570,13.161
27,17/01/14,11:14:47,28.295,19.365,14.146,13.281
28,17/01/14,12:14:47,28.667,21.246,15.008,13.546
29,17/01/14,13:14:47,38.728,24.992,15.939,13.906
30,17/01/14,14:14:47,42.149,25.428,16.701,14.361
31,17/01/14,15:14:47,42.684,24.871,17.249,14.768
32,17/01/14,16:14:47,36.987,23.064,17.510,15.151
33,17/01/14,17:14:47,29.365,21.103,17.486,15.390
34,17/01/14,18:14:47,24.460,19.341,17.201,15.509
35,17/01/14,19:14:47,20.079,17.558,16.868,15.509
36,17/01/14,20:14:47,14.002,15.318,16.439,15.438
37,17/01/14,21:14:47,12.098,14.002,15.891,15.270
38,17/01/14,22:14:47,11.394,13.257,15.342,15.055
39,17/01/14,23:14:47,12.316,13.329,14.840,14.792
40,18/01/14,00:14:47,11.394,12.823,14.433,14.529
41,18/01/14,01:14:47,12.413,12.871,14.074,14.290
42,18/01/14,02:14:47,12.606,12.871,13.810,14.050
43,18/01/14,03:14:47,14.601,13.473,13.570,13.834
44,18/01/14,04:14:47,12.461,12.920,13.401,13.666
45,18/01/14,05:14:47,11.759,12.364,13.233,13.522
46,18/01/14,06:14:47,13.305,12.968,13.040,13.353
47,18/01/14,07:14:47,16.606,14.098,12.992,13.233
48,18/01/14,08:14:47,19.127,15.438,13.137,13.161
49,18/01/14,09:14:47,21.652,16.558,13.401,13.161
50,18/01/14,10:14:47,24.002,18.033,13.834,13.257
51,18/01/14,11:14:47,27.554,19.555,14.457,13.425
52,18/01/14,12:14:47,30.167,22.082,15.294,13.714
53,18/01/14,13:14:47,36.933,24.243,16.153,14.098
54,18/01/14,14:14:47,27.358,21.437,16.773,14.529
55,18/01/14,15:14:47,22.729,18.913,16.939,14.888
56,18/01/14,16:14:47,25.016,18.961,16.820,15.079
57,18/01/14,17:14:47,26.134,19.056,16.725,15.199
58,18/01/14,18:14:47,21.652,18.438,16.606,15.247
59,18/01/14,19:14:47,16.892,16.558,16.368,15.247
60,18/01/14,20:14:47,13.666,15.199,16.010,15.175
61,18/01/14,21:14:47,12.654,14.170,15.533,15.055
62,18/01/14,22:14:47,11.297,13.618,15.103,14.840
63,18/01/14,23:14:47,12.316,13.425,14.721,14.649
64,19/01/14,00:14:47,12.509,13.377,14.385,14.433
65,19/01/14,01:14:47,11.248,13.040,14.098,14.218
66,19/01/14,02:14:47,10.907,12.678,13.858,14.050
67,19/01/14,03:14:47,10.467,12.268,13.618,13.858
68,19/01/14,04:14:47,9.386,11.734,13.353,13.690
69,19/01/14,05:14:47,8.990,11.394,13.112,13.522
70,19/01/14,06:14:47,11.273,11.880,12.871,13.329
71,19/01/14,07:14:47,15.031,13.305,12.727,13.161
72,19/01/14,08:14:47,18.129,14.984,12.823,13.064
73,19/01/14,09:14:47,20.793,16.225,13.112,13.040
74,19/01/14,10:14:47,23.930,17.748,13.497,13.112
75,19/01/14,11:14:47,26.842,19.103,14.122,13.257
76,19/01/14,12:14:47,27.554,20.793,14.936,13.522
77,19/01/14,13:14:47,34.150,22.872,15.676,13.882
78,19/01/14,14:14:47,37.233,24.774,16.320,14.266
79,19/01/14,15:14:47,39.686,23.256,16.749,14.649
80,19/01/14,16:14:47,35.797,22.369,16.963,14.960
81,19/01/14,17:14:47,25.671,19.770,16.963,15.199
82,19/01/14,18:14:47,16.915,16.320,16.701,15.294
83,19/01/14,19:14:47,14.385,14.936,16.296,15.294
84,19/01/14,20:14:47,13.209,14.170,15.819,15.175
85,19/01/14,21:14:47,12.823,13.834,15.414,15.008
86,19/01/14,22:14:47,12.775,13.714,15.055,14.816
87,19/01/14,23:14:47,12.534,13.473,14.768,14.649
88,20/01/14,00:14:47,12.389,13.329,14.529,14.481
89,20/01/14,01:14:47,12.171,13.161,14.314,14.314
90,20/01/14,02:14:47,11.977,13.064,14.098,14.170
91,20/01/14,03:14:47,11.953,13.016,13.930,14.026
92,20/01/14,04:14:47,11.880,12.944,13.786,13.882
93,20/01/14,05:14:47,11.759,12.751,13.642,13.762
