"Plot Title: ITEX1U_15_CTL"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)"
1,16/01/14,10:00:00,152.982,15.055,13.040,12.847
2,16/01/14,11:00:00,203.218,18.557,13.281,12.823
3,16/01/14,12:00:00,238.785,22.441,13.618,12.896
4,16/01/14,13:00:00,265.178,25.040,13.858,12.992
5,16/01/14,14:00:00,271.157,26.965,14.170,13.137
6,16/01/14,15:00:00,277.847,28.766,14.577,13.281
7,16/01/14,16:00:00,316.524,25.428,15.175,13.497
8,16/01/14,17:00:00,285.420,26.182,15.485,13.786
9,16/01/14,18:00:00,379.278,21.175,15.533,14.002
10,16/01/14,19:00:00,424.791,19.341,15.438,14.170
11,16/01/14,20:00:00,316.524,18.343,15.366,14.242
12,16/01/14,21:00:00,316.524,16.963,15.223,14.290
13,16/01/14,22:00:00,294.121,16.106,14.984,14.266
14,16/01/14,23:00:00,277.847,15.247,14.745,14.194
15,17/01/14,00:00:00,259.781,14.745,14.505,14.122
16,17/01/14,01:00:00,254.869,14.433,14.242,14.002
17,17/01/14,02:00:00,254.869,14.122,14.026,13.906
18,17/01/14,03:00:00,259.781,13.810,13.834,13.786
19,17/01/14,04:00:00,259.781,13.401,13.666,13.666
20,17/01/14,05:00:00,259.781,13.040,13.522,13.546
21,17/01/14,06:00:00,254.869,12.703,13.305,13.425
22,17/01/14,07:00:00,254.869,12.389,13.112,13.305
23,17/01/14,08:00:00,254.869,12.582,12.944,13.185
24,17/01/14,09:00:00,254.869,13.209,12.871,13.064
25,17/01/14,10:00:00,259.781,14.002,12.944,12.992
26,17/01/14,11:00:00,259.781,16.201,13.088,12.944
27,17/01/14,12:00:00,259.781,19.627,13.353,12.968
28,17/01/14,13:00:00,265.178,22.393,13.810,13.040
29,17/01/14,14:00:00,265.178,23.785,14.290,13.185
30,17/01/14,15:00:00,285.420,24.195,14.768,13.377
31,17/01/14,16:00:00,285.420,24.339,15.079,13.594
32,17/01/14,17:00:00,294.121,22.872,15.318,13.810
33,17/01/14,18:00:00,304.306,21.056,15.342,13.978
34,17/01/14,19:00:00,316.524,19.674,15.247,14.098
35,17/01/14,20:00:00,351.436,17.867,15.127,14.146
36,17/01/14,21:00:00,537.327,15.676,14.888,14.170
37,17/01/14,22:00:00,424.791,14.385,14.601,14.122
38,17/01/14,23:00:00,294.121,13.690,14.290,14.026
39,18/01/14,00:00:00,265.178,13.714,14.002,13.930
40,18/01/14,01:00:00,254.869,13.522,13.810,13.786
41,18/01/14,02:00:00,254.869,13.305,13.618,13.666
42,18/01/14,03:00:00,259.781,13.112,13.449,13.546
43,18/01/14,04:00:00,254.869,13.040,13.305,13.425
44,18/01/14,05:00:00,271.157,12.799,13.185,13.329
45,18/01/14,06:00:00,277.847,12.389,13.064,13.233
46,18/01/14,07:00:00,265.178,12.920,12.968,13.137
47,18/01/14,08:00:00,254.869,13.714,12.968,13.064
48,18/01/14,09:00:00,254.869,15.151,13.040,13.016
49,18/01/14,10:00:00,277.847,15.676,13.185,12.992
50,18/01/14,11:00:00,265.178,18.176,13.401,13.016
51,18/01/14,12:00:00,265.178,20.698,13.714,13.088
52,18/01/14,13:00:00,265.178,23.328,14.146,13.209
53,18/01/14,14:00:00,277.847,24.581,14.625,13.377
54,18/01/14,15:00:00,304.306,23.569,14.960,13.570
55,18/01/14,16:00:00,331.683,21.199,15.008,13.762
56,18/01/14,17:00:00,304.306,20.460,14.960,13.906
57,18/01/14,18:00:00,294.121,20.222,14.912,13.954
58,18/01/14,19:00:00,304.306,19.627,14.960,14.026
59,18/01/14,20:00:00,379.278,17.463,14.984,14.074
60,18/01/14,21:00:00,424.791,15.843,14.840,14.122
61,18/01/14,22:00:00,316.524,14.816,14.601,14.122
62,18/01/14,23:00:00,271.157,14.457,14.337,14.026
63,19/01/14,00:00:00,265.178,13.882,14.098,13.930
64,19/01/14,01:00:00,259.781,13.882,13.906,13.834
65,19/01/14,02:00:00,259.781,13.618,13.786,13.738
66,19/01/14,03:00:00,259.781,13.353,13.642,13.642
67,19/01/14,04:00:00,265.178,12.968,13.522,13.546
68,19/01/14,05:00:00,265.178,12.558,13.353,13.473
69,19/01/14,06:00:00,259.781,12.461,13.209,13.377
70,19/01/14,07:00:00,254.869,12.534,13.088,13.257
71,19/01/14,08:00:00,250.367,13.112,13.016,13.185
72,19/01/14,09:00:00,250.367,14.409,13.088,13.137
73,19/01/14,10:00:00,316.524,14.984,13.233,13.112
74,19/01/14,11:00:00,316.524,17.106,13.425,13.137
75,19/01/14,12:00:00,294.121,20.841,13.666,13.161
76,19/01/14,13:00:00,277.847,23.352,13.930,13.257
77,19/01/14,14:00:00,277.847,24.243,14.290,13.377
78,19/01/14,15:00:00,277.847,27.604,14.601,13.546
79,19/01/14,16:00:00,316.524,25.016,15.151,13.738
80,19/01/14,17:00:00,294.121,23.930,15.438,13.978
81,19/01/14,18:00:00,331.683,21.963,15.605,14.170
82,19/01/14,19:00:00,537.327,18.533,15.557,14.337
83,19/01/14,20:00:00,351.436,16.725,15.342,14.433
84,19/01/14,21:00:00,294.121,15.605,15.055,14.433
85,19/01/14,22:00:00,271.157,14.960,14.768,14.361
86,19/01/14,23:00:00,265.178,14.553,14.529,14.266
87,20/01/14,00:00:00,265.178,14.218,14.337,14.146
88,20/01/14,01:00:00,265.178,14.026,14.170,14.050
89,20/01/14,02:00:00,265.178,13.810,14.026,13.954
90,20/01/14,03:00:00,265.178,13.714,13.906,13.882
91,20/01/14,04:00:00,265.178,13.666,13.786,13.786
92,20/01/14,05:00:00,265.178,13.570,13.690,13.690
93,20/01/14,06:00:00,265.178,13.522,13.570,13.618
94,20/01/14,07:00:00,265.178,13.570,13.497,13.546
95,20/01/14,08:00:00,259.781,13.834,13.425,13.449
96,20/01/14,09:00:00,265.178,14.673,13.377,13.401
97,20/01/14,10:00:00,331.683,15.891,13.449,13.353
98,20/01/14,11:00:00,379.278,17.772,13.594,13.353
99,20/01/14,12:00:00,351.436,20.222,13.738,13.377
100,20/01/14,13:00:00,351.436,19.365,13.954,13.425
101,20/01/14,14:00:00,304.306,19.651,14.194,13.522
102,20/01/14,15:00:00,316.524,18.509,14.457,13.618
103,20/01/14,16:00:00,316.524,17.653,14.505,13.738
104,20/01/14,17:00:00,304.306,17.249,14.481,13.810
105,20/01/14,18:00:00,304.306,16.392,14.457,13.834
106,20/01/14,19:00:00,304.306,15.581,14.361,13.858
107,20/01/14,20:00:00,294.121,14.649,14.218,13.858
108,20/01/14,21:00:00,294.121,14.026,14.050,13.810
109,20/01/14,22:00:00,285.420,13.594,13.858,13.738
110,20/01/14,23:00:00,277.847,13.305,13.714,13.666
111,21/01/14,00:00:00,277.847,13.088,13.570,13.594
112,21/01/14,01:00:00,277.847,13.016,13.449,13.497
113,21/01/14,02:00:00,277.847,12.896,13.329,13.401
114,21/01/14,03:00:00,277.847,12.871,13.233,13.329
115,21/01/14,04:00:00,304.306,12.799,13.137,13.257
116,21/01/14,05:00:00,331.683,12.775,13.064,13.185
117,21/01/14,06:00:00,331.683,12.364,12.992,13.137
118,21/01/14,07:00:00,331.683,12.147,12.871,13.064
119,21/01/14,08:00:00,316.524,12.050,12.727,12.992
120,21/01/14,09:00:00,331.683,14.122,12.678,12.896
121,21/01/14,10:00:00,379.278,13.978,12.799,12.847
122,21/01/14,11:00:00,379.278,17.153,12.896,12.847
123,21/01/14,12:00:00,424.791,19.532,13.137,12.871
124,21/01/14,13:00:00,537.327,19.936,13.497,12.944
125,21/01/14,14:00:00,304.306,21.628,13.954,13.088
126,21/01/14,15:00:00,331.683,20.246,14.409,13.257
127,21/01/14,16:00:00,285.420,21.437,14.601,13.473
128,21/01/14,17:00:00,304.306,20.222,14.792,13.642
129,21/01/14,18:00:00,316.524,18.509,14.840,13.762
130,21/01/14,19:00:00,294.121,17.724,14.768,13.882
131,21/01/14,20:00:00,316.524,15.175,14.649,13.906
132,21/01/14,21:00:00,351.436,13.257,14.409,13.906
133,21/01/14,22:00:00,294.121,12.268,14.026,13.858
134,21/01/14,23:00:00,285.420,11.005,13.666,13.714
135,22/01/14,00:00:00,294.121,9.903,13.281,13.570
136,22/01/14,01:00:00,277.847,8.891,12.847,13.377
137,22/01/14,02:00:00,254.869,8.618,12.413,13.161
138,22/01/14,03:00:00,242.368,8.195,12.122,12.944
139,22/01/14,04:00:00,232.289,8.070,11.832,12.727
140,22/01/14,05:00:00,223.886,7.845,11.613,12.509
141,22/01/14,06:00:00,218.982,7.670,11.419,12.340
142,22/01/14,07:00:00,216.704,7.544,11.224,12.171
143,22/01/14,08:00:00,212.446,8.170,11.102,12.025
144,22/01/14,09:00:00,214.528,9.163,11.078,11.880
145,22/01/14,10:00:00,223.886,12.316,11.200,11.783
146,22/01/14,11:00:00,265.178,17.439,11.419,11.759
147,22/01/14,12:00:00,277.847,21.748,11.807,11.783
148,22/01/14,13:00:00,285.420,25.162,12.364,11.904
149,22/01/14,14:00:00,277.847,26.818,13.161,12.122
150,22/01/14,15:00:00,277.847,27.210,13.954,12.461
151,22/01/14,16:00:00,294.121,26.573,14.553,12.823
152,22/01/14,17:00:00,304.306,24.750,14.840,13.161
153,22/01/14,18:00:00,316.524,22.034,14.864,13.401
154,22/01/14,19:00:00,316.524,19.056,14.745,13.570
155,22/01/14,20:00:00,351.436,16.010,14.553,13.642
156,22/01/14,21:00:00,537.327,12.847,14.194,13.666
157,22/01/14,22:00:00,424.791,11.200,13.666,13.594
158,22/01/14,23:00:00,304.306,10.320,13.185,13.425
159,23/01/14,00:00:00,271.157,9.287,12.775,13.209
160,23/01/14,01:00:00,254.869,8.643,12.316,12.992
161,23/01/14,02:00:00,242.368,8.220,11.977,12.775
162,23/01/14,03:00:00,232.289,8.170,11.637,12.534
