"Plot Title: ITEX1U_5_OTC"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)","Temp, °C (LGR S/N: 1248338, SEN S/N: 1248338)"
1,16/01/14,10:00:00,35.985,18.200,15.485,14.433
2,16/01/14,11:00:00,43.404,20.103,16.106,14.553
3,16/01/14,12:00:00,46.162,21.939,17.034,14.768
4,16/01/14,13:00:00,46.290,22.920,17.962,15.103
5,16/01/14,14:00:00,48.106,23.689,18.961,15.509
6,16/01/14,15:00:00,48.205,23.978,19.746,15.963
7,16/01/14,16:00:00,38.924,23.328,20.269,16.368
8,16/01/14,17:00:00,39.177,22.561,20.365,16.749
9,16/01/14,18:00:00,27.063,19.651,20.174,16.987
10,16/01/14,19:00:00,24.363,18.319,19.508,17.082
11,16/01/14,20:00:00,22.082,18.129,18.985,17.034
12,16/01/14,21:00:00,19.127,17.296,18.557,16.844
13,16/01/14,22:00:00,17.439,16.606,18.105,16.654
14,16/01/14,23:00:00,15.414,15.652,17.605,16.463
15,17/01/14,00:00:00,14.912,15.175,17.153,16.249
16,17/01/14,01:00:00,14.673,14.768,16.749,16.034
17,17/01/14,02:00:00,14.840,14.433,16.392,15.796
18,17/01/14,03:00:00,14.146,14.074,16.082,15.581
19,17/01/14,04:00:00,13.906,13.930,15.796,15.390
20,17/01/14,05:00:00,13.546,13.738,15.533,15.199
21,17/01/14,06:00:00,14.170,13.425,15.342,15.031
22,17/01/14,07:00:00,15.342,13.281,15.199,14.840
23,17/01/14,08:00:00,20.269,14.122,15.127,14.697
24,17/01/14,09:00:00,26.965,15.605,15.055,14.601
25,17/01/14,10:00:00,33.914,17.082,15.390,14.577
26,17/01/14,11:00:00,39.829,18.485,16.010,14.649
27,17/01/14,12:00:00,45.186,19.960,16.844,14.840
28,17/01/14,13:00:00,47.450,20.817,18.057,15.151
29,17/01/14,14:00:00,47.974,21.342,19.484,15.629
30,17/01/14,15:00:00,44.874,21.223,20.507,16.201
31,17/01/14,16:00:00,39.545,21.461,20.984,16.725
32,17/01/14,17:00:00,35.582,20.650,21.199,17.130
33,17/01/14,18:00:00,29.615,19.532,21.127,17.439
34,17/01/14,19:00:00,26.598,18.794,20.793,17.605
35,17/01/14,20:00:00,22.465,17.701,20.198,17.629
36,17/01/14,21:00:00,17.819,16.225,19.532,17.558
37,17/01/14,22:00:00,14.361,14.936,18.699,17.344
38,17/01/14,23:00:00,13.233,14.361,17.938,17.034
39,18/01/14,00:00:00,13.522,14.026,17.320,16.701
40,18/01/14,01:00:00,13.401,13.642,16.820,16.392
41,18/01/14,02:00:00,13.954,13.618,16.415,16.082
42,18/01/14,03:00:00,14.170,13.522,16.082,15.796
43,18/01/14,04:00:00,15.461,13.570,15.843,15.557
44,18/01/14,05:00:00,14.098,13.329,15.581,15.366
45,18/01/14,06:00:00,12.823,13.257,15.318,15.175
46,18/01/14,07:00:00,15.199,13.738,15.223,14.984
47,18/01/14,08:00:00,21.437,15.103,15.366,14.816
48,18/01/14,09:00:00,24.219,16.272,15.581,14.745
49,18/01/14,10:00:00,31.868,17.344,16.058,14.792
50,18/01/14,11:00:00,40.085,19.603,16.534,14.912
51,18/01/14,12:00:00,44.135,20.793,17.415,15.127
52,18/01/14,13:00:00,46.290,21.819,18.414,15.461
53,18/01/14,14:00:00,45.123,22.321,19.674,15.915
54,18/01/14,15:00:00,40.114,21.700,20.507,16.415
55,18/01/14,16:00:00,33.235,20.388,20.674,16.844
56,18/01/14,17:00:00,30.950,19.579,20.531,17.130
57,18/01/14,18:00:00,29.065,19.318,20.365,17.249
