Site,Plot,Treatment,Date,Hour,Ambient,Surface,Temp_5cm,Temp_10cm
ITEX1U,5,OTC,16/01/2014,10,35.985,18.2,15.485,14.433
ITEX1U,5,OTC,16/01/2014,11,43.404,20.103,16.106,14.553
ITEX1U,5,OTC,16/01/2014,12,46.162,21.939,17.034,14.768
ITEX1U,5,OTC,16/01/2014,13,46.29,22.92,17.962,15.103
ITEX1U,5,OTC,16/01/2014,14,48.106,23.689,18.961,15.509
ITEX1U,5,OTC,16/01/2014,15,48.205,23.978,19.746,15.963
ITEX1U,5,OTC,16/01/2014,16,38.924,23.328,20.269,16.368
ITEX1U,5,OTC,16/01/2014,17,39.177,22.561,20.365,16.749
ITEX1U,5,OTC,16/01/2014,18,27.063,19.651,20.174,16.987
ITEX1U,5,OTC,16/01/2014,19,24.363,18.319,19.508,17.082
ITEX1U,5,OTC,16/01/2014,20,22.082,18.129,18.985,17.034
ITEX1U,5,OTC,16/01/2014,21,19.127,17.296,18.557,16.844
ITEX1U,5,OTC,16/01/2014,22,17.439,16.606,18.105,16.654
ITEX1U,5,OTC,16/01/2014,23,15.414,15.652,17.605,16.463
ITEX1U,5,OTC,17/01/2014,0,14.912,15.175,17.153,16.249
ITEX1U,5,OTC,17/01/2014,1,14.673,14.768,16.749,16.034
ITEX1U,5,OTC,17/01/2014,2,14.84,14.433,16.392,15.796
ITEX1U,5,OTC,17/01/2014,3,14.146,14.074,16.082,15.581
ITEX1U,5,OTC,17/01/2014,4,13.906,13.93,15.796,15.39
ITEX1U,5,OTC,17/01/2014,5,13.546,13.738,15.533,15.199
ITEX1U,5,OTC,17/01/2014,6,14.17,13.425,15.342,15.031
ITEX1U,5,OTC,17/01/2014,7,15.342,13.281,15.199,14.84
ITEX1U,5,OTC,17/01/2014,8,20.269,14.122,15.127,14.697
ITEX1U,5,OTC,17/01/2014,9,26.965,15.605,15.055,14.601
ITEX1U,5,OTC,17/01/2014,10,33.914,17.082,15.39,14.577
ITEX1U,5,OTC,17/01/2014,11,39.829,18.485,16.01,14.649
ITEX1U,5,OTC,17/01/2014,12,45.186,19.96,16.844,14.84
ITEX1U,5,OTC,17/01/2014,13,47.45,20.817,18.057,15.151
ITEX1U,5,OTC,17/01/2014,14,47.974,21.342,19.484,15.629
ITEX1U,5,OTC,17/01/2014,15,44.874,21.223,20.507,16.201
ITEX1U,5,OTC,17/01/2014,16,39.545,21.461,20.984,16.725
ITEX1U,5,OTC,17/01/2014,17,35.582,20.65,21.199,17.13
ITEX1U,5,OTC,17/01/2014,18,29.615,19.532,21.127,17.439
ITEX1U,5,OTC,17/01/2014,19,26.598,18.794,20.793,17.605
ITEX1U,5,OTC,17/01/2014,20,22.465,17.701,20.198,17.629
ITEX1U,5,OTC,17/01/2014,21,17.819,16.225,19.532,17.558
ITEX1U,5,OTC,17/01/2014,22,14.361,14.936,18.699,17.344
ITEX1U,5,OTC,17/01/2014,23,13.233,14.361,17.938,17.034
ITEX1U,5,OTC,18/01/2014,0,13.522,14.026,17.32,16.701
ITEX1U,5,OTC,18/01/2014,1,13.401,13.642,16.82,16.392
ITEX1U,5,OTC,18/01/2014,2,13.954,13.618,16.415,16.082
ITEX1U,5,OTC,18/01/2014,3,14.17,13.522,16.082,15.796
ITEX1U,5,OTC,18/01/2014,4,15.461,13.57,15.843,15.557
ITEX1U,5,OTC,18/01/2014,5,14.098,13.329,15.581,15.366
ITEX1U,5,OTC,18/01/2014,6,12.823,13.257,15.318,15.175
ITEX1U,5,OTC,18/01/2014,7,15.199,13.738,15.223,14.984
ITEX1U,5,OTC,18/01/2014,8,21.437,15.103,15.366,14.816
ITEX1U,5,OTC,18/01/2014,9,24.219,16.272,15.581,14.745
ITEX1U,5,OTC,18/01/2014,10,31.868,17.344,16.058,14.792
ITEX1U,5,OTC,18/01/2014,11,40.085,19.603,16.534,14.912
ITEX1U,5,OTC,18/01/2014,12,44.135,20.793,17.415,15.127
ITEX1U,5,OTC,18/01/2014,13,46.29,21.819,18.414,15.461
ITEX1U,5,OTC,18/01/2014,14,45.123,22.321,19.674,15.915
ITEX1U,5,OTC,18/01/2014,15,40.114,21.7,20.507,16.415
ITEX1U,5,OTC,18/01/2014,16,33.235,20.388,20.674,16.844
ITEX1U,5,OTC,18/01/2014,17,30.95,19.579,20.531,17.13
ITEX1U,5,OTC,18/01/2014,18,29.065,19.318,20.365,17.249
ITEX1U,5,OTC,18/01/2014,19,25.453,19.103,20.079,17.32
ITEX1U,5,OTC,18/01/2014,20,20.77,18.057,19.532,17.32
ITEX1U,5,OTC,18/01/2014,21,16.844,16.487,18.913,17.201
ITEX1U,5,OTC,18/01/2014,22,15.008,15.461,18.224,16.987
ITEX1U,5,OTC,18/01/2014,23,14.242,15.103,17.629,16.701
ITEX1U,5,OTC,19/01/2014,0,13.329,14.433,17.106,16.439
ITEX1U,5,OTC,19/01/2014,1,13.522,14.409,16.654,16.177
ITEX1U,5,OTC,19/01/2014,2,13.618,14.385,16.368,15.915
ITEX1U,5,OTC,19/01/2014,3,13.016,14.05,16.058,15.7
ITEX1U,5,OTC,19/01/2014,4,12.171,13.546,15.748,15.485
ITEX1U,5,OTC,19/01/2014,5,11.759,13.257,15.414,15.294
ITEX1U,5,OTC,19/01/2014,6,11.492,13.04,15.127,15.079
ITEX1U,5,OTC,19/01/2014,7,12.823,13.257,14.912,14.888
ITEX1U,5,OTC,19/01/2014,8,18.509,14.481,15.055,14.697
ITEX1U,5,OTC,19/01/2014,9,25.38,16.296,15.151,14.577
ITEX1U,5,OTC,19/01/2014,10,32.355,17.938,15.461,14.625
ITEX1U,5,OTC,19/01/2014,11,39.149,19.555,16.129,14.721
ITEX1U,5,OTC,19/01/2014,12,42.923,20.936,17.011,14.936
ITEX1U,5,OTC,19/01/2014,13,44.843,21.867,18.033,15.27
ITEX1U,5,OTC,19/01/2014,14,43.103,22.082,19.175,15.676
ITEX1U,5,OTC,19/01/2014,15,44.812,22.226,19.841,16.177
