"Plot Title: ITEX1U_12OTC"
"#","Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
1,19/10/13,14:14:47,31.001,12.799,6.179,4.610
2,19/10/13,15:14:47,29.590,11.734,6.636,5.024
3,19/10/13,16:14:47,24.315,10.492,6.813,5.360
4,19/10/13,17:14:47,13.810,8.469,6.737,5.565
5,19/10/13,18:14:47,9.386,7.116,6.560,5.668
6,19/10/13,19:14:47,6.357,5.898,6.306,5.668
7,19/10/13,20:14:47,5.898,5.257,6.000,5.642
8,19/10/13,21:14:47,5.745,4.921,5.745,5.539
9,19/10/13,22:14:47,5.745,4.766,5.514,5.437
10,19/10/13,23:14:47,5.847,4.662,5.360,5.334
11,20/10/13,00:14:47,5.898,4.532,5.205,5.257
12,20/10/13,01:14:47,5.514,4.532,5.076,5.179
13,20/10/13,02:14:47,5.205,4.480,4.973,5.102
14,20/10/13,03:14:47,5.719,4.350,4.869,5.024
15,20/10/13,04:14:47,5.591,4.272,4.766,4.947
16,20/10/13,05:14:47,6.153,4.194,4.688,4.895
17,20/10/13,06:14:47,6.914,4.272,4.636,4.844
18,20/10/13,07:14:47,7.444,4.428,4.584,4.792
19,20/10/13,08:14:47,10.198,5.179,4.584,4.740
20,20/10/13,09:14:47,13.353,7.041,4.610,4.714
21,20/10/13,10:14:47,15.199,8.344,4.844,4.740
22,20/10/13,11:14:47,16.844,9.287,5.257,4.844
23,20/10/13,12:14:47,18.247,10.443,5.745,5.024
24,20/10/13,13:14:47,22.800,11.832,6.204,5.257
25,20/10/13,14:14:47,24.267,12.461,6.611,5.514
26,20/10/13,15:14:47,21.342,11.710,6.914,5.745
27,20/10/13,16:14:47,19.888,11.005,7.041,5.949
28,20/10/13,17:14:47,14.122,9.361,7.041,6.102
29,20/10/13,18:14:47,12.147,8.494,6.940,6.179
30,20/10/13,19:14:47,9.608,7.569,6.839,6.204
31,20/10/13,20:14:47,8.344,6.990,6.661,6.204
32,20/10/13,21:14:47,7.419,6.560,6.484,6.153
33,20/10/13,22:14:47,6.636,6.179,6.281,6.102
34,20/10/13,23:14:47,7.268,6.102,6.102,6.026
35,21/10/13,00:14:47,7.970,6.255,5.949,5.924
36,21/10/13,01:14:47,8.045,6.281,5.821,5.847
37,21/10/13,02:14:47,8.891,6.357,5.770,5.796
38,21/10/13,03:14:47,8.070,6.281,5.719,5.745
39,21/10/13,04:14:47,7.343,5.975,5.668,5.693
40,21/10/13,05:14:47,7.970,6.077,5.616,5.668
41,21/10/13,06:14:47,8.717,6.382,5.539,5.616
42,21/10/13,07:14:47,11.102,7.217,5.539,5.591
43,21/10/13,08:14:47,13.425,8.369,5.616,5.591
44,21/10/13,09:14:47,16.558,9.977,5.847,5.616
45,21/10/13,10:14:47,17.867,11.151,6.179,5.719
46,21/10/13,11:14:47,17.653,11.175,6.636,5.872
47,21/10/13,12:14:47,15.366,10.443,7.015,6.077
48,21/10/13,13:14:47,15.819,10.590,7.268,6.281
49,21/10/13,14:14:47,18.152,11.516,7.494,6.484
50,21/10/13,15:14:47,15.055,10.418,7.745,6.661
51,21/10/13,16:14:47,14.553,10.271,7.870,6.813
52,21/10/13,17:14:47,12.292,9.435,7.895,6.940
53,21/10/13,18:14:47,10.907,8.742,7.870,7.015
54,21/10/13,19:14:47,9.435,8.120,7.770,7.066
55,21/10/13,20:14:47,8.792,7.770,7.619,7.066
56,21/10/13,21:14:47,8.543,7.645,7.469,7.015
57,21/10/13,22:14:47,9.435,7.645,7.343,6.965
58,21/10/13,23:14:47,9.657,7.670,7.242,6.940
59,22/10/13,00:14:47,9.040,7.494,7.142,6.889
60,22/10/13,01:14:47,8.668,7.393,7.041,6.839
61,22/10/13,02:14:47,8.965,7.519,6.940,6.788
62,22/10/13,03:14:47,8.543,7.444,6.864,6.737
63,22/10/13,04:14:47,7.745,7.091,6.813,6.687
64,22/10/13,05:14:47,8.668,7.368,6.712,6.636
65,22/10/13,06:14:47,9.287,7.594,6.636,6.585
66,22/10/13,07:14:47,11.394,8.469,6.636,6.560
67,22/10/13,08:14:47,15.031,10.198,6.712,6.535
68,22/10/13,09:14:47,16.082,11.029,6.940,6.585
69,22/10/13,10:14:47,15.103,10.907,7.293,6.687
70,22/10/13,11:14:47,14.337,10.736,7.569,6.839
71,22/10/13,12:14:47,13.690,10.614,7.845,6.990
72,22/10/13,13:14:47,12.703,10.296,7.970,7.142
73,22/10/13,14:14:47,11.953,10.026,8.220,7.268
74,22/10/13,15:14:47,11.637,9.706,8.270,7.393
75,22/10/13,16:14:47,10.785,9.336,8.270,7.494
76,22/10/13,17:14:47,10.810,9.780,8.891,8.020
77,22/10/13,18:14:47,10.810,9.780,8.891,8.145
78,22/10/13,19:14:47,10.932,9.952,9.089,8.319
79,22/10/13,20:14:47,10.614,9.854,8.990,8.394
80,22/10/13,21:14:47,10.075,9.509,8.866,8.344
81,22/10/13,22:14:47,9.805,9.287,8.742,8.295
82,22/10/13,23:14:47,8.767,8.891,8.643,8.220
83,23/10/13,00:14:47,7.519,8.070,8.519,8.170
