"Plot Title: ITEX1U_23_CTL"
"#","Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)"
1,19/10/13,15:00:00,28.369,9.460,9.238,5.924
2,19/10/13,16:00:00,24.581,8.891,10.124,6.560
3,19/10/13,17:00:00,18.985,8.270,10.614,7.116
4,19/10/13,18:00:00,13.497,7.670,10.687,7.544
5,19/10/13,19:00:00,6.484,7.015,10.394,7.820
6,19/10/13,20:00:00,2.930,6.179,9.731,7.945
7,19/10/13,21:00:00,3.932,5.796,8.965,7.895
8,19/10/13,22:00:00,3.696,5.591,8.344,7.720
9,19/10/13,23:00:00,4.194,5.411,7.795,7.544
10,20/10/13,00:00:00,4.089,5.257,7.368,7.318
11,20/10/13,01:00:00,4.272,5.102,6.990,7.116
12,20/10/13,02:00:00,4.063,4.999,6.687,6.940
13,20/10/13,03:00:00,3.854,4.869,6.408,6.763
14,20/10/13,04:00:00,3.880,4.740,6.179,6.585
15,20/10/13,05:00:00,4.011,4.688,5.949,6.408
16,20/10/13,06:00:00,4.662,4.610,5.745,6.255
17,20/10/13,07:00:00,5.334,4.636,5.591,6.102
18,20/10/13,08:00:00,5.745,4.740,5.462,6.000
19,20/10/13,09:00:00,6.965,4.999,5.385,5.872
20,20/10/13,10:00:00,17.439,8.245,5.488,5.796
21,20/10/13,11:00:00,22.489,10.467,6.077,5.796
22,20/10/13,12:00:00,24.871,11.321,7.015,5.949
23,20/10/13,13:00:00,27.087,11.370,8.070,6.281
24,20/10/13,14:00:00,28.593,11.492,9.114,6.712
25,20/10/13,15:00:00,26.598,10.858,10.075,7.192
26,20/10/13,16:00:00,22.753,10.467,10.712,7.670
27,20/10/13,17:00:00,19.651,9.829,11.053,8.095
28,20/10/13,18:00:00,14.768,9.287,11.029,8.419
29,20/10/13,19:00:00,11.151,8.742,10.761,8.618
30,20/10/13,20:00:00,8.020,8.195,10.296,8.693
31,20/10/13,21:00:00,6.128,7.695,9.805,8.668
32,20/10/13,22:00:00,5.154,7.242,9.336,8.543
33,20/10/13,23:00:00,3.880,6.788,8.866,8.419
34,21/10/13,00:00:00,5.128,6.560,8.419,8.245
35,21/10/13,01:00:00,6.306,6.560,8.070,8.045
36,21/10/13,02:00:00,6.408,6.509,7.795,7.870
37,21/10/13,03:00:00,6.965,6.458,7.569,7.695
38,21/10/13,04:00:00,6.889,6.408,7.393,7.544
39,21/10/13,05:00:00,5.334,6.204,7.217,7.419
40,21/10/13,06:00:00,6.331,6.102,7.041,7.293
41,21/10/13,07:00:00,7.695,6.204,6.889,7.167
42,21/10/13,08:00:00,9.879,6.839,6.813,7.066
43,21/10/13,09:00:00,15.963,8.270,6.940,6.965
44,21/10/13,10:00:00,21.843,10.320,7.318,6.965
45,21/10/13,11:00:00,24.532,12.219,8.020,7.066
46,21/10/13,12:00:00,23.112,12.001,8.891,7.293
47,21/10/13,13:00:00,18.866,11.637,9.657,7.619
48,21/10/13,14:00:00,17.605,11.492,10.100,7.970
49,21/10/13,15:00:00,24.460,11.565,10.467,8.270
50,21/10/13,16:00:00,16.773,11.297,10.834,8.519
51,21/10/13,17:00:00,15.986,10.834,10.932,8.767
52,21/10/13,18:00:00,14.050,10.394,10.858,8.941
53,21/10/13,19:00:00,11.565,9.780,10.687,9.040
54,21/10/13,20:00:00,9.583,9.238,10.394,9.089
55,21/10/13,21:00:00,8.742,8.841,10.051,9.040
56,21/10/13,22:00:00,8.618,8.693,9.731,8.965
57,21/10/13,23:00:00,8.045,8.519,9.485,8.866
58,22/10/13,00:00:00,7.970,8.295,9.262,8.767
59,22/10/13,01:00:00,7.695,8.095,9.040,8.668
60,22/10/13,02:00:00,7.393,7.970,8.817,8.568
61,22/10/13,03:00:00,7.870,7.845,8.618,8.444
62,22/10/13,04:00:00,7.444,7.795,8.469,8.319
63,22/10/13,05:00:00,7.041,7.594,8.319,8.220
64,22/10/13,06:00:00,7.645,7.494,8.170,8.145
65,22/10/13,07:00:00,8.245,7.569,8.020,8.020
66,22/10/13,08:00:00,10.222,8.045,7.945,7.920
67,22/10/13,09:00:00,17.701,9.952,8.045,7.870
68,22/10/13,10:00:00,21.318,12.122,8.543,7.870
69,22/10/13,11:00:00,16.796,11.200,9.262,7.995
70,22/10/13,12:00:00,17.534,12.219,9.780,8.220
71,22/10/13,13:00:00,14.170,11.200,10.271,8.469
72,22/10/13,14:00:00,14.553,11.297,10.418,8.693
73,22/10/13,15:00:00,12.968,10.883,10.516,8.866
74,22/10/13,16:00:00,11.904,10.418,10.516,8.990
75,22/10/13,17:00:00,11.151,10.296,10.443,9.089
76,22/10/13,18:00:00,11.200,10.198,10.443,9.238
77,22/10/13,19:00:00,11.053,10.124,10.320,9.361
78,22/10/13,20:00:00,10.980,10.124,10.247,9.410
79,22/10/13,21:00:00,11.005,10.075,10.198,9.485
80,22/10/13,22:00:00,10.100,9.879,10.124,9.485
81,22/10/13,23:00:00,9.928,9.682,10.001,9.435
82,23/10/13,00:00:00,9.435,9.558,9.879,9.386
83,23/10/13,01:00:00,7.995,9.238,9.731,9.312
84,23/10/13,02:00:00,6.940,8.767,9.509,9.238
85,23/10/13,03:00:00,7.041,8.519,9.287,9.139
86,23/10/13,04:00:00,6.611,8.319,9.064,9.015
87,23/10/13,05:00:00,5.872,8.045,8.841,8.891
88,23/10/13,06:00:00,5.821,7.795,8.618,8.767
89,23/10/13,07:00:00,5.565,7.469,8.319,8.618
90,23/10/13,08:00:00,6.433,7.594,8.070,8.469
91,23/10/13,09:00:00,6.914,8.145,7.970,8.319
92,23/10/13,10:00:00,8.070,8.394,8.095,8.220
93,23/10/13,11:00:00,8.444,8.792,8.270,8.195
94,23/10/13,12:00:00,10.907,9.139,8.519,8.220
95,23/10/13,13:00:00,9.928,9.238,8.817,8.295
96,23/10/13,14:00:00,11.127,9.558,9.064,8.394
97,23/10/13,15:00:00,8.817,9.534,9.336,8.494
98,23/10/13,16:00:00,10.834,9.583,9.534,8.618
99,23/10/13,17:00:00,7.995,9.163,9.682,8.767
100,23/10/13,18:00:00,6.408,8.618,9.608,8.841
101,23/10/13,19:00:00,5.334,8.120,9.386,8.866
102,23/10/13,20:00:00,4.428,7.645,9.089,8.841
103,23/10/13,21:00:00,4.220,7.343,8.717,8.742
104,23/10/13,22:00:00,3.749,7.041,8.319,8.593
105,23/10/13,23:00:00,2.956,6.712,8.020,8.419
106,24/10/13,00:00:00,1.913,6.357,7.745,8.245
107,24/10/13,01:00:00,1.778,5.949,7.419,8.070
108,24/10/13,02:00:00,0.797,5.642,7.066,7.870
109,24/10/13,03:00:00,0.989,5.334,6.788,7.670
110,24/10/13,04:00:00,0.495,5.154,6.509,7.494
111,24/10/13,05:00:00,0.495,4.818,6.255,7.293
112,24/10/13,06:00:00,0.051,4.714,6.000,7.116
113,24/10/13,07:00:00,-0.171,4.584,5.796,6.940
114,24/10/13,08:00:00,-0.283,4.610,5.616,6.763
115,24/10/13,09:00:00,0.825,5.154,5.462,6.611
116,24/10/13,10:00:00,1.398,5.437,5.462,6.458
117,24/10/13,11:00:00,8.145,6.509,5.616,6.382
118,24/10/13,12:00:00,2.128,6.712,6.077,6.382
119,24/10/13,13:00:00,12.630,7.066,6.661,6.484
120,24/10/13,14:00:00,10.761,7.343,7.419,6.687
121,24/10/13,15:00:00,11.807,7.318,8.070,6.965
122,24/10/13,16:00:00,9.015,7.091,8.469,7.242
123,24/10/13,17:00:00,8.145,6.864,8.717,7.494
124,24/10/13,18:00:00,3.433,6.357,8.742,7.670
125,24/10/13,19:00:00,0.024,5.462,8.444,7.770
126,24/10/13,20:00:00,-0.451,4.947,7.920,7.745
127,24/10/13,21:00:00,-1.842,4.558,7.368,7.619
128,24/10/13,22:00:00,-2.131,4.220,6.864,7.419
129,24/10/13,23:00:00,-1.556,3.985,6.382,7.217
130,25/10/13,00:00:00,-2.625,3.722,6.000,6.965
131,25/10/13,01:00:00,-3.301,3.433,5.642,6.763
132,25/10/13,02:00:00,-3.687,3.168,5.308,6.535
133,25/10/13,03:00:00,-3.419,2.930,5.024,6.306
134,25/10/13,04:00:00,-4.227,2.690,4.740,6.102
135,25/10/13,05:00:00,-3.836,2.530,4.480,5.898
136,25/10/13,06:00:00,-4.016,2.370,4.246,5.693
137,25/10/13,07:00:00,-3.153,2.262,4.011,5.514
138,25/10/13,08:00:00,-1.756,2.343,3.827,5.360
139,25/10/13,09:00:00,5.821,4.740,3.696,5.205
140,25/10/13,10:00:00,12.316,7.695,3.775,5.050
141,25/10/13,11:00:00,16.106,9.509,4.428,5.024
142,25/10/13,12:00:00,21.772,10.222,5.488,5.205
143,25/10/13,13:00:00,22.106,10.075,6.763,5.539
144,25/10/13,14:00:00,15.390,9.213,7.920,6.026
145,25/10/13,15:00:00,9.238,8.543,8.543,6.535
146,25/10/13,16:00:00,8.643,7.720,8.693,6.914
147,25/10/13,17:00:00,9.534,7.293,8.543,7.167
