Site,Plot,Treatment,Date,Hour,Ambient,Surface,Temp_5cm,Temp_10cm
ITEX1U,5,OTC,18/04/2013,16,15.748,8.593,8.916,8.369
ITEX1U,5,OTC,18/04/2013,17,12.63,8.02,8.99,8.469
ITEX1U,5,OTC,18/04/2013,18,9.435,7.217,8.866,8.519
ITEX1U,5,OTC,18/04/2013,19,6.585,6,8.668,8.519
ITEX1U,5,OTC,18/04/2013,20,5.076,5.334,8.344,8.444
ITEX1U,5,OTC,18/04/2013,21,4.818,5.128,8.02,8.319
ITEX1U,5,OTC,18/04/2013,22,3.906,4.61,7.72,8.17
ITEX1U,5,OTC,18/04/2013,23,3.433,4.376,7.393,8.02
ITEX1U,5,OTC,19/04/2013,00,2.664,4.037,7.091,7.845
ITEX1U,5,OTC,19/04/2013,01,2.77,3.985,6.813,7.67
ITEX1U,5,OTC,19/04/2013,02,2.316,3.485,6.56,7.494
ITEX1U,5,OTC,19/04/2013,03,2.021,3.142,6.255,7.343
ITEX1U,5,OTC,19/04/2013,04,1.778,3.009,6,7.167
ITEX1U,5,OTC,19/04/2013,05,1.751,2.85,5.77,6.99
ITEX1U,5,OTC,19/04/2013,06,1.371,2.664,5.565,6.813
ITEX1U,5,OTC,19/04/2013,07,1.615,2.664,5.411,6.661
ITEX1U,5,OTC,19/04/2013,08,1.805,2.93,5.282,6.535
ITEX1U,5,OTC,19/04/2013,09,2.021,2.93,5.179,6.408
ITEX1U,5,OTC,19/04/2013,10,2.477,3.063,5.128,6.281
ITEX1U,5,OTC,19/04/2013,11,2.717,3.327,5.076,6.204
ITEX1U,5,OTC,19/04/2013,12,2.877,3.538,5.076,6.128
ITEX1U,5,OTC,19/04/2013,13,3.459,3.722,5.102,6.077
ITEX1U,5,OTC,19/04/2013,14,3.775,3.827,5.128,6.026
ITEX1U,5,OTC,19/04/2013,15,3.722,3.827,5.154,6
ITEX1U,5,OTC,19/04/2013,16,4.141,3.932,5.179,5.975
ITEX1U,5,OTC,19/04/2013,17,2.983,3.749,5.231,5.975
