"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)","Temp, °C (LGR S/N: 2426028, SEN S/N: 2426028)"
03/04/15,15:00:00,-87.363,14.314,537.327,8.519
03/04/15,16:00:00,-89.421,13.906,537.327,8.693
03/04/15,17:00:00,-89.421,12.847,537.327,8.891
03/04/15,18:00:00,-89.421,10.467,537.327,9.064
03/04/15,19:00:00,-91.857,8.643,537.327,9.213
03/04/15,20:00:00,-91.857,7.041,537.327,9.287
03/04/15,21:00:00,-91.857,6.204,537.327,9.312
03/04/15,22:00:00,-91.857,6.331,537.327,9.238
03/04/15,23:00:00,-91.857,6.763,537.327,9.163
04/04/15,00:00:00,-91.857,7.015,537.327,9.089
04/04/15,01:00:00,-91.857,7.015,537.327,9.015
04/04/15,02:00:00,-91.857,6.940,537.327,8.965
04/04/15,03:00:00,-91.857,7.469,537.327,8.916
04/04/15,04:00:00,-91.857,7.720,537.327,8.866
04/04/15,05:00:00,-91.857,7.820,537.327,8.841
04/04/15,06:00:00,-91.857,7.895,537.327,8.817
04/04/15,07:00:00,-91.857,7.970,537.327,8.817
04/04/15,08:00:00,-91.857,8.070,537.327,8.817
04/04/15,09:00:00,-91.857,8.444,537.327,8.817
04/04/15,10:00:00,-89.421,8.891,537.327,8.817
04/04/15,11:00:00,-89.421,9.682,537.327,8.841
04/04/15,12:00:00,-91.857,9.780,537.327,8.866
04/04/15,13:00:00,-89.421,10.663,537.327,8.891
04/04/15,14:00:00,-89.421,10.858,537.327,8.941
04/04/15,15:00:00,-89.421,10.834,537.327,9.015
04/04/15,16:00:00,-89.421,11.273,537.327,9.064
04/04/15,17:00:00,-89.421,11.200,537.327,9.114
04/04/15,18:00:00,-89.421,10.516,537.327,9.188
04/04/15,19:00:00,-89.421,9.928,537.327,9.238
04/04/15,20:00:00,-89.421,9.657,537.327,9.287
04/04/15,21:00:00,-89.421,9.460,537.327,9.287
04/04/15,22:00:00,-91.857,9.238,537.327,9.287
04/04/15,23:00:00,-91.857,8.965,537.327,9.287
05/04/15,00:00:00,-91.857,8.792,537.327,9.287
05/04/15,01:00:00,-91.857,8.693,537.327,9.287
05/04/15,02:00:00,-91.857,8.618,537.327,9.262
05/04/15,03:00:00,-91.857,8.568,537.327,9.238
05/04/15,04:00:00,-91.857,8.618,537.327,9.238
05/04/15,05:00:00,-91.857,8.519,537.327,9.213
05/04/15,06:00:00,-91.857,8.419,537.327,9.188
05/04/15,07:00:00,-91.857,8.394,537.327,9.188
05/04/15,08:00:00,-91.857,8.394,537.327,9.163
05/04/15,09:00:00,-91.857,8.742,537.327,9.139
05/04/15,10:00:00,-91.857,9.188,537.327,9.139
05/04/15,11:00:00,-89.421,9.879,537.327,9.139
05/04/15,12:00:00,-89.421,10.418,537.327,9.139
