"Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
30/05/14,12:14:47,10.663,5.719,4.194,4.818
30/05/14,13:14:47,10.443,6.687,4.272,4.792
30/05/14,14:14:47,11.224,6.788,4.454,4.818
30/05/14,15:14:47,8.394,6.230,4.662,4.895
30/05/14,16:14:47,4.194,5.437,4.844,4.999
30/05/14,17:14:47,2.021,4.402,4.895,5.076
30/05/14,18:14:47,-0.143,3.696,4.844,5.102
30/05/14,19:14:47,-0.283,3.354,4.766,5.102
30/05/14,20:14:47,-0.116,3.195,4.662,5.076
30/05/14,21:14:47,0.107,3.116,4.532,5.050
30/05/14,22:14:47,-0.423,2.983,4.454,4.999
30/05/14,23:14:47,-1.441,2.850,4.376,4.921
31/05/14,00:14:47,0.024,2.717,4.272,4.869
31/05/14,01:14:47,0.495,2.717,4.194,4.818
31/05/14,02:14:47,0.825,2.797,4.115,4.766
31/05/14,03:14:47,1.289,2.877,4.063,4.688
31/05/14,04:14:47,1.886,3.089,4.011,4.662
31/05/14,05:14:47,1.697,3.168,3.958,4.610
31/05/14,06:14:47,1.398,3.168,3.932,4.558
31/05/14,07:14:47,-0.563,2.850,3.906,4.532
31/05/14,08:14:47,0.107,2.664,3.854,4.480
31/05/14,09:14:47,2.744,2.877,3.827,4.454
31/05/14,10:14:47,5.642,3.932,3.801,4.428
31/05/14,11:14:47,7.419,4.636,3.827,4.402
31/05/14,12:14:47,10.222,5.616,3.958,4.428
31/05/14,13:14:47,11.467,6.331,4.220,4.480
31/05/14,14:14:47,12.025,6.813,4.506,4.584
31/05/14,15:14:47,10.173,6.560,4.714,4.714
31/05/14,16:14:47,7.343,5.872,4.895,4.844
31/05/14,17:14:47,5.282,5.462,4.947,4.947
31/05/14,18:14:47,5.385,5.205,4.973,4.999
31/05/14,19:14:47,5.616,5.257,4.973,5.050
31/05/14,20:14:47,5.360,5.179,4.973,5.076
31/05/14,21:14:47,4.921,5.024,4.973,5.102
31/05/14,22:14:47,5.231,5.076,4.973,5.128
31/05/14,23:14:47,5.437,5.154,4.999,5.154
01/06/14,00:14:47,5.565,5.231,5.024,5.154
01/06/14,01:14:47,5.565,5.257,5.050,5.179
01/06/14,02:14:47,5.462,5.257,5.076,5.205
01/06/14,03:14:47,4.662,5.154,5.128,5.231
01/06/14,04:14:47,4.792,4.973,5.128,5.257
01/06/14,05:14:47,4.246,4.921,5.128,5.257
01/06/14,06:14:47,3.827,4.766,5.102,5.257
01/06/14,07:14:47,4.584,4.792,5.050,5.257
01/06/14,08:14:47,5.128,4.947,5.050,5.257
01/06/14,09:14:47,5.514,5.102,5.050,5.257
01/06/14,10:14:47,5.975,5.257,5.102,5.257
01/06/14,11:14:47,6.484,5.437,5.128,5.282
01/06/14,12:14:47,6.839,5.821,5.205,5.308
01/06/14,13:14:47,5.668,5.642,5.282,5.334
01/06/14,14:14:47,5.488,5.411,5.385,5.385
01/06/14,15:14:47,4.662,5.205,5.437,5.437
01/06/14,16:14:47,4.480,5.102,5.437,5.488
01/06/14,17:14:47,3.670,4.973,5.411,5.488
01/06/14,18:14:47,2.956,4.688,5.360,5.488
01/06/14,19:14:47,2.423,4.506,5.282,5.488
01/06/14,20:14:47,1.886,4.272,5.205,5.437
01/06/14,21:14:47,1.507,4.037,5.102,5.411
01/06/14,22:14:47,0.962,3.827,4.999,5.360
01/06/14,23:14:47,0.495,3.670,4.895,5.282
