"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)"
30/05/14,13:00:00,9.756,5.257,4.115,4.402
30/05/14,14:00:00,9.361,5.693,4.844,4.558
30/05/14,15:00:00,9.287,5.770,5.488,4.818
30/05/14,16:00:00,7.945,5.565,5.796,5.050
30/05/14,17:00:00,4.947,5.128,5.898,5.257
30/05/14,18:00:00,2.717,4.089,5.796,5.385
30/05/14,19:00:00,1.044,3.670,5.488,5.437
30/05/14,20:00:00,1.099,3.248,5.154,5.411
30/05/14,21:00:00,1.615,3.327,4.818,5.334
30/05/14,22:00:00,1.697,3.301,4.558,5.231
30/05/14,23:00:00,1.126,3.221,4.350,5.102
31/05/14,00:00:00,1.289,3.116,4.168,4.999
31/05/14,01:00:00,0.632,2.823,4.011,4.895
31/05/14,02:00:00,1.044,2.850,3.827,4.792
31/05/14,03:00:00,1.289,2.903,3.696,4.688
31/05/14,04:00:00,1.317,2.903,3.564,4.584
31/05/14,05:00:00,1.967,3.089,3.485,4.506
31/05/14,06:00:00,2.182,3.116,3.459,4.428
31/05/14,07:00:00,1.751,3.089,3.433,4.376
31/05/14,08:00:00,0.660,2.717,3.406,4.324
31/05/14,09:00:00,0.024,2.396,3.301,4.272
31/05/14,10:00:00,1.398,2.664,3.195,4.220
31/05/14,11:00:00,4.766,3.538,3.195,4.141
31/05/14,12:00:00,5.719,4.272,3.433,4.115
31/05/14,13:00:00,8.270,5.102,3.801,4.168
31/05/14,14:00:00,9.064,5.642,4.298,4.272
31/05/14,15:00:00,9.485,5.898,4.844,4.454
31/05/14,16:00:00,9.336,5.770,5.282,4.662
31/05/14,17:00:00,6.535,5.360,5.462,4.895
31/05/14,18:00:00,5.642,5.154,5.462,5.050
31/05/14,19:00:00,5.385,4.921,5.411,5.154
31/05/14,20:00:00,5.642,4.999,5.308,5.205
31/05/14,21:00:00,5.360,4.999,5.257,5.205
31/05/14,22:00:00,5.179,4.895,5.231,5.231
31/05/14,23:00:00,5.282,4.947,5.179,5.231
01/06/14,00:00:00,5.488,5.024,5.154,5.257
01/06/14,01:00:00,5.591,5.102,5.154,5.257
01/06/14,02:00:00,5.616,5.154,5.179,5.257
01/06/14,03:00:00,5.539,5.154,5.205,5.282
01/06/14,04:00:00,5.154,5.128,5.231,5.308
01/06/14,05:00:00,4.869,4.921,5.205,5.308
01/06/14,06:00:00,4.584,4.921,5.154,5.308
01/06/14,07:00:00,4.324,4.792,5.128,5.308
01/06/14,08:00:00,4.662,4.740,5.050,5.308
01/06/14,09:00:00,4.999,4.844,5.024,5.282
01/06/14,10:00:00,5.231,4.973,5.024,5.257
01/06/14,11:00:00,5.591,5.102,5.050,5.257
01/06/14,12:00:00,5.745,5.257,5.102,5.282
01/06/14,13:00:00,6.990,5.462,5.179,5.282
01/06/14,14:00:00,5.975,5.565,5.308,5.334
01/06/14,15:00:00,5.488,5.411,5.411,5.385
01/06/14,16:00:00,4.844,5.282,5.462,5.437
01/06/14,17:00:00,4.610,5.076,5.437,5.462
01/06/14,18:00:00,4.298,4.921,5.334,5.462
01/06/14,19:00:00,3.591,4.662,5.257,5.462
01/06/14,20:00:00,3.248,4.506,5.128,5.437
01/06/14,21:00:00,2.557,4.298,4.973,5.385
01/06/14,22:00:00,2.396,4.089,4.818,5.334
01/06/14,23:00:00,1.778,3.801,4.636,5.257
02/06/14,00:00:00,1.805,3.722,4.480,5.179
02/06/14,01:00:00,1.017,3.433,4.298,5.076
02/06/14,02:00:00,1.289,3.195,4.115,4.973
02/06/14,03:00:00,1.751,3.380,3.958,4.869
02/06/14,04:00:00,2.047,3.459,3.880,4.766
02/06/14,05:00:00,1.697,3.433,3.801,4.688
02/06/14,06:00:00,1.099,3.195,3.749,4.610
02/06/14,07:00:00,0.467,2.903,3.643,4.558
02/06/14,08:00:00,0.715,2.770,3.538,4.480
02/06/14,09:00:00,1.507,2.983,3.433,4.402
02/06/14,10:00:00,2.074,3.248,3.380,4.350
02/06/14,11:00:00,5.488,4.063,3.406,4.298
02/06/14,12:00:00,7.995,4.844,3.722,4.272
02/06/14,13:00:00,8.245,5.282,4.220,4.350
02/06/14,14:00:00,9.632,5.770,4.688,4.506
02/06/14,15:00:00,10.247,6.000,5.154,4.688
02/06/14,16:00:00,7.469,5.770,5.539,4.895
02/06/14,17:00:00,6.585,5.642,5.693,5.102
02/06/14,18:00:00,5.334,5.257,5.745,5.257
02/06/14,19:00:00,4.714,5.024,5.642,5.360
02/06/14,20:00:00,4.376,4.869,5.514,5.411
02/06/14,21:00:00,4.220,4.766,5.385,5.385
02/06/14,22:00:00,3.985,4.636,5.231,5.385
02/06/14,23:00:00,3.880,4.506,5.102,5.360
03/06/14,00:00:00,3.722,4.428,4.973,5.308
03/06/14,01:00:00,3.696,4.350,4.844,5.231
03/06/14,02:00:00,3.643,4.298,4.766,5.179
03/06/14,03:00:00,3.643,4.246,4.688,5.128
03/06/14,04:00:00,3.801,4.272,4.610,5.076
03/06/14,05:00:00,3.801,4.272,4.584,5.024
03/06/14,06:00:00,3.775,4.272,4.558,4.999
03/06/14,07:00:00,3.801,4.272,4.558,4.973
03/06/14,08:00:00,3.827,4.246,4.532,4.947
03/06/14,09:00:00,4.141,4.298,4.506,4.947
03/06/14,10:00:00,4.947,4.532,4.506,4.921
03/06/14,11:00:00,6.255,5.050,4.584,4.921
03/06/14,12:00:00,8.792,5.949,4.844,4.947
03/06/14,13:00:00,8.965,6.306,5.308,5.024
03/06/14,14:00:00,7.594,6.255,5.745,5.205
03/06/14,15:00:00,6.990,6.051,6.000,5.385
03/06/14,16:00:00,6.535,5.975,6.102,5.539
03/06/14,17:00:00,6.128,5.796,6.153,5.668
03/06/14,18:00:00,5.205,5.514,6.128,5.745
03/06/14,19:00:00,4.402,5.257,6.026,5.796
03/06/14,20:00:00,4.688,5.154,5.872,5.796
03/06/14,21:00:00,4.402,5.128,5.719,5.796
03/06/14,22:00:00,3.958,4.947,5.616,5.745
03/06/14,23:00:00,3.801,4.740,5.488,5.693
04/06/14,00:00:00,4.168,4.766,5.334,5.642
04/06/14,01:00:00,4.194,4.766,5.231,5.591
04/06/14,02:00:00,4.011,4.714,5.179,5.539
04/06/14,03:00:00,4.063,4.662,5.102,5.488
04/06/14,04:00:00,3.958,4.636,5.050,5.437
04/06/14,05:00:00,3.643,4.480,4.999,5.411
04/06/14,06:00:00,3.696,4.454,4.921,5.360
04/06/14,07:00:00,3.591,4.402,4.869,5.308
04/06/14,08:00:00,3.406,4.324,4.792,5.257
04/06/14,09:00:00,3.670,4.350,4.740,5.231
04/06/14,10:00:00,4.298,4.506,4.714,5.205
04/06/14,11:00:00,5.128,4.895,4.766,5.179
04/06/14,12:00:00,7.167,5.745,4.999,5.179
04/06/14,13:00:00,9.854,6.102,5.462,5.231
04/06/14,14:00:00,8.866,6.051,5.975,5.385
04/06/14,15:00:00,9.188,6.077,6.382,5.591
04/06/14,16:00:00,9.312,6.102,6.661,5.770
04/06/14,17:00:00,6.940,5.898,6.712,5.949
04/06/14,18:00:00,5.616,5.565,6.636,6.051
04/06/14,19:00:00,4.141,5.102,6.433,6.077
04/06/14,20:00:00,2.262,4.610,6.204,6.077
04/06/14,21:00:00,0.439,3.722,5.872,6.026
04/06/14,22:00:00,-0.143,3.221,5.462,5.924
04/06/14,23:00:00,-0.507,2.797,5.102,5.770
05/06/14,00:00:00,-0.986,2.450,4.740,5.616
05/06/14,01:00:00,-1.157,2.182,4.428,5.437
05/06/14,02:00:00,-1.213,1.967,4.141,5.257
05/06/14,03:00:00,-1.356,1.805,3.880,5.102
05/06/14,04:00:00,-1.270,1.751,3.670,4.921
05/06/14,05:00:00,-0.732,1.670,3.485,4.766
05/06/14,06:00:00,-0.563,1.670,3.327,4.610
05/06/14,07:00:00,-0.676,1.805,3.168,4.480
05/06/14,08:00:00,-0.116,1.886,3.063,4.376
05/06/14,09:00:00,-0.004,2.074,2.983,4.272
05/06/14,10:00:00,1.805,2.503,2.903,4.168
05/06/14,11:00:00,4.141,3.274,2.877,4.089
05/06/14,12:00:00,6.281,3.880,3.009,4.037
05/06/14,13:00:00,7.268,4.532,3.380,4.037
05/06/14,14:00:00,8.220,5.076,3.854,4.115
05/06/14,15:00:00,8.120,5.437,4.350,4.272
05/06/14,16:00:00,8.045,5.411,4.818,4.454
05/06/14,17:00:00,4.818,4.921,5.102,4.662
05/06/14,18:00:00,4.584,4.532,5.128,4.818
05/06/14,19:00:00,4.168,4.324,5.050,4.921
05/06/14,20:00:00,3.854,4.194,4.947,4.973
05/06/14,21:00:00,3.485,4.037,4.818,4.999
05/06/14,22:00:00,3.089,3.932,4.688,4.999
05/06/14,23:00:00,3.063,3.827,4.558,4.973
06/06/14,00:00:00,3.089,3.749,4.454,4.921
06/06/14,01:00:00,2.983,3.670,4.376,4.869
06/06/14,02:00:00,2.877,3.617,4.298,4.818
06/06/14,03:00:00,2.797,3.564,4.220,4.792
06/06/14,04:00:00,2.477,3.459,4.168,4.740
06/06/14,05:00:00,2.343,3.354,4.063,4.688
06/06/14,06:00:00,2.316,3.327,3.985,4.636
06/06/14,07:00:00,1.940,3.301,3.932,4.610
06/06/14,08:00:00,1.099,3.063,3.854,4.558
06/06/14,09:00:00,-0.367,2.450,3.749,4.506
06/06/14,10:00:00,-0.143,2.316,3.591,4.428
06/06/14,11:00:00,1.071,2.690,3.459,4.350
06/06/14,12:00:00,4.480,3.617,3.538,4.298
06/06/14,13:00:00,8.095,4.402,4.011,4.298
06/06/14,14:00:00,8.941,4.766,4.610,4.402
06/06/14,15:00:00,8.668,4.714,5.205,4.584
06/06/14,16:00:00,7.116,4.454,5.462,4.818
06/06/14,17:00:00,3.775,3.985,5.334,4.973
06/06/14,18:00:00,3.142,3.512,5.076,5.050
06/06/14,19:00:00,3.142,3.512,4.792,5.024
06/06/14,20:00:00,1.751,3.168,4.584,4.947
06/06/14,21:00:00,1.126,2.956,4.350,4.895
06/06/14,22:00:00,-0.171,2.530,4.141,4.792
06/06/14,23:00:00,-0.171,2.396,3.880,4.714
07/06/14,00:00:00,-0.535,2.236,3.670,4.584
07/06/14,01:00:00,-0.648,2.155,3.485,4.454
07/06/14,02:00:00,-0.817,2.074,3.301,4.350
07/06/14,03:00:00,-0.902,1.967,3.142,4.220
07/06/14,04:00:00,-0.845,1.940,2.983,4.141
07/06/14,05:00:00,-1.498,1.805,2.877,4.011
07/06/14,06:00:00,-1.356,1.561,2.770,3.932
07/06/14,07:00:00,-1.384,1.425,2.664,3.854
07/06/14,08:00:00,-1.441,1.371,2.557,3.749
07/06/14,09:00:00,-0.620,1.317,2.477,3.670
07/06/14,10:00:00,-0.591,1.398,2.396,3.591
07/06/14,11:00:00,-0.004,1.751,2.316,3.538
07/06/14,12:00:00,4.298,2.717,2.316,3.459
07/06/14,13:00:00,7.167,3.459,2.584,3.433
07/06/14,14:00:00,7.419,3.906,3.116,3.485
07/06/14,15:00:00,6.077,3.932,3.617,3.643
07/06/14,16:00:00,6.179,3.906,3.880,3.801
07/06/14,17:00:00,4.662,3.749,3.985,3.932
07/06/14,18:00:00,3.301,3.564,4.011,4.037
07/06/14,19:00:00,3.354,3.485,3.958,4.115
07/06/14,20:00:00,1.534,3.195,3.906,4.141
07/06/14,21:00:00,1.588,2.983,3.775,4.141
07/06/14,22:00:00,0.797,2.797,3.617,4.141
07/06/14,23:00:00,0.301,2.557,3.459,4.089
08/06/14,00:00:00,0.329,2.423,3.274,4.011
08/06/14,01:00:00,-0.143,2.236,3.116,3.958
08/06/14,02:00:00,0.301,2.182,2.956,3.880
08/06/14,03:00:00,0.107,2.101,2.850,3.801
08/06/14,04:00:00,-0.116,1.967,2.744,3.722
08/06/14,05:00:00,-0.423,1.751,2.664,3.643
08/06/14,06:00:00,-0.760,1.561,2.557,3.591
08/06/14,07:00:00,-0.760,1.480,2.450,3.512
08/06/14,08:00:00,-0.255,1.453,2.370,3.459
08/06/14,09:00:00,-0.060,1.453,2.289,3.406
08/06/14,10:00:00,0.356,1.534,2.236,3.327
08/06/14,11:00:00,0.770,1.697,2.209,3.274
08/06/14,12:00:00,1.913,1.859,2.182,3.248
08/06/14,13:00:00,3.591,2.289,2.209,3.221
08/06/14,14:00:00,6.408,2.850,2.370,3.195
08/06/14,15:00:00,5.847,2.930,2.717,3.221
08/06/14,16:00:00,6.051,3.009,2.983,3.327
08/06/14,17:00:00,2.316,2.637,3.168,3.433
08/06/14,18:00:00,0.605,2.128,3.195,3.538
08/06/14,19:00:00,0.079,1.832,3.036,3.538
08/06/14,20:00:00,-0.395,1.615,2.877,3.538
08/06/14,21:00:00,0.107,1.561,2.717,3.512
08/06/14,22:00:00,0.135,1.561,2.584,3.485
08/06/14,23:00:00,0.079,1.561,2.477,3.406
09/06/14,00:00:00,0.051,1.561,2.396,3.354
09/06/14,01:00:00,0.301,1.588,2.316,3.301
09/06/14,02:00:00,0.495,1.670,2.289,3.248
09/06/14,03:00:00,0.660,1.751,2.236,3.221
09/06/14,04:00:00,0.770,1.778,2.236,3.168
09/06/14,05:00:00,0.852,1.832,2.209,3.142
09/06/14,06:00:00,1.044,1.859,2.209,3.116
09/06/14,07:00:00,1.289,1.940,2.209,3.089
09/06/14,08:00:00,1.561,2.047,2.236,3.089
09/06/14,09:00:00,2.074,2.182,2.289,3.089
09/06/14,10:00:00,2.956,2.450,2.370,3.089
09/06/14,11:00:00,5.128,2.903,2.503,3.089
09/06/14,12:00:00,6.306,3.459,2.744,3.168
09/06/14,13:00:00,7.920,3.985,3.089,3.248
09/06/14,14:00:00,7.820,4.220,3.512,3.380
09/06/14,15:00:00,8.394,4.298,3.880,3.564
09/06/14,16:00:00,6.839,4.115,4.141,3.749
09/06/14,17:00:00,3.564,3.643,4.246,3.906
09/06/14,18:00:00,1.751,3.116,4.141,4.011
09/06/14,19:00:00,1.208,2.664,3.906,4.063
09/06/14,20:00:00,0.605,2.423,3.643,4.037
09/06/14,21:00:00,0.329,2.262,3.433,3.985
09/06/14,22:00:00,0.135,2.155,3.221,3.906
09/06/14,23:00:00,0.329,2.128,3.036,3.801
10/06/14,00:00:00,0.742,2.182,2.903,3.722
10/06/14,01:00:00,-0.451,1.994,2.797,3.643
10/06/14,02:00:00,-2.450,1.398,2.717,3.564
10/06/14,03:00:00,-2.742,1.071,2.584,3.512
10/06/14,04:00:00,-3.301,0.852,2.450,3.433
10/06/14,05:00:00,-3.538,0.687,2.289,3.327
10/06/14,06:00:00,-3.508,0.522,2.182,3.248
10/06/14,07:00:00,-3.479,0.412,2.074,3.168
10/06/14,08:00:00,-3.330,0.273,1.967,3.089
10/06/14,09:00:00,-2.771,0.163,1.859,3.009
10/06/14,10:00:00,-1.015,0.163,1.805,2.930
10/06/14,11:00:00,-0.060,0.190,1.724,2.877
10/06/14,12:00:00,0.989,0.246,1.670,2.797
10/06/14,13:00:00,4.324,0.301,1.643,2.770
10/06/14,14:00:00,4.869,0.439,1.724,2.717
10/06/14,15:00:00,6.153,0.825,2.047,2.717
10/06/14,16:00:00,5.154,1.534,2.450,2.797
10/06/14,17:00:00,1.561,1.643,2.610,2.903
10/06/14,18:00:00,-0.563,1.208,2.557,2.983
