"Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
02/05/15,15:14:47,9.213,7.066,5.642,5.462
02/05/15,16:14:47,8.195,6.839,5.796,5.616
02/05/15,17:14:47,7.393,6.611,5.898,5.719
02/05/15,18:14:47,7.343,6.560,5.924,5.821
02/05/15,19:14:47,7.293,6.535,5.949,5.872
02/05/15,20:14:47,7.268,6.509,5.975,5.924
02/05/15,21:14:47,7.142,6.509,5.975,5.949
02/05/15,22:14:47,7.066,6.458,6.000,6.000
02/05/15,23:14:47,7.041,6.408,6.026,6.026
03/05/15,00:14:47,6.255,6.204,6.026,6.051
03/05/15,01:14:47,4.740,5.872,6.026,6.051
03/05/15,02:14:47,1.859,5.360,5.975,6.077
03/05/15,03:14:47,2.877,4.921,5.872,6.051
03/05/15,04:14:47,1.697,4.766,5.745,6.026
03/05/15,05:14:47,0.163,4.376,5.591,5.949
03/05/15,06:14:47,0.934,4.063,5.462,5.898
03/05/15,07:14:47,0.329,3.906,5.334,5.821
03/05/15,08:14:47,4.089,3.906,5.205,5.745
03/05/15,09:14:47,6.077,4.532,5.102,5.668
03/05/15,10:14:47,7.217,4.973,5.050,5.591
03/05/15,11:14:47,12.243,5.821,5.050,5.539
03/05/15,12:14:47,13.690,7.167,5.154,5.539
03/05/15,13:14:47,17.677,8.543,5.334,5.565
03/05/15,14:14:47,20.269,9.583,5.591,5.642
03/05/15,15:14:47,22.298,10.271,5.796,5.770
03/05/15,16:14:47,18.604,10.271,5.949,5.872
03/05/15,17:14:47,12.171,9.262,6.077,5.975
03/05/15,18:14:47,4.194,7.920,6.204,6.102
03/05/15,19:14:47,5.257,6.914,6.204,6.179
03/05/15,20:14:47,1.235,6.255,6.102,6.179
03/05/15,21:14:47,0.770,5.514,5.975,6.179
03/05/15,22:14:47,-0.032,4.921,5.821,6.128
03/05/15,23:14:47,0.024,4.454,5.642,6.077
04/05/15,00:14:47,-0.676,4.115,5.488,6.000
04/05/15,01:14:47,0.742,4.011,5.308,5.898
04/05/15,02:14:47,0.522,3.958,5.179,5.796
04/05/15,03:14:47,0.079,3.801,5.050,5.719
04/05/15,04:14:47,-0.311,3.643,4.947,5.616
04/05/15,05:14:47,0.384,3.564,4.844,5.539
04/05/15,06:14:47,0.246,3.512,4.740,5.462
04/05/15,07:14:47,0.989,3.538,4.636,5.385
04/05/15,08:14:47,2.155,3.670,4.558,5.308
04/05/15,09:14:47,3.538,3.906,4.480,5.231
04/05/15,10:14:47,5.514,4.168,4.428,5.179
04/05/15,11:14:47,10.541,4.844,4.376,5.102
04/05/15,12:14:47,12.703,6.026,4.376,5.076
04/05/15,13:14:47,17.439,7.594,4.480,5.050
04/05/15,14:14:47,19.270,8.717,4.740,5.128
04/05/15,15:14:47,19.698,9.163,4.999,5.231
04/05/15,16:14:47,14.290,8.817,5.179,5.334
04/05/15,17:14:47,7.343,7.142,5.282,5.437
04/05/15,18:14:47,5.231,6.077,5.334,5.514
04/05/15,19:14:47,4.999,5.411,5.308,5.565
04/05/15,20:14:47,5.385,4.792,5.257,5.591
04/05/15,21:14:47,5.050,4.584,5.205,5.565
04/05/15,22:14:47,4.506,4.558,5.154,5.565
04/05/15,23:14:47,4.584,4.376,5.102,5.539
05/05/15,00:14:47,4.298,4.506,5.050,5.514
05/05/15,01:14:47,5.128,4.480,5.024,5.488
05/05/15,02:14:47,4.688,4.454,5.024,5.462
05/05/15,03:14:47,4.324,4.376,5.024,5.462
05/05/15,04:14:47,3.775,4.376,5.024,5.437
05/05/15,05:14:47,3.749,4.220,4.999,5.462
05/05/15,06:14:47,4.168,4.168,4.999,5.437
05/05/15,07:14:47,3.009,4.298,4.999,5.437
05/05/15,08:14:47,2.155,3.749,4.973,5.411
05/05/15,09:14:47,2.610,3.591,4.869,5.385
05/05/15,10:14:47,2.797,3.985,4.792,5.334
05/05/15,11:14:47,2.021,3.827,4.818,5.308
05/05/15,12:14:47,2.664,3.564,4.792,5.282
05/05/15,13:14:47,2.584,3.696,4.740,5.257
05/05/15,14:14:47,1.994,3.670,4.740,5.231
05/05/15,15:14:47,0.962,2.983,4.766,5.231
05/05/15,16:14:47,0.246,2.690,4.714,5.205
05/05/15,17:14:47,0.024,2.503,4.636,5.179
05/05/15,18:14:47,-0.032,2.262,4.584,5.154
05/05/15,19:14:47,-0.535,2.047,4.506,5.102
05/05/15,20:14:47,-0.507,1.859,4.428,5.050
05/05/15,21:14:47,-0.760,1.805,4.376,4.999
05/05/15,22:14:47,-0.732,1.805,4.298,4.947
05/05/15,23:14:47,-0.958,1.670,4.246,4.895
06/05/15,00:14:47,-1.213,1.480,4.194,4.844
06/05/15,01:14:47,-1.327,1.371,4.141,4.818
06/05/15,02:14:47,-1.384,1.208,4.089,4.766
06/05/15,03:14:47,-1.441,1.126,4.037,4.714
06/05/15,04:14:47,-1.613,1.017,3.985,4.662
06/05/15,05:14:47,-1.670,0.962,3.932,4.636
06/05/15,06:14:47,-1.871,0.852,3.880,4.584
06/05/15,07:14:47,-1.986,0.742,3.827,4.532
06/05/15,08:14:47,-1.498,0.742,3.775,4.506
06/05/15,09:14:47,-0.958,0.797,3.722,4.454
06/05/15,10:14:47,-0.591,0.907,3.696,4.402
06/05/15,11:14:47,0.024,1.071,3.670,4.376
06/05/15,12:14:47,0.135,1.262,3.670,4.350
06/05/15,13:14:47,0.107,1.398,3.670,4.324
06/05/15,14:14:47,-0.032,1.453,3.722,4.324
06/05/15,15:14:47,-0.143,1.453,3.722,4.324
06/05/15,16:14:47,0.135,1.507,3.722,4.324
06/05/15,17:14:47,0.384,1.561,3.722,4.324
06/05/15,18:14:47,0.522,1.670,3.722,4.298
06/05/15,19:14:47,0.797,1.751,3.722,4.298
06/05/15,20:14:47,0.852,1.859,3.696,4.272
06/05/15,21:14:47,0.962,1.751,3.696,4.272
06/05/15,22:14:47,1.289,1.994,3.696,4.272
06/05/15,23:14:47,0.852,2.021,3.696,4.246
07/05/15,00:14:47,-0.032,1.886,3.696,4.246
07/05/15,01:14:47,-0.171,1.643,3.670,4.246
07/05/15,02:14:47,-0.116,1.561,3.670,4.220
07/05/15,03:14:47,-0.760,1.643,3.643,4.220
07/05/15,04:14:47,-1.213,1.507,3.617,4.194
07/05/15,05:14:47,-1.929,1.289,3.591,4.194
07/05/15,06:14:47,-1.900,1.208,3.564,4.168
07/05/15,07:14:47,-1.699,1.208,3.538,4.141
07/05/15,08:14:47,-1.527,1.208,3.538,4.115
07/05/15,09:14:47,-0.732,1.317,3.512,4.115
07/05/15,10:14:47,-0.311,1.398,3.512,4.089
07/05/15,11:14:47,-0.283,1.480,3.512,4.089
07/05/15,12:14:47,-0.032,1.561,3.512,4.089
07/05/15,13:14:47,-0.032,1.588,3.512,4.063
07/05/15,14:14:47,-0.004,1.643,3.512,4.063
07/05/15,15:14:47,0.107,1.697,3.538,4.063
07/05/15,16:14:47,-0.004,1.724,3.538,4.063
