"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)"
02/05/15,17:00:00,8.120,6.535,6.230,5.565
02/05/15,18:00:00,7.469,6.408,6.331,5.745
02/05/15,19:00:00,7.167,6.281,6.331,5.872
02/05/15,20:00:00,7.041,6.204,6.306,5.975
02/05/15,21:00:00,6.965,6.153,6.281,6.026
02/05/15,22:00:00,6.889,6.153,6.255,6.051
02/05/15,23:00:00,6.763,6.102,6.255,6.102
03/05/15,00:00:00,6.585,6.077,6.230,6.102
03/05/15,01:00:00,5.668,6.026,6.204,6.128
03/05/15,02:00:00,4.610,5.872,6.128,6.153
03/05/15,03:00:00,2.423,5.565,6.000,6.128
03/05/15,04:00:00,2.477,5.102,5.745,6.102
03/05/15,05:00:00,2.047,4.818,5.488,6.026
03/05/15,06:00:00,0.301,4.506,5.257,5.949
03/05/15,07:00:00,-0.032,4.141,4.999,5.821
03/05/15,08:00:00,0.329,3.906,4.766,5.719
03/05/15,09:00:00,1.480,3.749,4.532,5.565
03/05/15,10:00:00,3.459,3.932,4.428,5.437
03/05/15,11:00:00,7.444,4.688,4.636,5.360
03/05/15,12:00:00,10.785,5.898,5.231,5.360
03/05/15,13:00:00,15.342,6.889,6.026,5.514
03/05/15,14:00:00,15.461,7.393,6.914,5.770
03/05/15,15:00:00,15.438,7.594,7.695,6.077
03/05/15,16:00:00,14.337,7.569,8.295,6.458
03/05/15,17:00:00,11.637,7.393,8.469,6.763
03/05/15,18:00:00,10.443,7.242,8.295,6.990
03/05/15,19:00:00,5.565,7.116,8.120,7.091
03/05/15,20:00:00,5.642,6.408,7.795,7.142
03/05/15,21:00:00,2.744,6.077,7.393,7.116
03/05/15,22:00:00,2.316,5.488,6.990,7.041
03/05/15,23:00:00,-0.143,4.973,6.560,6.914
04/05/15,00:00:00,-0.789,4.480,6.128,6.763
04/05/15,01:00:00,-0.255,4.115,5.693,6.585
04/05/15,02:00:00,-0.004,3.906,5.308,6.382
04/05/15,03:00:00,-0.143,3.775,4.999,6.179
04/05/15,04:00:00,-0.283,3.617,4.740,6.000
04/05/15,05:00:00,-1.128,3.459,4.506,5.796
04/05/15,06:00:00,-0.704,3.301,4.298,5.642
04/05/15,07:00:00,-0.704,3.168,4.089,5.488
04/05/15,08:00:00,-0.451,3.063,3.906,5.334
04/05/15,09:00:00,-0.171,3.009,3.749,5.205
04/05/15,10:00:00,1.235,2.983,3.643,5.076
04/05/15,11:00:00,5.437,3.248,3.670,4.947
04/05/15,12:00:00,8.891,4.168,4.141,4.895
04/05/15,13:00:00,13.522,5.154,4.844,4.973
04/05/15,14:00:00,14.290,5.924,5.616,5.154
04/05/15,15:00:00,13.642,6.357,6.357,5.437
04/05/15,16:00:00,12.316,6.382,6.940,5.745
04/05/15,17:00:00,8.394,6.128,7.116,6.026
04/05/15,18:00:00,6.153,5.745,6.889,6.204
04/05/15,19:00:00,4.532,5.411,6.611,6.281
04/05/15,20:00:00,4.011,5.102,6.281,6.255
04/05/15,21:00:00,3.775,4.818,6.000,6.204
04/05/15,22:00:00,3.327,4.584,5.719,6.128
04/05/15,23:00:00,3.433,4.402,5.488,6.026
05/05/15,00:00:00,3.301,4.298,5.282,5.924
05/05/15,01:00:00,3.063,4.246,5.128,5.847
05/05/15,02:00:00,3.827,4.194,4.999,5.745
05/05/15,03:00:00,3.827,4.220,4.921,5.668
05/05/15,04:00:00,3.591,4.246,4.869,5.591
05/05/15,05:00:00,3.274,4.220,4.818,5.539
05/05/15,06:00:00,3.089,4.168,4.766,5.488
05/05/15,07:00:00,3.485,4.115,4.688,5.411
05/05/15,08:00:00,3.880,4.141,4.636,5.385
05/05/15,09:00:00,2.584,4.168,4.636,5.334
05/05/15,10:00:00,2.930,4.011,4.532,5.308
05/05/15,11:00:00,3.538,3.958,4.402,5.257
05/05/15,12:00:00,3.301,4.011,4.350,5.179
05/05/15,13:00:00,2.877,3.985,4.350,5.128
05/05/15,14:00:00,3.327,3.958,4.272,5.102
05/05/15,15:00:00,3.827,4.011,4.246,5.050
05/05/15,16:00:00,2.074,4.037,4.298,4.999
05/05/15,17:00:00,2.101,3.854,4.272,4.999
05/05/15,18:00:00,1.697,3.696,4.141,4.947
05/05/15,19:00:00,1.317,3.538,4.037,4.895
05/05/15,20:00:00,1.153,3.380,3.932,4.844
05/05/15,21:00:00,1.071,3.195,3.801,4.766
05/05/15,22:00:00,1.017,3.089,3.696,4.714
05/05/15,23:00:00,1.071,3.009,3.591,4.636
06/05/15,00:00:00,0.962,2.956,3.512,4.558
06/05/15,01:00:00,0.852,2.903,3.459,4.506
06/05/15,02:00:00,0.825,2.850,3.380,4.428
06/05/15,03:00:00,0.632,2.797,3.327,4.376
06/05/15,04:00:00,0.522,2.717,3.274,4.324
06/05/15,05:00:00,0.439,2.637,3.195,4.272
06/05/15,06:00:00,0.384,2.557,3.142,4.220
06/05/15,07:00:00,0.190,2.503,3.063,4.168
06/05/15,08:00:00,0.163,2.450,3.009,4.115
