"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)","Temp, °C (LGR S/N: 1248339, SEN S/N: 1248339)"
08/11/15,14:00:00,28.965,14.721,12.944,10.369
08/11/15,15:00:00,28.568,14.697,14.074,10.956
08/11/15,16:00:00,24.243,14.361,14.912,11.540
08/11/15,17:00:00,20.126,13.930,15.199,12.050
08/11/15,18:00:00,17.058,13.425,15.055,12.413
08/11/15,19:00:00,14.697,12.944,14.697,12.606
08/11/15,20:00:00,11.443,12.413,14.194,12.654
08/11/15,21:00:00,9.731,11.783,13.570,12.606
08/11/15,22:00:00,8.990,11.248,12.968,12.461
08/11/15,23:00:00,8.643,10.785,12.364,12.243
09/11/15,00:00:00,8.045,10.467,11.856,12.025
09/11/15,01:00:00,7.116,10.124,11.443,11.783
09/11/15,02:00:00,6.611,9.756,11.005,11.540
09/11/15,03:00:00,5.949,9.435,10.590,11.297
09/11/15,04:00:00,5.385,9.089,10.222,11.078
09/11/15,05:00:00,5.154,8.792,9.879,10.834
09/11/15,06:00:00,5.024,8.543,9.558,10.590
09/11/15,07:00:00,5.872,8.369,9.262,10.369
09/11/15,08:00:00,7.695,8.568,9.064,10.173
09/11/15,09:00:00,11.297,9.756,9.213,10.001
09/11/15,10:00:00,17.510,11.273,9.805,9.928
09/11/15,11:00:00,22.489,12.703,10.687,10.051
09/11/15,12:00:00,27.259,14.457,11.880,10.320
09/11/15,13:00:00,30.748,15.533,13.185,10.736
09/11/15,14:00:00,28.941,15.867,14.385,11.273
09/11/15,15:00:00,23.833,15.915,15.247,11.832
09/11/15,16:00:00,21.270,15.414,15.629,12.364
09/11/15,17:00:00,19.746,15.079,15.581,12.727
09/11/15,18:00:00,16.939,14.745,15.438,12.992
09/11/15,19:00:00,16.582,14.266,15.127,13.112
09/11/15,20:00:00,14.553,13.954,14.768,13.137
09/11/15,21:00:00,11.710,13.377,14.361,13.112
09/11/15,22:00:00,10.173,12.654,13.810,13.016
09/11/15,23:00:00,9.485,12.074,13.257,12.847
10/11/15,00:00:00,8.469,11.589,12.751,12.630
10/11/15,01:00:00,8.469,11.151,12.292,12.413
10/11/15,02:00:00,7.995,10.858,11.856,12.171
10/11/15,03:00:00,7.192,10.541,11.492,11.929
10/11/15,04:00:00,6.990,10.198,11.127,11.710
10/11/15,05:00:00,6.585,9.879,10.785,11.492
10/11/15,06:00:00,7.015,9.632,10.467,11.273
10/11/15,07:00:00,8.742,9.558,10.222,11.053
10/11/15,08:00:00,11.273,9.977,10.124,10.858
10/11/15,09:00:00,14.170,10.638,10.345,10.736
10/11/15,10:00:00,15.509,11.492,10.785,10.687
10/11/15,11:00:00,20.126,12.340,11.321,10.761
10/11/15,12:00:00,23.593,13.112,12.074,10.907
10/11/15,13:00:00,26.769,14.266,12.992,11.175
10/11/15,14:00:00,31.281,15.031,14.050,11.540
10/11/15,15:00:00,23.665,15.151,14.936,12.001
10/11/15,16:00:00,19.841,14.745,15.318,12.461
10/11/15,17:00:00,16.439,14.242,15.127,12.775
10/11/15,18:00:00,10.198,11.977,14.337,12.920
10/11/15,19:00:00,11.759,11.613,13.522,12.847
10/11/15,20:00:00,11.419,11.565,13.064,12.654
10/11/15,21:00:00,11.102,11.516,12.703,12.461
10/11/15,22:00:00,10.565,11.419,12.389,12.292
10/11/15,23:00:00,10.222,11.151,12.050,12.122
11/11/15,00:00:00,10.222,11.029,11.734,11.953
11/11/15,01:00:00,10.149,10.932,11.516,11.783
11/11/15,02:00:00,10.026,10.883,11.370,11.613
11/11/15,03:00:00,8.568,10.736,11.224,11.492
11/11/15,04:00:00,9.262,10.467,10.980,11.346
11/11/15,05:00:00,9.386,10.394,10.785,11.224
11/11/15,06:00:00,9.139,10.345,10.663,11.078
11/11/15,07:00:00,9.386,10.271,10.516,10.956
11/11/15,08:00:00,10.858,10.369,10.443,10.834
11/11/15,09:00:00,12.292,10.761,10.541,10.761
11/11/15,10:00:00,13.690,11.200,10.810,10.736
11/11/15,11:00:00,13.810,11.662,11.200,10.761
11/11/15,12:00:00,14.864,11.832,11.516,10.858
11/11/15,13:00:00,15.079,12.219,11.783,10.980
11/11/15,14:00:00,16.082,12.582,12.147,11.127
11/11/15,15:00:00,15.151,12.896,12.534,11.297
11/11/15,16:00:00,15.247,12.920,12.871,11.492
11/11/15,17:00:00,13.618,12.847,12.992,11.662
11/11/15,18:00:00,13.112,12.558,12.944,11.783
11/11/15,19:00:00,12.122,12.413,12.799,11.856
11/11/15,20:00:00,11.419,12.195,12.606,11.880
11/11/15,21:00:00,10.980,11.953,12.389,11.856
11/11/15,22:00:00,10.956,11.710,12.171,11.807
11/11/15,23:00:00,10.858,11.565,11.953,11.734
12/11/15,00:00:00,10.663,11.419,11.759,11.637
12/11/15,01:00:00,10.467,11.248,11.589,11.540
12/11/15,02:00:00,10.541,11.127,11.419,11.443
12/11/15,03:00:00,10.467,11.029,11.273,11.346
12/11/15,04:00:00,10.443,10.956,11.151,11.273
12/11/15,05:00:00,10.492,10.907,11.053,11.175
12/11/15,06:00:00,10.026,10.883,11.005,11.102
12/11/15,07:00:00,10.541,10.761,10.883,11.029
12/11/15,08:00:00,10.858,10.785,10.834,10.956
12/11/15,09:00:00,11.662,10.907,10.834,10.907
12/11/15,10:00:00,11.637,11.151,10.956,10.858
12/11/15,11:00:00,10.810,11.151,11.078,10.858
12/11/15,12:00:00,11.540,11.053,11.053,10.932
12/11/15,13:00:00,12.025,11.102,11.053,10.932
12/11/15,14:00:00,13.425,11.492,11.175,10.932
12/11/15,15:00:00,12.025,11.613,11.443,10.956
12/11/15,16:00:00,11.710,11.589,11.516,11.029
12/11/15,17:00:00,11.953,11.540,11.540,11.078
12/11/15,18:00:00,10.443,11.467,11.540,11.127
12/11/15,19:00:00,10.516,11.078,11.346,11.175
12/11/15,20:00:00,9.952,10.932,11.175,11.127
12/11/15,21:00:00,8.469,10.712,11.005,11.053
12/11/15,22:00:00,7.619,10.296,10.736,10.980
12/11/15,23:00:00,8.319,10.051,10.443,10.858
13/11/15,00:00:00,6.990,9.903,10.222,10.712
13/11/15,01:00:00,6.661,9.583,9.977,10.590
13/11/15,02:00:00,7.015,9.361,9.706,10.443
13/11/15,03:00:00,6.763,9.188,9.485,10.271
13/11/15,04:00:00,7.845,9.114,9.262,10.124
13/11/15,05:00:00,8.195,9.139,9.188,9.977
13/11/15,06:00:00,8.519,9.213,9.163,9.879
13/11/15,07:00:00,9.386,9.312,9.163,9.780
13/11/15,08:00:00,10.149,9.608,9.262,9.731
13/11/15,09:00:00,11.710,10.100,9.509,9.731
13/11/15,10:00:00,13.546,10.956,9.977,9.756
13/11/15,11:00:00,16.368,11.783,10.590,9.903
13/11/15,12:00:00,18.414,12.751,11.492,10.124
13/11/15,13:00:00,21.795,13.329,12.509,10.492
13/11/15,14:00:00,23.665,13.714,13.522,10.932
13/11/15,15:00:00,21.772,13.882,14.433,11.443
13/11/15,16:00:00,18.057,13.714,14.936,11.929
13/11/15,17:00:00,16.368,13.233,14.816,12.292
13/11/15,18:00:00,14.721,12.799,14.481,12.485
13/11/15,19:00:00,12.871,12.292,14.098,12.558
13/11/15,20:00:00,11.419,11.807,13.594,12.534
13/11/15,21:00:00,10.516,11.370,13.064,12.437
13/11/15,22:00:00,9.558,11.005,12.582,12.292
13/11/15,23:00:00,9.114,10.614,12.122,12.098
14/11/15,00:00:00,8.916,10.271,11.686,11.904
14/11/15,01:00:00,8.045,9.977,11.321,11.686
14/11/15,02:00:00,8.444,9.731,10.956,11.492
