"Date","Time, GMT+11:00","Temp, °C (SEN S/N: 1248338)","Temp, °C (SEN S/N: 1248338)","Temp, °C (SEN S/N: 1248338)","Temp, °C (SEN S/N: 1248338)"
06/05/16,17:00:00,8.817,7.217,7.469,6.864
06/05/16,18:00:00,7.494,7.116,7.494,6.965
06/05/16,19:00:00,6.281,6.990,7.469,7.015
06/05/16,20:00:00,5.693,6.864,7.393,7.041
06/05/16,21:00:00,2.530,6.687,7.293,7.041
06/05/16,22:00:00,1.886,6.357,7.142,7.015
06/05/16,23:00:00,3.459,6.077,6.990,6.965
07/05/16,00:00:00,2.956,5.975,6.864,6.914
07/05/16,01:00:00,3.538,5.898,6.763,6.864
07/05/16,02:00:00,3.142,5.847,6.712,6.813
07/05/16,03:00:00,3.195,5.796,6.636,6.763
07/05/16,04:00:00,1.751,5.719,6.585,6.712
07/05/16,05:00:00,1.453,5.591,6.509,6.687
07/05/16,06:00:00,0.301,5.462,6.408,6.636
07/05/16,07:00:00,-0.283,5.308,6.281,6.585
07/05/16,08:00:00,-0.004,5.179,6.179,6.535
07/05/16,09:00:00,4.141,5.050,6.102,6.458
07/05/16,10:00:00,13.762,5.231,6.128,6.382
07/05/16,11:00:00,18.937,5.847,6.255,6.357
07/05/16,12:00:00,22.561,6.535,6.484,6.382
07/05/16,13:00:00,21.246,7.167,6.788,6.458
07/05/16,14:00:00,17.653,7.544,7.116,6.560
07/05/16,15:00:00,13.546,7.670,7.469,6.712
07/05/16,16:00:00,12.582,7.720,7.720,6.889
07/05/16,17:00:00,11.005,7.745,7.920,7.041
07/05/16,18:00:00,6.813,7.670,7.995,7.192
07/05/16,19:00:00,3.406,7.343,7.920,7.293
07/05/16,20:00:00,1.317,6.889,7.745,7.318
07/05/16,21:00:00,2.021,6.509,7.494,7.318
07/05/16,22:00:00,4.194,6.281,7.293,7.242
07/05/16,23:00:00,5.102,6.281,7.167,7.167
08/05/16,00:00:00,5.642,6.331,7.091,7.091
08/05/16,01:00:00,5.411,6.357,7.066,7.041
08/05/16,02:00:00,5.539,6.357,7.041,7.015
08/05/16,03:00:00,5.898,6.382,7.015,6.990
08/05/16,04:00:00,5.949,6.408,7.015,6.990
08/05/16,05:00:00,5.847,6.433,7.015,6.965
08/05/16,06:00:00,6.179,6.484,6.990,6.965
08/05/16,07:00:00,6.458,6.535,7.015,6.940
08/05/16,08:00:00,7.041,6.585,7.015,6.940
08/05/16,09:00:00,7.995,6.712,7.041,6.940
08/05/16,10:00:00,8.693,6.990,7.116,6.940
08/05/16,11:00:00,8.841,7.293,7.217,6.965
08/05/16,12:00:00,8.792,7.544,7.318,7.015
08/05/16,13:00:00,8.792,7.695,7.419,7.066
08/05/16,14:00:00,8.618,7.820,7.519,7.142
08/05/16,15:00:00,8.543,7.845,7.594,7.192
08/05/16,16:00:00,8.519,7.845,7.670,7.268
08/05/16,17:00:00,8.419,7.920,7.720,7.343
08/05/16,18:00:00,8.270,7.920,7.770,7.393
08/05/16,19:00:00,8.319,7.895,7.795,7.419
08/05/16,20:00:00,8.394,7.895,7.820,7.469
08/05/16,21:00:00,8.519,7.895,7.820,7.494
08/05/16,22:00:00,8.543,7.895,7.845,7.519
08/05/16,23:00:00,8.693,7.895,7.870,7.519
09/05/16,00:00:00,8.792,7.945,7.895,7.544
09/05/16,01:00:00,8.891,7.970,7.920,7.569
09/05/16,02:00:00,9.015,8.020,7.970,7.594
09/05/16,03:00:00,9.114,8.070,7.995,7.619
09/05/16,04:00:00,9.188,8.120,8.020,7.645
09/05/16,05:00:00,9.336,8.145,8.070,7.670
09/05/16,06:00:00,9.509,8.195,8.095,7.695
