"Date","Time, GMT+11:00","Temp, °C (SEN S/N: 2426036)","Temp, °C (SEN S/N: 2426036)","Temp, °C (SEN S/N: 2426036)","Temp, °C (SEN S/N: 2426036)"
06/05/16,15:00:00,14.218,8.543,7.720,6.560
06/05/16,16:00:00,10.590,8.568,7.745,6.712
06/05/16,17:00:00,8.941,8.170,7.695,6.839
06/05/16,18:00:00,7.720,7.594,7.444,6.864
06/05/16,19:00:00,6.458,7.066,7.167,6.839
06/05/16,20:00:00,5.898,6.687,6.914,6.788
06/05/16,21:00:00,2.503,6.000,6.560,6.687
06/05/16,22:00:00,-0.507,5.231,6.102,6.535
06/05/16,23:00:00,4.246,4.844,5.745,6.331
07/05/16,00:00:00,3.142,4.688,5.565,6.153
07/05/16,01:00:00,4.428,4.610,5.411,6.026
07/05/16,02:00:00,3.063,4.610,5.360,5.924
07/05/16,03:00:00,3.591,4.480,5.231,5.847
07/05/16,04:00:00,2.584,4.298,5.128,5.745
07/05/16,05:00:00,2.530,4.141,4.999,5.642
07/05/16,06:00:00,-1.100,3.696,4.792,5.565
07/05/16,07:00:00,-1.929,3.274,4.532,5.411
07/05/16,08:00:00,0.384,2.956,4.272,5.282
07/05/16,09:00:00,5.514,3.116,4.194,5.128
07/05/16,10:00:00,8.643,3.958,4.532,5.076
07/05/16,11:00:00,10.345,5.565,5.668,5.205
07/05/16,12:00:00,12.219,7.820,7.217,5.616
07/05/16,13:00:00,16.392,10.418,8.817,6.179
07/05/16,14:00:00,16.725,12.364,9.756,6.788
07/05/16,15:00:00,17.510,13.353,9.682,7.217
07/05/16,16:00:00,13.930,12.316,9.361,7.444
07/05/16,17:00:00,11.005,10.810,9.040,7.569
07/05/16,18:00:00,6.509,9.410,8.568,7.594
07/05/16,19:00:00,2.983,7.970,7.920,7.519
07/05/16,20:00:00,-0.004,6.737,7.242,7.318
07/05/16,21:00:00,2.128,6.077,6.737,7.066
07/05/16,22:00:00,4.115,5.898,6.484,6.864
07/05/16,23:00:00,5.360,5.898,6.382,6.737
08/05/16,00:00:00,6.204,5.949,6.357,6.636
08/05/16,01:00:00,5.796,5.949,6.331,6.585
08/05/16,02:00:00,6.230,5.898,6.306,6.535
08/05/16,03:00:00,6.535,5.949,6.306,6.509
08/05/16,04:00:00,6.051,6.000,6.306,6.484
08/05/16,05:00:00,5.616,6.026,6.331,6.484
08/05/16,06:00:00,5.975,6.128,6.357,6.484
08/05/16,07:00:00,6.408,6.230,6.433,6.484
08/05/16,08:00:00,7.268,6.382,6.509,6.509
08/05/16,09:00:00,8.344,6.763,6.661,6.535
08/05/16,10:00:00,8.841,7.343,6.990,6.636
08/05/16,11:00:00,8.891,7.770,7.293,6.788
08/05/16,12:00:00,8.643,8.070,7.544,6.990
08/05/16,13:00:00,8.543,8.195,7.745,7.167
08/05/16,14:00:00,8.270,8.220,7.845,7.318
08/05/16,15:00:00,8.220,8.195,7.895,7.419
08/05/16,16:00:00,8.220,8.195,7.920,7.469
08/05/16,17:00:00,8.170,8.170,7.945,7.544
08/05/16,18:00:00,8.095,8.145,7.945,7.594
08/05/16,19:00:00,8.245,8.095,7.945,7.619
08/05/16,20:00:00,8.319,8.120,7.970,7.645
08/05/16,21:00:00,8.494,8.145,7.970,7.645
08/05/16,22:00:00,8.543,8.170,7.995,7.670
08/05/16,23:00:00,8.693,8.245,8.045,7.695
09/05/16,00:00:00,8.866,8.319,8.095,7.720
09/05/16,01:00:00,8.965,8.419,8.145,7.745
09/05/16,02:00:00,9.114,8.494,8.220,7.795
09/05/16,03:00:00,9.262,8.568,8.270,7.845
09/05/16,04:00:00,9.361,8.643,8.319,7.870
09/05/16,05:00:00,9.534,8.693,8.394,7.920
09/05/16,06:00:00,9.731,8.792,8.444,7.970
