"Date","Time, GMT+11:00","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)"
17/11/16,17:00:00,16.368,13.618,537.327,7.393
17/11/16,18:00:00,14.577,12.509,537.327,7.544
17/11/16,19:00:00,12.364,11.394,537.327,7.670
17/11/16,20:00:00,11.053,10.565,537.327,7.745
17/11/16,21:00:00,10.320,10.075,537.327,7.795
17/11/16,22:00:00,9.952,9.780,537.327,7.820
17/11/16,23:00:00,9.657,9.558,537.327,7.845
18/11/16,00:00:00,9.238,9.287,537.327,7.820
18/11/16,01:00:00,8.941,9.064,537.327,7.820
18/11/16,02:00:00,8.792,8.891,537.327,7.795
18/11/16,03:00:00,8.618,8.767,537.327,7.770
18/11/16,04:00:00,8.568,8.643,537.327,7.770
18/11/16,05:00:00,8.469,8.543,537.327,7.745
18/11/16,06:00:00,8.419,8.444,537.327,7.720
18/11/16,07:00:00,8.543,8.444,537.327,7.695
18/11/16,08:00:00,8.891,8.543,537.327,7.670
18/11/16,09:00:00,9.509,8.841,537.327,7.645
18/11/16,10:00:00,10.026,9.114,537.327,7.645
18/11/16,11:00:00,11.321,9.731,537.327,7.645
18/11/16,12:00:00,11.807,10.149,537.327,7.645
18/11/16,13:00:00,14.002,11.151,537.327,7.670
18/11/16,14:00:00,16.773,12.920,537.327,7.720
18/11/16,15:00:00,17.986,14.266,537.327,7.770
18/11/16,16:00:00,17.249,14.266,537.327,7.870
18/11/16,17:00:00,15.939,13.497,537.327,7.995
18/11/16,18:00:00,14.864,12.896,537.327,8.145
18/11/16,19:00:00,13.473,12.050,537.327,8.245
18/11/16,20:00:00,11.540,11.029,537.327,8.319
18/11/16,21:00:00,10.565,10.369,537.327,8.369
18/11/16,22:00:00,9.928,9.977,537.327,8.394
18/11/16,23:00:00,9.410,9.632,537.327,8.394
19/11/16,00:00:00,8.990,9.336,537.327,8.394
19/11/16,01:00:00,8.643,9.040,537.327,8.369
19/11/16,02:00:00,8.742,8.990,537.327,8.319
19/11/16,03:00:00,8.519,8.866,537.327,8.295
19/11/16,04:00:00,8.494,8.792,537.327,8.270
19/11/16,05:00:00,8.245,8.643,537.327,8.220
19/11/16,06:00:00,7.795,8.319,537.327,8.195
19/11/16,07:00:00,7.695,8.145,537.327,8.170
19/11/16,08:00:00,8.145,8.319,537.327,8.120
19/11/16,09:00:00,9.114,8.792,537.327,8.095
19/11/16,10:00:00,11.492,9.188,537.327,8.045
19/11/16,11:00:00,14.697,10.418,537.327,8.045
19/11/16,12:00:00,17.534,12.461,537.327,8.070
19/11/16,13:00:00,18.033,14.577,537.327,8.095
19/11/16,14:00:00,20.841,16.058,537.327,8.145
19/11/16,15:00:00,21.008,16.439,537.327,8.245
19/11/16,16:00:00,19.436,15.963,537.327,8.369
19/11/16,17:00:00,17.843,15.031,537.327,8.519
19/11/16,18:00:00,17.677,14.816,537.327,8.643
19/11/16,19:00:00,15.175,13.570,537.327,8.767
19/11/16,20:00:00,12.775,12.025,537.327,8.866
19/11/16,21:00:00,10.638,9.928,537.327,8.941
19/11/16,22:00:00,9.163,8.841,537.327,8.965
19/11/16,23:00:00,8.270,8.245,537.327,8.941
20/11/16,00:00:00,7.544,7.770,537.327,8.891
20/11/16,01:00:00,7.091,7.544,537.327,8.792
20/11/16,02:00:00,6.813,7.393,537.327,8.693
20/11/16,03:00:00,6.560,7.167,537.327,8.593
