"Date","Time, GMT+10:00","Temp, °C (SEN S/N: 2426035)","Temp, °C (SEN S/N: 2426035)","Temp, °C (SEN S/N: 2426035)","Temp, °C (SEN S/N: 2426035)"
26/05/17,12:14:47,7.594,4.714,4.037,4.141
26/05/17,13:14:47,8.344,4.999,4.141,4.194
26/05/17,14:14:47,7.619,5.282,4.246,4.272
26/05/17,15:14:47,7.519,5.205,4.350,4.324
26/05/17,16:14:47,5.591,5.205,4.428,4.402
26/05/17,17:14:47,3.301,4.844,4.480,4.480
26/05/17,18:14:47,2.316,4.376,4.480,4.506
26/05/17,19:14:47,1.588,3.985,4.402,4.532
26/05/17,20:14:47,1.126,3.722,4.324,4.532
26/05/17,21:14:47,0.632,3.459,4.246,4.506
26/05/17,22:14:47,0.163,3.221,4.141,4.480
26/05/17,23:14:47,0.135,3.036,4.063,4.428
27/05/17,00:14:47,0.522,2.930,3.958,4.376
27/05/17,01:14:47,0.687,2.877,3.880,4.298
27/05/17,02:14:47,0.825,2.823,3.801,4.272
27/05/17,03:14:47,0.962,2.797,3.749,4.220
27/05/17,04:14:47,1.317,2.797,3.696,4.168
27/05/17,05:14:47,1.615,2.823,3.670,4.141
27/05/17,06:14:47,2.101,2.877,3.617,4.089
27/05/17,07:14:47,2.396,2.956,3.643,4.063
27/05/17,08:14:47,2.744,3.036,3.643,4.063
27/05/17,09:14:47,3.221,3.142,3.670,4.037
27/05/17,10:14:47,4.194,3.354,3.722,4.063
27/05/17,11:14:47,4.506,3.591,3.749,4.063
27/05/17,12:14:47,5.050,3.775,3.827,4.089
27/05/17,13:14:47,5.282,3.958,3.880,4.141
27/05/17,14:14:47,4.947,4.089,3.985,4.168
27/05/17,15:14:47,4.558,4.141,4.037,4.220
27/05/17,16:14:47,3.906,4.089,4.089,4.246
27/05/17,17:14:47,3.221,3.985,4.141,4.298
27/05/17,18:14:47,2.850,3.827,4.141,4.324
27/05/17,19:14:47,2.690,3.696,4.115,4.324
27/05/17,20:14:47,2.770,3.643,4.115,4.350
27/05/17,21:14:47,2.877,3.617,4.063,4.324
27/05/17,22:14:47,3.009,3.617,4.063,4.324
27/05/17,23:14:47,3.063,3.617,4.037,4.324
28/05/17,00:14:47,3.089,3.643,4.037,4.298
28/05/17,01:14:47,3.063,3.643,4.037,4.324
28/05/17,02:14:47,2.903,3.591,4.037,4.298
28/05/17,03:14:47,2.956,3.564,4.037,4.324
28/05/17,04:14:47,2.744,3.538,4.037,4.298
28/05/17,05:14:47,0.907,2.637,4.011,4.298
28/05/17,06:14:47,0.852,2.450,3.880,4.272
28/05/17,07:14:47,0.907,2.423,3.749,4.220
28/05/17,08:14:47,1.017,2.423,3.643,4.141
28/05/17,09:14:47,0.962,2.396,3.564,4.063
28/05/17,10:14:47,1.044,2.316,3.512,4.011
28/05/17,11:14:47,1.099,2.343,3.433,3.958
28/05/17,12:14:47,1.153,2.370,3.406,3.906
28/05/17,13:14:47,1.153,2.370,3.354,3.880
28/05/17,14:14:47,1.180,2.396,3.301,3.827
