"Date","Time, GMT+11:00","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)","Temp, °C (SEN S/N: 2426028)"
26/05/17,13:00:00,5.821,-3.330,424.791,4.480
26/05/17,14:00:00,6.255,5.205,424.791,4.506
26/05/17,15:00:00,6.357,4.999,537.327,4.506
26/05/17,16:00:00,6.077,4.220,537.327,4.558
26/05/17,17:00:00,5.821,5.205,537.327,4.584
26/05/17,18:00:00,4.999,4.636,537.327,4.636
26/05/17,19:00:00,4.220,4.011,537.327,4.662
26/05/17,20:00:00,3.617,3.643,537.327,4.688
26/05/17,21:00:00,3.168,3.433,537.327,4.714
26/05/17,22:00:00,2.690,2.664,537.327,4.714
26/05/17,23:00:00,2.262,2.610,537.327,4.688
27/05/17,00:00:00,2.021,2.584,537.327,4.662
27/05/17,01:00:00,2.101,2.584,537.327,4.636
27/05/17,02:00:00,2.289,-12.975,537.327,4.584
27/05/17,03:00:00,2.343,2.823,537.327,4.558
27/05/17,04:00:00,2.396,2.744,537.327,4.532
27/05/17,05:00:00,2.664,2.850,537.327,4.480
27/05/17,06:00:00,2.664,3.089,537.327,4.480
27/05/17,07:00:00,2.823,3.168,537.327,4.454
27/05/17,08:00:00,2.956,3.248,537.327,4.428
27/05/17,09:00:00,3.063,3.274,424.791,4.428
27/05/17,10:00:00,3.168,3.301,537.327,4.402
27/05/17,11:00:00,3.591,3.485,537.327,4.402
27/05/17,12:00:00,3.827,-9.713,424.791,4.402
27/05/17,13:00:00,4.063,3.880,424.791,4.402
27/05/17,14:00:00,4.272,3.749,537.327,4.402
27/05/17,15:00:00,4.376,-17.040,424.791,4.402
27/05/17,16:00:00,4.272,-0.648,424.791,4.402
27/05/17,17:00:00,4.037,-0.507,424.791,4.402
27/05/17,18:00:00,3.722,-0.507,424.791,4.428
27/05/17,19:00:00,3.485,-0.873,537.327,4.428
27/05/17,20:00:00,3.327,-0.255,537.327,4.428
27/05/17,21:00:00,3.274,-0.479,537.327,4.428
27/05/17,22:00:00,3.248,-0.930,424.791,4.402
27/05/17,23:00:00,3.327,-0.367,424.791,4.376
28/05/17,00:00:00,3.380,-0.395,537.327,4.376
28/05/17,01:00:00,3.380,-0.283,424.791,4.376
28/05/17,02:00:00,3.406,-0.479,537.327,4.376
28/05/17,03:00:00,3.248,-0.143,424.791,4.350
28/05/17,04:00:00,3.168,-0.423,424.791,4.350
28/05/17,05:00:00,3.116,-0.507,537.327,4.324
28/05/17,06:00:00,2.477,-0.986,537.327,4.141
28/05/17,07:00:00,2.128,-1.699,537.327,3.932
28/05/17,08:00:00,1.913,-1.842,537.327,3.854
28/05/17,09:00:00,1.886,-2.450,537.327,3.906
28/05/17,10:00:00,1.886,-2.218,537.327,3.906
28/05/17,11:00:00,1.859,-2.044,537.327,3.906
28/05/17,12:00:00,1.886,-1.814,537.327,3.906
28/05/17,13:00:00,1.832,-2.189,537.327,3.880
28/05/17,14:00:00,1.859,-2.218,537.327,3.854
28/05/17,15:00:00,1.859,-2.334,537.327,3.854
28/05/17,16:00:00,1.913,-2.276,537.327,3.827
28/05/17,17:00:00,1.913,-2.247,537.327,3.827
28/05/17,18:00:00,1.913,-2.334,424.791,3.801
28/05/17,19:00:00,1.913,-2.073,537.327,3.801
28/05/17,20:00:00,1.913,-2.305,537.327,3.775
28/05/17,21:00:00,1.913,-2.305,424.791,3.775
28/05/17,22:00:00,1.940,-2.015,537.327,3.775
28/05/17,23:00:00,1.967,-2.073,537.327,3.749
29/05/17,00:00:00,1.967,-2.305,424.791,3.749
29/05/17,01:00:00,1.967,-2.218,537.327,3.722
29/05/17,02:00:00,1.967,-2.276,537.327,3.722
29/05/17,03:00:00,2.021,-1.986,537.327,3.696
29/05/17,04:00:00,2.074,-2.102,424.791,3.696
29/05/17,05:00:00,2.021,-1.785,537.327,3.696
29/05/17,06:00:00,2.074,-1.756,537.327,3.670
29/05/17,07:00:00,2.101,0.079,537.327,3.670
29/05/17,08:00:00,2.155,2.047,537.327,3.670
29/05/17,09:00:00,2.155,2.101,537.327,3.643
29/05/17,10:00:00,2.155,-9.405,537.327,3.643
29/05/17,11:00:00,2.128,2.155,537.327,3.643
29/05/17,12:00:00,2.128,2.155,537.327,3.617
29/05/17,13:00:00,2.074,2.128,537.327,3.617
29/05/17,14:00:00,2.021,2.074,537.327,3.617
29/05/17,15:00:00,2.021,2.047,537.327,3.617
29/05/17,16:00:00,2.047,2.047,537.327,3.591
29/05/17,17:00:00,2.021,2.047,537.327,3.591
29/05/17,18:00:00,1.994,2.021,537.327,3.591
29/05/17,19:00:00,1.940,1.994,537.327,3.591
29/05/17,20:00:00,1.886,1.967,537.327,3.564
29/05/17,21:00:00,1.859,1.967,537.327,3.564
29/05/17,22:00:00,1.832,1.913,537.327,3.564
29/05/17,23:00:00,1.859,1.913,537.327,3.564
30/05/17,00:00:00,1.859,1.913,537.327,3.538
30/05/17,01:00:00,1.778,1.859,537.327,3.538
30/05/17,02:00:00,1.832,1.859,537.327,3.538
30/05/17,03:00:00,1.832,1.832,537.327,3.538
30/05/17,04:00:00,1.805,1.832,537.327,3.538
30/05/17,05:00:00,1.778,1.805,537.327,3.512
30/05/17,06:00:00,1.751,1.778,537.327,3.512
30/05/17,07:00:00,1.751,1.751,537.327,3.512
30/05/17,08:00:00,1.751,1.724,537.327,3.512
30/05/17,09:00:00,1.751,1.724,537.327,3.485
30/05/17,10:00:00,1.778,1.724,537.327,3.485
30/05/17,11:00:00,1.832,1.751,537.327,3.485
30/05/17,12:00:00,1.859,1.778,537.327,3.459
30/05/17,13:00:00,1.859,1.778,537.327,3.459
30/05/17,14:00:00,1.913,1.805,537.327,3.459
30/05/17,15:00:00,1.940,1.832,537.327,3.459
30/05/17,16:00:00,1.967,1.859,537.327,3.459
30/05/17,17:00:00,1.994,1.913,537.327,3.459
30/05/17,18:00:00,2.047,1.967,537.327,3.459
30/05/17,19:00:00,2.021,2.021,537.327,3.459
30/05/17,20:00:00,1.994,1.994,537.327,3.459
30/05/17,21:00:00,2.021,1.994,537.327,3.459
30/05/17,22:00:00,1.994,2.021,537.327,3.459
30/05/17,23:00:00,1.994,1.994,537.327,3.459
31/05/17,00:00:00,1.967,1.994,537.327,3.459
31/05/17,01:00:00,1.967,1.967,537.327,3.459
31/05/17,02:00:00,1.967,1.967,537.327,3.459
31/05/17,03:00:00,1.967,2.047,537.327,3.459
31/05/17,04:00:00,1.967,2.021,424.791,3.433
31/05/17,05:00:00,1.967,2.021,537.327,3.433
31/05/17,06:00:00,1.913,1.967,537.327,3.433
31/05/17,07:00:00,1.859,1.886,537.327,3.406
31/05/17,08:00:00,1.778,1.805,537.327,3.406
31/05/17,09:00:00,1.697,1.724,537.327,3.406
31/05/17,10:00:00,1.615,1.643,537.327,3.380
31/05/17,11:00:00,1.561,1.588,537.327,3.380
31/05/17,12:00:00,1.507,1.534,537.327,3.354
31/05/17,13:00:00,1.480,1.534,537.327,3.354
31/05/17,14:00:00,1.507,1.615,537.327,3.354
31/05/17,15:00:00,1.534,1.615,537.327,3.327
31/05/17,16:00:00,1.534,1.615,537.327,3.327
31/05/17,17:00:00,1.588,1.615,537.327,3.327
31/05/17,18:00:00,1.561,1.588,537.327,3.301
31/05/17,19:00:00,1.561,1.588,537.327,3.301
31/05/17,20:00:00,1.534,1.534,537.327,3.301
31/05/17,21:00:00,1.534,1.534,537.327,3.301
31/05/17,22:00:00,1.507,1.480,537.327,3.274
31/05/17,23:00:00,1.480,1.425,537.327,3.274
01/06/17,00:00:00,1.425,1.371,537.327,3.248
01/06/17,01:00:00,1.398,1.289,537.327,3.248
01/06/17,02:00:00,1.344,1.208,537.327,3.248
01/06/17,03:00:00,1.262,1.126,537.327,3.221
01/06/17,04:00:00,1.235,1.099,537.327,3.221
01/06/17,05:00:00,1.262,1.180,537.327,3.221
01/06/17,06:00:00,1.289,1.289,537.327,3.221
01/06/17,07:00:00,1.289,1.317,537.327,3.195
01/06/17,08:00:00,1.262,1.344,537.327,3.195
01/06/17,09:00:00,1.235,1.317,537.327,3.195
01/06/17,10:00:00,1.180,1.289,537.327,3.195
01/06/17,11:00:00,1.126,1.262,537.327,3.195
01/06/17,12:00:00,1.099,1.235,537.327,3.195
01/06/17,13:00:00,1.071,1.153,537.327,3.168
01/06/17,14:00:00,1.099,1.180,537.327,3.168
01/06/17,15:00:00,1.099,1.099,537.327,3.168
01/06/17,16:00:00,1.153,0.522,537.327,3.168
01/06/17,17:00:00,1.180,1.317,537.327,3.168
01/06/17,18:00:00,1.235,1.425,537.327,3.142
01/06/17,19:00:00,1.235,1.425,537.327,3.142
01/06/17,20:00:00,1.289,1.480,537.327,3.142
01/06/17,21:00:00,1.289,1.480,537.327,3.142
01/06/17,22:00:00,1.262,1.507,537.327,3.142
01/06/17,23:00:00,1.289,1.507,537.327,3.142
02/06/17,00:00:00,1.235,1.534,537.327,3.142
02/06/17,01:00:00,1.235,1.507,537.327,3.142
02/06/17,02:00:00,1.235,1.534,537.327,3.142
02/06/17,03:00:00,1.235,1.534,537.327,3.116
02/06/17,04:00:00,1.208,1.534,537.327,3.116
02/06/17,05:00:00,1.208,1.534,537.327,3.116
02/06/17,06:00:00,1.208,1.534,537.327,3.116
02/06/17,07:00:00,1.180,1.534,537.327,3.116
02/06/17,08:00:00,1.180,1.561,537.327,3.116
02/06/17,09:00:00,1.180,1.534,537.327,3.116
02/06/17,10:00:00,1.153,1.534,537.327,3.116
02/06/17,11:00:00,1.153,1.534,537.327,3.116
02/06/17,12:00:00,1.153,1.480,537.327,3.116
02/06/17,13:00:00,1.153,1.425,537.327,3.116
02/06/17,14:00:00,1.180,1.561,537.327,3.089
02/06/17,15:00:00,1.208,1.561,537.327,3.089
02/06/17,16:00:00,1.208,1.588,537.327,3.089
02/06/17,17:00:00,1.235,1.588,537.327,3.089
02/06/17,18:00:00,1.262,1.615,537.327,3.089
02/06/17,19:00:00,1.262,1.615,537.327,3.089
02/06/17,20:00:00,1.262,1.643,537.327,3.089
02/06/17,21:00:00,1.262,1.615,537.327,3.089
02/06/17,22:00:00,1.262,1.588,537.327,3.089
02/06/17,23:00:00,1.289,1.643,537.327,3.089
03/06/17,00:00:00,1.317,1.670,537.327,3.089
03/06/17,01:00:00,1.317,1.697,537.327,3.089
03/06/17,02:00:00,1.344,1.724,537.327,3.063
03/06/17,03:00:00,1.371,1.778,537.327,3.063
03/06/17,04:00:00,1.398,1.832,537.327,3.063
03/06/17,05:00:00,1.425,1.832,537.327,3.063
03/06/17,06:00:00,1.425,1.859,537.327,3.063
03/06/17,07:00:00,1.425,1.859,537.327,3.063
03/06/17,08:00:00,1.425,1.859,537.327,3.063
03/06/17,09:00:00,1.398,1.859,537.327,3.063
03/06/17,10:00:00,1.344,1.832,537.327,3.063
03/06/17,11:00:00,1.262,1.805,537.327,3.036
03/06/17,12:00:00,1.235,1.778,537.327,3.036
03/06/17,13:00:00,1.180,1.778,537.327,3.009
03/06/17,14:00:00,1.180,1.751,537.327,3.009
03/06/17,15:00:00,1.208,1.751,537.327,3.009
03/06/17,16:00:00,1.262,1.751,537.327,2.983
03/06/17,17:00:00,1.289,1.778,537.327,2.983
03/06/17,18:00:00,1.317,1.805,537.327,2.983
03/06/17,19:00:00,1.344,1.805,537.327,2.956
03/06/17,20:00:00,1.371,1.832,537.327,2.956
03/06/17,21:00:00,1.371,1.832,537.327,2.956
03/06/17,22:00:00,1.371,1.832,537.327,2.956
03/06/17,23:00:00,1.371,1.859,537.327,2.956
04/06/17,00:00:00,1.344,1.859,537.327,2.956
04/06/17,01:00:00,1.344,1.859,537.327,2.956
04/06/17,02:00:00,1.289,1.832,537.327,2.956
04/06/17,03:00:00,1.262,1.832,537.327,2.956
04/06/17,04:00:00,1.153,1.778,537.327,2.956
04/06/17,05:00:00,1.044,1.751,537.327,2.930
04/06/17,06:00:00,0.934,1.670,537.327,2.930
04/06/17,07:00:00,0.907,1.670,537.327,2.930
04/06/17,08:00:00,0.907,1.643,537.327,2.903
04/06/17,09:00:00,0.880,1.643,537.327,2.903
04/06/17,10:00:00,0.880,1.615,537.327,2.877
04/06/17,11:00:00,0.852,1.588,537.327,2.877
04/06/17,12:00:00,0.852,1.588,537.327,2.877
04/06/17,13:00:00,0.852,1.561,537.327,2.850
04/06/17,14:00:00,0.880,1.534,537.327,2.850
04/06/17,15:00:00,0.934,1.534,537.327,2.850
04/06/17,16:00:00,0.962,1.561,537.327,2.823
04/06/17,17:00:00,1.017,1.561,537.327,2.797
04/06/17,18:00:00,1.071,1.588,537.327,2.797
04/06/17,19:00:00,1.099,1.588,537.327,2.797
04/06/17,20:00:00,1.153,1.615,537.327,2.797
04/06/17,21:00:00,1.153,1.643,537.327,2.797
04/06/17,22:00:00,1.153,1.643,537.327,2.797
04/06/17,23:00:00,1.126,1.643,537.327,2.797
05/06/17,00:00:00,1.071,1.643,537.327,2.797
05/06/17,01:00:00,1.017,1.615,537.327,2.770
05/06/17,02:00:00,0.962,1.615,537.327,2.797
05/06/17,03:00:00,0.907,1.588,537.327,2.770
05/06/17,04:00:00,0.852,1.588,537.327,2.770
05/06/17,05:00:00,0.797,1.561,537.327,2.770
05/06/17,06:00:00,0.742,1.534,537.327,2.770
05/06/17,07:00:00,0.687,1.507,537.327,2.744
05/06/17,08:00:00,0.632,1.480,537.327,2.744
05/06/17,09:00:00,0.605,1.453,537.327,2.717
05/06/17,10:00:00,0.577,1.425,537.327,2.717
05/06/17,11:00:00,0.522,1.398,537.327,2.690
05/06/17,12:00:00,0.495,1.371,537.327,2.690
05/06/17,13:00:00,0.522,1.344,537.327,2.690
05/06/17,14:00:00,0.577,1.317,537.327,2.664
05/06/17,15:00:00,0.632,1.317,537.327,2.664
05/06/17,16:00:00,0.715,1.344,537.327,2.637
05/06/17,17:00:00,0.770,1.344,537.327,2.610
05/06/17,18:00:00,0.825,1.344,537.327,2.610
05/06/17,19:00:00,0.880,1.371,537.327,2.610
05/06/17,20:00:00,0.907,1.344,537.327,2.584
05/06/17,21:00:00,0.962,1.371,537.327,2.584
05/06/17,22:00:00,0.962,1.371,537.327,2.584
05/06/17,23:00:00,0.989,1.371,537.327,2.584
06/06/17,00:00:00,0.989,1.371,537.327,2.584
06/06/17,01:00:00,1.017,1.398,537.327,2.584
06/06/17,02:00:00,1.071,1.398,537.327,2.584
06/06/17,03:00:00,1.099,1.453,537.327,2.584
06/06/17,04:00:00,1.126,1.480,537.327,2.584
06/06/17,05:00:00,1.126,1.507,537.327,2.584
06/06/17,06:00:00,1.153,1.507,537.327,2.584
06/06/17,07:00:00,1.126,1.507,537.327,2.584
06/06/17,08:00:00,1.153,1.507,537.327,2.584
06/06/17,09:00:00,1.153,1.507,537.327,2.584
06/06/17,10:00:00,1.153,1.507,537.327,2.610
06/06/17,11:00:00,1.153,1.507,537.327,2.610
06/06/17,12:00:00,1.153,1.480,537.327,2.610
06/06/17,13:00:00,1.126,1.453,537.327,2.610
06/06/17,14:00:00,1.153,1.453,537.327,2.610
06/06/17,15:00:00,1.180,1.453,537.327,2.637
06/06/17,16:00:00,1.180,1.453,537.327,2.637
06/06/17,17:00:00,1.208,1.480,537.327,2.637
06/06/17,18:00:00,1.208,1.480,537.327,2.637
06/06/17,19:00:00,1.208,1.480,537.327,2.664
06/06/17,20:00:00,1.235,1.507,537.327,2.664
06/06/17,21:00:00,1.235,1.507,537.327,2.664
