"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 2426036, SEN S/N: 2426036)","Temp, °C (LGR S/N: 2426036, SEN S/N: 2426036)","Temp, °C (LGR S/N: 2426036, SEN S/N: 2426036)","Temp, °C (LGR S/N: 2426036, SEN S/N: 2426036)"
08/04/18,15:00:00,22.800,20.746,14.098,10.785
08/04/18,16:00:00,20.770,20.746,13.281,11.005
08/04/18,17:00:00,13.786,18.081,12.558,11.029
08/04/18,18:00:00,11.175,14.170,11.977,10.980
08/04/18,19:00:00,8.717,11.977,11.370,10.883
08/04/18,20:00:00,8.841,10.712,10.761,10.687
08/04/18,21:00:00,8.120,9.952,10.296,10.467
08/04/18,22:00:00,4.298,9.262,9.903,10.247
08/04/18,23:00:00,6.661,8.643,9.485,10.026
09/04/18,00:00:00,8.319,8.717,9.312,9.829
09/04/18,01:00:00,8.444,8.568,9.163,9.682
09/04/18,02:00:00,8.618,8.469,9.015,9.534
09/04/18,03:00:00,9.879,8.494,8.916,9.435
09/04/18,04:00:00,8.916,8.419,8.841,9.336
09/04/18,05:00:00,8.891,8.319,8.717,9.238
09/04/18,06:00:00,8.568,8.145,8.618,9.163
09/04/18,07:00:00,8.394,8.045,8.494,9.089
09/04/18,08:00:00,9.509,8.070,8.444,8.990
09/04/18,09:00:00,12.871,8.643,8.593,8.941
09/04/18,10:00:00,15.772,10.100,9.410,9.015
09/04/18,11:00:00,17.796,12.775,11.589,9.336
09/04/18,12:00:00,18.652,16.010,13.666,10.001
09/04/18,13:00:00,21.151,19.151,15.008,10.687
09/04/18,14:00:00,22.585,21.103,15.533,11.321
09/04/18,15:00:00,21.103,21.246,15.103,11.734
09/04/18,16:00:00,22.058,20.960,14.266,11.880
09/04/18,17:00:00,15.772,19.199,13.618,11.880
09/04/18,18:00:00,12.074,15.175,12.920,11.807
09/04/18,19:00:00,4.999,12.389,12.147,11.662
09/04/18,20:00:00,1.507,10.565,11.370,11.419
09/04/18,21:00:00,0.301,9.238,10.565,11.078
09/04/18,22:00:00,-0.507,8.319,9.928,10.736
09/04/18,23:00:00,0.907,7.795,9.410,10.394
10/04/18,00:00:00,3.643,7.594,9.089,10.100
10/04/18,01:00:00,6.712,7.995,8.965,9.854
10/04/18,02:00:00,5.024,7.845,8.891,9.682
10/04/18,03:00:00,6.102,7.870,8.767,9.534
10/04/18,04:00:00,5.282,7.795,8.693,9.435
10/04/18,05:00:00,8.519,7.895,8.618,9.336
10/04/18,06:00:00,8.319,8.045,8.643,9.238
10/04/18,07:00:00,10.492,8.469,8.767,9.213
10/04/18,08:00:00,9.879,8.717,8.941,9.213
10/04/18,09:00:00,12.703,9.188,9.139,9.238
10/04/18,10:00:00,11.029,9.805,9.509,9.312
10/04/18,11:00:00,14.840,11.929,10.858,9.485
10/04/18,12:00:00,19.674,15.031,13.137,10.026
10/04/18,13:00:00,18.794,16.534,14.409,10.687
10/04/18,14:00:00,21.819,15.294,13.425,11.029
10/04/18,15:00:00,22.633,18.271,14.050,11.297
10/04/18,16:00:00,18.414,17.082,13.906,11.565
10/04/18,17:00:00,18.057,17.034,13.666,11.710
10/04/18,18:00:00,14.936,14.745,13.257,11.783
10/04/18,19:00:00,13.329,13.401,12.678,11.734
10/04/18,20:00:00,9.509,12.268,12.243,11.589
10/04/18,21:00:00,7.645,11.273,11.759,11.443
10/04/18,22:00:00,6.153,10.663,11.321,11.248
10/04/18,23:00:00,7.770,10.320,11.005,11.053
11/04/18,00:00:00,8.568,10.051,10.712,10.858
11/04/18,01:00:00,8.519,9.682,10.394,10.687
11/04/18,02:00:00,8.295,9.485,10.173,10.541
11/04/18,03:00:00,8.270,9.361,10.026,10.369
11/04/18,04:00:00,8.095,9.040,9.829,10.247
11/04/18,05:00:00,8.817,9.064,9.706,10.124
11/04/18,06:00:00,9.410,9.015,9.632,10.026
11/04/18,07:00:00,9.928,8.941,9.558,9.928
11/04/18,08:00:00,12.025,9.460,9.657,9.879
11/04/18,09:00:00,13.714,10.051,9.879,9.879
11/04/18,10:00:00,15.270,10.932,10.271,9.928
11/04/18,11:00:00,21.652,13.257,11.273,10.100
11/04/18,12:00:00,22.513,16.892,13.978,10.614
