"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 707051)","Gust Speed, m/s (SEN S/N: 707051)","Wind Direction, ¿ (SEN S/N: 707051)"
07-06-2004,11:39:04,,1.044,1.344,0.687,-0.116,2.46,100.00,2.5,736.2,11.32,13.92,193.7
07-06-2004,13:39:04,0.00,1.099,1.371,0.715,0.079,2.89,100.00,2.9,558.7,3.15,14.47,202.2
07-06-2004,15:39:04,0.00,1.071,1.371,0.687,0.605,3.31,100.00,3.3,328.7,0.19,9.83,205.0
07-06-2004,17:39:04,0.00,1.044,1.371,0.687,-0.032,2.03,100.00,2.0,76.2,1.48,9.83,202.2
07-06-2004,19:39:04,0.00,1.044,1.344,0.687,-0.060,2.46,100.00,2.5,1.2,1.86,9.65,203.6
07-06-2004,21:39:04,0.00,1.044,1.317,0.687,-0.060,2.89,100.00,2.9,1.2,3.15,11.32,200.8
07-06-2004,23:39:04,0.00,1.044,1.317,0.687,-0.060,2.89,100.00,2.9,1.2,2.60,12.43,203.6
08-06-2004,01:39:04,0.00,1.044,1.317,0.687,0.163,2.89,100.00,2.9,1.2,1.86,10.20,207.8
08-06-2004,03:39:04,0.00,1.044,1.317,0.715,0.356,3.31,100.00,3.3,1.2,1.11,10.02,209.2
08-06-2004,05:39:04,0.00,1.044,1.317,0.715,0.660,3.74,100.00,3.7,1.2,4.64,8.35,212.0
08-06-2004,07:39:04,0.00,1.044,1.317,0.715,0.825,3.31,100.00,3.3,1.2,4.08,8.72,203.6
08-06-2004,09:39:04,0.00,1.071,1.344,0.742,1.344,4.15,100.00,4.2,106.2,3.90,7.24,207.8
08-06-2004,11:39:04,0.00,1.099,1.344,0.825,4.194,4.99,100.00,5.0,458.7,4.08,8.72,209.2
08-06-2004,13:39:04,0.00,1.208,1.371,1.044,5.668,4.99,100.00,5.0,371.2,4.45,8.72,200.8
08-06-2004,15:39:04,0.00,1.425,1.480,1.480,5.257,4.99,100.00,5.0,171.2,4.82,8.72,196.5
08-06-2004,17:39:04,0.00,1.724,1.643,1.940,3.801,4.57,100.00,4.6,26.2,0.37,10.02,206.4
08-06-2004,19:39:04,0.00,1.994,1.805,2.209,3.380,4.15,100.00,4.2,1.2,2.04,12.99,206.4
08-06-2004,21:39:04,0.00,2.155,1.967,2.370,2.664,4.15,100.00,4.2,1.2,4.08,13.73,206.4
08-06-2004,23:39:04,0.00,2.262,2.074,2.450,2.877,4.57,100.00,4.6,1.2,1.11,12.43,202.2
09-06-2004,01:39:04,0.00,2.343,2.155,2.530,3.538,4.57,100.00,4.6,1.2,2.97,14.29,196.5
09-06-2004,03:39:04,0.00,2.423,2.236,2.637,3.749,4.57,100.00,4.6,1.2,0.37,20.22,198.0
09-06-2004,05:39:04,0.00,2.530,2.316,2.770,3.775,4.57,100.00,4.6,1.2,3.71,17.44,193.7
09-06-2004,07:39:04,0.00,2.637,2.396,2.877,3.880,4.57,100.00,4.6,1.2,3.90,17.63,198.0
09-06-2004,09:39:04,0.25,2.717,2.477,2.983,4.584,4.99,100.00,5.0,63.7,0.37,19.11,205.0
09-06-2004,11:39:04,0.25,2.823,2.557,3.142,5.539,4.99,100.00,5.0,178.7,1.67,18.92,189.5
09-06-2004,13:39:04,0.00,2.956,2.637,3.354,6.204,4.99,100.00,5.0,233.7,1.67,22.26,189.5
09-06-2004,15:39:04,0.00,3.116,2.744,3.538,5.411,4.99,100.00,5.0,93.7,3.90,18.00,205.0
09-06-2004,17:39:04,0.00,3.248,2.850,3.617,4.688,4.99,100.00,5.0,8.7,0.37,17.81,213.4
09-06-2004,19:39:04,3.30,3.327,2.956,3.643,4.480,4.99,100.00,5.0,1.2,0.00,17.63,214.8
09-06-2004,21:39:04,3.05,3.406,3.036,3.696,4.584,4.99,100.00,5.0,1.2,1.11,21.71,219.0
09-06-2004,23:39:04,12.70,3.485,3.116,3.775,3.722,3.31,100.00,3.3,1.2,5.01,20.97,206.4
10-06-2004,01:39:04,9.91,3.538,3.221,3.696,3.512,2.46,100.00,2.5,1.2,3.15,14.84,193.7
10-06-2004,03:39:04,1.27,3.512,3.274,3.591,2.717,2.89,100.00,2.9,1.2,1.86,12.43,175.5
10-06-2004,05:39:04,0.00,3.459,3.274,3.433,2.664,2.46,100.00,2.5,1.2,2.04,11.69,179.7
10-06-2004,07:39:04,0.51,3.380,3.248,3.327,2.690,2.03,100.00,2.0,1.2,4.82,9.46,158.6
10-06-2004,09:39:04,0.00,3.327,3.221,3.274,3.354,2.46,100.00,2.5,263.7,2.23,5.94,141.8
10-06-2004,11:39:04,0.00,3.301,3.195,3.433,5.334,4.15,100.00,4.2,761.2,2.97,6.31,108.1
10-06-2004,13:39:04,0.00,3.512,3.221,4.089,4.921,4.57,95.75,4.0,926.2,2.23,5.20,67.4
10-06-2004,15:39:04,0.00,3.906,3.327,4.740,4.818,3.31,100.00,3.3,316.2,1.86,4.82,81.4
10-06-2004,17:39:04,0.00,4.141,3.512,4.766,3.036,1.17,100.00,1.2,98.7,2.23,4.64,14.0
10-06-2004,19:39:04,0.00,4.141,3.617,4.350,0.495,0.29,100.00,0.3,1.2,2.78,5.01,18.3
10-06-2004,21:39:04,0.00,3.932,3.643,3.827,0.715,-0.61,100.00,-0.6,1.2,2.78,5.20,33.7
10-06-2004,23:39:04,0.00,3.670,3.564,3.433,0.687,-1.51,100.00,-1.5,1.2,2.04,4.64,36.5
11-06-2004,01:39:04,0.00,3.459,3.485,3.142,0.051,-1.97,100.00,-2.0,1.2,1.30,3.15,30.9
11-06-2004,03:39:04,0.00,3.274,3.380,2.877,-0.367,-3.37,100.00,-3.4,1.2,0.00,0.00,338.3
11-06-2004,05:39:04,0.00,3.063,3.274,2.584,-0.423,-2.90,100.00,-2.9,1.2,0.00,1.30,26.7
11-06-2004,07:39:04,0.00,2.877,3.142,2.370,-0.367,-3.37,100.00,-3.4,3.7,0.37,1.48,19.7
11-06-2004,09:39:04,0.00,2.717,3.036,2.209,-0.311,-1.06,100.00,-1.1,353.7,0.56,2.23,5.6
11-06-2004,11:39:04,0.00,2.610,2.930,2.128,-0.143,-0.16,100.00,-0.2,911.2,2.60,5.01,346.8
11-06-2004,13:39:04,0.00,2.557,2.823,2.396,-0.060,2.46,86.75,0.5,1018.7,1.86,5.01,346.8
11-06-2004,15:39:04,0.00,2.744,2.770,3.063,0.024,0.73,100.00,0.7,621.2,2.23,4.45,344.0
11-06-2004,17:39:04,0.00,3.009,2.823,3.327,-0.199,-1.06,100.00,-1.1,61.2,2.04,4.45,334.1
11-06-2004,19:39:04,0.00,3.009,2.903,2.983,-0.339,-1.51,100.00,-1.5,1.2,1.11,3.53,320.1
11-06-2004,21:39:04,0.00,2.877,2.903,2.637,-0.283,-3.85,100.00,-3.9,1.2,1.30,2.97,252.7
11-06-2004,23:39:04,0.00,2.744,2.850,2.396,-0.930,-0.61,100.00,-0.6,1.2,4.64,9.09,216.2
12-06-2004,01:39:04,0.00,2.610,2.797,2.182,-1.128,-1.06,100.00,-1.1,1.2,2.60,11.87,226.0
12-06-2004,03:39:04,0.00,2.477,2.717,2.021,-1.071,-1.06,100.00,-1.1,1.2,1.48,10.58,231.6
12-06-2004,05:39:04,0.00,2.370,2.637,1.913,-1.185,-1.06,100.00,-1.1,1.2,2.97,14.29,214.8
12-06-2004,07:39:04,0.00,2.262,2.557,1.805,-0.789,-1.06,100.00,-1.1,1.2,0.37,9.83,206.4
12-06-2004,09:39:04,0.00,2.182,2.503,1.724,-0.704,-0.16,100.00,-0.2,271.2,2.97,12.99,202.2
12-06-2004,11:39:04,0.00,2.101,2.423,1.643,-0.143,0.29,100.00,0.3,626.2,1.11,10.95,200.8
12-06-2004,13:39:04,0.00,2.047,2.370,1.615,0.190,0.73,100.00,0.7,631.2,4.64,8.72,198.0
12-06-2004,15:39:04,0.00,2.047,2.316,1.778,0.715,-0.16,100.00,-0.2,293.7,4.45,7.98,212.0
12-06-2004,17:39:04,0.00,2.101,2.289,1.913,-0.060,-0.61,100.00,-0.6,63.7,0.56,8.35,220.4
12-06-2004,19:39:04,0.00,2.101,2.289,1.859,-0.116,-0.61,100.00,-0.6,1.2,0.74,12.99,220.4
12-06-2004,21:39:04,0.00,2.074,2.289,1.778,-0.143,0.29,100.00,0.3,1.2,4.45,14.10,200.8
12-06-2004,23:39:04,0.00,2.047,2.262,1.724,-0.060,0.29,100.00,0.3,1.2,2.41,12.80,200.8
13-06-2004,01:39:04,0.00,2.021,2.236,1.697,-0.060,0.29,100.00,0.3,1.2,3.71,15.40,193.7
13-06-2004,03:39:04,0.00,1.994,2.236,1.697,-0.032,0.29,100.00,0.3,1.2,4.82,17.63,202.2
13-06-2004,05:39:04,0.00,1.967,2.209,1.697,-0.004,0.29,100.00,0.3,1.2,1.48,19.85,202.2
13-06-2004,07:39:04,0.00,1.967,2.182,1.697,0.107,0.73,100.00,0.7,1.2,2.60,20.22,199.4
13-06-2004,09:39:04,0.00,1.967,2.182,1.724,0.934,1.17,100.00,1.2,33.7,2.23,19.67,205.0
13-06-2004,11:39:04,0.00,1.994,2.182,1.805,2.074,1.60,100.00,1.6,88.7,2.23,24.86,209.2
13-06-2004,13:39:04,0.00,2.047,2.182,1.913,2.316,2.03,100.00,2.0,68.7,2.97,22.45,202.2
13-06-2004,15:39:04,9.40,2.128,2.209,2.047,2.101,2.03,100.00,2.0,36.2,2.78,25.05,210.6
13-06-2004,17:39:04,13.21,2.155,2.236,1.967,1.588,2.46,100.00,2.5,6.2,1.30,23.19,209.2
13-06-2004,19:39:04,4.83,2.074,2.209,1.886,2.370,3.31,100.00,3.3,1.2,2.04,21.89,192.3
13-06-2004,21:39:04,0.51,2.101,2.182,2.047,2.101,2.03,100.00,2.0,1.2,3.90,23.56,190.9
13-06-2004,23:39:04,0.51,2.182,2.209,2.128,1.967,2.03,100.00,2.0,1.2,2.04,21.89,190.9
14-06-2004,01:39:04,8.89,2.209,2.236,2.128,1.208,1.60,100.00,1.6,1.2,0.19,19.48,183.9
14-06-2004,03:39:04,0.76,2.182,2.262,1.994,0.301,1.60,100.00,1.6,1.2,1.11,20.78,189.5
14-06-2004,05:39:04,1.52,2.128,2.236,1.859,0.577,1.60,100.00,1.6,1.2,5.01,16.70,189.5
14-06-2004,07:39:04,9.15,2.047,2.209,1.778,0.163,1.17,100.00,1.2,1.2,2.97,16.88,199.4
14-06-2004,09:39:04,9.91,1.967,2.155,1.670,0.051,1.17,100.00,1.2,61.2,4.82,23.75,200.8
14-06-2004,11:39:04,6.86,1.859,2.074,1.588,0.051,1.17,100.00,1.2,118.7,1.30,24.12,209.2
14-06-2004,13:39:04,10.16,1.805,2.021,1.534,0.024,1.17,100.00,1.2,111.2,2.78,35.44,202.2
14-06-2004,15:39:04,6.10,1.724,1.940,1.453,-0.004,-0.16,100.00,-0.2,56.2,3.90,30.06,230.2
