"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
31-10-2004,18:08:05,,8.941,7.419,10.394,14.745,11.38,45.75,0.1,478.7
31-10-2004,19:08:05,0.00,9.040,7.544,10.296,11.686,10.21,53.25,1.1,228.7
31-10-2004,20:08:05,0.00,9.064,7.720,10.026,8.295,8.63,61.25,1.6,31.2
31-10-2004,21:08:05,0.00,9.015,7.845,9.632,6.763,9.03,61.75,2.1,1.2
31-10-2004,22:08:05,0.00,8.866,7.895,9.188,6.763,9.42,61.75,2.5,1.2
31-10-2004,23:08:05,0.00,8.693,7.920,8.866,7.217,9.42,69.25,4.1,1.2
01-11-2004,00:08:05,0.00,8.519,7.895,8.618,7.494,8.63,82.25,5.8,1.2
01-11-2004,01:08:05,0.00,8.369,7.845,8.444,7.895,7.83,91.75,6.6,1.2
01-11-2004,02:08:05,0.00,8.245,7.795,8.319,7.995,8.23,93.25,7.2,1.2
01-11-2004,03:08:05,0.00,8.145,7.745,8.220,7.393,7.83,93.25,6.8,1.2
01-11-2004,04:08:05,0.00,8.070,7.695,8.145,7.619,7.83,95.25,7.1,1.2
01-11-2004,05:08:05,0.00,7.995,7.645,8.045,7.820,7.43,96.25,6.9,1.2
01-11-2004,06:08:05,0.00,7.945,7.619,7.995,7.895,7.83,100.00,7.8,1.2
01-11-2004,07:08:05,0.00,7.895,7.569,7.945,8.145,7.83,100.00,7.8,31.2
01-11-2004,08:08:05,0.00,7.845,7.544,7.920,9.903,7.83,100.00,7.8,256.2
01-11-2004,09:08:05,0.00,7.820,7.519,7.970,11.929,8.63,100.00,8.6,461.2
01-11-2004,10:08:05,0.00,7.845,7.494,8.095,12.534,9.03,100.00,9.0,446.2
01-11-2004,11:08:05,0.00,7.895,7.494,8.270,17.034,9.42,100.00,9.4,838.7
01-11-2004,12:08:05,0.00,7.995,7.494,8.543,14.337,9.42,100.00,9.4,466.2
01-11-2004,13:08:05,0.00,8.120,7.544,8.767,14.505,9.03,100.00,9.0,418.7
01-11-2004,14:08:05,0.51,8.270,7.594,8.891,11.467,9.03,100.00,9.0,188.7
01-11-2004,15:08:05,1.52,8.344,7.670,8.916,10.271,9.03,100.00,9.0,221.2
01-11-2004,16:08:05,0.00,8.394,7.720,8.891,13.810,10.21,85.25,7.9,758.7
01-11-2004,17:08:05,0.00,8.419,7.770,9.015,13.209,9.82,79.75,6.5,783.7
01-11-2004,18:08:05,0.25,8.519,7.795,9.139,9.952,8.23,86.75,6.2,178.7
01-11-2004,19:08:05,0.76,8.568,7.845,9.089,8.618,8.23,88.25,6.4,168.7
01-11-2004,20:08:05,0.00,8.568,7.895,8.916,6.990,9.03,69.25,3.7,36.2
01-11-2004,21:08:05,0.00,8.494,7.920,8.693,6.763,9.82,54.75,1.2,1.2
01-11-2004,22:08:05,0.00,8.394,7.920,8.494,6.306,8.23,87.75,6.3,1.2
01-11-2004,23:08:05,0.00,8.295,7.895,8.295,7.393,8.23,98.25,8.0,1.2
02-11-2004,00:08:05,0.00,8.195,7.845,8.170,7.670,8.23,100.00,8.2,1.2
02-11-2004,01:08:05,0.00,8.095,7.820,8.095,7.066,8.23,94.25,7.4,1.2
02-11-2004,02:08:05,0.00,8.045,7.770,8.045,6.357,8.23,84.25,5.7,1.2
02-11-2004,03:08:05,0.00,7.970,7.720,7.920,6.026,7.43,96.25,6.9,1.2
02-11-2004,04:08:05,0.00,7.895,7.670,7.820,5.539,7.03,88.25,5.2,1.2
02-11-2004,05:08:05,0.00,7.820,7.645,7.695,5.024,8.23,64.25,1.9,1.2
02-11-2004,06:08:05,0.00,7.720,7.594,7.544,5.076,7.03,88.25,5.2,1.2
02-11-2004,07:08:05,0.00,7.645,7.544,7.419,5.591,7.03,93.75,6.1,133.7
02-11-2004,08:08:05,0.00,7.544,7.469,7.343,7.695,8.23,79.25,4.9,533.7
02-11-2004,09:08:05,0.00,7.494,7.419,7.393,8.941,9.03,73.25,4.5,973.7
02-11-2004,10:08:05,0.00,7.494,7.368,7.594,16.677,9.03,86.25,6.9,1378.7
02-11-2004,11:08:05,0.00,7.594,7.343,7.995,17.677,9.03,75.75,5.0,1276.2
02-11-2004,12:08:05,0.00,7.770,7.368,8.419,14.984,8.63,84.75,6.2,833.7
02-11-2004,13:08:05,0.00,7.970,7.419,8.668,13.570,9.03,70.25,3.9,756.2
02-11-2004,14:08:05,0.00,8.120,7.494,8.742,14.146,9.42,81.25,6.4,846.2
02-11-2004,15:08:05,0.00,8.220,7.569,8.817,15.008,9.82,79.25,6.4,933.7
02-11-2004,16:08:05,8.89,8.319,7.645,8.916,5.796,4.57,98.25,4.3,153.7
02-11-2004,17:08:05,3.56,8.369,7.695,8.693,2.262,4.15,96.75,3.7,43.7
02-11-2004,18:08:05,2.54,8.245,7.745,8.045,3.195,3.74,97.75,3.4,26.2
02-11-2004,19:08:05,1.02,7.970,7.720,7.469,3.617,3.31,100.00,3.3,8.7
02-11-2004,20:08:05,1.52,7.645,7.594,7.066,2.530,1.17,99.25,1.1,1.2
02-11-2004,21:08:05,0.25,7.368,7.469,6.712,2.155,0.29,98.75,0.1,1.2
02-11-2004,22:08:05,0.00,7.116,7.293,6.433,1.561,-0.16,99.25,-0.3,1.2
02-11-2004,23:08:05,0.00,6.889,7.167,6.153,1.534,-0.61,99.25,-0.7,1.2
03-11-2004,00:08:05,0.00,6.661,7.015,5.924,1.778,-1.06,100.00,-1.1,1.2
03-11-2004,01:08:05,0.25,6.484,6.889,5.745,1.913,-1.51,100.00,-1.5,1.2
03-11-2004,02:08:05,0.00,6.331,6.763,5.591,1.886,-1.97,100.00,-2.0,1.2
03-11-2004,03:08:05,0.00,6.204,6.636,5.462,1.805,-2.44,100.00,-2.4,1.2
03-11-2004,04:08:05,0.00,6.077,6.535,5.360,1.778,-2.44,100.00,-2.4,1.2
03-11-2004,05:08:05,0.00,5.975,6.433,5.231,1.967,-2.44,100.00,-2.4,1.2
03-11-2004,06:08:05,0.00,5.872,6.357,5.128,2.074,-2.90,100.00,-2.9,1.2
03-11-2004,07:08:05,0.00,5.770,6.255,5.024,2.074,-3.37,100.00,-3.4,76.2
03-11-2004,08:08:05,0.00,5.668,6.179,4.921,2.047,-2.44,96.75,-2.9,521.2
03-11-2004,09:08:05,0.00,5.565,6.077,4.792,2.101,-1.97,98.25,-2.2,876.2
03-11-2004,10:08:05,0.00,5.462,6.000,4.714,2.128,-0.61,96.75,-1.1,1358.7
03-11-2004,11:08:05,0.76,5.385,5.924,4.636,1.967,0.29,98.25,0.0,1748.7
03-11-2004,12:08:05,0.25,5.334,5.847,4.688,2.316,1.60,93.25,0.6,1878.7
03-11-2004,13:08:05,0.00,5.360,5.796,5.257,11.977,2.89,80.25,-0.2,2043.7
03-11-2004,14:08:05,0.00,5.642,5.770,6.281,19.056,3.74,77.25,0.1,1856.2
03-11-2004,15:08:05,0.00,6.102,5.821,7.318,19.508,4.99,68.75,-0.3,1838.7
03-11-2004,16:08:05,0.00,6.611,5.949,8.095,17.153,4.99,68.75,-0.3,1688.7
03-11-2004,17:08:05,0.00,7.066,6.153,8.593,15.748,4.99,78.25,1.5,1378.7
03-11-2004,18:08:05,0.00,7.444,6.382,8.866,11.443,2.89,91.25,1.6,703.7
03-11-2004,19:08:05,0.00,7.695,6.585,8.841,8.369,2.46,95.25,1.8,186.2
03-11-2004,20:08:05,0.00,7.795,6.788,8.568,5.565,2.03,92.25,0.9,11.2
03-11-2004,21:08:05,0.00,7.770,6.914,8.195,3.985,1.60,87.75,-0.2,1.2
03-11-2004,22:08:05,0.00,7.645,6.990,7.745,1.967,1.17,85.75,-1.0,1.2
03-11-2004,23:08:05,0.00,7.469,7.015,7.268,1.126,0.73,80.75,-2.2,1.2
04-11-2004,00:08:05,0.00,7.242,6.990,6.839,0.797,0.29,85.25,-1.9,1.2
04-11-2004,01:08:05,0.00,6.990,6.914,6.433,0.605,0.29,85.25,-1.9,1.2
