Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ÁC (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
29/12/04,13:08:05,0,9.089,9.41,8.99,15.223,5.4,10.25,-23.5,1178.7
29/12/04,14:08:05,0,9.287,9.435,9.386,22.92,7.83,1,-45.2,1841.2
29/12/04,15:08:05,0,9.509,9.485,9.952,24.895,7.43,1,-45.4,1573.7
29/12/04,16:08:05,0,9.829,9.583,10.614,24.992,9.03,1,-44.5,1706.2
29/12/04,17:08:05,0,10.173,9.682,11.127,23.4,7.83,1,-45.2,1643.7
29/12/04,18:08:05,0,10.467,9.829,11.467,17.986,7.83,1,-45.2,1181.2
29/12/04,19:08:05,0,10.712,10.001,11.565,11.2,6.62,1,-45.9,758.7
29/12/04,20:08:05,0,10.834,10.124,11.346,7.995,4.57,8.25,-26.5,321.2
29/12/04,21:08:05,0,10.834,10.247,10.98,5.591,2.89,36.75,-10.4,18.7
29/12/04,22:08:05,0,10.712,10.296,10.541,4.818,2.46,39.25,-10,1.2
29/12/04,23:08:05,0,10.565,10.32,10.124,3.643,2.03,39.75,-10.2,1.2
30/12/04,00:08:05,0,10.369,10.296,9.706,2.877,1.6,40.25,-10.5,1.2
30/12/04,01:08:05,0,10.149,10.247,9.336,1.778,1.17,1,-49.3,1.2
30/12/04,02:08:05,0,9.952,10.173,8.99,0.934,0.29,15.75,-22.7,1.2
30/12/04,03:08:05,0,9.731,10.075,8.643,0.495,-0.16,34.25,-14,1.2
30/12/04,04:08:05,0,9.509,9.977,8.319,1.67,0.29,37.25,-12.6,1.2
30/12/04,05:08:05,0,9.312,9.854,8.095,2.983,0.73,44.75,-9.9,1.2
30/12/04,06:08:05,0,9.139,9.731,7.97,3.406,0.73,47.75,-9.1,3.7
30/12/04,07:08:05,0,8.99,9.608,7.895,4.22,1.17,51.25,-7.8,98.7
30/12/04,08:08:05,0,8.891,9.509,7.895,6.484,4.15,56.25,-3.8,598.7
30/12/04,09:08:05,0,8.841,9.41,8.195,11.759,7.43,2.25,-37.8,1138.7
30/12/04,10:08:05,0,8.941,9.361,8.916,16.987,10.99,1,-43.2,1533.7
30/12/04,11:08:05,0,9.213,9.336,9.928,31.816,11.77,1,-42.8,1851.2
30/12/04,12:08:05,0,9.632,9.386,11.029,39.093,12.55,1,-42.3,2063.7
30/12/04,13:08:05,0,10.149,9.509,12.122,43.951,13.32,1,-41.8,2168.7
30/12/04,14:08:05,0,10.736,9.706,13.329,45.373,14.47,1,-41.1,2173.7
30/12/04,15:08:05,0,11.394,9.952,14.337,44.349,14.85,1,-40.9,2081.2
30/12/04,16:08:05,0,12.001,10.247,15.103,39.346,15.23,1,-40.7,1891.2
30/12/04,17:08:05,0,12.558,10.59,15.533,32.742,15.23,1,-40.7,1596.2
30/12/04,18:08:05,0,12.944,10.907,15.557,25.307,14.47,1,-41.1,1126.2
30/12/04,19:08:05,0,13.185,11.2,15.294,15.915,12.16,1,-42.5,448.7
30/12/04,20:08:05,0,13.233,11.443,14.697,11.565,10.6,1,-43.5,168.7
