"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
08-03-2005,18:00:00,,10.932,9.780,12.316,14.912,12.55,1.00,-42.3,798.7
08-03-2005,19:00:00,0.00,11.053,9.903,12.268,14.768,10.21,1.00,-43.7,498.7
08-03-2005,20:00:00,0.00,11.151,10.075,12.074,11.346,8.23,1.00,-44.9,11.2
08-03-2005,21:00:00,0.00,11.151,10.198,11.734,8.916,7.03,1.00,-45.7,1.2
08-03-2005,22:00:00,0.00,11.078,10.296,11.297,7.895,6.22,1.00,-46.2,1.2
08-03-2005,23:00:00,0.00,10.932,10.345,10.858,6.509,4.15,2.25,-40.0,1.2
09-03-2005,00:00:00,0.00,10.736,10.345,10.443,5.154,3.31,5.25,-32.2,1.2
09-03-2005,01:00:00,0.00,10.541,10.320,10.026,4.350,5.40,6.75,-28.1,1.2
09-03-2005,02:00:00,0.00,10.320,10.247,9.657,4.454,5.40,1.25,-44.7,1.2
09-03-2005,03:00:00,0.00,10.100,10.173,9.336,4.220,6.22,1.00,-46.2,1.2
09-03-2005,04:00:00,0.00,9.903,10.075,9.114,4.298,6.22,1.00,-46.2,1.2
09-03-2005,05:00:00,0.00,9.731,9.977,8.916,4.402,6.22,1.00,-46.2,1.2
09-03-2005,06:00:00,0.00,9.583,9.879,8.792,3.775,4.15,1.00,-47.5,1.2
09-03-2005,07:00:00,0.00,9.460,9.805,8.643,3.142,3.31,1.00,-48.0,1.2
09-03-2005,08:00:00,0.00,9.336,9.706,8.494,3.354,6.22,1.00,-46.2,153.7
09-03-2005,09:00:00,0.00,9.213,9.608,8.344,5.565,8.63,1.00,-44.7,613.7
09-03-2005,10:00:00,0.00,9.114,9.534,8.444,12.799,10.21,1.00,-43.7,1066.2
09-03-2005,11:00:00,0.00,9.139,9.460,8.891,21.867,10.60,1.00,-43.5,1433.7
09-03-2005,12:00:00,0.00,9.336,9.410,9.608,26.012,10.99,1.00,-43.2,1471.2
09-03-2005,13:00:00,0.00,9.657,9.460,10.443,27.924,12.55,1.00,-42.3,1653.7
09-03-2005,14:00:00,0.00,10.051,9.534,11.200,28.369,12.16,1.00,-42.5,1586.2
09-03-2005,15:00:00,0.00,10.443,9.682,11.832,26.744,10.99,1.00,-43.2,1261.2
09-03-2005,16:00:00,0.00,10.834,9.854,12.316,20.865,10.99,1.00,-43.2,846.2
09-03-2005,17:00:00,0.00,11.127,10.051,12.413,17.558,12.16,1.00,-42.5,1146.2
09-03-2005,18:00:00,0.00,11.297,10.222,12.413,14.505,12.16,1.00,-42.5,803.7
09-03-2005,19:00:00,0.00,11.394,10.369,12.316,11.102,10.60,1.00,-43.5,403.7
09-03-2005,20:00:00,0.00,11.419,10.492,12.001,8.344,7.03,1.00,-45.7,43.7
09-03-2005,21:00:00,0.00,11.346,10.565,11.540,6.204,7.03,1.00,-45.7,1.2
09-03-2005,22:00:00,0.00,11.175,10.590,11.053,5.205,6.62,1.00,-45.9,1.2
09-03-2005,23:00:00,0.00,10.956,10.590,10.565,4.272,4.99,1.00,-46.9,1.2
10-03-2005,00:00:00,0.00,10.736,10.541,10.124,3.722,4.99,1.00,-46.9,1.2
10-03-2005,01:00:00,0.00,10.492,10.443,9.731,3.801,4.99,1.00,-46.9,1.2
10-03-2005,02:00:00,0.00,10.247,10.369,9.435,3.485,5.40,1.00,-46.7,1.2
10-03-2005,03:00:00,0.00,10.051,10.247,9.188,3.063,3.74,1.00,-47.7,1.2
10-03-2005,04:00:00,0.00,9.854,10.149,8.941,2.664,4.99,1.00,-46.9,1.2
10-03-2005,05:00:00,0.00,9.657,10.026,8.693,2.557,3.74,1.00,-47.7,1.2
10-03-2005,06:00:00,0.00,9.485,9.903,8.494,2.503,4.99,1.00,-46.9,1.2
10-03-2005,07:00:00,0.00,9.312,9.805,8.319,2.477,4.15,1.00,-47.5,1.2
10-03-2005,08:00:00,0.00,9.188,9.682,8.170,2.155,5.81,1.00,-46.4,151.2
10-03-2005,09:00:00,0.00,9.040,9.583,7.995,3.932,4.99,1.00,-46.9,618.7
