"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
20-12-2005,17:00:00,,12.485,10.394,14.601,28.667,18.66,1.00,-38.6,1501.2,3.43,7.99
20-12-2005,18:00:00,0.00,12.654,10.565,14.649,24.315,17.90,1.00,-39.0,1128.7,3.05,7.23
20-12-2005,19:00:00,0.00,12.847,10.810,14.577,23.665,17.14,1.00,-39.5,846.2,1.90,5.71
20-12-2005,20:00:00,0.00,12.920,11.005,14.385,15.438,15.62,1.00,-40.4,288.7,2.66,4.95
20-12-2005,21:00:00,0.00,12.920,11.175,13.906,9.089,11.77,1.00,-42.8,18.7,0.38,3.81
20-12-2005,22:00:00,0.00,12.751,11.273,13.257,6.433,10.99,1.00,-43.2,1.2,0.76,3.05
20-12-2005,23:00:00,0.00,12.509,11.321,12.606,6.077,10.99,1.00,-43.2,1.2,1.90,3.43
21-12-2005,00:00:00,0.00,12.243,11.297,12.050,7.544,11.77,1.00,-42.8,1.2,2.28,4.57
21-12-2005,01:00:00,0.00,11.977,11.248,11.662,6.382,10.60,1.00,-43.5,1.2,2.66,4.19
21-12-2005,02:00:00,0.00,11.734,11.175,11.321,7.419,12.16,1.00,-42.5,1.2,3.43,5.71
21-12-2005,03:00:00,0.00,11.516,11.078,11.078,8.618,12.93,1.00,-42.1,1.2,5.33,10.66
21-12-2005,04:00:00,0.00,11.321,10.980,10.883,10.001,13.70,1.00,-41.6,1.2,6.85,10.66
21-12-2005,05:00:00,0.00,11.175,10.883,10.761,10.222,13.32,1.00,-41.8,1.2,6.85,11.80
21-12-2005,06:00:00,0.00,11.053,10.785,10.663,9.829,12.93,1.00,-42.1,6.2,6.85,12.18
21-12-2005,07:00:00,0.00,10.932,10.712,10.565,11.321,14.47,1.00,-41.1,228.7,7.61,12.18
21-12-2005,08:00:00,0.00,10.858,10.614,10.516,13.016,15.62,1.00,-40.4,561.2,7.61,11.80
21-12-2005,09:00:00,0.00,10.785,10.565,10.638,14.433,14.85,1.00,-40.9,396.2,7.61,15.61
21-12-2005,10:00:00,0.00,10.810,10.516,10.785,14.649,15.62,1.00,-40.4,421.2,7.99,15.99
21-12-2005,11:00:00,0.00,10.834,10.492,10.858,27.653,17.14,1.00,-39.5,1568.7,10.28,14.85
21-12-2005,12:00:00,0.00,10.907,10.467,11.370,36.254,17.90,1.00,-39.0,2161.2,11.04,17.51
21-12-2005,13:00:00,0.00,11.175,10.492,12.219,37.096,18.66,1.00,-38.6,2198.7,10.66,17.51
21-12-2005,14:00:00,0.00,11.565,10.565,13.040,36.824,19.42,1.00,-38.1,2263.7,9.52,17.51
21-12-2005,15:00:00,0.00,12.001,10.712,13.762,38.226,20.57,1.00,-37.4,2143.7,8.38,15.23
21-12-2005,16:00:00,0.00,12.437,10.907,14.361,35.716,21.33,1.00,-37.0,1928.7,9.14,18.27
21-12-2005,17:00:00,0.00,12.823,11.127,14.673,28.468,21.71,1.00,-36.7,1181.2,8.38,15.99
21-12-2005,18:00:00,0.00,13.064,11.346,14.601,27.284,21.33,1.00,-37.0,1113.7,9.52,17.51
21-12-2005,19:00:00,0.00,13.185,11.516,14.409,21.724,19.81,1.00,-37.9,511.2,8.38,14.85
21-12-2005,20:00:00,0.00,13.185,11.662,14.050,16.129,16.00,1.00,-40.2,88.7,8.76,19.03
21-12-2005,21:00:00,0.00,13.088,11.759,13.666,14.792,16.00,1.00,-40.2,11.2,7.99,15.23
21-12-2005,22:00:00,0.00,12.968,11.807,13.305,12.025,15.23,1.00,-40.7,1.2,9.14,18.27
21-12-2005,23:00:00,0.25,12.823,11.807,12.992,11.200,14.85,1.00,-40.9,1.2,7.99,15.61
22-12-2005,00:00:00,0.00,12.654,11.807,12.703,10.663,14.47,1.00,-41.1,1.2,8.38,14.85
22-12-2005,01:00:00,0.00,12.485,11.759,12.437,11.977,14.85,1.00,-40.9,1.2,8.38,15.23
22-12-2005,02:00:00,0.00,12.340,11.710,12.195,11.516,14.47,1.00,-41.1,1.2,7.99,14.85
22-12-2005,03:00:00,0.00,12.195,11.637,11.929,10.736,13.70,1.00,-41.6,1.2,6.85,12.94
22-12-2005,04:00:00,0.00,12.025,11.565,11.637,8.494,11.77,1.00,-42.8,1.2,4.19,8.76
22-12-2005,05:00:00,0.00,11.832,11.492,11.321,6.763,11.38,1.00,-43.0,1.2,3.05,5.71
22-12-2005,06:00:00,0.00,11.637,11.394,11.029,7.995,12.93,1.00,-42.1,6.2,4.57,11.04
22-12-2005,07:00:00,0.00,11.443,11.297,10.736,10.124,14.09,1.00,-41.4,213.7,6.47,12.18
22-12-2005,08:00:00,0.00,11.248,11.175,10.565,13.064,15.23,1.00,-40.7,663.7,8.38,15.99
22-12-2005,09:00:00,0.00,11.127,11.078,10.638,17.177,16.00,1.00,-40.2,1141.2,7.23,13.70
22-12-2005,10:00:00,0.00,11.127,10.980,11.005,19.222,16.38,1.00,-40.0,1563.7,6.85,12.56
22-12-2005,11:00:00,0.00,11.273,10.932,11.589,29.040,17.52,1.00,-39.3,1893.7,5.71,11.80
22-12-2005,12:00:00,0.00,11.540,10.932,12.437,36.633,16.38,1.00,-40.0,2116.2,4.95,9.14
22-12-2005,13:00:00,0.00,11.953,11.005,13.546,39.431,17.14,1.00,-39.5,2231.2,4.95,9.90
22-12-2005,14:00:00,0.00,12.509,11.127,14.577,37.015,17.90,1.00,-39.0,2246.2,5.71,11.04
22-12-2005,15:00:00,0.00,13.040,11.346,15.318,36.878,17.90,1.00,-39.0,2153.7,6.47,12.56
22-12-2005,16:00:00,0.00,13.522,11.589,15.772,36.308,18.28,1.00,-38.8,1953.7,6.47,11.04
22-12-2005,17:00:00,0.00,13.882,11.832,15.963,32.717,17.90,1.00,-39.0,1643.7,6.09,11.42
22-12-2005,18:00:00,0.00,14.098,12.074,15.939,28.171,17.14,1.00,-39.5,1246.2,5.33,9.14
22-12-2005,19:00:00,0.00,14.194,12.268,15.652,21.437,16.38,1.00,-40.0,788.7,3.81,8.38
22-12-2005,20:00:00,0.00,14.170,12.413,15.175,13.497,13.32,1.00,-41.8,336.2,3.81,6.47
22-12-2005,21:00:00,0.00,14.002,12.509,14.529,8.444,11.38,1.00,-43.0,28.7,3.43,6.47
22-12-2005,22:00:00,0.00,13.738,12.534,13.786,3.827,11.38,1.00,-43.0,1.2,1.52,6.09
22-12-2005,23:00:00,0.00,13.401,12.485,13.064,3.221,9.82,1.00,-44.0,1.2,1.90,4.57
23-12-2005,00:00:00,0.00,13.040,12.413,12.413,3.009,9.82,1.00,-44.0,1.2,1.90,4.95
23-12-2005,01:00:00,0.00,12.678,12.292,11.880,5.872,11.38,1.00,-43.0,1.2,5.71,9.90
23-12-2005,02:00:00,0.00,12.364,12.147,11.467,6.737,10.99,1.00,-43.2,1.2,6.85,11.04
23-12-2005,03:00:00,0.00,12.074,11.977,11.151,6.788,10.99,1.00,-43.2,1.2,7.23,10.66
23-12-2005,04:00:00,0.00,11.807,11.832,10.858,6.560,11.77,1.00,-42.8,1.2,6.47,10.66
23-12-2005,05:00:00,0.00,11.589,11.662,10.614,6.839,11.77,1.00,-42.8,1.2,5.33,9.90
23-12-2005,06:00:00,0.00,11.370,11.516,10.394,8.693,13.32,1.00,-41.8,6.2,5.33,10.66
23-12-2005,07:00:00,0.00,11.175,11.370,10.296,11.053,14.47,1.00,-41.1,206.2,5.71,10.66
23-12-2005,08:00:00,0.00,11.053,11.224,10.369,13.570,16.00,1.00,-40.2,668.7,5.71,10.66
23-12-2005,09:00:00,0.00,11.029,11.127,10.687,18.985,17.14,1.00,-39.5,1123.7,6.85,12.18
23-12-2005,10:00:00,0.00,11.151,11.053,11.273,21.390,17.52,1.00,-39.3,1543.7,7.23,13.70
23-12-2005,11:00:00,0.00,11.394,11.029,12.050,33.157,17.14,1.00,-39.5,1898.7,6.85,12.18
23-12-2005,12:00:00,0.00,11.783,11.078,12.944,34.995,16.38,1.00,-40.0,1771.2,7.61,12.18
23-12-2005,13:00:00,0.00,12.219,11.200,13.642,34.810,17.52,1.00,-39.3,1776.2,7.61,11.80
23-12-2005,14:00:00,0.00,12.582,11.346,14.170,36.471,18.28,1.00,-38.8,1941.2,8.76,15.99
23-12-2005,15:00:00,0.00,12.968,11.516,14.649,34.969,19.42,1.00,-38.1,1883.7,9.52,15.61
23-12-2005,16:00:00,0.00,13.257,11.710,14.936,32.898,19.81,1.00,-37.9,1571.2,9.14,14.47
