"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 684639)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
01-10-2006,13:23:04,,4.947,3.775,6.737,20.460,10.247,1801.2,0.38,11.04
01-10-2006,15:23:04,0.00,5.437,4.011,7.268,16.296,10.956,1541.2,0.38,11.80
01-10-2006,17:23:04,0.00,6.077,4.480,7.494,8.070,9.731,771.2,1.52,13.32
01-10-2006,19:23:04,0.00,6.153,4.818,6.763,4.037,7.167,48.7,5.71,9.90
01-10-2006,21:23:04,0.00,5.847,4.921,5.821,2.797,6.433,1.2,4.19,7.99
01-10-2006,23:23:04,0.00,5.437,4.895,5.154,3.142,7.066,1.2,3.43,7.61
02-10-2006,01:23:04,0.00,5.128,4.766,4.792,3.089,7.920,1.2,6.47,11.42
02-10-2006,03:23:04,0.00,4.895,4.636,4.532,3.248,7.945,1.2,0.38,12.94
02-10-2006,05:23:04,0.00,4.714,4.532,4.350,2.744,7.041,1.2,5.71,11.42
02-10-2006,07:23:04,0.00,4.584,4.428,4.220,3.089,7.419,236.2,5.71,11.42
02-10-2006,09:23:04,0.00,4.558,4.324,4.506,11.807,9.879,1118.7,6.47,11.80
02-10-2006,11:23:04,0.00,4.947,4.350,5.719,21.509,11.880,1688.7,4.95,10.66
02-10-2006,13:23:04,0.00,5.770,4.558,7.393,23.328,13.209,1678.7,4.19,11.80
02-10-2006,15:23:04,0.00,6.687,4.947,8.543,18.747,12.437,1176.2,4.19,9.52
02-10-2006,17:23:04,0.00,7.242,5.385,8.742,11.273,9.435,648.7,3.43,6.85
02-10-2006,19:23:04,0.00,7.293,5.719,8.145,5.924,5.488,46.2,2.66,6.09
02-10-2006,21:23:04,0.00,6.965,5.821,7.066,3.063,3.063,1.2,3.43,7.99
02-10-2006,23:23:04,0.00,6.458,5.770,6.102,1.670,1.453,1.2,2.66,7.61
