Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
20/10/06,10:57:05,,7.945,7.318,8.693,17.249,10.6,56.75,2.4,533.7,12.18,17.13
20/10/06,11:57:05,0,8.12,7.368,8.941,17.629,10.99,54.75,2.2,1763.7,11.04,18.65
20/10/06,12:57:05,0,8.394,7.469,9.361,16.868,11.38,51.25,1.7,1388.7,10.66,17.13
20/10/06,13:57:05,0,8.643,7.594,9.657,15.39,10.6,52.25,1.2,1141.2,10.66,18.65
20/10/06,14:57:05,0,8.841,7.72,9.805,14.553,10.99,51.25,1.3,1206.2,9.14,15.23
20/10/06,15:57:05,0,8.99,7.82,9.879,12.654,10.6,44.75,-0.9,851.2,7.61,13.32
20/10/06,16:57:05,0,9.089,7.92,9.829,10.271,9.82,44.25,-1.8,693.7,7.23,12.94
20/10/06,17:57:05,0,9.114,8.02,9.583,7.97,8.23,56.25,0,193.7,4.95,9.14
20/10/06,18:57:05,0,9.04,8.07,9.213,7.393,4.57,98.25,4.3,26.2,3.43,9.14
20/10/06,19:57:05,0,8.916,8.095,8.866,7.041,2.46,98.25,2.2,1.2,2.28,5.71
20/10/06,20:57:05,0,8.767,8.07,8.568,6.026,-0.16,98.75,-0.3,1.2,2.66,7.23
20/10/06,21:57:05,0,8.593,8.045,8.27,4.973,-1.06,98.75,-1.2,1.2,3.05,6.47
20/10/06,22:57:05,0,8.419,7.995,7.92,4.22,-1.51,98.25,-1.8,1.2,3.43,6.47
20/10/06,23:57:05,0,8.22,7.92,7.594,3.564,-2.44,97.75,-2.8,1.2,4.19,7.61
21/10/06,00:57:05,0,8.02,7.82,7.293,2.903,-3.37,96.25,-3.9,1.2,4.57,7.99
21/10/06,01:57:05,0,7.82,7.72,6.99,2.37,-3.85,95.75,-4.4,1.2,4.19,8.38
21/10/06,02:57:05,0,7.619,7.619,6.687,2.047,-4.33,95.75,-4.9,1.2,4.19,7.61
