Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
30/11/06,11:43:21,,10.222,9.682,11.127,19.246,14.09,25.25,-5.5,843.7,4.57,6.85
30/11/06,12:43:21,0,10.418,9.756,11.248,20.198,16.76,20.25,-6.1,723.7,5.33,9.14
30/11/06,13:43:21,0,10.638,9.854,11.443,34.942,16.38,29.25,-1.6,2031.2,6.85,11.42
30/11/06,14:43:21,0,10.907,9.977,12.219,27.358,15.62,36.75,0.9,1138.7,7.61,11.8
30/11/06,15:43:21,0,11.248,10.1,12.606,28.692,16.76,29.25,-1.2,1396.2,6.85,11.8
30/11/06,16:43:21,0,11.516,10.247,12.92,29.015,17.52,30.25,-0.1,1521.2,7.61,11.42
30/11/06,17:43:21,0,11.759,10.394,13.233,24.05,16.38,35.25,1,1168.7,6.09,9.52
30/11/06,18:43:21,0,11.977,10.516,13.281,17.153,15.62,31.75,-1.1,748.7,7.23,9.9
30/11/06,19:43:21,0,12.05,10.663,12.944,13.281,14.09,35.75,-0.8,298.7,7.61,10.28
30/11/06,20:43:21,0,12.001,10.761,12.461,10.541,13.32,38.75,-0.4,23.7,7.23,10.28
30/11/06,21:43:21,0,11.832,10.81,11.929,9.583,12.55,40.25,-0.6,1.2,8.38,12.94
30/11/06,22:43:21,0,11.637,10.81,11.467,8.891,12.16,45.75,0.8,1.2,7.99,11.04
30/11/06,23:43:21,0,11.443,10.785,11.102,8.668,12.16,48.25,1.6,1.2,7.61,10.66
01/12/06,00:43:21,0,11.248,10.712,10.81,8.494,12.16,47.25,1.3,1.2,6.47,9.9
01/12/06,01:43:21,0,11.053,10.638,10.565,8.12,12.55,47.25,1.6,1.2,6.09,9.52
01/12/06,02:43:21,0,10.907,10.565,10.369,7.945,12.93,42.25,0.4,1.2,6.09,9.52
01/12/06,03:43:21,0,10.761,10.492,10.173,7.745,13.7,39.25,0.1,1.2,5.71,9.52
01/12/06,04:43:21,0,10.614,10.418,10.026,7.745,13.7,38.25,-0.3,1.2,6.09,9.52
01/12/06,05:43:21,0,10.492,10.345,9.903,7.091,12.55,42.25,0.1,1.2,4.19,8.38
01/12/06,06:43:21,0,10.394,10.247,9.756,7.494,13.7,38.75,-0.1,68.7,4.95,9.52
01/12/06,07:43:21,0,10.271,10.173,9.657,9.903,14.47,38.75,0.6,301.2,6.85,10.66
01/12/06,08:43:21,0,10.222,10.1,9.805,14.17,15.62,35.75,0.5,688.7,6.85,10.28
01/12/06,09:43:21,0,10.247,10.051,10.247,19.389,16.38,35.75,1.2,873.7,6.09,10.28
01/12/06,10:43:21,0,10.418,10.026,10.858,29.015,17.52,38.75,3.3,1373.7,7.61,12.56
01/12/06,11:43:21,0,10.687,10.051,11.613,36.498,18.66,39.25,4.5,1776.2,8.76,14.47
01/12/06,12:43:21,0,11.053,10.124,12.509,41.766,19.42,37.75,4.7,2093.7,8.38,14.85
01/12/06,13:43:21,0,11.54,10.247,13.473,41.21,20.57,34.25,4.3,2161.2,9.9,17.89
01/12/06,14:43:21,0,12.025,10.418,14.17,38.84,19.81,33.75,3.4,1953.7,9.9,15.61
01/12/06,15:43:21,0,12.461,10.614,14.601,32.407,20.95,31.25,3.3,1693.7,9.52,16.75
01/12/06,16:43:21,0,12.775,10.834,14.721,25.72,18.66,28.75,0.2,921.2,9.52,17.13
01/12/06,17:43:21,0,12.968,11.029,14.481,20.388,17.9,28.75,-0.5,371.2,7.99,14.09
01/12/06,18:43:21,0,12.968,11.2,14.05,17.296,16.38,23.75,-4.4,223.7,7.23,12.94
01/12/06,19:43:21,0,12.871,11.297,13.546,14.026,15.62,25.25,-4.2,58.7,7.23,13.32
01/12/06,20:43:21,0,12.703,11.346,13.016,12.122,14.47,28.75,-3.5,8.7,7.61,15.23
01/12/06,21:43:21,0,12.485,11.346,12.509,11.2,13.7,29.75,-3.7,1.2,8.38,14.47
01/12/06,22:43:21,1.02,12.243,11.321,12.074,8.295,10.99,53.75,2,1.2,7.23,12.56
01/12/06,23:43:21,1.52,12.001,11.248,11.662,7.419,11.38,55.75,2.9,1.2,6.85,12.18
02/12/06,00:43:21,0,11.759,11.175,11.297,7.469,11.38,52.25,2,1.2,7.99,12.56
02/12/06,01:43:21,0,11.516,11.078,10.98,7.242,11.38,55.25,2.7,1.2,6.85,12.18
02/12/06,02:43:21,0,11.297,10.98,10.687,7.318,9.03,72.75,4.4,1.2,7.99,12.94
02/12/06,03:43:21,0,11.102,10.858,10.443,6.585,9.03,72.25,4.3,1.2,7.61,12.18
02/12/06,04:43:21,0,10.907,10.736,10.198,6.788,8.63,72.25,3.9,1.2,7.61,12.18
02/12/06,05:43:21,0,10.736,10.638,10.001,5.821,8.63,60.25,1.4,1.2,7.99,12.94
02/12/06,06:43:21,0,10.565,10.541,9.756,5.872,8.63,67.75,3,128.7,6.85,11.8
