Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
05/03/07,10:40:00,,12.654,12.775,12.437,16.225,-888.88,-888.88,-888.9,546.2,2.28,3.81
05/03/07,11:40:00,0,12.751,12.775,12.678,17.51,-888.88,-888.88,-888.9,691.2,2.66,4.95
05/03/07,12:40:00,0,12.896,12.751,13.137,17.32,-888.88,-888.88,-888.9,608.7,2.66,4.95
05/03/07,13:40:00,0,13.088,12.775,13.473,19.103,-888.88,-888.88,-888.9,901.2,3.05,6.09
05/03/07,14:40:00,0,13.281,12.823,13.81,22.609,-888.88,-888.88,-888.9,1296.2,3.05,6.47
05/03/07,15:40:00,0,13.522,12.896,14.337,21.7,-888.88,-888.88,-888.9,1108.7,3.81,6.85
05/03/07,16:40:00,0,13.81,12.968,14.673,18.652,-888.88,-888.88,-888.9,1493.7,4.57,8.38
05/03/07,17:40:00,0,14.05,13.088,14.888,14.361,-888.88,-888.88,-888.9,1131.2,4.57,8.38
05/03/07,18:40:00,0,14.194,13.209,14.792,11.734,-888.88,-888.88,-888.9,673.7,4.95,8.76
05/03/07,19:40:00,0,14.194,13.305,14.385,9.188,-888.88,95.25,-888.9,201.2,4.57,8.38
05/03/07,20:40:00,0,14.05,13.353,13.762,7.066,4.99,100,5,1.2,3.43,6.85
05/03/07,21:40:00,0,13.81,13.329,13.088,5.949,3.74,100,3.7,1.2,1.9,5.71
05/03/07,22:40:00,0,13.497,13.281,12.461,6.382,4.15,100,4.2,1.2,3.43,7.23
05/03/07,23:40:00,0,13.161,13.161,11.977,6.433,3.74,100,3.7,1.2,3.05,7.61
06/03/07,00:40:00,0,12.871,13.04,11.613,6.763,2.89,100,2.9,1.2,4.57,8.76
06/03/07,01:40:00,0,12.606,12.896,11.321,5.539,1.6,100,1.6,1.2,3.43,7.23
06/03/07,02:40:00,0,12.364,12.751,11.005,4.35,0.73,100,0.7,1.2,2.66,6.09
06/03/07,03:40:00,0,12.122,12.606,10.638,3.248,-0.16,100,-0.2,1.2,2.28,4.95
06/03/07,04:40:00,0,11.88,12.461,10.222,2.584,-0.61,100,-0.6,1.2,0.76,3.43
06/03/07,05:40:00,0,11.589,12.292,9.805,2.797,-0.16,100,-0.2,1.2,1.14,4.57
06/03/07,06:40:00,0,11.321,12.147,9.46,1.724,-0.61,100,-0.6,1.2,1.14,4.19
06/03/07,07:40:00,0,11.053,11.953,9.089,1.317,0.29,100,0.3,51.2,0.76,3.05
06/03/07,08:40:00,0,10.785,11.783,8.742,2.877,3.31,100,3.3,521.2,1.52,7.23
06/03/07,09:40:00,0,10.565,11.613,8.693,6.788,4.15,100,4.2,971.2,3.81,8.76
06/03/07,10:40:00,0,10.467,11.443,9.188,16.415,-888.88,-888.88,-888.9,1398.7,3.81,8.76
06/03/07,11:40:00,0,10.614,11.346,10.124,24.122,-888.88,-888.88,-888.9,1711.2,3.81,6.47
06/03/07,12:40:00,0,10.956,11.273,11.346,28.667,-888.88,-888.88,-888.9,1926.2,3.05,6.47
06/03/07,13:40:00,0,11.492,11.321,12.775,31.128,-888.88,-888.88,-888.9,1996.2,2.66,6.85
06/03/07,14:40:00,0,12.147,11.443,14.146,31.433,-888.88,-888.88,-888.9,1981.2,3.05,7.23
06/03/07,15:40:00,0,12.823,11.662,15.151,26.182,-888.88,-888.88,-888.9,1703.7,3.81,6.85
06/03/07,16:40:00,0,13.401,11.904,15.652,20.627,-888.88,-888.88,-888.9,1321.2,3.81,6.85
06/03/07,17:40:00,0,13.786,12.195,15.676,16.296,-888.88,-888.88,-888.9,1011.2,3.43,5.71
06/03/07,18:40:00,0,13.978,12.413,15.342,13.93,-888.88,-888.88,-888.9,436.2,3.05,5.71
06/03/07,19:40:00,0,14.002,12.606,14.816,11.613,-888.88,-888.88,-888.9,108.7,2.28,5.71
06/03/07,20:40:00,0,13.882,12.751,14.17,9.089,-888.88,-888.88,-888.9,1.2,0.38,3.43
06/03/07,21:40:00,0,13.666,12.799,13.449,7.393,-888.88,-888.88,-888.9,1.2,0,1.14
06/03/07,22:40:00,0,13.377,12.799,12.727,5.591,6.62,100,6.6,1.2,0,3.81
06/03/07,23:40:00,0,13.04,12.727,12.05,4.921,5.4,100,5.4,1.2,0.38,2.66
07/03/07,00:40:00,0,12.678,12.63,11.443,4.74,-888.88,-888.88,-888.9,1.2,1.9,4.19
07/03/07,01:40:00,0,12.34,12.509,10.98,5.282,-888.88,-888.88,-888.9,1.2,2.66,4.95
07/03/07,02:40:00,0,12.025,12.34,10.663,5.796,-888.88,-888.88,-888.9,1.2,4.19,7.23
07/03/07,03:40:00,0,11.783,12.195,10.467,5.616,-888.88,-888.88,-888.9,1.2,3.81,5.71
07/03/07,04:40:00,0,11.589,12.05,10.296,5.257,-888.88,100,-888.9,1.2,1.9,4.95
07/03/07,05:40:00,0,11.419,11.929,10.1,5.128,6.62,100,6.6,1.2,1.9,4.57
07/03/07,06:40:00,0,11.224,11.783,9.903,5.616,-888.88,100,-888.9,1.2,2.28,5.33
07/03/07,07:40:00,0,11.078,11.662,9.756,5.154,-888.88,-888.88,-888.9,63.7,2.66,6.09
07/03/07,08:40:00,0,10.932,11.54,9.657,6.382,-888.88,-888.88,-888.9,498.7,4.95,9.14
07/03/07,09:40:00,0,10.834,11.419,9.731,8.891,-888.88,-888.88,-888.9,966.2,6.85,10.28
07/03/07,10:40:00,0,10.858,11.346,10.198,18.628,-888.88,-888.88,-888.9,1373.7,6.85,11.8
07/03/07,11:40:00,0,11.029,11.273,10.956,26.573,-888.88,-888.88,-888.9,1661.2,6.85,11.04
07/03/07,12:40:00,0,11.37,11.273,11.953,31.484,-888.88,-888.88,-888.9,1951.2,6.09,10.28
07/03/07,13:40:00,0,11.832,11.346,13.088,32.794,-888.88,-888.88,-888.9,2016.2,5.33,10.28
07/03/07,14:40:00,0,12.364,11.492,14.098,31.204,-888.88,-888.88,-888.9,1811.2,5.33,9.14
07/03/07,15:40:00,0,12.92,11.686,14.84,26.744,-888.88,-888.88,-888.9,1463.7,4.57,9.14
07/03/07,16:40:00,0,13.401,11.929,15.223,22.537,-888.88,-888.88,-888.9,1476.2,4.95,9.52
07/03/07,17:40:00,0,13.714,12.171,15.318,18.2,-888.88,-888.88,-888.9,996.2,5.33,9.9
07/03/07,18:40:00,0,13.906,12.389,15.079,16.32,-888.88,-888.88,-888.9,461.2,4.57,7.99
07/03/07,19:40:00,0,13.93,12.558,14.673,13.353,-888.88,-888.88,-888.9,136.2,4.57,7.61
07/03/07,20:40:00,0,13.858,12.678,14.146,11.053,-888.88,-888.88,-888.9,1.2,3.81,7.61
07/03/07,21:40:00,0,13.666,12.727,13.57,9.879,-888.88,-888.88,-888.9,1.2,4.57,9.14
07/03/07,22:40:00,0,13.425,12.727,13.064,9.386,-888.88,-888.88,-888.9,1.2,5.71,9.52
07/03/07,23:40:00,0.25,13.185,12.678,12.654,10.198,-888.88,-888.88,-888.9,1.2,3.81,6.85
08/03/07,00:40:00,0.51,12.968,12.63,12.389,9.558,-888.88,-888.88,-888.9,1.2,5.33,9.52
08/03/07,01:40:00,0,12.775,12.534,12.219,9.188,-888.88,-888.88,-888.9,1.2,6.09,11.04
08/03/07,02:40:00,0,12.63,12.461,12.025,8.444,-888.88,-888.88,-888.9,1.2,7.61,17.13
08/03/07,03:40:00,0,12.485,12.389,11.832,9.41,-888.88,-888.88,-888.9,1.2,7.61,13.7
08/03/07,04:40:00,0,12.34,12.316,11.71,10.1,-888.88,-888.88,-888.9,1.2,7.23,14.85
08/03/07,05:40:00,0,12.243,12.243,11.662,10.467,-888.88,-888.88,-888.9,1.2,6.85,11.8
08/03/07,06:40:00,0,12.171,12.171,11.662,10.418,-888.88,-888.88,-888.9,1.2,6.47,9.9
08/03/07,07:40:00,0,12.122,12.098,11.662,10.541,-888.88,-888.88,-888.9,6.2,4.95,9.52
08/03/07,08:40:00,0,12.074,12.05,11.637,11.71,-888.88,-888.88,-888.9,228.7,6.09,10.66
08/03/07,09:40:00,0,12.05,12.001,11.734,11.662,-888.88,-888.88,-888.9,936.2,5.71,9.9
08/03/07,10:40:00,0,12.098,11.977,12.074,18.366,-888.88,-888.88,-888.9,1388.7,6.09,11.04
08/03/07,11:40:00,0,12.292,11.953,12.678,24.581,-888.88,-888.88,-888.9,1723.7,6.47,11.04
08/03/07,12:40:00,0,12.582,12.001,13.425,28.345,-888.88,-888.88,-888.9,1923.7,6.09,12.56
08/03/07,13:40:00,0,12.968,12.074,14.242,30.798,-888.88,-888.88,-888.9,2071.2,5.33,11.42
08/03/07,14:40:00,0,13.401,12.219,15.008,27.924,-888.88,-888.88,-888.9,1301.2,3.43,7.99
08/03/07,15:40:00,0,13.834,12.389,15.485,25.768,-888.88,-888.88,-888.9,1568.7,3.81,9.52
08/03/07,16:40:00,0,14.17,12.582,15.748,21.223,-888.88,-888.88,-888.9,931.2,3.81,7.61
08/03/07,17:40:00,0,14.385,12.751,15.772,17.106,-888.88,-888.88,-888.9,891.2,3.43,7.61
08/03/07,18:40:00,0,14.457,12.92,15.414,14.409,-888.88,-888.88,-888.9,568.7,4.57,8.38
08/03/07,19:40:00,0,14.409,13.04,14.912,10.565,7.43,100,7.4,136.2,4.19,7.99
08/03/07,20:40:00,0,14.242,13.112,14.266,8.543,6.22,100,6.2,1.2,4.57,9.14
08/03/07,21:40:00,0,13.978,13.112,13.594,7.015,4.99,100,5,1.2,6.85,12.56
08/03/07,22:40:00,0,13.642,13.088,12.944,5.385,3.31,100,3.3,1.2,6.47,11.04
08/03/07,23:40:00,0,13.305,12.992,12.34,4.428,3.31,88.75,1.6,1.2,6.09,9.9
09/03/07,00:40:00,0,12.944,12.871,11.759,3.406,2.89,85.75,0.7,1.2,5.71,9.52
09/03/07,01:40:00,0,12.606,12.727,11.248,2.956,3.31,68.25,-2,1.2,6.85,10.66
09/03/07,02:40:00,0,12.268,12.558,10.761,2.93,2.46,81.25,-0.4,1.2,6.85,9.9
09/03/07,03:40:00,0,11.929,12.389,10.369,2.262,2.46,94.75,1.7,1.2,3.81,10.66
09/03/07,04:40:00,0,11.637,12.195,10.001,2.37,3.31,100,3.3,1.2,3.43,7.23
09/03/07,05:40:00,0,11.346,12.025,9.682,2.744,3.31,100,3.3,1.2,3.81,7.99
09/03/07,06:40:00,0,11.102,11.832,9.435,2.823,3.74,100,3.7,1.2,2.66,6.47
09/03/07,07:40:00,0,10.883,11.662,9.238,2.956,4.99,100,5,63.7,1.9,4.95
09/03/07,08:40:00,0,10.687,11.516,9.064,4.61,7.43,99.75,7.4,486.2,1.9,5.71
09/03/07,09:40:00,0,10.541,11.346,9.163,8.543,-888.88,-888.88,-888.9,961.2,2.66,4.95
09/03/07,10:40:00,0,10.541,11.224,9.756,19.246,-888.88,-888.88,-888.9,1381.2,2.66,5.33
09/03/07,11:40:00,0,10.761,11.151,10.761,27.974,-888.88,-888.88,-888.9,1703.7,3.05,6.09
09/03/07,12:40:00,0,11.175,11.151,12.025,32.562,-888.88,-888.88,-888.9,1911.2,2.28,5.33
09/03/07,13:40:00,0,11.759,11.224,13.449,33.992,-888.88,-888.88,-888.9,1991.2,2.28,5.71
