Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
04/10/07,13:00:00,,4.115,2.877,5.308,14.457,4.57,96.75,4.1,718.7,11.04,17.51
04/10/07,14:00:00,0,4.324,3.036,5.616,13.329,4.57,98.25,4.3,1811.2,10.28,16.37
04/10/07,15:00:00,0,4.688,3.433,6.026,10.198,3.74,100,3.7,1203.7,11.04,16.75
04/10/07,16:00:00,0,4.947,3.38,6.128,7.192,3.74,100,3.7,488.7,10.28,15.61
04/10/07,17:00:00,0,5.076,3.433,5.924,5.565,3.74,100,3.7,268.7,9.52,16.37
04/10/07,18:00:00,0,5.076,3.564,5.616,3.985,3.74,100,3.7,83.7,8.76,15.61
04/10/07,19:00:00,0,4.999,3.643,5.231,2.45,3.31,100,3.3,3.7,9.9,17.13
04/10/07,20:00:00,0,4.844,3.67,4.844,1.886,3.74,100,3.7,1.2,11.04,18.65
04/10/07,21:00:00,0,4.662,3.67,4.48,1.778,4.15,100,4.2,1.2,11.8,19.03
04/10/07,22:00:00,0,4.48,3.643,4.194,1.751,4.15,100,4.2,1.2,11.8,19.03
04/10/07,23:00:00,0,4.324,3.591,3.958,1.588,4.15,99.75,4.1,1.2,11.8,19.03
05/10/07,00:00:00,0,4.168,3.538,3.749,1.724,4.15,100,4.2,1.2,11.8,19.03
05/10/07,01:00:00,0,4.037,3.459,3.617,1.778,4.15,100,4.2,1.2,11.8,19.03
05/10/07,02:00:00,0,3.932,3.406,3.485,1.967,4.57,100,4.6,1.2,11.8,19.03
05/10/07,03:00:00,0,3.827,3.327,3.406,1.967,4.57,100,4.6,1.2,11.8,19.03
05/10/07,04:00:00,0,3.749,3.274,3.327,1.561,4.15,100,4.2,1.2,11.8,19.03
05/10/07,05:00:00,0,3.696,3.221,3.221,0.934,3.74,100,3.7,1.2,11.8,19.03
05/10/07,06:00:00,0,3.591,3.168,3.089,0.439,4.15,96.75,3.7,11.2,11.8,19.03
