Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
14/10/07,11:00:00,,5.076,4.428,6.051,17.153,7.03,100,7,1116.2,7.99,13.32
14/10/07,12:00:00,0,5.308,4.48,6.509,18.985,8.63,86.75,6.6,1926.2,6.85,12.94
14/10/07,13:00:00,0,5.796,4.61,7.444,20.841,8.23,98.25,8,1953.7,6.09,11.42
14/10/07,14:00:00,0,6.357,4.766,8.319,18.033,7.03,100,7,1411.2,6.09,10.66
14/10/07,15:00:00,0,6.914,4.999,8.767,14.936,7.83,100,7.8,976.2,5.33,9.14
14/10/07,16:00:00,0,7.268,5.231,8.841,11.832,7.03,100,7,771.2,6.09,9.9
14/10/07,17:00:00,0,7.469,5.462,8.668,8.792,7.03,100,7,293.7,5.71,9.14
14/10/07,18:00:00,0,7.494,5.642,8.245,6.509,6.22,100,6.2,238.7,5.33,9.9
14/10/07,19:00:00,0,7.393,5.77,7.745,5.231,5.4,100,5.4,8.7,4.57,7.61
14/10/07,20:00:00,0,7.242,5.821,7.268,4.324,5.4,100,5.4,1.2,4.19,6.85
14/10/07,21:00:00,0,7.041,5.847,6.813,3.591,5.4,100,5.4,1.2,4.57,10.66
14/10/07,22:00:00,0,6.813,5.821,6.408,3.168,5.4,100,5.4,1.2,5.71,11.8
14/10/07,23:00:00,0,6.611,5.77,6.077,2.823,5.4,100,5.4,1.2,6.47,11.8
15/10/07,00:00:00,0,6.484,5.693,5.77,2.503,4.57,100,4.6,1.2,5.33,10.66
15/10/07,01:00:00,0,6.331,5.616,5.488,2.423,4.57,100,4.6,1.2,8.38,12.56
15/10/07,02:00:00,0,6.153,5.539,5.257,2.262,4.57,100,4.6,1.2,9.14,12.94
15/10/07,03:00:00,0,5.975,5.437,5.076,2.155,3.74,100,3.7,1.2,9.9,13.7
15/10/07,04:00:00,0,5.821,5.334,4.895,2.128,4.15,100,4.2,1.2,9.9,14.09
15/10/07,05:00:00,0,5.693,5.257,4.74,2.128,4.57,100,4.6,1.2,9.52,13.7
15/10/07,06:00:00,0,5.591,5.179,4.636,2.262,4.99,100,5,36.2,9.14,13.7
15/10/07,07:00:00,0,5.488,4.844,4.532,3.195,5.81,100,5.8,368.7,9.9,15.23
15/10/07,08:00:00,0,5.179,4.662,4.61,6.204,7.03,100,7,888.7,10.28,15.23
15/10/07,09:00:00,0,5.128,4.61,4.973,13.112,8.23,94.75,7.4,1358.7,9.9,18.27
15/10/07,10:00:00,0,5.282,4.895,5.616,18.129,9.03,100,9,1691.2,9.14,14.09
