"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)","Temp, ¡C (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ¡C (SEN S/N: 904122)"
14-10-2007,11:00:00,,5.076,4.428,6.051,17.153,1116.2,7.99,13.32,7.03,100.00,7.0
14-10-2007,12:00:00,0.00,5.308,4.480,6.509,18.985,1926.2,6.85,12.94,8.63,86.75,6.6
14-10-2007,13:00:00,0.00,5.796,4.610,7.444,20.841,1953.7,6.09,11.42,8.23,98.25,8.0
14-10-2007,14:00:00,0.00,6.357,4.766,8.319,18.033,1411.2,6.09,10.66,7.03,100.00,7.0
14-10-2007,15:00:00,0.00,6.914,4.999,8.767,14.936,976.2,5.33,9.14,7.83,100.00,7.8
14-10-2007,16:00:00,0.00,7.268,5.231,8.841,11.832,771.2,6.09,9.90,7.03,100.00,7.0
14-10-2007,17:00:00,0.00,7.469,5.462,8.668,8.792,293.7,5.71,9.14,7.03,100.00,7.0
14-10-2007,18:00:00,0.00,7.494,5.642,8.245,6.509,238.7,5.33,9.90,6.22,100.00,6.2
14-10-2007,19:00:00,0.00,7.393,5.770,7.745,5.231,8.7,4.57,7.61,5.40,100.00,5.4
14-10-2007,20:00:00,0.00,7.242,5.821,7.268,4.324,1.2,4.19,6.85,5.40,100.00,5.4
14-10-2007,21:00:00,0.00,7.041,5.847,6.813,3.591,1.2,4.57,10.66,5.40,100.00,5.4
14-10-2007,22:00:00,0.00,6.813,5.821,6.408,3.168,1.2,5.71,11.80,5.40,100.00,5.4
14-10-2007,23:00:00,0.00,6.611,5.770,6.077,2.823,1.2,6.47,11.80,5.40,100.00,5.4
15-10-2007,00:00:00,0.00,6.484,5.693,5.770,2.503,1.2,5.33,10.66,4.57,100.00,4.6
15-10-2007,01:00:00,0.00,6.331,5.616,5.488,2.423,1.2,8.38,12.56,4.57,100.00,4.6
15-10-2007,02:00:00,0.00,6.153,5.539,5.257,2.262,1.2,9.14,12.94,4.57,100.00,4.6
15-10-2007,03:00:00,0.00,5.975,5.437,5.076,2.155,1.2,9.90,13.70,3.74,100.00,3.7
15-10-2007,04:00:00,0.00,5.821,5.334,4.895,2.128,1.2,9.90,14.09,4.15,100.00,4.2
15-10-2007,05:00:00,0.00,5.693,5.257,4.740,2.128,1.2,9.52,13.70,4.57,100.00,4.6
15-10-2007,06:00:00,0.00,5.591,5.179,4.636,2.262,36.2,9.14,13.70,4.99,100.00,5.0
15-10-2007,07:00:00,0.00,5.488,4.844,4.532,3.195,368.7,9.90,15.23,5.81,100.00,5.8
15-10-2007,08:00:00,0.00,5.179,4.662,4.610,6.204,888.7,10.28,15.23,7.03,100.00,7.0
15-10-2007,09:00:00,0.00,5.128,4.610,4.973,13.112,1358.7,9.90,18.27,8.23,94.75,7.4
15-10-2007,10:00:00,0.00,5.282,4.895,5.616,18.129,1691.2,9.14,14.09,9.03,100.00,9.0
15-10-2007,11:00:00,0.00,5.616,4.947,6.509,21.676,1908.7,9.52,14.47,9.42,94.75,8.6
15-10-2007,12:00:00,0.00,6.051,4.999,7.494,24.050,2068.7,9.14,15.23,10.60,83.75,8.0
15-10-2007,13:00:00,0.00,6.560,5.128,8.419,25.186,2033.7,8.38,12.56,12.16,69.75,6.8
15-10-2007,14:00:00,0.00,7.142,5.334,9.163,24.122,1903.7,8.76,14.85,12.16,74.25,7.7
15-10-2007,15:00:00,0.00,7.695,5.565,9.657,20.222,1621.2,8.76,13.70,12.55,69.25,7.1
15-10-2007,16:00:00,0.00,8.270,5.821,9.829,14.050,1258.7,8.76,13.70,12.55,66.25,6.4
15-10-2007,17:00:00,0.00,8.419,6.026,9.632,10.443,801.2,8.76,13.70,12.16,60.75,4.8
15-10-2007,18:00:00,0.00,8.394,6.230,9.213,8.295,318.7,8.76,13.70,11.38,58.75,3.6
15-10-2007,19:00:00,0.00,8.270,6.357,8.693,6.509,18.7,8.76,13.70,11.38,47.75,0.7
15-10-2007,20:00:00,0.00,8.095,6.433,8.145,5.847,1.2,8.76,13.70,11.38,45.75,0.1
15-10-2007,21:00:00,0.00,7.895,6.433,7.670,5.591,1.2,8.76,13.70,11.77,39.25,-1.6
15-10-2007,22:00:00,0.00,7.670,6.408,7.293,5.488,1.2,8.76,13.70,11.38,39.75,-1.8
15-10-2007,23:00:00,0.00,7.419,6.331,6.940,5.411,1.2,8.76,13.70,10.60,41.25,-2.0
16-10-2007,00:00:00,0.00,7.217,6.255,6.687,4.844,1.2,8.76,13.70,10.60,40.75,-2.2
16-10-2007,01:00:00,0.00,7.041,6.102,6.458,5.282,1.2,8.76,13.70,11.38,33.75,-4.0
16-10-2007,02:00:00,0.00,6.864,5.770,6.281,5.745,1.2,8.76,13.70,10.60,36.75,-3.6
16-10-2007,03:00:00,0.00,6.433,5.693,6.128,5.385,1.2,8.76,13.70,10.99,33.25,-4.6
16-10-2007,04:00:00,0.00,6.255,5.616,6.000,5.334,1.2,8.76,13.70,10.21,36.25,-4.1
16-10-2007,05:00:00,0.00,6.153,5.539,5.872,4.973,1.2,8.76,13.70,9.82,36.75,-4.3
16-10-2007,06:00:00,0.00,6.026,5.488,5.719,3.932,43.7,8.76,13.70,8.63,35.25,-5.9
16-10-2007,07:00:00,0.00,6.102,5.437,5.539,3.433,446.2,8.76,13.70,8.63,24.75,-10.4
