Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)",,"Temp, ÁC (SEN S/N: 684637)",,,,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
11/04/08,14:00:00,,9.015,,537.327,,,,,1548.7,4.19,7.99
11/04/08,15:00:00,0,9.262,,537.327,,,,,1123.7,4.19,7.99
11/04/08,16:00:00,0,9.632,,537.327,,,,,863.7,4.19,7.23
11/04/08,17:00:00,0,9.854,,537.327,,,,,431.2,4.19,96.31
11/04/08,18:00:00,0,9.879,,537.327,,,,,68.7,4.57,20.18
11/04/08,19:00:00,0,9.78,,537.327,,,,,1.2,4.95,96.31
11/04/08,20:00:00,0,9.583,,537.327,,,,,1.2,5.33,96.31
11/04/08,21:00:00,0,9.361,,537.327,,,,,1.2,7.61,96.31
11/04/08,22:00:00,0,9.139,,537.327,,,,,1.2,7.61,96.31
11/04/08,23:00:00,0,8.965,,537.327,,,,,1.2,7.61,96.31
12/04/08,00:00:00,0,8.792,,537.327,,,,,1.2,96.31,96.31
12/04/08,01:00:00,0,8.643,,537.327,,,,,1.2,96.31,96.31
12/04/08,02:00:00,0,8.494,,537.327,,,,,1.2,96.31,96.31
12/04/08,03:00:00,0,8.394,,537.327,,,,,1.2,96.31,96.31
12/04/08,04:00:00,0,8.295,,537.327,,,,,1.2,96.31,96.31
12/04/08,05:00:00,0,8.22,,537.327,,,,,1.2,96.31,96.31
12/04/08,06:00:00,0,8.145,,537.327,,,,,1.2,96.31,96.31
12/04/08,07:00:00,0,8.095,,537.327,,,,,3.7,96.31,96.31
12/04/08,08:00:00,0,8.045,,537.327,,,,,76.2,96.31,96.31
12/04/08,09:00:00,0.25,7.995,,537.327,,,,,241.2,96.31,96.31
12/04/08,10:00:00,0.76,8.02,,537.327,,,,,451.2,96.31,96.31
12/04/08,11:00:00,0.51,8.12,,537.327,,,,,578.7,96.31,96.31
12/04/08,12:00:00,0.25,8.27,,537.327,,,,,393.7,96.31,96.31
12/04/08,13:00:00,0.25,8.444,,537.327,,,,,236.2,96.31,96.31
12/04/08,14:00:00,1.52,8.593,,537.327,,,,,183.7,96.31,96.31
12/04/08,15:00:00,0.51,8.668,,537.327,,,,,198.7,96.31,96.31
12/04/08,16:00:00,0.51,8.693,,537.327,,,,,208.7,96.31,96.31
12/04/08,17:00:00,0,8.717,,537.327,,,,,146.2,96.31,96.31
12/04/08,18:00:00,0,8.717,,537.327,,,,,38.7,96.31,96.31
12/04/08,19:00:00,0,8.693,,537.327,,,,,1.2,96.31,96.31
12/04/08,20:00:00,0,8.618,,537.327,,,,,1.2,96.31,96.31
12/04/08,21:00:00,0,8.469,,537.327,,,,,1.2,96.31,96.31
12/04/08,22:00:00,0,8.295,,537.327,,,,,1.2,96.31,96.31
12/04/08,23:00:00,0,8.145,,537.327,,,,,1.2,96.31,96.31
13/04/08,00:00:00,0,8.02,,537.327,,,,,1.2,96.31,96.31
13/04/08,01:00:00,0,7.895,,537.327,,,,,1.2,96.31,96.31
13/04/08,02:00:00,0,7.77,,537.327,,,,,1.2,96.31,96.31
13/04/08,03:00:00,0,7.619,,537.327,,,,,1.2,96.31,96.31
13/04/08,04:00:00,0,7.469,,537.327,,,,,1.2,96.31,96.31
13/04/08,05:00:00,0,7.368,,537.327,,,,,1.2,96.31,96.31
13/04/08,06:00:00,0,7.268,,537.327,,,,,1.2,96.31,96.31
13/04/08,07:00:00,0,7.142,,537.327,,,,,8.7,96.31,96.31
13/04/08,08:00:00,0,7.015,,537.327,,,,,198.7,96.31,96.31
13/04/08,09:00:00,0,6.94,,537.327,,,,,348.7,96.31,96.31
13/04/08,10:00:00,0,6.914,,537.327,,,,,683.7,96.31,96.31
13/04/08,11:00:00,0,7.066,,537.327,,,,,446.2,96.31,96.31
13/04/08,12:00:00,0,7.293,,537.327,,,,,571.2,96.31,96.31
13/04/08,13:00:00,0.51,7.494,,537.327,,,,,141.2,96.31,96.31
13/04/08,14:00:00,1.02,7.67,,537.327,,,,,191.2,96.31,96.31
13/04/08,15:00:00,0.51,7.72,,537.327,,,,,258.7,96.31,96.31
13/04/08,16:00:00,0.51,7.745,,537.327,,,,,221.2,96.31,96.31
13/04/08,17:00:00,0,7.795,,537.327,,,,,163.7,96.31,96.31
13/04/08,18:00:00,0,7.82,,537.327,,,,,23.7,96.31,96.31
13/04/08,19:00:00,0,7.82,,537.327,,,,,1.2,96.31,96.31
13/04/08,20:00:00,0,7.72,,537.327,,,,,1.2,96.31,96.31
13/04/08,21:00:00,0.25,7.619,,537.327,,,,,1.2,96.31,96.31
13/04/08,22:00:00,0,7.519,,537.327,,,,,1.2,96.31,96.31
13/04/08,23:00:00,0,7.419,,537.327,,,,,1.2,96.31,96.31
14/04/08,00:00:00,0,7.318,,537.327,,,,,1.2,96.31,96.31
14/04/08,01:00:00,0,7.242,,537.327,,,,,1.2,96.31,96.31
14/04/08,02:00:00,0,7.142,,537.327,,,,,1.2,96.31,96.31
14/04/08,03:00:00,0,7.066,,537.327,,,,,1.2,96.31,96.31
14/04/08,04:00:00,0,6.99,,537.327,,,,,1.2,96.31,96.31
14/04/08,05:00:00,0,6.914,,537.327,,,,,1.2,96.31,96.31
14/04/08,06:00:00,0,6.839,,537.327,,,,,1.2,96.31,96.31
14/04/08,07:00:00,0,6.763,,537.327,,,,,11.2,96.31,96.31
14/04/08,08:00:00,0,6.687,,537.327,,,,,256.2,96.31,96.31
14/04/08,09:00:00,0,6.585,,537.327,,,,,773.7,96.31,96.31
14/04/08,10:00:00,0,6.585,,537.327,,,,,1018.7,96.31,96.31
14/04/08,11:00:00,0,6.737,,537.327,,,,,828.7,96.31,96.31
14/04/08,12:00:00,0,7.041,,537.327,,,,,823.7,96.31,96.31
14/04/08,13:00:00,0,7.368,,537.327,,,,,753.7,96.31,96.31
14/04/08,14:00:00,0,7.67,,537.327,,,,,683.7,96.31,96.31
14/04/08,15:00:00,0,7.895,,537.327,,,,,416.2,96.31,96.31
14/04/08,16:00:00,0,8.07,,537.327,,,,,293.7,96.31,96.31
14/04/08,17:00:00,0,8.145,,537.327,,,,,138.7,96.31,96.31
14/04/08,18:00:00,0,8.12,,537.327,,,,,28.7,96.31,96.31
14/04/08,19:00:00,0,8.045,,537.327,,,,,1.2,96.31,96.31
14/04/08,20:00:00,0,7.92,,537.327,,,,,1.2,96.31,96.31
14/04/08,21:00:00,0,7.77,,537.327,,,,,1.2,96.31,96.31
14/04/08,22:00:00,0,7.645,,537.327,,,,,1.2,96.31,96.31
14/04/08,23:00:00,0,7.519,,537.327,,,,,1.2,96.31,96.31
15/04/08,00:00:00,0,7.393,,537.327,,,,,1.2,96.31,96.31
15/04/08,01:00:00,0,7.293,,537.327,,,,,1.2,96.31,96.31
15/04/08,02:00:00,0,7.167,,537.327,,,,,1.2,96.31,96.31
15/04/08,03:00:00,0,7.041,,537.327,,,,,1.2,96.31,96.31
15/04/08,04:00:00,0,6.965,,537.327,,,,,1.2,96.31,96.31
15/04/08,05:00:00,0,6.864,,537.327,,,,,1.2,96.31,96.31
15/04/08,06:00:00,0,6.813,,537.327,,,,,1.2,96.31,96.31
15/04/08,07:00:00,0,6.737,,537.327,,,,,6.2,96.31,96.31
15/04/08,08:00:00,0,6.687,,537.327,,,,,111.2,96.31,96.31
15/04/08,09:00:00,0,6.636,,537.327,,,,,391.2,96.31,96.31
15/04/08,10:00:00,0,6.636,,537.327,,,,,1106.2,96.31,96.31
15/04/08,11:00:00,0,6.763,,537.327,,,,,1458.7,96.31,96.31
15/04/08,12:00:00,0,7.116,,537.327,,,,,1606.2,96.31,96.31
15/04/08,13:00:00,0,7.619,,537.327,,,,,1621.2,96.31,96.31
15/04/08,14:00:00,0,8.245,,537.327,,,,,1506.2,96.31,96.31
15/04/08,15:00:00,0,8.841,,537.327,,,,,1113.7,96.31,96.31
