Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)",,,"Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)"
31/05/08,13:00:00,,1.751,,,5.949,11.38,18.25,-11.9,1153.7
31/05/08,15:00:00,0,1.886,,,5.102,9.82,37.75,-3.9,966.2
31/05/08,17:00:00,0,2.396,,,1.913,5.81,83.25,3.2,311.2
31/05/08,19:00:00,0,2.557,,,-0.535,3.74,100,3.7,1.2
31/05/08,21:00:00,0,2.423,,,-0.423,0.73,100,0.7,1.2
31/05/08,23:00:00,0,2.289,,,0.273,0.73,100,0.7,1.2
01/06/08,01:00:00,0,2.155,,,-0.648,-0.16,100,-0.2,1.2
01/06/08,03:00:00,0,2.101,,,-1.015,2.03,72.75,-2.3,1.2
01/06/08,05:00:00,0,1.994,,,-0.789,2.03,100,2,1.2
01/06/08,07:00:00,0,1.913,,,-1.157,1.6,100,1.6,1.2
01/06/08,09:00:00,0,1.805,,,-0.732,5.81,28.75,-11,266.2
01/06/08,11:00:00,0,1.67,,,1.751,7.83,44.75,-3.4,868.7
01/06/08,13:00:00,0,1.615,,,4.999,9.82,27.25,-8.2,1168.7
01/06/08,15:00:00,0,1.886,,,5.076,9.03,37.25,-4.8,903.7
01/06/08,17:00:00,0,2.557,,,1.967,4.15,98.25,3.9,281.2
01/06/08,19:00:00,0,2.69,,,-0.563,0.73,100,0.7,1.2
01/06/08,21:00:00,0,2.503,,,-0.845,3.31,69.25,-1.8,1.2
01/06/08,23:00:00,0,2.316,,,-0.789,3.31,88.75,1.6,1.2
02/06/08,01:00:00,0,2.155,,,-0.479,2.89,100,2.9,1.2
02/06/08,03:00:00,0,2.047,,,0.024,3.74,100,3.7,1.2
02/06/08,05:00:00,0,1.94,,,0.715,3.74,100,3.7,1.2
02/06/08,07:00:00,0,1.886,,,1.398,4.15,100,4.2,1.2
02/06/08,09:00:00,0,1.859,,,2.744,4.99,100,5,98.7
02/06/08,11:00:00,0,1.859,,,4.168,5.81,100,5.8,323.7
02/06/08,13:00:00,0,2.074,,,6.458,6.22,93.75,5.3,401.2
02/06/08,15:00:00,0,2.584,,,7.268,6.62,99.25,6.5,453.7
02/06/08,17:00:00,0,3.063,,,4.246,3.74,100,3.7,123.7
02/06/08,19:00:00,0,3.248,,,-0.199,2.89,100,2.9,1.2
02/06/08,21:00:00,0,2.983,,,-0.845,2.89,100,2.9,1.2
02/06/08,23:00:00,0,2.69,,,-1.27,2.46,100,2.5,1.2
03/06/08,01:00:00,0,2.45,,,-1.441,1.6,100,1.6,1.2
03/06/08,03:00:00,0,2.262,,,-1.556,3.31,100,3.3,1.2
03/06/08,05:00:00,0,2.101,,,-1.527,2.46,100,2.5,1.2
03/06/08,07:00:00,0,1.94,,,-1.413,4.15,100,4.2,1.2
03/06/08,09:00:00,0,1.805,,,-0.902,5.81,100,5.8,113.7
03/06/08,11:00:00,0,1.724,,,1.588,8.63,92.75,7.5,521.2
03/06/08,13:00:00,0,1.615,,,5.693,9.42,86.25,7.2,976.2
03/06/08,15:00:00,0,1.615,,,6.128,7.03,100,7,341.2
03/06/08,17:00:00,0,1.886,,,5.488,5.81,100,5.8,106.2
03/06/08,19:00:00,0.25,2.396,,,4.22,5.4,100,5.4,1.2
03/06/08,21:00:00,0,2.664,,,4.037,5.4,100,5.4,1.2
03/06/08,23:00:00,0.25,2.85,,,3.512,5.4,100,5.4,1.2
04/06/08,01:00:00,0.25,2.93,,,2.69,4.57,100,4.6,1.2
04/06/08,03:00:00,0,2.93,,,2.93,5.4,100,5.4,1.2
04/06/08,05:00:00,0,2.956,,,3.195,4.99,100,5,1.2
04/06/08,07:00:00,0.25,2.983,,,3.564,5.4,100,5.4,1.2
04/06/08,09:00:00,0,3.063,,,4.194,5.4,100,5.4,96.2
04/06/08,11:00:00,0,3.195,,,6.509,5.81,100,5.8,406.2
04/06/08,13:00:00,0,3.512,,,8.693,5.81,100,5.8,458.7
04/06/08,15:00:00,0,3.958,,,6.763,4.99,100,5,193.7
04/06/08,17:00:00,0,4.194,,,5.36,4.57,100,4.6,106.2
04/06/08,19:00:00,0,4.22,,,4.063,3.74,100,3.7,1.2
04/06/08,21:00:00,0,4.115,,,3.354,3.31,100,3.3,1.2
04/06/08,23:00:00,0,3.985,,,2.983,3.31,100,3.3,1.2
05/06/08,01:00:00,0,3.854,,,2.877,3.31,100,3.3,1.2
05/06/08,03:00:00,0,3.722,,,2.77,2.46,100,2.5,1.2
05/06/08,05:00:00,0,3.617,,,2.503,2.46,100,2.5,1.2
05/06/08,07:00:00,0,3.538,,,0.934,2.46,100,2.5,1.2
05/06/08,09:00:00,0,3.354,,,2.316,3.31,100,3.3,86.2
05/06/08,11:00:00,0,3.274,,,6,4.15,100,4.2,461.2
05/06/08,13:00:00,0,3.564,,,8.693,4.99,100,5,803.7
05/06/08,15:00:00,0,4.037,,,8.344,4.99,100,5,456.2
05/06/08,17:00:00,0,4.402,,,5.437,4.15,100,4.2,103.7
05/06/08,19:00:00,0,4.48,,,3.906,3.74,100,3.7,1.2
05/06/08,21:00:00,0,4.35,,,3.564,3.74,100,3.7,1.2
05/06/08,23:00:00,0,4.22,,,2.93,2.89,100,2.9,1.2
06/06/08,01:00:00,0,4.063,,,2.289,2.46,100,2.5,1.2
06/06/08,03:00:00,0,3.88,,,0.412,2.03,95.25,1.3,1.2
06/06/08,05:00:00,0,3.617,,,-0.62,0.29,98.25,0,1.2
06/06/08,07:00:00,0,3.354,,,-1.384,0.73,98.75,0.6,1.2
06/06/08,09:00:00,0,3.089,,,-1.1,5.4,66.75,-0.3,243.7
06/06/08,11:00:00,0,2.797,,,1.588,9.03,22.25,-11.4,886.2
06/06/08,13:00:00,0,2.717,,,7.015,9.42,38.75,-3.9,1153.7
06/06/08,15:00:00,0,3.327,,,5.975,9.42,38.25,-4.1,946.2
06/06/08,17:00:00,0,3.958,,,2.557,3.74,79.75,0.6,333.7
06/06/08,19:00:00,0,3.906,,,0.825,2.89,100,2.9,1.2
06/06/08,21:00:00,0,3.617,,,2.128,1.17,100,1.2,1.2
06/06/08,23:00:00,0,3.459,,,1.317,-0.16,100,-0.2,1.2
07/06/08,01:00:00,0,3.301,,,0.522,-1.51,100,-1.5,1.2
07/06/08,03:00:00,0,3.142,,,-1.157,2.03,3.25,-37.9,1.2
07/06/08,05:00:00,0,2.93,,,-1.958,2.03,1,-48.8,1.2
07/06/08,07:00:00,0,2.744,,,-1.871,1.17,17.75,-20.7,1.2
07/06/08,09:00:00,0,2.503,,,-1.071,5.4,53.25,-3.3,238.7
07/06/08,11:00:00,0,2.289,,,1.289,5.81,73.75,1.5,891.2
07/06/08,13:00:00,0,2.182,,,5.231,6.62,57.75,-1.1,1161.2
07/06/08,15:00:00,0,2.396,,,5.024,4.15,100,4.2,926.2
07/06/08,17:00:00,0,2.956,,,3.036,1.6,100,1.6,233.7
07/06/08,19:00:00,0,3.142,,,0.522,-0.61,100,-0.6,1.2
07/06/08,21:00:00,0,2.983,,,0.962,1.6,100,1.6,1.2
07/06/08,23:00:00,0,2.85,,,1.099,-0.61,100,-0.6,1.2
08/06/08,01:00:00,0,2.744,,,-0.563,1.6,100,1.6,1.2
08/06/08,03:00:00,0,2.637,,,-0.986,3.31,65.25,-2.6,1.2
08/06/08,05:00:00,0,2.503,,,-1.128,2.46,50.75,-6.7,1.2
08/06/08,07:00:00,0,2.37,,,-1.071,2.03,95.25,1.3,1.2
08/06/08,09:00:00,0,2.236,,,-0.423,4.57,70.25,-0.4,166.2
08/06/08,11:00:00,0,2.128,,,6.433,4.99,98.25,4.7,823.7
08/06/08,13:00:00,0,2.021,,,18.533,6.62,73.75,2.3,1066.2
08/06/08,15:00:00,0,2.316,,,17.605,7.83,71.75,3.1,928.7
08/06/08,17:00:00,0,2.85,,,14.146,4.57,100,4.6,326.2
08/06/08,19:00:00,0,2.93,,,9.46,3.74,76.75,0,1.2
08/06/08,21:00:00,0,2.744,,,1.67,4.57,100,4.6,1.2
08/06/08,23:00:00,0,2.584,,,3.009,4.15,100,4.2,1.2
09/06/08,01:00:00,0,2.45,,,3.67,3.74,100,3.7,1.2
09/06/08,03:00:00,0,2.423,,,6.102,3.74,100,3.7,1.2
09/06/08,05:00:00,0,2.45,,,5.77,4.15,100,4.2,1.2
09/06/08,07:00:00,0,2.503,,,4.324,4.15,100,4.2,1.2
09/06/08,09:00:00,0,2.557,,,3.67,4.57,100,4.6,66.2
09/06/08,11:00:00,0,2.664,,,8.941,4.99,100,5,358.7
09/06/08,13:00:00,0,2.956,,,11.2,4.57,100,4.6,241.2
09/06/08,15:00:00,0.25,3.248,,,13.209,5.4,100,5.4,211.2
09/06/08,17:00:00,0.25,3.512,,,16.63,4.99,100,5,58.7
09/06/08,19:00:00,0,3.67,,,18.961,5.4,100,5.4,1.2
09/06/08,21:00:00,0.51,3.696,,,19.151,5.4,100,5.4,1.2
09/06/08,23:00:00,1.02,3.696,,,13.882,4.99,100,5,1.2
10/06/08,01:00:00,6.1,3.722,,,11.346,4.99,100,5,1.2
10/06/08,03:00:00,2.79,3.749,,,8.891,4.57,100,4.6,1.2
10/06/08,05:00:00,6.1,3.801,,,14.864,4.57,100,4.6,1.2
10/06/08,07:00:00,5.84,3.827,,,19.532,3.74,100,3.7,1.2
10/06/08,09:00:00,5.34,3.801,,,15.151,3.74,100,3.7,21.2
10/06/08,11:00:00,6.35,3.775,,,5.514,3.74,100,3.7,93.7
10/06/08,13:00:00,3.05,3.775,,,5.796,4.15,100,4.2,116.2
10/06/08,15:00:00,4.83,3.854,,,11.88,4.99,100,5,126.2
10/06/08,17:00:00,2.29,3.958,,,11.224,4.57,100,4.6,38.7
10/06/08,19:00:00,2.54,4.037,,,18.081,4.57,100,4.6,1.2
10/06/08,21:00:00,3.05,4.037,,,22.561,3.74,100,3.7,1.2
10/06/08,23:00:00,0.25,3.985,,,25.234,3.74,100,3.7,1.2
11/06/08,01:00:00,0.51,3.932,,,26.5,3.74,100,3.7,1.2
11/06/08,03:00:00,0,3.906,,,26.061,3.74,100,3.7,1.2
11/06/08,05:00:00,0.25,3.854,,,19.817,3.74,100,3.7,1.2
11/06/08,07:00:00,0.76,3.827,,,19.151,3.31,100,3.3,1.2
11/06/08,09:00:00,1.02,3.775,,,18.675,2.89,100,2.9,63.7
11/06/08,11:00:00,1.52,3.722,,,19.746,3.74,100,3.7,128.7
11/06/08,13:00:00,6.1,3.749,,,20.46,4.15,100,4.2,163.7
11/06/08,15:00:00,4.32,3.854,,,20.269,4.57,100,4.6,148.7
11/06/08,17:00:00,3.56,4.011,,,21.39,4.15,100,4.2,48.7
11/06/08,19:00:00,2.79,4.063,,,18.295,3.74,100,3.7,1.2
11/06/08,21:00:00,2.54,3.985,,,17.177,3.74,100,3.7,1.2
11/06/08,23:00:00,0.76,3.88,,,19.127,3.31,100,3.3,1.2
12/06/08,01:00:00,0,3.775,,,18.866,2.89,100,2.9,1.2
12/06/08,03:00:00,0,3.67,,,19.96,2.89,100,2.9,1.2
12/06/08,05:00:00,0.51,3.591,,,20.079,3.31,100,3.3,1.2
