Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)",,,,"Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)"
24/10/08,11:00:00,,,,,19.651,9.03,9.75,-21.2,1128.7
24/10/08,13:00:00,0,,,,14.649,9.03,22.75,-11.1,656.2
24/10/08,15:00:00,,,,,-888.88,-888.88,-888.88,-888.9,-888.9
24/10/08,17:00:00,,,,,-888.88,-888.88,-888.88,-888.9,-888.9
24/10/08,19:00:00,0,,,,10.001,5.4,83.25,2.8,416.2
24/10/08,21:00:00,0,,,,3.485,5.4,54.75,-3,1.2
24/10/08,23:00:00,0,,,,2.877,5.81,18.75,-16.2,1.2
25/10/08,01:00:00,0,,,,2.61,5.4,12.75,-21,1.2
25/10/08,03:00:00,0,,,,2.047,7.43,2.25,-37.8,1.2
25/10/08,05:00:00,0,,,,2.903,7.83,1,-45.2,1.2
25/10/08,07:00:00,0,,,,3.696,10.6,1,-43.5,301.2
25/10/08,09:00:00,0,,,,16.487,12.93,1,-42.1,1278.7
25/10/08,11:00:00,0,,,,29.29,13.7,1,-41.6,2043.7
25/10/08,13:00:00,0,,,,25.598,12.93,1,-42.1,1481.2
25/10/08,15:00:00,0,,,,18.628,11.77,5.25,-26.1,748.7
25/10/08,17:00:00,0,,,,16.129,12.55,3.75,-29.2,548.7
25/10/08,19:00:00,0,,,,11.346,12.55,1,-42.3,108.7
25/10/08,21:00:00,0,,,,9.015,13.32,1,-41.8,1.2
25/10/08,23:00:00,0,,,,7.995,12.55,1,-42.3,1.2
26/10/08,01:00:00,0,,,,8.07,13.7,1,-41.6,1.2
26/10/08,03:00:00,0,,,,7.845,12.55,1,-42.3,1.2
26/10/08,05:00:00,0,,,,7.67,12.93,1,-42.1,1.2
26/10/08,07:00:00,0,,,,10.1,14.85,1,-40.9,191.2
26/10/08,09:00:00,0,,,,19.008,18.66,1,-38.6,768.7
26/10/08,11:00:00,0,,,,25.283,18.28,1,-38.8,1063.7
26/10/08,13:00:00,0,,,,27.481,21.33,1,-37,1286.2
26/10/08,15:00:00,0,,,,23.136,18.66,1,-38.6,648.7
26/10/08,17:00:00,0,,,,16.939,16.38,7.25,-19.1,286.2
26/10/08,19:00:00,0,,,,11.37,11.77,44.75,0.2,51.2
26/10/08,21:00:00,0,,,,7.795,14.09,5.25,-24.4,1.2
26/10/08,23:00:00,0,,,,7.82,14.09,1.25,-39.2,1.2
27/10/08,01:00:00,0,,,,9.015,13.32,2.75,-31.9,1.2
27/10/08,03:00:00,0,,,,9.139,12.93,4.75,-26.4,1.2
27/10/08,05:00:00,0,,,,9.952,12.16,5.75,-24.8,1.2
27/10/08,07:00:00,0,,,,11.005,12.55,7.75,-21.2,288.7
27/10/08,09:00:00,0,,,,15.509,11.77,24.75,-7.7,713.7
27/10/08,11:00:00,0,,,,18.319,11.38,40.75,-1.5,826.2
27/10/08,13:00:00,0,,,,17.819,12.16,56.25,3.7,808.7
27/10/08,15:00:00,0,,,,17.32,10.99,67.75,5.3,708.7
27/10/08,17:00:00,0,,,,15.414,10.6,66.75,4.7,578.7
27/10/08,19:00:00,0,,,,10.565,9.82,89.75,8.2,91.2
27/10/08,21:00:00,0,,,,8.693,9.42,100,9.4,1.2
27/10/08,23:00:00,0,,,,6.737,8.23,100,8.2,1.2
28/10/08,01:00:00,0,,,,5.821,8.23,100,8.2,1.2
28/10/08,03:00:00,0,,,,4.037,7.83,60.75,0.7,1.2
28/10/08,05:00:00,0,,,,2.744,7.83,24.75,-11.1,1.2
28/10/08,07:00:00,0,,,,3.512,11.38,5.25,-26.4,353.7
28/10/08,09:00:00,0,,,,18.39,13.32,22.75,-7.5,1296.2
28/10/08,11:00:00,0,,,,31.97,15.62,7.25,-19.7,1963.7
28/10/08,13:00:00,0,,,,35.342,16.76,5.25,-22.5,2176.2
28/10/08,15:00:00,0,,,,33.809,16.76,6.75,-19.7,1893.7
28/10/08,17:00:00,0,,,,25.307,12.93,83.25,10.2,1156.2
28/10/08,19:00:00,0,,,,10.858,7.43,100,7.4,226.2
28/10/08,21:00:00,0,,,,5.179,5.81,100,5.8,1.2
28/10/08,23:00:00,0,,,,6.914,4.99,100,5,1.2
29/10/08,01:00:00,0,,,,6.128,4.57,100,4.6,1.2
29/10/08,03:00:00,0,,,,5.924,4.15,100,4.2,1.2
29/10/08,05:00:00,0,,,,4.324,1.6,100,1.6,1.2
29/10/08,07:00:00,0,,,,5.102,4.15,100,4.2,83.7
29/10/08,09:00:00,0,,,,17.938,9.82,100,9.8,1076.2
29/10/08,11:00:00,0,,,,30.041,13.32,51.25,3.5,1961.2
29/10/08,13:00:00,0,,,,31.306,16,29.25,-1.9,2208.7
29/10/08,15:00:00,0,,,,34.836,16.38,5.25,-22.8,1928.7
29/10/08,17:00:00,0,,,,26.012,16.38,1,-40,1008.7
29/10/08,19:00:00,0,,,,11.71,12.55,18.75,-10.6,238.7
29/10/08,21:00:00,0,,,,5.924,10.21,53.75,1.3,1.2
29/10/08,23:00:00,0,,,,6.661,12.55,40.25,-0.6,1.2
30/10/08,01:00:00,0,,,,7.745,11.38,75.75,7.3,1.2
30/10/08,03:00:00,0,,,,7.795,10.6,90.25,9.1,1.2
30/10/08,05:00:00,0,,,,8.17,10.99,100,11,1.2
30/10/08,07:00:00,0,,,,10.075,11.38,100,11.4,48.7
30/10/08,09:00:00,0,,,,11.686,10.99,100,11,173.7
30/10/08,11:00:00,0,,,,12.437,6.62,100,6.6,231.2
30/10/08,13:00:00,522.35,,,,16.582,-19.49,100,-19.5,1856.2
30/10/08,15:00:00,918.18,,,,-0.311,14.47,90.25,12.9,1266.2
30/10/08,17:00:00,765.49,,,,19.27,-0.16,100,-0.2,2158.7
30/10/08,19:00:00,277.94,,,,-41.047,8.23,-888.88,-888.9,1758.7
30/10/08,21:00:00,535.31,,,,0.715,7.03,100,7,1686.2
30/10/08,23:00:00,467.22,,,,2.262,-81.94,100,-82.1,1431.2
31/10/08,01:00:00,636.93,,,,-24.709,0.29,78.25,-3.1,58.7
31/10/08,03:00:00,514.73,,,,7.066,3.74,90.75,2.4,1603.7
31/10/08,05:00:00,591.46,,,,-27.46,4.15,100,4.2,2441.2
31/10/08,07:00:00,1001,,,,-30.69,12.93,58.25,4.9,1678.7
31/10/08,09:00:00,815.28,,,,0.632,-0.16,-888.88,-888.9,2038.7
31/10/08,11:00:00,269.81,,,,28.816,-0.16,100,-0.2,2468.7
31/10/08,13:00:00,787.85,,,,-54.778,-81.94,100,-82.1,2558.7
31/10/08,15:00:00,935.71,,,,-73.852,-0.16,100,-0.2,1908.7
