Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,"Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
21/03/09,12:00:00,,,,13.858,22.417,17.153,40.264,,1633.7,3.43,6.47,,0.156
21/03/09,13:00:00,0,,,14.96,24.243,17.701,40.264,,1908.7,3.43,7.23,,0.1556
21/03/09,14:00:00,0,,,16.796,26.744,18.152,37.667,,2011.2,4.19,9.14,,0.1548
21/03/09,15:00:00,0,,,18.057,27.014,18.271,35.083,,1781.2,4.19,8.38,,0.1543
21/03/09,16:00:00,0,,,18.723,26.671,18.414,41.567,,1656.2,3.81,7.99,,0.1543
21/03/09,17:00:00,0,,,18.652,22.992,17.225,36.374,,688.7,2.66,6.85,,0.1543
21/03/09,18:00:00,0,,,17.32,20.555,17.748,42.872,,818.7,3.43,6.47,,0.1543
21/03/09,19:00:00,0,,,16.201,17.296,16.201,55.425,,316.2,3.05,5.71,,0.1543
21/03/09,20:00:00,0,,,14.84,13.666,12.292,51.432,,11.2,2.28,4.19,,0.1543
21/03/09,21:00:00,0,,,13.546,11.637,12.389,47.466,,1.2,2.66,4.95,,0.1543
21/03/09,22:00:00,0,,,12.558,10.418,12.509,47.466,,1.2,3.05,4.95,,0.1543
21/03/09,23:00:00,0,,,11.88,9.928,13.281,46.807,,1.2,3.81,6.09,,0.1543
22/03/09,00:00:00,0,,,11.419,9.46,13.137,49.446,,1.2,3.43,6.09,,0.1543
22/03/09,01:00:00,0,,,11.005,8.792,12.799,52.096,,1.2,3.05,4.95,,0.1543
22/03/09,02:00:00,0,,,10.59,8.469,12.606,58.773,,1.2,3.81,6.47,,0.1543
22/03/09,03:00:00,0,,,10.32,8.319,11.759,60.117,,1.2,4.19,6.47,,0.1539
22/03/09,04:00:00,0,,,10.1,8.195,11.686,53.425,,1.2,4.57,6.47,,0.1539
22/03/09,05:00:00,0,,,9.928,8.17,12.437,56.093,,1.2,5.33,9.52,,0.1539
22/03/09,06:00:00,0,,,9.829,8.27,12.268,57.432,,1.2,5.71,9.52,,0.1535
22/03/09,07:00:00,0,,,9.756,8.145,11.759,52.76,,1.2,4.95,9.14,,0.1535
22/03/09,08:00:00,0,,,9.657,8.593,12.799,57.432,,68.7,7.61,12.18,,0.1531
22/03/09,09:00:00,0,,,9.854,9.731,12.34,70.98,,178.7,9.52,14.85,,0.1526
22/03/09,10:00:00,0.25,,,10.198,10.492,11.662,85.525,,173.7,7.99,15.23,,0.1526
22/03/09,11:00:00,0.76,,,10.418,10.443,10.149,92.567,,93.7,5.33,10.28,,0.1526
22/03/09,12:00:00,0.76,,,10.492,10.565,10.492,73.725,,336.2,3.81,8.38,,0.1526
22/03/09,13:00:00,0,,,11.516,17.748,14.481,70.295,,1846.2,6.09,10.28,,0.1514
22/03/09,14:00:00,0,,,13.81,20.746,14.194,67.565,,1803.7,7.99,11.8,,0.151
22/03/09,15:00:00,0,,,14.816,20.15,14.409,69.611,,1573.7,8.38,12.56,,0.151
22/03/09,16:00:00,0,,,15.39,20.65,14.96,67.565,,1663.7,7.23,12.18,,0.151
22/03/09,17:00:00,0,,,15.748,19.032,14.625,66.884,,1031.2,7.23,11.42,,0.151
22/03/09,18:00:00,0,,,15.055,16.582,14.194,68.929,,698.7,6.85,12.94,,0.151
22/03/09,19:00:00,0,,,14.194,14.29,13.642,77.865,,323.7,4.95,11.04,,0.1505
22/03/09,20:00:00,0,,,13.209,11.783,11.807,76.482,,11.2,3.05,5.71,,0.151
22/03/09,21:00:00,0,,,12.292,10.247,12.001,73.038,,1.2,3.81,7.23,,0.151
22/03/09,22:00:00,0,,,11.686,9.731,12.606,72.351,,1.2,4.57,7.23,,0.151
22/03/09,23:00:00,0,,,11.248,9.114,12.171,70.98,,1.2,4.19,6.47,,0.151
23/03/09,00:00:00,0,,,10.858,8.568,12.001,71.665,,1.2,4.19,6.85,,0.1505
23/03/09,01:00:00,0,,,10.541,8.394,12.243,75.102,,1.2,4.95,9.14,,0.1505
23/03/09,02:00:00,0,,,10.345,8.344,12.122,75.102,,1.2,6.85,10.28,,0.1505
23/03/09,03:00:00,0,,,10.198,8.295,12.05,75.792,,1.2,6.85,10.66,,0.1505
23/03/09,04:00:00,0,,,10.1,8.444,11.977,75.792,,1.2,7.61,11.8,,0.1505
23/03/09,05:00:00,0,,,10.075,8.618,11.953,76.482,,1.2,8.38,14.47,,0.1505
23/03/09,06:00:00,0,,,10.051,8.494,11.71,78.558,,1.2,9.14,12.94,,0.1501
23/03/09,07:00:00,0,,,9.928,8.295,11.492,80.64,,1.2,8.76,13.32,,0.1501
23/03/09,08:00:00,0,,,9.829,8.17,11.2,75.792,,56.2,8.76,14.85,,0.1501
23/03/09,09:00:00,0,,,9.805,9.238,12.025,75.102,,496.2,9.14,13.7,,0.1497
23/03/09,10:00:00,0,,,10.271,11.832,12.847,70.98,,966.2,9.52,13.32,,0.1493
