Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
21/01/09,14:00:00,,,,,32.587,21.604,,,2221.2,5.71,12.94
21/01/09,15:00:00,0,,,,33.209,21.724,,,2086.2,6.47,14.85
21/01/09,16:00:00,0,,,,31.996,21.628,,,1738.7,6.09,12.94
21/01/09,17:00:00,0,,,,30.041,22.178,,,1468.7,7.23,13.32
21/01/09,18:00:00,0,,,,27.875,22.25,,,1373.7,6.47,14.85
21/01/09,19:00:00,0,,,,24.388,21.557,,,738.7,5.71,11.42
21/01/09,20:00:00,0,,,,19.175,20.174,,,241.2,4.57,8.76
21/01/09,21:00:00,0,,,,16.63,19.651,,,26.2,4.57,9.52
21/01/09,22:00:00,0,,,,14.385,19.032,,,1.2,4.95,9.52
21/01/09,23:00:00,0,,,,12.992,18.129,,,1.2,3.43,7.99
22/01/09,00:00:00,0,,,,12.195,17.748,,,1.2,3.43,6.85
22/01/09,01:00:00,0,,,,12.727,17.748,,,1.2,7.23,16.37
22/01/09,02:00:00,0,,,,13.858,15.461,,,1.2,8.38,15.61
22/01/09,03:00:00,0.76,,,,14.601,14.601,,,1.2,9.52,22.84
22/01/09,04:00:00,1.78,,,,14.457,14.194,,,1.2,10.66,21.7
22/01/09,05:00:00,0.25,,,,14.29,13.906,,,1.2,11.8,19.8
22/01/09,06:00:00,0,,,,14.17,13.714,,,1.2,11.04,17.51
22/01/09,07:00:00,0,,,,14.122,13.666,,,3.7,10.28,18.27
22/01/09,08:00:00,0,,,,14.074,13.329,,,38.7,11.04,19.8
22/01/09,09:00:00,0,,,,14.05,13.401,,,36.2,11.8,20.94
22/01/09,10:00:00,0.25,,,,14.266,13.618,,,81.2,13.32,22.46
22/01/09,11:00:00,0,,,,14.768,13.642,,,148.7,0,25.13
22/01/09,12:00:00,0,,,,15.27,13.762,,,241.2,12.18,26.27
22/01/09,13:00:00,0,,,,16.201,14.266,,,408.7,13.7,27.41
22/01/09,14:00:00,5.84,,,,16.63,14.625,,,346.2,0,27.79
22/01/09,15:00:00,0.25,,,,16.01,14.984,,,103.7,12.56,25.51
22/01/09,16:00:00,6.1,,,,15.414,14.936,,,18.7,12.56,25.89
22/01/09,17:00:00,8.38,,,,14.074,13.401,,,268.7,11.8,23.22
22/01/09,18:00:00,0,,,,17.796,15.342,,,1086.2,10.66,19.41
22/01/09,19:00:00,0,,,,16.844,16.392,,,636.2,9.52,17.51
22/01/09,20:00:00,0,,,,14.29,15.485,,,123.7,7.23,15.61
22/01/09,21:00:00,0,,,,13.425,15.772,,,3.7,5.33,10.66
22/01/09,22:00:00,0,,,,12.437,15.438,,,1.2,6.09,13.32
22/01/09,23:00:00,0,,,,11.321,15.103,,,1.2,7.61,14.09
23/01/09,00:00:00,0,,,,10.369,13.978,,,1.2,9.9,17.89
23/01/09,01:00:00,0,,,,9.509,13.016,,,1.2,10.28,17.13
23/01/09,02:00:00,0,,,,9.064,12.606,,,1.2,9.9,17.13
23/01/09,03:00:00,0,,,,8.693,12.461,,,1.2,9.9,17.89
23/01/09,04:00:00,0,,,,8.17,12.025,,,1.2,10.28,18.65
23/01/09,05:00:00,0,,,,7.569,10.736,,,1.2,8.76,17.89
23/01/09,06:00:00,0,,,,6.94,9.928,,,1.2,9.52,17.89
23/01/09,07:00:00,0,,,,6.763,9.78,,,91.2,9.52,16.37
23/01/09,08:00:00,0,,,,7.97,11.321,,,506.2,10.66,19.03
23/01/09,09:00:00,0,,,,11.832,12.92,,,956.2,11.8,20.18
23/01/09,10:00:00,0,,,,16.201,14.098,,,1363.7,11.42,18.27
23/01/09,11:00:00,0,,,,19.674,15.079,,,1693.7,13.7,19.8
23/01/09,12:00:00,0,,,,22.274,15.557,,,1791.2,11.04,20.94
23/01/09,13:00:00,0,,,,26.451,16.106,,,2001.2,8.76,15.99
23/01/09,14:00:00,0,,,,28.468,17.034,,,2213.7,9.14,15.61
23/01/09,15:00:00,0,,,,29.54,17.51,,,2041.2,9.9,17.89
23/01/09,16:00:00,0,,,,29.665,18.081,,,1931.2,11.04,18.27
23/01/09,17:00:00,0,,,,28.122,18.366,,,1566.2,10.66,17.89
23/01/09,18:00:00,0,,,,22.992,17.962,,,706.2,7.99,15.99
23/01/09,19:00:00,0,,,,20.507,18.081,,,538.7,7.99,15.61
23/01/09,20:00:00,0,,,,17.439,17.748,,,328.7,8.76,15.61
23/01/09,21:00:00,0,,,,14.433,16.844,,,18.7,9.14,15.61
23/01/09,22:00:00,0,,,,13.137,16.463,,,1.2,9.52,17.13
23/01/09,23:00:00,0,,,,12.534,16.249,,,1.2,10.28,17.89
24/01/09,00:00:00,0,,,,12.074,16.701,,,1.2,11.8,20.18
24/01/09,01:00:00,0,,,,11.589,16.463,,,1.2,8.38,15.99
24/01/09,02:00:00,0,,,,11.637,16.082,,,1.2,7.23,14.47
24/01/09,03:00:00,0,,,,11.929,15.366,,,1.2,6.85,11.8
24/01/09,04:00:00,0,,,,11.759,14.505,,,1.2,6.09,13.32
24/01/09,05:00:00,0.51,,,,11.637,13.81,,,1.2,6.47,11.8
24/01/09,06:00:00,0.51,,,,11.443,13.112,,,1.2,5.71,11.42
24/01/09,07:00:00,0.51,,,,10.663,12.074,,,6.2,7.23,13.32
24/01/09,08:00:00,0,,,,10.98,11.419,,,451.2,7.23,14.47
24/01/09,09:00:00,0,,,,13.449,11.662,,,988.7,8.38,14.85
24/01/09,10:00:00,0,,,,16.892,11.904,,,1343.7,9.52,15.99
24/01/09,11:00:00,0,,,,19.96,12.243,,,1868.7,10.28,17.89
24/01/09,12:00:00,0,,,,22.226,12.678,,,1763.7,9.9,15.99
24/01/09,13:00:00,0,,,,25.307,13.642,,,2248.7,9.9,16.37
24/01/09,14:00:00,0,,,,27.235,14.146,,,2233.7,7.99,14.85
24/01/09,15:00:00,0,,,,27.949,15.247,,,2176.2,7.99,14.85
24/01/09,16:00:00,0,,,,28.742,16.153,,,1973.7,6.47,14.47
24/01/09,17:00:00,0,,,,28.023,16.487,,,1666.2,5.71,12.18
24/01/09,18:00:00,0,,,,25.987,16.725,,,1271.2,4.57,8.38
24/01/09,19:00:00,0,,,,22.321,16.582,,,811.2,3.05,5.71
24/01/09,20:00:00,0,,,,17.344,15.103,,,336.2,2.28,4.57
24/01/09,21:00:00,0,,,,13.209,10.81,,,21.2,1.52,4.57
24/01/09,22:00:00,0,,,,10.345,7.995,,,1.2,0,1.9
24/01/09,23:00:00,0,,,,8.419,6.255,,,1.2,0.38,1.9
25/01/09,00:00:00,0,,,,7.066,5.462,,,1.2,0,2.28
25/01/09,01:00:00,0,,,,6,6.077,,,1.2,0,1.14
25/01/09,02:00:00,0,,,,5.36,6.737,,,1.2,0.38,2.28
25/01/09,03:00:00,0,,,,4.895,8.618,,,1.2,0,1.52
25/01/09,04:00:00,0,,,,4.48,9.879,,,1.2,0.38,1.9
25/01/09,05:00:00,0,,,,4.115,8.543,,,1.2,0.38,2.66
