Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
19/02/09,15:00:00,,,,31.026,18.628,19.103,,,1923.7,5.33,11.42,,0.1242
19/02/09,16:00:00,0,,,31.001,19.032,19.127,,,1793.7,4.95,10.28,,0.1238
19/02/09,17:00:00,0,,,29.315,19.46,19.246,,,1403.7,4.57,9.9,,0.1234
19/02/09,18:00:00,0,,,25.477,19.294,18.699,,,898.7,4.95,9.14,,0.1234
19/02/09,19:00:00,0,,,21.366,18.438,17.772,,,478.7,4.57,8.76,,0.123
19/02/09,20:00:00,0,,,17.605,17.296,15.39,,,123.7,2.28,6.47,,0.123
19/02/09,21:00:00,0,,,14.649,16.082,12.871,,,1.2,1.14,3.43,,0.123
19/02/09,22:00:00,0,,,11.929,14.912,11.37,,,1.2,0.38,1.52,,0.1225
19/02/09,23:00:00,0,,,10.222,13.786,11.516,,,1.2,0,1.14,,0.1225
20/02/09,00:00:00,0,,,9.015,12.871,10.956,,,1.2,0,1.52,,0.1225
20/02/09,01:00:00,0,,,7.995,12.098,9.657,,,1.2,0,1.14,,0.1221
20/02/09,02:00:00,0,,,7.368,11.443,10.98,,,1.2,0,1.52,,0.1221
20/02/09,03:00:00,0,,,8.02,10.98,11.443,,,1.2,0,1.14,,0.1221
20/02/09,04:00:00,0,,,9.114,10.932,12.074,,,1.2,0.76,3.05,,0.1217
20/02/09,05:00:00,0,,,8.095,10.858,10.687,,,1.2,0,1.52,,0.1213
20/02/09,06:00:00,0,,,8.07,10.59,10.736,,,1.2,0,1.9,,0.1213
20/02/09,07:00:00,0,,,8.295,10.418,10.32,,,3.7,0.38,2.28,,0.1208
20/02/09,08:00:00,0,,,9.583,10.443,12.219,,,51.2,2.66,7.23,,0.1208
20/02/09,09:00:00,0,,,10.638,10.712,10.638,,,101.2,2.28,6.09,,0.1208
20/02/09,10:00:00,1.27,,,11.175,11.005,9.903,,,136.2,3.05,7.23,,0.1204
20/02/09,11:00:00,2.54,,,10.858,11.224,10.001,,,166.2,6.09,11.04,,0.1518
20/02/09,12:00:00,2.03,,,11.297,11.346,10.173,,,421.2,7.23,11.8,,0.1874
20/02/09,13:00:00,0,,,13.834,11.88,10.932,,,798.7,6.85,11.8,,0.1785
20/02/09,14:00:00,0.51,,,15.915,12.823,11.102,,,736.2,6.85,11.04,,0.1734
20/02/09,15:00:00,0,,,17.558,13.473,12.485,,,1328.7,6.09,10.66,,0.17
20/02/09,16:00:00,0,,,20.031,14.745,13.522,,,1871.2,8.38,15.23,,0.1671
20/02/09,17:00:00,0,,,19.674,15.581,13.642,,,1538.7,8.38,13.7,,0.1649
20/02/09,18:00:00,0,,,18.794,15.915,14.05,,,1158.7,6.09,11.04,,0.1633
20/02/09,19:00:00,0,,,16.844,15.819,13.281,,,526.2,4.19,9.14,,0.162
20/02/09,20:00:00,0,,,14.002,15.055,11.565,,,66.2,4.19,7.61,,0.1607
20/02/09,21:00:00,0,,,11.71,14.074,10.565,,,1.2,2.28,4.95,,0.1599
20/02/09,22:00:00,0,,,10.075,13.137,10.443,,,1.2,1.9,4.19,,0.159
20/02/09,23:00:00,0,,,8.519,12.268,8.593,,,1.2,0.38,3.05,,0.1582
21/02/09,00:00:00,0,,,8.916,11.613,8.319,,,1.2,0,1.9,,0.1577
21/02/09,01:00:00,0,,,9.952,11.613,9.534,,,1.2,0.76,2.28,,0.1569
21/02/09,02:00:00,0,,,10.345,11.686,9.139,,,1.2,1.52,3.05,,0.1565
21/02/09,03:00:00,0,,,10.32,11.686,8.841,,,1.2,1.14,3.05,,0.1556
21/02/09,04:00:00,0,,,10.222,11.613,8.419,,,1.2,1.52,3.81,,0.1552
21/02/09,05:00:00,0,,,10.051,11.516,8.07,,,1.2,1.14,3.05,,0.1543
21/02/09,06:00:00,0,,,9.854,11.394,7.695,,,1.2,1.14,3.43,,0.1539
21/02/09,07:00:00,0,,,9.632,11.273,7.293,,,1.2,1.52,3.05,,0.1535
21/02/09,08:00:00,0,,,9.756,11.151,7.015,,,91.2,1.14,3.43,,0.1531
21/02/09,09:00:00,0,,,11.127,11.248,7.015,,,278.7,1.52,3.05,,0.1522
21/02/09,10:00:00,0,,,13.016,11.686,7.469,,,478.7,1.9,3.81,,0.1518
21/02/09,11:00:00,0,,,17.106,12.485,8.519,,,1233.7,1.14,4.19,,0.151
21/02/09,12:00:00,0,,,22.633,14.242,10.81,,,1923.7,1.9,6.09,,0.1501
21/02/09,13:00:00,0,,,25.089,16.177,12.944,,,2108.7,3.43,6.85,,0.1497
21/02/09,14:00:00,0,,,26.451,17.724,14.122,,,2143.7,3.05,7.23,,0.1488
