Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)","Water Content, m?/m? (SEN S/N: 2282783)"
22/02/09,17:00:00,,,,25.671,21.461,17.582,,,558.7,4.19,7.23,0.1382
22/02/09,18:00:00,0,,,24.581,21.199,17.344,,,1126.2,3.43,7.23,0.1378
22/02/09,19:00:00,0,,,21.652,20.484,16.82,,,561.2,3.05,6.85,0.1374
22/02/09,20:00:00,0,,,17.486,18.985,14.337,,,113.7,1.9,4.19,0.1374
22/02/09,21:00:00,0,,,14.266,17.249,11.807,,,1.2,1.14,2.28,0.1374
22/02/09,22:00:00,0,,,12.316,15.796,11.346,,,1.2,1.52,2.66,0.1374
22/02/09,23:00:00,0,,,10.883,14.649,11.273,,,1.2,1.52,4.19,0.1374
23/02/09,00:00:00,0,,,9.903,13.738,12.001,,,1.2,2.28,5.71,0.137
23/02/09,01:00:00,0,,,9.608,13.088,12.944,,,1.2,4.19,7.99,0.137
23/02/09,02:00:00,0,,,9.287,12.63,12.944,,,1.2,4.19,9.14,0.137
23/02/09,03:00:00,0,,,8.866,12.243,12.195,,,1.2,3.81,8.38,0.1365
23/02/09,04:00:00,0,,,8.643,11.856,13.088,,,1.2,5.71,11.42,0.1365
23/02/09,05:00:00,0,,,8.568,11.589,13.594,,,1.2,6.09,12.94,0.1365
23/02/09,06:00:00,0,,,8.519,11.37,12.92,,,1.2,7.99,13.7,0.1361
23/02/09,07:00:00,0,,,8.519,11.2,12.098,,,8.7,9.14,14.47,0.1361
23/02/09,08:00:00,0,,,9.04,11.102,12.171,,,173.7,8.76,14.47,0.1357
23/02/09,09:00:00,0,,,9.903,11.224,11.71,,,258.7,9.9,14.85,0.1353
23/02/09,10:00:00,0,,,10.32,11.37,11.929,,,346.2,9.52,13.7,0.1353
23/02/09,11:00:00,0,,,11.856,11.637,12.871,,,513.7,9.14,18.27,0.1348
23/02/09,12:00:00,0,,,13.762,12.171,13.473,,,928.7,10.28,15.99,0.1344
23/02/09,13:00:00,0,,,21.39,13.594,16.082,,,2053.7,10.66,16.37,0.1336
23/02/09,14:00:00,0,,,21.437,15.485,16.201,,,1523.7,9.52,15.23,0.1331
