Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 2429935)","RH, % (SEN S/N: 2429935)","DewPt, ÁC (SEN S/N: 2429935)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
26/11/09,13:00:00,,,13.714,16.654,28.493,17.796,70.1,12.3,2351.2,9.52,15.99,,0.0729
26/11/09,14:00:00,0,,13.69,16.582,26.182,17.368,70,11.9,1566.2,8.38,15.23,,0.0742
26/11/09,15:00:00,0,,13.738,16.392,24.847,17.629,68.9,11.9,1386.2,7.23,13.32,,0.0746
26/11/09,16:00:00,4.06,,13.81,16.201,17.058,11.759,84.3,9.2,171.2,6.47,15.61,,0.0975
26/11/09,17:00:00,0.76,,13.834,15.652,14.314,11.37,93.1,10.3,103.7,5.33,10.66,,0.0988
26/11/09,18:00:00,2.54,,13.738,15.031,12.847,10.345,96.4,9.8,33.7,6.47,13.32,,0.1115
26/11/09,19:00:00,1.02,,13.594,14.481,11.832,9.312,95,8.6,23.7,5.71,12.56,,0.1145
26/11/09,20:00:00,6.86,,13.401,13.954,10.443,8.27,97,7.8,11.2,7.61,17.89,,0.1531
26/11/09,21:00:00,2.03,,13.233,13.305,9.558,8.444,95.6,7.8,1.2,6.85,13.32,,0.1484
26/11/09,22:00:00,0,,12.968,12.799,9.336,8.965,89,7.3,1.2,7.99,14.47,,0.1408
26/11/09,23:00:00,0,,12.703,12.461,9.386,7.87,93.9,7,1.2,7.23,11.8,,0.1374
27/11/09,00:00:00,0.25,,12.461,12.195,9.435,8.195,97.5,7.8,1.2,6.47,11.42,,0.1357
27/11/09,01:00:00,0.51,,12.268,11.977,9.534,8.494,97.8,8.2,1.2,6.47,11.8,,0.1353
27/11/09,02:00:00,2.54,,12.098,11.783,9.435,7.77,98,7.5,1.2,7.23,14.47,,0.1408
27/11/09,03:00:00,0.25,,11.929,11.589,8.891,7.091,98.1,6.8,1.2,7.99,16.75,,0.1391
27/11/09,04:00:00,0.25,,11.783,11.419,8.618,7.217,98.2,7,1.2,6.09,11.8,,0.1378
27/11/09,05:00:00,0.51,,11.637,11.224,8.543,7.469,98.4,7.2,1.2,7.23,14.85,,0.1374
27/11/09,06:00:00,1.02,,11.492,11.053,8.568,7.469,98.4,7.2,1.2,6.85,12.56,,0.1391
27/11/09,07:00:00,0.76,,11.346,10.907,8.693,7.142,98.4,6.9,66.2,6.85,12.56,,0.1395
27/11/09,08:00:00,0,,11.224,10.81,9.336,7.419,98.5,7.2,161.2,6.09,11.42,,0.1382
27/11/09,09:00:00,0,,11.127,10.785,11.297,8.593,98.6,8.4,521.2,4.95,10.66,,0.1365
27/11/09,10:00:00,0,,11.078,10.98,12.413,8.295,98.6,8.1,481.2,5.33,10.66,,0.1353
27/11/09,11:00:00,0.25,,11.078,11.2,11.273,8.02,98.6,7.8,273.7,5.71,11.04,,0.1344
27/11/09,12:00:00,0,,11.102,11.248,12.461,8.866,98.7,8.7,618.7,6.09,11.04,,0.1336
27/11/09,13:00:00,0,,11.127,11.394,14.625,9.534,98.7,9.3,843.7,5.71,11.8,,0.1319
27/11/09,14:00:00,0,,11.175,11.686,15.724,10.247,98.8,10.1,733.7,4.57,9.52,,0.1302
27/11/09,15:00:00,0,,11.273,12.025,14.409,9.805,98.8,9.6,386.2,4.57,9.52,,0.1289
27/11/09,16:00:00,0,,11.394,12.147,13.978,10.149,98.9,10,411.2,3.43,7.99,,0.1276
27/11/09,17:00:00,0,,11.492,12.219,13.425,9.78,98.9,9.6,241.2,3.43,6.85,,0.1263
27/11/09,18:00:00,0,,11.54,12.219,12.799,10.051,98.9,9.9,193.7,3.05,5.33,,0.1259
27/11/09,19:00:00,0,,11.565,12.171,14.337,10.001,98.7,9.8,513.7,3.05,6.47,,0.1246
27/11/09,20:00:00,0,,11.589,12.171,12.195,9.756,98.7,9.6,68.7,2.66,5.33,,0.1242
27/11/09,21:00:00,0,,11.589,12.074,10.418,9.608,98.7,9.4,1.2,2.66,5.71,,0.1238
27/11/09,22:00:00,0,,11.565,11.856,10.443,10.247,98.9,10.1,1.2,5.33,11.42,,0.1234
27/11/09,23:00:00,0,,11.492,11.686,10.418,10.271,98.8,10.1,1.2,7.61,12.94,,0.123
28/11/09,00:00:00,0,,11.419,11.54,10.075,10.492,98.3,10.2,1.2,7.61,12.94,,0.123
28/11/09,01:00:00,0,,11.346,11.419,10.369,10.565,97.8,10.2,1.2,8.76,14.47,,0.1225
28/11/09,02:00:00,0,,11.273,11.346,9.879,10.296,95.8,9.7,1.2,7.99,13.7,,0.1225
28/11/09,03:00:00,0,,11.224,11.224,9.558,10.394,92.2,9.2,1.2,7.61,13.32,,0.1221
28/11/09,04:00:00,0,,11.151,11.127,9.163,10.907,90.1,9.4,1.2,9.14,14.85,,0.1221
28/11/09,05:00:00,0,,11.078,10.98,9.238,11.005,87.7,9.1,1.2,10.66,18.27,,0.1217
28/11/09,06:00:00,0,,11.005,10.883,9.386,10.736,87.2,8.7,6.2,11.8,21.32,,0.1217
28/11/09,07:00:00,0,,10.907,10.81,9.706,9.114,92.7,8,56.2,11.04,22.08,,0.1213
28/11/09,08:00:00,0,,10.858,10.761,9.879,8.618,98.1,8.3,83.7,9.52,17.13,,0.1208
28/11/09,09:00:00,0,,10.81,10.736,10.001,6.712,96.7,6.2,468.7,8.76,14.85,,0.1204
28/11/09,10:00:00,0,,10.761,10.785,13.786,8.419,74.4,4.1,1498.7,8.38,15.23,,0.1191
28/11/09,11:00:00,0,,10.785,11.224,17.796,8.965,77.9,5.3,1903.7,8.38,14.85,,0.1166
28/11/09,12:00:00,0,,10.932,11.953,21.652,8.543,76.7,4.7,2138.7,7.61,14.85,,0.114
28/11/09,13:00:00,0,,11.175,12.775,24.098,9.485,74.8,5.2,2283.7,7.99,15.23,,0.1128
28/11/09,14:00:00,0,,11.492,13.473,24.895,10.222,72.6,5.5,2186.2,8.76,16.37,,0.1102
28/11/09,15:00:00,0,,11.807,13.954,24.484,10.638,75.5,6.5,2213.7,8.76,17.13,,0.1085
28/11/09,16:00:00,0,,12.074,14.194,23.424,10.001,73.2,5.4,1733.7,7.99,15.61,,0.1081
28/11/09,17:00:00,0,,12.292,14.218,21.27,10.222,68.4,4.7,1598.7,7.99,15.99,,0.1073
28/11/09,18:00:00,0,,12.413,14.002,17.368,9.213,69.2,3.9,963.7,7.23,14.47,,0.1073
28/11/09,19:00:00,0,,12.461,13.618,12.654,8.195,70.9,3.2,403.7,7.23,13.7,,0.1073
28/11/09,20:00:00,0,,12.413,13.161,9.952,7.67,70.8,2.7,78.7,6.85,14.09,,0.1077
28/11/09,21:00:00,0,,12.292,12.678,8.593,7.192,73.8,2.8,1.2,6.09,12.18,,0.1081
28/11/09,22:00:00,2.29,,12.098,12.195,7.519,4.558,79.4,1.3,1.2,5.33,15.61,,0.1162
28/11/09,23:00:00,2.29,,11.904,11.734,6.611,4.402,92.9,3.4,1.2,8.38,14.85,,0.1263
29/11/09,00:00:00,1.02,,11.662,11.224,6.585,4.115,96.7,3.6,1.2,6.09,12.56,,0.128
29/11/09,01:00:00,0.51,,11.419,10.785,6.484,3.775,97.4,3.4,1.2,7.23,14.47,,0.128
29/11/09,02:00:00,0,,11.175,10.467,6.102,3.485,97.5,3.1,1.2,6.85,13.7,,0.1276
29/11/09,03:00:00,0,,10.956,10.198,5.719,3.591,95.9,3,1.2,6.47,12.94,,0.1268
29/11/09,04:00:00,0,,10.761,9.928,5.591,3.301,95.3,2.6,1.2,5.71,11.04,,0.1263
29/11/09,05:00:00,2.54,,10.565,9.682,5.231,2.61,95.5,2,1.2,6.09,11.8,,0.1336
29/11/09,06:00:00,2.54,,10.369,9.386,4.584,2.61,96.7,2.1,1.2,6.09,12.56,,0.1412
29/11/09,07:00:00,3.05,,10.124,9.015,4.428,2.047,97.6,1.7,26.2,5.33,11.04,,0.1476
29/11/09,08:00:00,1.02,,9.879,8.693,4.947,1.805,97.1,1.4,116.2,3.81,7.99,,0.1463
29/11/09,09:00:00,1.52,,9.632,8.494,5.668,2.584,97.2,2.2,258.7,2.28,5.33,,0.1454
29/11/09,10:00:00,0,,9.46,8.444,9.114,4.506,96.6,4,723.7,2.28,5.33,,0.142
29/11/09,11:00:00,0,,9.386,8.817,13.425,4.895,95.7,4.3,996.2,3.05,6.85,,0.1386
29/11/09,12:00:00,0,,9.435,9.46,12.63,4.973,95,4.2,601.2,2.28,4.57,,0.1365
29/11/09,13:00:00,0,,9.608,9.928,14.266,6.889,92.2,5.7,976.2,2.66,6.09,,0.134
29/11/09,14:00:00,0,,9.756,10.418,16.963,7.77,89.1,6.1,1283.7,2.28,5.71,,0.1314
29/11/09,15:00:00,0,,9.977,11.102,20.627,8.045,86.2,5.9,1466.2,3.05,6.85,,0.1289
29/11/09,16:00:00,0.25,,10.296,11.832,17.153,5.308,90.5,3.9,818.7,3.05,7.23,,0.1276
29/11/09,17:00:00,1.02,,10.59,12.05,15.414,6.458,94.1,5.6,796.2,3.05,6.85,,0.1276
29/11/09,18:00:00,0,,10.785,11.977,14.529,6.458,91,5.1,488.7,3.43,7.23,,0.1263
29/11/09,19:00:00,1.52,,10.883,11.88,12.074,5.257,91.5,4,361.2,3.43,9.14,,0.1272
29/11/09,20:00:00,0,,10.907,11.565,9.657,4.999,94.7,4.2,101.2,3.81,7.61,,0.1268
29/11/09,21:00:00,1.52,,10.858,11.175,8.444,4.61,95.7,4,3.7,2.66,6.47,,0.1302
29/11/09,22:00:00,1.02,,10.761,10.785,7.569,4.194,97,3.8,1.2,3.43,7.99,,0.1314
29/11/09,23:00:00,0,,10.59,10.394,7.343,4.272,97.2,3.9,1.2,3.43,7.61,,0.131
30/11/09,00:00:00,0,,10.443,10.124,7.015,4.194,96.4,3.7,1.2,3.43,7.99,,0.1306
30/11/09,01:00:00,0,,10.296,9.879,6.712,3.722,97.4,3.3,1.2,4.19,7.99,,0.1302
