Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 2429935)","RH, % (SEN S/N: 2429935)","DewPt, ÁC (SEN S/N: 2429935)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
09/02/10,09:00:00,,,14.792,14.84,17.034,19.08,75,14.6,778.7,0.38,2.66,,0.0347
09/02/10,10:00:00,0,,14.816,15.27,19.555,19.46,76.3,15.2,1308.7,0.38,5.71,,0.0334
09/02/10,11:00:00,0,,14.96,16.344,23.448,20.174,68.3,14.2,1601.2,0.76,6.09,,0.0322
09/02/10,12:00:00,0,,15.27,17.344,23.713,18.271,70.6,12.9,911.2,1.52,6.09,,0.0309
09/02/10,13:00:00,0,,15.605,17.772,23.881,17.391,76.8,13.3,1031.2,1.9,7.61,,0.0309
09/02/10,14:00:00,0,,15.891,17.938,21.891,17.891,88.6,16,643.7,2.66,5.33,,0.0305
09/02/10,15:00:00,0,,16.082,17.915,23.424,19.294,83,16.4,788.7,1.52,4.57,,0.0292
09/02/10,16:00:00,0,,16.225,18.057,22.705,18.866,74.4,14.2,656.2,1.14,4.19,,0.0292
09/02/10,17:00:00,0.25,,16.368,18.081,19.436,16.511,84.1,13.8,116.2,0.38,4.19,,0.0292
09/02/10,18:00:00,0,,16.463,17.843,18.913,17.938,86,15.6,398.7,1.14,5.33,,0.0292
09/02/10,19:00:00,0,,16.463,17.629,20.817,16.915,79.4,13.3,601.2,2.28,5.33,,0.0296
09/02/10,20:00:00,0,,16.439,17.51,17.249,15.796,80.1,12.4,111.2,1.9,4.19,,0.0296
09/02/10,21:00:00,0,,16.415,17.249,15.461,15.175,81.7,12.1,1.2,1.52,4.57,,0.0301
09/02/10,22:00:00,0,,16.344,16.868,13.906,13.882,81.8,10.8,1.2,0,2.28,,0.0305
09/02/10,23:00:00,0,,16.201,16.439,12.847,13.185,83.4,10.4,1.2,0,1.9,,0.0305
10/02/10,00:00:00,0,,16.01,16.01,12.316,14.457,74.9,10.1,1.2,0.38,1.9,,0.0309
10/02/10,01:00:00,0,,15.819,15.605,11.613,13.69,69.2,8.2,1.2,0,1.52,,0.0309
10/02/10,02:00:00,0,,15.605,15.223,11.078,13.305,70.5,8.1,1.2,0,1.52,,0.0309
10/02/10,03:00:00,0,,15.39,14.864,10.565,15.963,71.7,10.9,1.2,0.38,1.52,,0.0313
10/02/10,04:00:00,0,,15.175,14.553,10.614,15.843,72.5,10.9,1.2,1.14,2.66,,0.0313
10/02/10,05:00:00,0,,14.936,14.29,10.883,16.01,72.4,11.1,1.2,1.14,2.66,,0.0309
10/02/10,06:00:00,0,,14.745,14.122,11.127,15.414,73,10.6,1.2,1.14,2.66,,0.0305
10/02/10,07:00:00,0,,14.601,13.978,10.81,15.27,75.7,11,16.2,0.76,2.28,,0.0305
10/02/10,08:00:00,0,,14.433,13.834,11.273,17.296,74.5,12.7,268.7,0.76,3.05,,0.0305
10/02/10,09:00:00,0,,14.314,13.858,14.361,18.509,71.9,13.4,718.7,0.76,3.43,,0.0301
10/02/10,10:00:00,0,,14.266,14.529,18.343,19.413,67.5,13.3,1213.7,1.14,5.33,,0.0288
10/02/10,11:00:00,0,,14.433,15.629,21.724,20.436,63.9,13.4,1568.7,1.52,4.19,,0.0275
10/02/10,12:00:00,0,,14.768,16.82,24.992,20.317,63.2,13.1,1913.7,2.66,6.47,,0.0267
10/02/10,13:00:00,0,,15.199,17.843,25.817,20.126,62.5,12.8,1396.2,2.66,7.23,,0.0258
10/02/10,14:00:00,0,,15.629,18.319,23.521,17.51,73.9,12.8,688.7,2.28,5.71,,0.0254
10/02/10,15:00:00,4.06,,15.939,18.176,18.152,12.847,82.7,10,146.2,3.05,17.51,,0.0305
10/02/10,16:00:00,0.76,,16.058,17.558,16.439,15.079,86.4,12.8,293.7,1.52,7.61,,0.0326
10/02/10,17:00:00,0,,15.986,17.034,16.344,15.127,85.6,12.7,146.2,2.66,6.47,,0.033
10/02/10,18:00:00,0.51,,15.915,16.701,17.32,16.082,79.3,12.5,418.7,1.52,4.57,,0.0343
