Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 2429935)","RH, % (SEN S/N: 2429935)","DewPt, ÁC (SEN S/N: 2429935)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
17/05/10,15:00:00,0,,3.985,4.584,9.632,7.845,53.7,-1,881.2,1.14,4.19,,0.1051
17/05/10,16:00:00,0,,4.115,4.818,9.139,5.898,61.2,-1,523.7,1.14,5.33,,0.1056
17/05/10,17:00:00,0,,4.324,5.102,7.116,4.61,72.8,0.2,238.7,0.38,2.66,,0.1056
17/05/10,18:00:00,0,,4.506,5.154,5.462,2.664,84,0.2,83.7,0.76,1.9,,0.1056
17/05/10,19:00:00,0,,4.636,5.05,3.063,0.88,90.6,-0.5,1.2,0,1.14,,0.1064
17/05/10,20:00:00,0,,4.662,4.766,2.047,1.859,95.7,1.2,1.2,0.38,2.66,,0.1068
17/05/10,21:00:00,0,,4.636,4.48,1.913,1.561,95.8,1,1.2,1.52,3.05,,0.1068
17/05/10,22:00:00,0,,4.584,4.272,1.425,1.724,75.7,-2.1,1.2,3.05,5.71,,0.1073
17/05/10,23:00:00,0,,4.506,4.063,1.044,1.805,63,-4.5,1.2,2.66,4.95,,0.1073
18/05/10,00:00:00,0,,4.428,3.88,0.797,1.615,60.4,-5.2,1.2,2.66,4.57,,0.1077
18/05/10,01:00:00,0,,4.35,3.722,0.605,0.77,55.7,-7.1,1.2,2.28,4.57,,0.1077
18/05/10,02:00:00,0,,4.272,3.564,0.384,1.289,57,-6.3,1.2,1.9,3.81,,0.1073
18/05/10,03:00:00,0,,4.194,3.406,0.246,1.913,57.4,-5.6,1.2,2.28,3.43,,0.1077
18/05/10,04:00:00,0,,4.089,3.274,0.135,1.588,59,-5.6,1.2,1.9,3.43,,0.1073
18/05/10,05:00:00,0,,4.011,3.142,0.079,1.994,60.8,-4.8,1.2,2.28,3.43,,0.1073
18/05/10,06:00:00,0,,3.932,3.036,0.024,1.044,59.2,-6,1.2,2.28,3.81,,0.1077
18/05/10,07:00:00,0,,3.854,2.956,-0.032,0.495,62.3,-5.9,1.2,1.9,3.43,,0.1077
18/05/10,08:00:00,0,,3.775,2.85,-0.116,1.017,63.4,-5.1,1.2,0.76,2.66,,0.1073
18/05/10,09:00:00,0,,3.722,2.77,-0.171,2.396,60.8,-4.4,98.7,0.38,2.28,,0.1073
18/05/10,10:00:00,0,,3.643,2.69,-0.116,4.921,55.6,-3.2,491.2,0.76,2.28,,0.1073
18/05/10,11:00:00,0,,3.591,2.637,-0.032,6,54.2,-2.5,826.2,0.38,2.66,,0.1056
18/05/10,12:00:00,0,,3.538,2.69,1.453,7.091,52.6,-1.9,1078.7,0.76,3.43,,0.1043
18/05/10,13:00:00,0,,3.538,3.036,7.091,7.619,53.5,-1.2,1453.7,1.9,7.61,,0.1034
18/05/10,14:00:00,0,,3.643,3.696,9.682,7.82,55.3,-0.6,1366.2,3.43,7.23,,0.1034
18/05/10,15:00:00,0,,3.827,4.376,10.001,7.444,54,-1.2,1151.2,3.05,6.85,,0.1034
18/05/10,16:00:00,0,,4.063,4.869,9.336,6.56,56.1,-1.6,916.2,3.05,6.47,,0.1034
18/05/10,17:00:00,0,,4.298,5.102,7.091,5.231,62,-1.4,438.7,2.28,5.33,,0.1039
18/05/10,18:00:00,0,,4.48,5.154,5.385,3.775,71.3,-0.9,198.7,1.52,3.43,,0.1039
18/05/10,19:00:00,0,,4.61,5.05,3.009,2.262,79.6,-0.9,3.7,0.38,1.52,,0.1047
18/05/10,20:00:00,0,,4.636,4.766,1.561,0.495,85.7,-1.6,1.2,0,0.76,,0.1051
18/05/10,21:00:00,0,,4.61,4.454,0.962,1.017,88.2,-0.7,1.2,0,0.38,,0.1056
18/05/10,22:00:00,0,,4.558,4.141,0.55,-0.395,89.3,-1.9,1.2,0,0.76,,0.106
18/05/10,23:00:00,0,,4.454,3.88,0.273,-0.507,89,-2.1,1.2,0,0.38,,0.106
19/05/10,00:00:00,0,,4.35,3.643,0.107,-0.789,91,-2.1,1.2,0,1.14,,0.106
19/05/10,01:00:00,0,,4.246,3.433,-0.004,1.317,89,-0.3,1.2,0.76,2.28,,0.106
19/05/10,02:00:00,0,,4.115,3.248,-0.032,1.289,87.9,-0.5,1.2,1.14,2.66,,0.106
19/05/10,03:00:00,0,,4.011,3.116,-0.032,1.453,89.6,-0.1,1.2,1.9,3.81,,0.106
19/05/10,04:00:00,0,,3.932,2.983,-0.004,1.262,90.2,-0.2,1.2,1.52,3.43,,0.106
19/05/10,05:00:00,0,,3.854,2.903,-0.032,0.852,90.2,-0.6,1.2,1.9,3.43,,0.106
19/05/10,06:00:00,0,,3.775,2.85,-0.088,0.907,89.1,-0.7,1.2,1.52,3.43,,0.106
19/05/10,07:00:00,0,,3.696,2.77,-0.088,0.577,89.7,-0.9,1.2,1.9,3.43,,0.106
19/05/10,08:00:00,0,,3.643,2.717,-0.143,0.907,86.8,-1,1.2,2.28,3.81,,0.106
19/05/10,09:00:00,0,,3.591,2.637,-0.171,1.94,82.6,-0.7,91.2,2.66,4.95,,0.106
19/05/10,10:00:00,0,,3.538,2.584,-0.088,3.485,83.9,1,481.2,3.05,5.33,,0.106
19/05/10,11:00:00,0,,3.485,2.557,0.079,5.282,71.7,0.6,818.7,2.66,5.33,,0.1043
19/05/10,12:00:00,0,,3.459,2.664,1.886,6.433,64.7,0.3,1066.2,2.28,6.09,,0.1034
19/05/10,13:00:00,0,,3.459,3.009,5.796,6.179,62.3,-0.5,1216.2,2.66,6.09,,0.1026
19/05/10,14:00:00,0,,3.538,3.538,8.12,5.821,66.4,0.1,1243.7,3.05,6.85,,0.1026
19/05/10,15:00:00,0,,3.696,4.063,8.742,5.642,69.9,0.6,1111.2,3.05,6.85,,0.103
19/05/10,16:00:00,0,,3.906,4.454,8.394,5.05,77.6,1.5,898.7,3.43,6.47,,0.1026
19/05/10,17:00:00,0,,4.089,4.688,6.408,4.506,82.3,1.8,576.2,2.28,5.33,,0.103
19/05/10,18:00:00,0,,4.246,4.766,5.128,3.538,84.2,1.1,198.7,0,2.66,,0.103
19/05/10,19:00:00,0,,4.35,4.74,3.985,2.503,90.7,1.1,1.2,0,1.52,,0.1034
19/05/10,20:00:00,0,,4.428,4.636,2.983,0.797,94.2,0,1.2,0,1.14,,0.1034
19/05/10,21:00:00,0,,4.454,4.454,1.886,1.643,96.5,1.1,1.2,0,1.52,,0.1039
19/05/10,22:00:00,0,,4.428,4.246,2.182,0.77,96.9,0.3,1.2,0,1.52,,0.1043
19/05/10,23:00:00,0,,4.376,4.089,1.099,0.797,97.2,0.4,1.2,0,0.38,,0.1047
20/05/10,00:00:00,0,,4.324,3.906,1.017,0.77,97.5,0.4,1.2,0,1.14,,0.1047
20/05/10,01:00:00,0,,4.246,3.722,1.208,-0.227,97.3,-0.6,1.2,0.38,1.52,,0.1051
20/05/10,02:00:00,0,,4.194,3.591,0.577,-0.648,91.6,-1.8,1.2,0,1.14,,0.1051
20/05/10,03:00:00,0,,4.115,3.459,0.218,-1.814,87,-3.7,1.2,0.76,2.28,,0.1051
20/05/10,04:00:00,0,,4.037,3.274,0.079,0.715,85.2,-1.5,1.2,1.52,2.66,,0.1051
20/05/10,05:00:00,0,,3.958,3.142,-0.032,0.107,67.5,-5.2,1.2,1.14,2.28,,0.1051
20/05/10,06:00:00,0,,3.854,2.983,-0.116,-0.817,60.9,-7.4,1.2,0,1.14,,0.1051
20/05/10,07:00:00,0,,3.775,2.85,-0.199,-1.756,78.3,-5,1.2,0.38,1.9,,0.1047
20/05/10,08:00:00,0,,3.696,2.744,-0.255,-0.255,86.9,-2.2,1.2,1.14,2.28,,0.1047
20/05/10,09:00:00,0,,3.617,2.664,-0.311,0.329,88.9,-1.3,83.7,0.38,1.52,,0.1047
20/05/10,10:00:00,0,,3.538,2.557,-0.199,2.557,86,0.5,468.7,0.76,3.05,,0.1047
20/05/10,11:00:00,0,,3.485,2.503,-0.032,3.564,86.2,1.5,858.7,1.52,4.19,,0.1034
20/05/10,12:00:00,0,,3.433,2.53,1.67,5.334,80.8,2.3,1081.2,0.76,3.43,,0.1022
20/05/10,13:00:00,0,,3.433,2.823,4.74,4.714,76.6,1,518.7,0.76,3.43,,0.1022
20/05/10,14:00:00,0,,3.485,3.248,6.661,5.745,78.9,2.4,873.7,0.76,3.05,,0.1017
20/05/10,15:00:00,0,,3.591,3.722,10.051,3.985,77.7,0.4,1143.7,1.52,4.19,,0.1017
20/05/10,16:00:00,0,,3.775,4.298,7.293,3.801,84.1,1.4,178.7,1.52,3.05,,0.1022
20/05/10,17:00:00,0,,3.985,4.532,5.616,2.93,86.9,1,76.2,2.28,4.57,,0.1022
20/05/10,18:00:00,0,,4.141,4.558,4.766,2.021,91,0.7,38.7,1.9,4.19,,0.1022
20/05/10,19:00:00,0,,4.246,4.532,3.906,1.262,93.8,0.4,1.2,0.38,2.66,,0.1026
20/05/10,20:00:00,0,,4.298,4.428,2.93,1.262,95.3,0.6,1.2,0,0.76,,0.103
