Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 2429935)","RH, % (SEN S/N: 2429935)","DewPt, ÁC (SEN S/N: 2429935)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
21/10/10,12:00:00,,,6.509,-91.857,19.817,12.001,40,-1.2,1983.7,4.57,8.76,,0.1242
21/10/10,13:00:00,0,,6.687,-91.857,21.7,12.775,42.9,0.5,2106.2,3.81,7.23,,0.1238
21/10/10,14:00:00,0,,7.066,-91.857,24.002,12.654,51.1,2.8,2136.2,4.19,8.38,,0.1234
21/10/10,15:00:00,0,,7.469,-91.857,23.905,12.775,54.1,3.7,1878.7,3.81,7.99,,0.1234
21/10/10,16:00:00,0,,7.87,-91.857,20.103,12.147,49.7,2,1296.2,3.81,8.38,,0.1234
21/10/10,17:00:00,0,,8.195,-91.857,20.269,11.565,57.2,3.4,1316.2,3.81,7.61,,0.123
21/10/10,18:00:00,0,,8.419,-91.857,17.32,11.151,58.5,3.3,906.2,3.05,6.85,,0.123
21/10/10,19:00:00,0,,8.568,-91.857,12.654,8.469,64.7,2.2,376.2,2.28,4.95,,0.123
21/10/10,20:00:00,0,,8.618,-91.857,8.941,7.795,75.1,3.7,16.2,3.05,4.57,,0.123
21/10/10,21:00:00,0,,8.593,-91.857,7.368,6.965,85.8,4.8,1.2,3.05,5.33,,0.123
21/10/10,22:00:00,0,,8.494,-91.857,5.975,5.898,83.1,3.3,1.2,2.28,4.19,,0.1234
21/10/10,23:00:00,0,,8.319,-91.857,4.61,5.616,89.4,4,1.2,1.9,3.43,,0.1234
22/10/10,00:00:00,0,,8.12,-91.857,4.402,5.36,86.5,3.3,1.2,2.28,4.57,,0.1238
22/10/10,01:00:00,0,,7.92,-91.857,4.818,5.745,96.2,5.2,1.2,3.05,6.47,,0.1234
22/10/10,02:00:00,0,,7.72,-91.857,4.844,5.05,95.9,4.5,1.2,3.05,6.09,,0.1238
22/10/10,03:00:00,0,,7.544,-91.857,4.246,5.924,86.3,3.8,1.2,3.43,7.61,,0.1234
22/10/10,04:00:00,0,,7.393,-91.857,4.324,6.026,87.8,4.2,1.2,3.81,8.38,,0.1234
22/10/10,05:00:00,0,,7.217,-91.857,4.141,5.179,86.4,3.1,1.2,4.19,7.61,,0.1234
22/10/10,06:00:00,0,,7.091,-91.857,3.854,5.36,86.7,3.3,1.2,5.33,10.28,,0.1234
22/10/10,07:00:00,0,,6.965,-91.857,4.063,6.357,87.9,4.5,53.7,6.09,11.04,,0.1234
22/10/10,08:00:00,0,,6.813,-91.857,5.385,8.17,89.6,6.6,508.7,7.23,13.7,,0.123
22/10/10,09:00:00,0,,6.737,-91.857,7.92,8.344,86,6.1,951.2,7.61,13.7,,0.1225
22/10/10,10:00:00,0,,6.712,-91.857,10.712,9.064,86.3,6.9,1061.2,7.23,12.94,,0.1217
22/10/10,11:00:00,0,,6.788,-91.857,13.233,10.81,86.9,8.7,1286.2,6.85,13.7,,0.1213
22/10/10,12:00:00,0,,6.914,-91.857,17.368,11.807,77.8,8.1,1921.2,6.85,12.94,,0.1208
22/10/10,13:00:00,0,,7.167,-91.857,20.103,12.122,72.7,7.4,2073.7,7.99,15.61,,0.1204
22/10/10,14:00:00,0,,7.469,-91.857,20.198,11.078,72.2,6.3,1653.7,7.99,14.85,,0.1204
22/10/10,15:00:00,0,,7.82,-91.857,18.533,10.785,75.7,6.7,1218.7,6.47,12.18,,0.1204
22/10/10,16:00:00,0,,8.095,-91.857,16.272,11.662,78,8,1066.2,6.09,12.56,,0.1204
22/10/10,17:00:00,0,,8.295,-91.857,16.796,10.492,79.6,7.1,1123.7,7.23,15.61,,0.1204
22/10/10,18:00:00,0,,8.444,-91.857,13.112,9.805,86.6,7.7,446.2,6.85,14.09,,0.1204
22/10/10,19:00:00,0,,8.519,-91.857,11.151,9.509,91.9,8.3,93.7,5.33,11.42,,0.1204
22/10/10,20:00:00,0,,8.543,-91.857,10.198,9.213,93.6,8.2,8.7,5.33,9.9,,0.1204
22/10/10,21:00:00,0,,8.519,-91.857,9.682,9.163,96.1,8.6,1.2,5.33,10.28,,0.12
22/10/10,22:00:00,1.02,,8.469,-60.408,9.089,8.444,94.4,7.6,1.2,5.71,14.47,,0.1204
22/10/10,23:00:00,0,,8.419,-49.787,8.693,9.114,96.5,8.6,1.2,6.09,11.8,,0.1204
23/10/10,00:00:00,0,,8.344,-40.274,9.015,9.089,98.1,8.8,1.2,6.47,12.56,,0.1204
23/10/10,01:00:00,0,,8.295,-41.618,9.015,8.792,98.4,8.6,1.2,5.33,10.28,,0.1204
23/10/10,02:00:00,0,,8.245,-38.607,8.866,8.618,98.6,8.4,1.2,6.09,10.66,,0.1204
23/10/10,03:00:00,1.02,,8.195,-47.327,8.717,8.17,98.7,8,1.2,7.23,15.61,,0.1208
23/10/10,04:00:00,0.25,,8.145,-59.186,8.444,7.895,98.8,7.7,1.2,8.76,16.75,,0.1217
23/10/10,05:00:00,0,,8.095,-51.433,8.22,7.72,98.9,7.6,1.2,7.99,14.85,,0.1221
23/10/10,06:00:00,0,,8.02,-46.572,8.07,7.318,99,7.2,1.2,6.85,12.18,,0.1221
23/10/10,07:00:00,0,,7.97,-43.304,7.77,6.813,99,6.7,13.7,5.71,12.18,,0.1225
23/10/10,08:00:00,0,,7.92,-41.502,7.745,6.737,99,6.6,58.7,6.09,14.85,,0.1225
23/10/10,09:00:00,3.3,,7.87,-65.99,7.895,6.128,98.5,5.9,173.7,6.09,13.7,,0.1263
23/10/10,10:00:00,1.52,,7.82,-84.007,7.845,5.616,97.3,5.2,268.7,5.71,12.94,,0.1293
23/10/10,11:00:00,2.29,,7.77,-89.421,7.72,5.308,96.8,4.8,263.7,5.71,14.09,,0.1331
23/10/10,12:00:00,2.29,,7.72,-91.857,7.393,5.205,96.7,4.7,283.7,5.33,10.66,,0.1391
