Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163, LBL: Rain)",,"Temp, ÁC (SEN S/N: 684639, LBL: Temp (10cm))","Temp, ÁC (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, ÁC (SEN S/N: 2279300, LBL: Temp (Surface))","Temp, ÁC (SEN S/N: 2429935, LBL: Ambient Temp)","RH, % (SEN S/N: 2429935, LBL: RH)","DewPt, ÁC (SEN S/N: 2429935)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
26/05/11,13:00:00,0,,3.854,6.102,9.336,4.766,85.5,2.5,1171.2,1.9,4.57,,0.1386
26/05/11,14:00:00,0,,4.011,5.539,9.213,4.48,85.3,2.2,1113.7,2.66,5.33,,0.1382
26/05/11,15:00:00,0,,4.115,5.205,8.17,2.45,90.3,1,861.2,3.05,6.85,,0.1386
26/05/11,16:00:00,0,,4.194,4.973,6.102,0.825,96.9,0.4,123.7,3.43,6.47,,0.1391
26/05/11,17:00:00,0,,4.246,4.61,4.688,0.163,98.4,-0.1,31.2,1.9,6.09,,0.1391
26/05/11,18:00:00,0,,4.22,4.298,3.906,0.107,98.8,-0.1,1.2,0.76,3.05,,0.1391
26/05/11,19:00:00,0,,4.194,4.037,3.433,-0.227,99,-0.4,1.2,0.76,3.43,,0.1391
26/05/11,20:00:00,0,,4.141,3.854,3.089,-0.227,98.4,-0.5,1.2,0.76,3.43,,0.1391
26/05/11,21:00:00,0,,4.089,3.696,2.823,-0.395,97.9,-0.7,1.2,0.38,3.05,,0.1391
26/05/11,22:00:00,0,,4.037,3.538,2.37,-0.902,98.4,-1.1,1.2,0,3.05,,0.1391
26/05/11,23:00:00,0,,3.985,3.327,1.94,-0.93,96,-1.5,1.2,0.38,4.57,,0.1391
27/05/11,00:00:00,0,,3.906,3.116,1.751,-0.873,97.4,-1.2,1.2,0,0.38,,0.1391
27/05/11,01:00:00,0,,3.801,2.956,1.615,-1.27,96.6,-1.7,1.2,0,0,,0.1391
27/05/11,02:00:00,0,,3.722,2.823,1.289,-1.958,96.8,-2.4,1.2,0,0,,0.1391
27/05/11,03:00:00,0,,3.643,2.637,1.017,-1.814,96.8,-2.3,1.2,0,0,,0.1391
27/05/11,04:00:00,0,,3.564,2.477,0.852,-1.413,94.7,-2.2,1.2,0,0,,0.1391
27/05/11,05:00:00,0,,3.459,2.343,0.687,-1.213,86.2,-3.2,1.2,0.38,6.47,,0.1395
27/05/11,06:00:00,0,,3.38,2.209,0.577,-0.958,92.5,-2,1.2,4.19,7.99,,0.1391
27/05/11,07:00:00,0,,3.301,2.128,0.495,-0.845,90.1,-2.3,1.2,3.81,6.47,,0.1391
27/05/11,08:00:00,0,,3.221,2.047,0.439,0.107,84.5,-2.2,56.2,3.43,6.85,,0.1391
27/05/11,09:00:00,0,,3.168,1.994,0.467,0.742,82,-2,458.7,3.43,5.71,,0.1391
27/05/11,10:00:00,0,,3.116,1.94,0.605,2.77,79.3,-0.5,771.2,3.05,6.09,,0.1386
27/05/11,11:00:00,0,,3.063,1.967,2.423,3.749,76.9,0.1,1003.7,3.05,5.71,,0.1382
27/05/11,12:00:00,0,,3.063,2.316,6.23,3.958,82.9,1.3,1056.2,2.66,5.71,,0.1378
27/05/11,13:00:00,0,,3.195,3.063,7.92,4.272,83.4,1.7,1158.7,1.9,6.09,,0.1378
27/05/11,14:00:00,0,,3.433,3.801,8.419,3.538,84.9,1.2,846.2,2.66,5.33,,0.1374
27/05/11,15:00:00,0,,3.67,4.298,8.245,3.67,83.8,1.2,811.2,2.28,4.95,,0.1374
27/05/11,16:00:00,0,,3.932,4.532,6.788,2.289,92.9,1.3,153.7,0.76,3.05,,0.1374
27/05/11,17:00:00,0,,4.089,4.532,5.488,1.94,97.1,1.5,33.7,0.38,2.28,,0.1374
27/05/11,18:00:00,0,,4.194,4.35,3.932,0.934,93.3,0,1.2,1.52,3.81,,0.1374
27/05/11,19:00:00,0,,4.194,3.932,2.53,0.55,93.7,-0.4,1.2,1.9,4.19,,0.1374
27/05/11,20:00:00,0,,4.115,3.485,1.994,0.797,93.9,-0.1,1.2,2.28,4.57,,0.1374
27/05/11,21:00:00,0,,4.011,3.248,2.074,0.825,93.5,-0.1,1.2,1.52,3.43,,0.1374
27/05/11,22:00:00,0,,3.932,3.195,2.047,0.66,91.2,-0.6,1.2,1.14,3.05,,0.1374
27/05/11,23:00:00,0,,3.88,3.142,1.94,0.715,91.9,-0.5,1.2,0.38,2.28,,0.1374
28/05/11,00:00:00,0,,3.854,3.089,2.101,0.687,92.4,-0.4,1.2,0,1.52,,0.1374
28/05/11,01:00:00,0,,3.801,3.116,2.128,0.051,93.3,-0.9,1.2,0,2.28,,0.137
28/05/11,02:00:00,0,,3.775,3.063,1.344,-0.789,92.5,-1.9,1.2,0,1.9,,0.137
28/05/11,03:00:00,0,,3.722,2.77,0.934,-0.451,92.3,-1.6,1.2,1.9,3.81,,0.1374
28/05/11,04:00:00,0,,3.617,2.557,0.77,-0.76,92.8,-1.8,1.2,2.28,3.43,,0.1374
28/05/11,05:00:00,0,,3.538,2.423,0.605,-1.043,93.7,-1.9,1.2,1.52,3.05,,0.1374
28/05/11,06:00:00,0,,3.433,2.289,0.439,-1.9,93.8,-2.8,1.2,1.14,1.9,,0.1374
28/05/11,07:00:00,0,,3.354,2.182,0.19,-0.704,92,-1.8,1.2,1.14,2.28,,0.1374
28/05/11,08:00:00,0,,3.274,2.074,0.107,0.273,92.2,-0.8,58.7,1.9,3.43,,0.1374
28/05/11,09:00:00,0,,3.195,1.967,0.19,1.94,90.4,0.5,411.2,1.14,3.43,,0.1374
28/05/11,10:00:00,0,,3.116,1.94,0.412,3.301,86.3,1.2,756.2,2.28,4.95,,0.137
28/05/11,11:00:00,0,,3.089,2.128,3.036,3.009,83.4,0.5,1028.7,2.66,6.85,,0.1365
28/05/11,12:00:00,0,,3.195,3.089,6.509,3.354,85,1.1,798.7,3.05,6.47,,0.1365
28/05/11,13:00:00,0,,3.433,3.801,6.408,3.142,85,0.9,728.7,3.43,6.85,,0.1361
28/05/11,14:00:00,0,,3.643,4.168,6.687,2.477,87.9,0.7,438.7,3.05,5.71,,0.1361
28/05/11,15:00:00,0,,3.854,4.428,5.616,1.94,90.5,0.5,183.7,1.9,4.57,,0.1357
28/05/11,16:00:00,0,,3.985,4.376,4.688,1.235,91.3,0,118.7,1.52,3.81,,0.1361
28/05/11,17:00:00,0,,4.063,4.168,3.564,0.88,93.1,-0.1,81.2,1.52,3.81,,0.1361
28/05/11,18:00:00,0,,4.063,3.88,2.983,0.495,93.1,-0.5,1.2,0.38,1.9,,0.1361
28/05/11,19:00:00,0,,4.011,3.643,2.047,-1.015,93.7,-1.9,1.2,0,0,,0.1357
28/05/11,20:00:00,0,,3.932,3.248,1.262,-1.242,95.6,-1.9,1.2,0,0,,0.1361
28/05/11,21:00:00,0,,3.801,2.85,0.825,-0.845,93.5,-1.8,1.2,0,0,,0.1361
28/05/11,22:00:00,0,,3.67,2.584,0.467,-1.384,92.2,-2.5,1.2,0,2.28,,0.1361
28/05/11,23:00:00,0,,3.538,2.37,0.163,-2.044,94.1,-2.9,1.2,0,0.38,,0.1365
29/05/11,00:00:00,0,,3.406,2.182,-0.06,-0.283,91.9,-1.4,1.2,1.14,3.81,,0.1361
