"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 684639)","PAR, uE (SEN S/N: 700672)","Temp, ¡C (SEN S/N: 2279300)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)","Water Content, m?/m? (SEN S/N: 2282783)","Temp, ¡C (SEN S/N: 2429935)","RH, % (SEN S/N: 2429935)","Batt, V"
27-04-2011,16:00:00,,-91.857,6.813,1136.2,9.829,3.05,6.85,0.1191,9.829,74.700,4.363
27-04-2011,17:00:00,0.00,-91.857,6.914,796.2,9.361,3.81,6.47,0.1191,9.040,79.200,4.381
27-04-2011,18:00:00,0.00,-91.857,7.091,383.7,8.593,2.28,6.85,0.1191,7.519,84.800,4.363
27-04-2011,19:00:00,0.00,-91.857,7.217,23.7,7.995,3.05,6.09,0.1191,6.458,92.700,4.345
27-04-2011,20:00:00,0.00,-91.857,7.343,1.2,7.594,3.81,6.85,0.1191,5.770,95.900,4.339
27-04-2011,21:00:00,0.00,-85.581,7.393,1.2,7.293,4.57,8.38,0.1191,5.282,97.400,4.339
27-04-2011,22:00:00,0.00,-69.993,7.444,1.2,7.041,3.81,6.85,0.1191,5.024,97.900,4.333
27-04-2011,23:00:00,0.00,-65.553,7.469,1.2,6.813,3.81,7.23,0.1191,4.740,98.200,4.321
28-04-2011,00:00:00,0.00,-64.308,7.469,1.2,6.585,2.66,6.47,0.1191,4.662,98.300,4.321
28-04-2011,01:00:00,0.00,-65.553,7.469,1.2,6.458,3.05,5.71,0.1191,4.480,98.500,4.321
28-04-2011,02:00:00,0.00,-67.866,7.444,1.2,6.382,1.90,4.95,0.1191,4.272,98.600,4.321
28-04-2011,03:00:00,0.00,-70.572,7.444,1.2,6.331,1.14,3.43,0.1196,3.643,98.600,4.315
28-04-2011,04:00:00,0.00,-69.993,7.419,1.2,6.000,0.00,1.90,0.1196,3.036,98.600,4.315
