"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163, LBL: Rain)","Wind Speed, m/s (SEN S/N: 2282103, LBL: Wind Speed (3.3 m))","Gust Speed, m/s (SEN S/N: 2282103, LBL: Gust Speed (3.3 m))","Water Content, m?/m? (SEN S/N: 2282783, LBL: Soil Moisture (5cm))","Temp, ¡C (SEN S/N: 9818217, LBL: Ambient Temp (1.2 m))","RH, % (SEN S/N: 9818217, LBL: Relative Humidity)","DewPt, ¡C (SEN S/N: 9818217)","Temp, ¡C (SEN S/N: 9824741, LBL: Temp (Surface))","Temp, ¡C (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, ¡C (SEN S/N: 9824749, LBL: Temp (10cm))","Batt, V"
31-05-2012,18:00:00,,0.00,3.43,-0.1023,-0.032,80.600,-3.0,1.940,1.778,0.190,4.249
31-05-2012,19:00:00,0.00,0.00,0.00,-0.1010,1.099,88.700,-0.6,1.832,1.832,1.126,4.249
31-05-2012,20:00:00,0.00,0.00,0.00,-0.1010,1.507,91.600,0.3,2.128,2.128,1.670,4.249
31-05-2012,21:00:00,0.00,0.00,0.00,-0.1010,1.371,90.100,-0.1,1.913,1.940,1.561,4.249
31-05-2012,22:00:00,0.00,0.00,0.00,-0.1010,1.126,88.700,-0.5,1.561,1.588,1.262,4.261
31-05-2012,23:00:00,0.00,0.00,0.00,-0.1010,0.962,88.700,-0.7,1.289,1.317,1.044,4.249
01-06-2012,00:00:00,0.00,0.00,0.00,-0.1010,0.989,88.500,-0.7,1.262,1.289,1.071,4.249
01-06-2012,01:00:00,0.00,0.00,0.00,-0.1010,1.126,88.200,-0.6,1.317,1.344,1.180,4.249
01-06-2012,02:00:00,0.00,0.00,0.00,-0.1010,1.153,88.200,-0.6,1.344,1.344,1.208,4.249
01-06-2012,03:00:00,0.00,0.00,0.00,-0.1010,1.262,88.300,-0.5,1.398,1.398,1.289,4.249
01-06-2012,04:00:00,0.00,0.00,0.00,-0.1010,1.235,87.700,-0.6,1.425,1.425,1.289,4.249
01-06-2012,05:00:00,0.00,0.00,0.00,-0.1010,1.044,86.500,-1.0,1.262,1.262,1.099,4.249
01-06-2012,06:00:00,0.00,0.00,0.00,-0.1014,0.742,83.100,-1.8,0.962,0.962,0.770,4.249
01-06-2012,07:00:00,0.00,0.00,0.00,-0.1014,0.577,83.100,-2.0,0.742,0.770,0.605,4.249
01-06-2012,08:00:00,0.00,0.00,0.00,-0.1010,0.605,83.500,-1.9,0.742,0.742,0.660,4.249
01-06-2012,09:00:00,0.00,0.00,0.00,-0.1010,1.453,84.500,-0.9,1.289,1.180,1.262,4.249
01-06-2012,10:00:00,0.00,0.00,0.00,-0.1006,4.973,71.400,0.2,2.877,2.530,3.142,4.249
01-06-2012,11:00:00,35.31,0.00,2.66,-0.0798,9.903,43.400,-2.0,3.617,3.985,4.480,4.249
01-06-2012,12:00:00,50.81,0.00,2.28,-0.0408,10.883,36.100,-3.6,6.509,5.745,9.114,4.249
01-06-2012,13:00:00,0.00,0.00,0.00,-0.0726,12.606,32.000,-3.6,12.509,11.005,18.604,4.249
01-06-2012,14:00:00,41.16,0.00,1.52,-0.0603,9.805,35.900,-4.6,10.834,10.271,12.920,4.249
01-06-2012,15:00:00,13.97,-888.88,-888.88,-0.1040,5.770,55.800,-2.4,5.796,6.585,6.535,4.393
01-06-2012,16:00:00,1.27,-888.88,-888.88,0.0933,4.324,48.800,-5.5,3.327,0.825,2.637,4.369
01-06-2012,17:00:00,0.00,-888.88,-888.88,0.0937,2.370,55.900,-5.5,0.715,1.344,2.236,4.333
