Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 10284092, LBL: Rain)","Temp, °C (SEN S/N: 9824749, LBL: Temp (10cm))",,"Temp, °C (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, °C (SEN S/N: 9824741, LBL: Temp (Surface))","Temp, °C (SEN S/N: 9818217, LBL: Ambient Temp (1.2 m))","RH, % (SEN S/N: 9818217, LBL: Relative Humidity)","DewPt, °C (SEN S/N: 9818217)",,,,,"Water Content, m³/m³ (SEN S/N: 2282783, LBL: Soil Moisture (5cm))"
16/1/15,15:00:00,0,15.247,,15.748,17.13,13.257,62.8,6.3,,,,,0.1692
16/1/15,16:00:00,0,15.342,,15.915,16.844,12.63,65,6.2,,,,,0.1683
16/1/15,17:00:00,0,15.366,,15.939,15.318,11.88,69.6,6.5,,,,,0.1679
16/1/15,18:00:00,0,15.031,,15.366,14.026,11.783,70.7,6.6,,,,,0.1675
16/1/15,19:00:00,0,14.553,,14.649,12.92,10.736,74.3,6.4,,,,,0.1675
16/1/15,20:00:00,0,14.05,,13.906,11.662,10.834,74,6.4,,,,,0.1675
16/1/15,21:00:00,0,13.546,,13.257,10.761,10.198,69.7,4.9,,,,,0.1679
16/1/15,22:00:00,0,13.137,,12.703,10.345,9.706,73.9,5.3,,,,,0.1679
16/1/15,23:00:00,0,12.799,,12.316,10.075,9.682,74.7,5.4,,,,,0.1679
17/1/15,0:00:00,0,12.509,,12.001,9.78,9.435,75,5.2,,,,,0.1679
17/1/15,1:00:00,0,12.268,,11.71,9.46,8.941,73.2,4.4,,,,,0.1679
17/1/15,2:00:00,0,12.05,,11.467,9.163,8.369,74.9,4.2,,,,,0.1679
17/1/15,3:00:00,0,11.832,,11.2,8.841,7.544,76.4,3.7,,,,,0.1679
17/1/15,4:00:00,0,11.637,,10.956,8.593,6.306,83.9,3.8,,,,,0.1679
17/1/15,5:00:00,0,11.443,,10.736,8.419,5.847,91.4,4.6,,,,,0.1679
17/1/15,6:00:00,0,11.248,,10.541,8.469,6.255,93.7,5.3,,,,,0.1679
17/1/15,7:00:00,0,11.127,,10.467,8.916,6.914,92.7,5.8,,,,,0.1679
17/1/15,8:00:00,0,11.127,,10.541,9.854,7.97,87,5.9,,,,,0.1675
17/1/15,9:00:00,0,11.297,,10.907,11.54,8.817,83,6.1,,,,,0.1666
17/1/15,10:00:00,0,11.759,,11.565,13.594,9.805,80.9,6.7,,,,,0.1658
17/1/15,11:00:00,0,12.413,,12.461,16.463,11.127,76.1,7.1,,,,,0.1649
17/1/15,12:00:00,0,13.281,,13.666,18.604,12.485,71.3,7.4,,,,,0.1637
17/1/15,13:00:00,0,14.17,,14.888,19.698,12.703,71.7,7.7,,,,,0.1624
17/1/15,14:00:00,0,15.008,,15.986,20.603,13.497,69.5,8,,,,,0.1611
17/1/15,15:00:00,0,15.652,,16.796,19.912,14.026,67.5,8.1,,,,,0.1599
17/1/15,16:00:00,0,15.986,,17.13,18.913,13.81,66.4,7.7,,,,,0.159
17/1/15,17:00:00,0,16.01,,16.963,16.915,12.968,65.7,6.7,,,,,0.1586
17/1/15,18:00:00,0,15.629,,16.296,15.223,11.88,67.1,6,,,,,0.1582
17/1/15,19:00:00,0,15.055,,15.39,13.594,10.369,71.5,5.5,,,,,0.1577
17/1/15,20:00:00,0,14.433,,14.481,11.977,8.643,77.5,4.9,,,,,0.1577
17/1/15,21:00:00,0,13.834,,13.642,10.834,7.87,79.8,4.6,,,,,0.1577
17/1/15,22:00:00,0,13.329,,12.944,10.1,6.99,81.9,4.1,,,,,0.1582
17/1/15,23:00:00,0,12.896,,12.413,9.632,7.519,83.4,4.9,,,,,0.1582
18/1/15,0:00:00,0,12.534,,12.001,9.336,6.965,82.3,4.2,,,,,0.1582
18/1/15,1:00:00,0,12.243,,11.637,8.767,7.293,76.5,3.4,,,,,0.1582
18/1/15,2:00:00,0,11.953,,11.297,8.295,7.142,69.4,1.9,,,,,0.1582
18/1/15,3:00:00,0,11.686,,10.98,7.695,6.687,59.8,-0.6,,,,,0.1582
18/1/15,4:00:00,0,11.443,,10.663,7.469,6.179,65.4,0.2,,,,,0.1582
18/1/15,5:00:00,0,11.2,,10.394,7.142,5.668,59.2,-1.7,,,,,0.1582
18/1/15,6:00:00,0,10.956,,10.1,6.839,7.569,48.8,-2.5,,,,,0.1577
18/1/15,7:00:00,0,10.761,,9.928,7.494,9.312,40.9,-3.3,,,,,0.1577
18/1/15,8:00:00,0,10.736,,10.001,9.188,10.907,36.7,-3.3,,,,,0.1569
18/1/15,9:00:00,0,10.956,,10.467,11.686,11.224,35.9,-3.3,,,,,0.156
18/1/15,10:00:00,0,11.492,,11.297,15.438,13.161,36.4,-1.4,,,,,0.1548
18/1/15,11:00:00,0,12.389,,12.558,19.413,13.112,43.5,1,,,,,0.1535
18/1/15,12:00:00,0,13.425,,13.978,22.848,15.151,39.9,1.6,,,,,0.1522
18/1/15,13:00:00,0,14.409,,15.223,24.871,16.201,38.6,2.1,,,,,0.1505
18/1/15,14:00:00,0,15.27,,16.392,25.283,13.786,46.7,2.6,,,,,0.1493
18/1/15,15:00:00,0,15.915,,17.106,21.724,13.714,52.8,4.3,,,,,0.1484
18/1/15,16:00:00,0,15.986,,17.034,19.746,14.601,56.7,6.1,,,,,0.1476
18/1/15,17:00:00,0,15.891,,16.868,18.414,11.419,78.3,7.8,,,,,0.1471
18/1/15,18:00:00,0,15.557,,16.153,16.32,11.492,83.7,8.8,,,,,0.1467
18/1/15,19:00:00,0,15.079,,15.461,15.151,8.916,85.9,6.7,,,,,0.1463
18/1/15,20:00:00,0,14.601,,14.721,12.871,7.895,92.4,6.7,,,,,0.1459
18/1/15,21:00:00,0,14.098,,14.002,12.316,6.433,96.4,5.9,,,,,0.1463
18/1/15,22:00:00,0,13.714,,13.497,11.832,5.796,99.4,5.7,,,,,0.1463
18/1/15,23:00:00,0,13.377,,13.088,11.419,5.024,100,5,,,,,0.1463
19/1/15,0:00:00,0,13.112,,12.751,10.418,3.643,100,3.6,,,,,0.1467
19/1/15,1:00:00,0,12.799,,12.316,9.089,2.69,100,2.7,,,,,0.1467
19/1/15,2:00:00,0,12.437,,11.832,8.145,1.615,99.8,1.6,,,,,0.1467
19/1/15,3:00:00,0,12.074,,11.321,7.015,2.477,65.1,-3.4,,,,,0.1467
19/1/15,4:00:00,0,11.686,,10.834,6.204,2.557,51.6,-6.4,,,,,0.1467
19/1/15,5:00:00,0,11.321,,10.369,5.616,3.775,46.9,-6.5,,,,,0.1463
19/1/15,6:00:00,0,10.98,,9.928,5.179,4.869,42.1,-6.9,,,,,0.1463
19/1/15,7:00:00,0,10.687,,9.632,6.382,9.312,52,0,,,,,0.1463
19/1/15,8:00:00,0,10.614,,9.78,10.736,11.977,41.7,-0.6,,,,,0.1454
19/1/15,9:00:00,0,10.956,,10.516,14.553,13.497,35.6,-1.4,,,,,0.1446
19/1/15,10:00:00,0,11.734,,11.662,17.296,14.314,35.8,-0.6,,,,,0.1437
19/1/15,11:00:00,0,12.751,,13.04,21.246,14.266,41.9,1.5,,,,,0.1429
