Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 10284092, LBL: Rain)","Temp, °C (SEN S/N: 9824749, LBL: Temp (10cm))",,"Temp, °C (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, °C (SEN S/N: 9824741, LBL: Temp (Surface))","Temp, °C (SEN S/N: 9818217, LBL: Ambient Temp (1.2 m))","RH, % (SEN S/N: 9818217, LBL: Relative Humidity)","DewPt, °C (SEN S/N: 9818217)",,,,,"Water Content, m³/m³ (SEN S/N: 2282783, LBL: Soil Moisture (5cm))"
19/11/17,12:00:00,0,10.541,,11.613,20.388,15.7,69.8,10.2,,,,,-0.0213
19/11/17,13:00:00,0,10.956,,12.268,21.533,16.63,65.6,10.2,,,,,-0.006
19/11/17,14:00:00,0,11.783,,13.425,20.65,17.272,58.9,9.2,,,,,-0.0145
19/11/17,15:00:00,0,12.34,,14.074,20.579,17.32,50.9,7.1,,,,,-0.0119
19/11/17,16:00:00,0,12.703,,14.433,19.032,16.392,53.4,6.9,,,,,-0.023
19/11/17,17:00:00,0,12.799,,14.337,16.249,14.361,57.2,6,,,,,-0.0259
19/11/17,18:00:00,0,12.654,,13.858,14.314,13.738,67.1,7.8,,,,,-0.0255
19/11/17,19:00:00,0,12.389,,13.305,12.944,12.654,74.5,8.3,,,,,-0.0238
19/11/17,20:00:00,0,12.074,,12.751,11.88,11.029,76.4,7,,,,,-0.0225
19/11/17,21:00:00,0,11.759,,12.243,10.369,8.618,79.4,5.3,,,,,-0.0208
19/11/17,22:00:00,0,11.394,,11.662,9.163,8.045,83.7,5.5,,,,,-0.0196
19/11/17,23:00:00,0,10.98,,11.078,8.394,6.94,84.9,4.6,,,,,-0.0183
20/11/17,0:00:00,0,10.614,,10.541,7.92,6.102,88.4,4.3,,,,,-0.017
20/11/17,1:00:00,0,10.271,,10.1,7.444,7.519,90.2,6,,,,,-0.0166
20/11/17,2:00:00,0,9.977,,9.706,7.066,6.306,91.1,5,,,,,-0.0145
20/11/17,3:00:00,0,9.682,,9.361,6.611,6.179,93.1,5.2,,,,,-0.0132
20/11/17,4:00:00,0,9.435,,9.015,6.23,6.839,93.7,5.9,,,,,-0.0115
20/11/17,5:00:00,0,9.163,,8.717,6,6.687,92.3,5.5,,,,,-0.0107
20/11/17,6:00:00,0,8.941,,8.419,5.898,11.321,83,8.6,,,,,-0.0102
20/11/17,7:00:00,0,8.742,,8.22,7.67,13.473,75.8,9.3,,,,,-0.0119
20/11/17,8:00:00,0,8.767,,8.469,11.297,14.29,64.7,7.7,,,,,-0.0158
20/11/17,9:00:00,0,9.139,,9.163,15.103,15.629,59.2,7.7,,,,,-0.0187
20/11/17,10:00:00,0,9.731,,10.173,19.365,16.392,52.7,6.7,,,,,-0.0208
20/11/17,11:00:00,0,10.541,,11.467,22.345,17.558,45.6,5.7,,,,,-0.0213
20/11/17,12:00:00,0,11.492,,12.871,24.026,17.986,40.1,4.2,,,,,-0.0179
20/11/17,13:00:00,0,12.413,,14.17,24.122,19.175,39.3,5,,,,,-0.0149
